None,ticker,date,close,adj_close
0,HBAN,2018-03-27,14.93,14.93
1,HBAN,2018-03-26,15.275,15.275
2,HBAN,2018-03-23,14.7,14.7
3,HBAN,2018-03-22,15.31,15.31
4,HBAN,2018-03-21,15.88,15.88
5,HBAN,2018-03-20,15.83,15.83
6,HBAN,2018-03-19,15.92,15.92
7,HBAN,2018-03-16,16.07,16.07
8,HBAN,2018-03-15,16.04,16.04
9,HBAN,2018-03-14,16.05,16.05
10,HBAN,2018-03-13,16.29,16.29
11,HBAN,2018-03-12,16.48,16.48
12,HBAN,2018-03-09,16.5,16.5
13,HBAN,2018-03-08,16.16,16.16
14,HBAN,2018-03-07,16.28,16.28
15,HBAN,2018-03-06,16.2,16.2
16,HBAN,2018-03-05,16.01,16.01
17,HBAN,2018-03-02,15.8,15.8
18,HBAN,2018-03-01,15.61,15.61
19,HBAN,2018-02-28,15.7,15.7
20,HBAN,2018-02-27,15.82,15.82
21,HBAN,2018-02-26,16.03,16.03
22,HBAN,2018-02-23,15.99,15.99
23,HBAN,2018-02-22,15.73,15.73
24,HBAN,2018-02-21,16.05,16.05
25,HBAN,2018-02-20,15.9,15.9
26,HBAN,2018-02-16,15.83,15.83
27,HBAN,2018-02-15,15.86,15.86
28,HBAN,2018-02-14,15.89,15.89
29,HBAN,2018-02-13,15.52,15.52
30,HBAN,2018-02-12,15.48,15.48
31,HBAN,2018-02-09,15.405,15.405
32,HBAN,2018-02-08,15.11,15.11
33,HBAN,2018-02-07,15.64,15.64
34,HBAN,2018-02-06,15.53,15.53
35,HBAN,2018-02-05,15.5,15.5
36,HBAN,2018-02-02,16.08,16.08
37,HBAN,2018-02-01,16.34,16.34
38,HBAN,2018-01-31,16.18,16.18
39,HBAN,2018-01-30,16.1,16.1
40,HBAN,2018-01-29,16.23,16.23
41,HBAN,2018-01-26,16.21,16.21
42,HBAN,2018-01-25,16.05,16.05
43,HBAN,2018-01-24,16.11,16.11
44,HBAN,2018-01-23,16.04,16.04
45,HBAN,2018-01-22,16.03,16.03
46,HBAN,2018-01-19,15.81,15.81
47,HBAN,2018-01-18,15.51,15.51
48,HBAN,2018-01-17,15.76,15.76
49,HBAN,2018-01-16,15.68,15.68
50,HBAN,2018-01-12,15.85,15.85
51,HBAN,2018-01-11,15.63,15.63
52,HBAN,2018-01-10,15.48,15.48
53,HBAN,2018-01-09,15.23,15.23
54,HBAN,2018-01-08,14.95,14.95
55,HBAN,2018-01-05,14.98,14.98
56,HBAN,2018-01-04,14.85,14.85
57,HBAN,2018-01-03,14.72,14.72
58,HBAN,2018-01-02,14.6,14.6
59,HBAN,2017-12-29,14.56,14.56
60,HBAN,2017-12-28,14.74,14.74
61,HBAN,2017-12-27,14.59,14.59
62,HBAN,2017-12-26,14.63,14.63
63,HBAN,2017-12-22,14.78,14.78
64,HBAN,2017-12-21,14.84,14.84
65,HBAN,2017-12-20,14.64,14.64
66,HBAN,2017-12-19,14.61,14.61
67,HBAN,2017-12-18,14.68,14.68
68,HBAN,2017-12-15,14.58,14.58
69,HBAN,2017-12-14,14.44,14.44
70,HBAN,2017-12-13,14.58,14.58
71,HBAN,2017-12-12,14.82,14.82
72,HBAN,2017-12-11,14.62,14.62
73,HBAN,2017-12-08,14.85,14.85
74,HBAN,2017-12-07,14.71,14.71
75,HBAN,2017-12-06,14.52,14.52
76,HBAN,2017-12-05,14.46,14.46
77,HBAN,2017-12-04,14.7,14.7
78,HBAN,2017-12-01,14.45,14.45
79,HBAN,2017-11-30,14.4,14.4
80,HBAN,2017-11-29,14.48,14.48
81,HBAN,2017-11-28,13.97,13.97
82,HBAN,2017-11-27,13.5,13.5
83,HBAN,2017-11-24,13.46,13.46
84,HBAN,2017-11-22,13.54,13.54
85,HBAN,2017-11-21,13.55,13.55
86,HBAN,2017-11-20,13.57,13.57
87,HBAN,2017-11-17,13.54,13.54
88,HBAN,2017-11-16,13.4,13.4
89,HBAN,2017-11-15,13.51,13.51
90,HBAN,2017-11-14,13.61,13.61
91,HBAN,2017-11-13,13.36,13.36
92,HBAN,2017-11-10,13.14,13.14
93,HBAN,2017-11-09,13.21,13.21
94,HBAN,2017-11-07,13.4,13.4
95,HBAN,2017-11-06,13.78,13.78
96,HBAN,2017-11-03,13.78,13.78
97,HBAN,2017-11-02,13.87,13.87
98,HBAN,2017-11-01,13.81,13.81
99,HBAN,2017-10-31,13.8,13.8
100,HBAN,2017-10-30,13.77,13.77
101,HBAN,2017-10-27,13.94,13.94
102,HBAN,2017-10-26,13.91,13.91
103,HBAN,2017-10-25,13.88,13.88
104,HBAN,2017-10-24,14.21,14.21
105,HBAN,2017-10-23,14.11,14.11
106,HBAN,2017-10-20,14.19,14.19
107,HBAN,2017-10-19,13.98,13.98
108,HBAN,2017-10-18,13.95,13.95
109,HBAN,2017-10-17,13.81,13.81
110,HBAN,2017-10-16,13.92,13.92
111,HBAN,2017-10-13,13.7,13.7
112,HBAN,2017-10-12,13.79,13.79
113,HBAN,2017-10-11,13.85,13.85
114,HBAN,2017-10-10,13.98,13.98
115,HBAN,2017-10-09,13.85,13.85
116,HBAN,2017-10-06,13.9,13.9
117,HBAN,2017-10-05,13.96,13.96
118,HBAN,2017-10-04,13.76,13.76
119,HBAN,2017-10-03,13.9,13.9
120,HBAN,2017-10-02,14.04,14.04
121,HBAN,2017-09-29,13.96,13.96
122,HBAN,2017-09-28,13.87,13.87
123,HBAN,2017-09-27,13.75,13.75
124,HBAN,2017-09-26,13.45,13.45
125,HBAN,2017-09-25,13.38,13.38
126,HBAN,2017-09-22,13.39,13.39
127,HBAN,2017-09-21,13.4,13.4
128,HBAN,2017-09-20,13.36,13.36
129,HBAN,2017-09-19,13.25,13.25
130,HBAN,2017-09-18,13.09,13.09
131,HBAN,2017-09-15,12.76,12.76
132,HBAN,2017-09-14,12.8,12.720249221184
133,HBAN,2017-09-13,12.9,12.819626168224
134,HBAN,2017-09-12,12.79,12.71031152648
135,HBAN,2017-09-11,12.54,12.461869158879
136,HBAN,2017-09-08,12.32,12.243239875389
137,HBAN,2017-09-07,12.18,12.104112149533
138,HBAN,2017-09-06,12.51,12.432056074766
139,HBAN,2017-09-05,12.38,12.302866043614
140,HBAN,2017-09-01,12.69,12.610934579439
141,HBAN,2017-08-31,12.59,12.511557632399
142,HBAN,2017-08-30,12.67,12.591059190031
143,HBAN,2017-08-29,12.59,12.511557632399
144,HBAN,2017-08-28,12.72,12.640747663551
145,HBAN,2017-08-25,12.76,12.680498442368
146,HBAN,2017-08-24,12.7,12.620872274143
147,HBAN,2017-08-23,12.67,12.591059190031
148,HBAN,2017-08-22,12.7,12.620872274143
149,HBAN,2017-08-21,12.6,12.521495327103
150,HBAN,2017-08-18,12.66,12.581121495327
151,HBAN,2017-08-17,12.64,12.561246105919
152,HBAN,2017-08-16,13.0,12.919003115265
153,HBAN,2017-08-15,13.0,12.919003115265
154,HBAN,2017-08-14,12.96,12.879252336449
155,HBAN,2017-08-11,12.72,12.640747663551
156,HBAN,2017-08-10,12.81,12.730186915888
157,HBAN,2017-08-09,13.175,13.092912772586
158,HBAN,2017-08-08,13.35,13.266822429907
159,HBAN,2017-08-07,13.28,13.197258566978
160,HBAN,2017-08-04,13.3,13.217133956386
161,HBAN,2017-08-03,13.165,13.082975077882
162,HBAN,2017-08-02,13.32,13.237009345794
163,HBAN,2017-08-01,13.32,13.237009345794
164,HBAN,2017-07-31,13.25,13.167445482866
165,HBAN,2017-07-28,13.17,13.087943925234
166,HBAN,2017-07-27,13.12,13.038255451713
167,HBAN,2017-07-26,13.18,13.097881619938
168,HBAN,2017-07-25,13.4,13.316510903427
169,HBAN,2017-07-24,13.19,13.107819314642
170,HBAN,2017-07-21,12.97,12.889190031153
171,HBAN,2017-07-20,13.56,13.475514018692
172,HBAN,2017-07-19,13.7,13.614641744548
173,HBAN,2017-07-18,13.71,13.624579439252
174,HBAN,2017-07-17,13.81,13.723956386293
175,HBAN,2017-07-14,13.79,13.704080996885
176,HBAN,2017-07-13,13.87,13.783582554517
177,HBAN,2017-07-12,13.73,13.64445482866
178,HBAN,2017-07-11,13.71,13.624579439252
179,HBAN,2017-07-10,13.69,13.604704049844
180,HBAN,2017-07-07,13.69,13.604704049844
181,HBAN,2017-07-06,13.66,13.574890965732
182,HBAN,2017-07-05,13.8,13.714018691589
183,HBAN,2017-07-03,13.75,13.664330218069
184,HBAN,2017-06-30,13.52,13.435763239875
185,HBAN,2017-06-29,13.38,13.296635514019
186,HBAN,2017-06-28,13.14,13.058130841121
187,HBAN,2017-06-27,12.91,12.829563862928
188,HBAN,2017-06-26,12.79,12.71031152648
189,HBAN,2017-06-23,12.71,12.630809968847
190,HBAN,2017-06-22,12.94,12.85937694704
191,HBAN,2017-06-21,13.06,12.978629283489
192,HBAN,2017-06-20,13.23,13.147570093458
193,HBAN,2017-06-19,13.32,13.237009345794
194,HBAN,2017-06-16,13.22,13.137632398754
195,HBAN,2017-06-15,13.29,13.207196261682
196,HBAN,2017-06-14,13.41,13.246709189915
197,HBAN,2017-06-13,13.35,13.187439797566
198,HBAN,2017-06-12,13.37,13.207196261682
199,HBAN,2017-06-09,13.29,13.128170405217
200,HBAN,2017-06-08,12.92,12.762675819068
201,HBAN,2017-06-07,12.69,12.535476481731
202,HBAN,2017-06-06,12.45,12.298398912337
203,HBAN,2017-06-05,12.57,12.416937697034
204,HBAN,2017-06-02,12.58,12.426815929092
205,HBAN,2017-06-01,12.72,12.565111177906
206,HBAN,2017-05-31,12.54,12.38730300086
207,HBAN,2017-05-30,12.74,12.584867642022
208,HBAN,2017-05-26,12.86,12.703406426719
209,HBAN,2017-05-25,12.87,12.713284658777
210,HBAN,2017-05-24,12.82,12.663893498487
211,HBAN,2017-05-23,12.89,12.733041122893
212,HBAN,2017-05-22,12.64,12.486085321441
213,HBAN,2017-05-19,12.58,12.426815929092
214,HBAN,2017-05-18,12.5,12.347790072627
215,HBAN,2017-05-17,12.29,12.140347199407
216,HBAN,2017-05-16,13.04,12.881214603765
217,HBAN,2017-05-15,12.95,12.792310515242
218,HBAN,2017-05-12,12.76,12.604624106138
219,HBAN,2017-05-11,12.79,12.634258802312
220,HBAN,2017-05-10,12.9,12.742919354951
221,HBAN,2017-05-09,12.93,12.772554051126
222,HBAN,2017-05-08,13.05,12.891092835823
223,HBAN,2017-05-05,12.99,12.831823443474
224,HBAN,2017-05-04,13.05,12.891092835823
225,HBAN,2017-05-03,13.14,12.979996924346
226,HBAN,2017-05-02,12.93,12.772554051126
227,HBAN,2017-05-01,13.09,12.930605764055
228,HBAN,2017-04-28,12.854,12.697479487484
229,HBAN,2017-04-27,12.99,12.831823443474
230,HBAN,2017-04-26,13.12,12.96024046023
231,HBAN,2017-04-25,13.04,12.881214603765
232,HBAN,2017-04-24,12.99,12.831823443474
