None,ticker,date,close,adj_close
0,HBI,2018-03-27,18.79,18.79
1,HBI,2018-03-26,18.79,18.79
2,HBI,2018-03-23,18.43,18.43
3,HBI,2018-03-22,18.59,18.59
4,HBI,2018-03-21,18.99,18.99
5,HBI,2018-03-20,19.13,19.13
6,HBI,2018-03-19,19.38,19.38
7,HBI,2018-03-16,19.7,19.7
8,HBI,2018-03-15,19.43,19.43
9,HBI,2018-03-14,19.38,19.38
10,HBI,2018-03-13,19.77,19.77
11,HBI,2018-03-12,20.15,20.15
12,HBI,2018-03-09,20.01,20.01
13,HBI,2018-03-08,19.54,19.54
14,HBI,2018-03-07,20.4,20.4
15,HBI,2018-03-06,20.32,20.32
16,HBI,2018-03-05,20.29,20.29
17,HBI,2018-03-02,19.99,19.99
18,HBI,2018-03-01,19.51,19.51
19,HBI,2018-02-28,19.4,19.4
20,HBI,2018-02-27,19.95,19.95
21,HBI,2018-02-26,20.26,20.26
22,HBI,2018-02-23,19.94,19.94
23,HBI,2018-02-22,20.13,20.13
24,HBI,2018-02-21,19.96,19.96
25,HBI,2018-02-20,19.93,19.93
26,HBI,2018-02-16,20.49,20.49
27,HBI,2018-02-15,20.72,20.72
28,HBI,2018-02-14,21.14,21.14
29,HBI,2018-02-13,19.93,19.93
30,HBI,2018-02-12,19.69,19.69
31,HBI,2018-02-09,19.26,19.26
32,HBI,2018-02-08,19.57,19.57
33,HBI,2018-02-07,21.96,21.96
34,HBI,2018-02-06,21.63,21.63
35,HBI,2018-02-05,20.85,20.85
36,HBI,2018-02-02,20.99,20.99
37,HBI,2018-02-01,21.45,21.45
38,HBI,2018-01-31,21.72,21.72
39,HBI,2018-01-30,21.75,21.75
40,HBI,2018-01-29,22.59,22.59
41,HBI,2018-01-26,22.67,22.67
42,HBI,2018-01-25,22.81,22.81
43,HBI,2018-01-24,23.24,23.24
44,HBI,2018-01-23,22.98,22.98
45,HBI,2018-01-22,23.0,23.0
46,HBI,2018-01-19,23.2,23.2
47,HBI,2018-01-18,22.0,22.0
48,HBI,2018-01-17,21.94,21.94
49,HBI,2018-01-16,22.1,22.1
50,HBI,2018-01-12,22.42,22.42
51,HBI,2018-01-11,22.34,22.34
52,HBI,2018-01-10,21.65,21.65
53,HBI,2018-01-09,21.73,21.73
54,HBI,2018-01-08,21.6,21.6
55,HBI,2018-01-05,21.23,21.23
56,HBI,2018-01-04,21.26,21.26
57,HBI,2018-01-03,21.03,21.03
58,HBI,2018-01-02,21.3,21.3
59,HBI,2017-12-29,20.91,20.91
60,HBI,2017-12-28,21.03,21.03
61,HBI,2017-12-27,21.1,21.1
62,HBI,2017-12-26,20.91,20.91
63,HBI,2017-12-22,20.41,20.41
64,HBI,2017-12-21,20.19,20.19
65,HBI,2017-12-20,20.3,20.3
66,HBI,2017-12-19,20.87,20.87
67,HBI,2017-12-18,21.12,21.12
68,HBI,2017-12-15,21.46,21.46
69,HBI,2017-12-14,21.26,21.26
70,HBI,2017-12-13,21.24,21.24
71,HBI,2017-12-12,20.95,20.95
72,HBI,2017-12-11,20.65,20.65
73,HBI,2017-12-08,20.75,20.75
74,HBI,2017-12-07,20.58,20.58
75,HBI,2017-12-06,20.54,20.54
76,HBI,2017-12-05,20.68,20.68
77,HBI,2017-12-04,21.15,21.15
78,HBI,2017-12-01,20.84,20.84
79,HBI,2017-11-30,20.89,20.89
80,HBI,2017-11-29,20.31,20.31
81,HBI,2017-11-28,19.75,19.75
82,HBI,2017-11-27,19.67,19.67
83,HBI,2017-11-24,19.82,19.82
84,HBI,2017-11-22,19.82,19.82
85,HBI,2017-11-21,19.51,19.51
86,HBI,2017-11-20,19.75,19.75
87,HBI,2017-11-17,19.5,19.5
88,HBI,2017-11-16,19.22,19.22
89,HBI,2017-11-15,19.19,19.19
90,HBI,2017-11-14,19.25,19.25
91,HBI,2017-11-13,19.23,19.23
92,HBI,2017-11-10,19.29,19.29
93,HBI,2017-11-09,19.47,19.47
94,HBI,2017-11-07,19.08,19.08
95,HBI,2017-11-06,19.34,19.34
96,HBI,2017-11-03,19.36,19.36
97,HBI,2017-11-02,20.08,20.08
98,HBI,2017-11-01,22.01,22.01
99,HBI,2017-10-31,22.5,22.5
100,HBI,2017-10-30,22.66,22.66
101,HBI,2017-10-27,22.52,22.52
102,HBI,2017-10-26,22.82,22.82
103,HBI,2017-10-25,22.785,22.785
104,HBI,2017-10-24,23.11,23.11
105,HBI,2017-10-23,22.86,22.86
106,HBI,2017-10-20,23.49,23.49
107,HBI,2017-10-19,23.15,23.15
108,HBI,2017-10-18,23.21,23.21
109,HBI,2017-10-17,23.13,23.13
110,HBI,2017-10-16,23.39,23.39
111,HBI,2017-10-13,23.73,23.73
112,HBI,2017-10-12,23.68,23.68
113,HBI,2017-10-11,23.66,23.66
114,HBI,2017-10-10,23.79,23.79
115,HBI,2017-10-09,23.52,23.52
116,HBI,2017-10-06,23.75,23.75
117,HBI,2017-10-05,23.77,23.77
118,HBI,2017-10-04,23.72,23.72
119,HBI,2017-10-03,23.86,23.86
120,HBI,2017-10-02,24.98,24.98
121,HBI,2017-09-29,24.64,24.64
122,HBI,2017-09-28,24.49,24.49
123,HBI,2017-09-27,25.19,25.19
124,HBI,2017-09-26,24.58,24.58
125,HBI,2017-09-25,24.21,24.21
126,HBI,2017-09-22,24.54,24.54
127,HBI,2017-09-21,24.5,24.5
128,HBI,2017-09-20,24.64,24.64
129,HBI,2017-09-19,24.71,24.71
130,HBI,2017-09-18,24.73,24.73
131,HBI,2017-09-15,25.27,25.27
132,HBI,2017-09-14,25.23,25.23
133,HBI,2017-09-13,25.67,25.67
134,HBI,2017-09-12,25.6,25.6
135,HBI,2017-09-11,25.43,25.43
136,HBI,2017-09-08,25.13,25.13
137,HBI,2017-09-07,25.13,25.13
138,HBI,2017-09-06,25.23,25.23
139,HBI,2017-09-05,24.68,24.68
140,HBI,2017-09-01,24.75,24.75
141,HBI,2017-08-31,24.26,24.26
142,HBI,2017-08-30,24.13,24.13
143,HBI,2017-08-29,24.39,24.39
144,HBI,2017-08-28,24.51,24.51
145,HBI,2017-08-25,24.27,24.27
146,HBI,2017-08-24,23.85,23.85
147,HBI,2017-08-23,23.49,23.49
148,HBI,2017-08-22,23.45,23.45
149,HBI,2017-08-21,23.3,23.3
150,HBI,2017-08-18,23.53,23.53
151,HBI,2017-08-17,23.88,23.88
152,HBI,2017-08-16,24.31,24.31
153,HBI,2017-08-15,24.05,24.05
154,HBI,2017-08-14,24.21,24.21
155,HBI,2017-08-11,23.93,23.93
156,HBI,2017-08-10,23.95,23.800809800664
157,HBI,2017-08-09,24.31,24.158567275748
158,HBI,2017-08-08,24.62,24.466636212625
159,HBI,2017-08-07,24.29,24.138691860465
160,HBI,2017-08-04,24.29,24.138691860465
161,HBI,2017-08-03,23.84,23.691495016611
162,HBI,2017-08-02,23.65,23.502678571429
163,HBI,2017-08-01,23.04,22.896478405316
164,HBI,2017-07-31,22.92,22.777225913621
165,HBI,2017-07-28,23.27,23.125045681063
166,HBI,2017-07-27,23.12,22.975980066445
167,HBI,2017-07-26,23.39,23.244298172757
168,HBI,2017-07-25,23.57,23.423176910299
169,HBI,2017-07-24,23.24,23.09523255814
170,HBI,2017-07-21,23.55,23.403301495017
171,HBI,2017-07-20,23.26,23.115107973422
172,HBI,2017-07-19,23.15,23.005793189369
173,HBI,2017-07-18,22.83,22.68778654485
174,HBI,2017-07-17,22.92,22.777225913621
175,HBI,2017-07-14,22.69,22.548658637874
176,HBI,2017-07-13,23.05,22.906416112957
177,HBI,2017-07-12,22.86,22.717599667774
178,HBI,2017-07-11,22.69,22.548658637874
179,HBI,2017-07-10,22.91,22.76728820598
180,HBI,2017-07-07,22.93,22.787163621262
181,HBI,2017-07-06,22.53,22.389655315615
182,HBI,2017-07-05,23.18,23.035606312292
183,HBI,2017-07-03,23.26,23.115107973422
184,HBI,2017-06-30,23.16,23.01573089701
185,HBI,2017-06-29,22.99,22.84678986711
186,HBI,2017-06-28,22.85,22.707661960133
187,HBI,2017-06-27,22.84,22.697724252492
188,HBI,2017-06-26,22.75,22.608284883721
189,HBI,2017-06-23,22.6,22.459219269103
190,HBI,2017-06-22,22.25,22.111399501661
191,HBI,2017-06-21,22.04,21.902707641196
192,HBI,2017-06-20,22.08,21.942458471761
193,HBI,2017-06-19,22.4,22.260465116279
194,HBI,2017-06-16,22.61,22.469156976744
195,HBI,2017-06-15,22.63,22.489032392027
196,HBI,2017-06-14,22.95,22.807039036545
197,HBI,2017-06-13,22.85,22.707661960133
198,HBI,2017-06-12,22.82,22.677848837209
199,HBI,2017-06-09,22.07,21.93252076412
200,HBI,2017-06-08,21.31,21.177254983389
201,HBI,2017-06-07,21.32,21.18719269103
202,HBI,2017-06-06,21.15,21.01825166113
203,HBI,2017-06-05,21.29,21.157379568106
204,HBI,2017-06-02,21.31,21.177254983389
205,HBI,2017-06-01,21.09,20.958625415282
206,HBI,2017-05-31,20.65,20.52136627907
207,HBI,2017-05-30,20.62,20.491553156146
208,HBI,2017-05-26,20.7,20.571054817276
209,HBI,2017-05-25,20.3,20.173546511628
210,HBI,2017-05-24,20.41,20.282861295681
211,HBI,2017-05-23,20.54,20.412051495017
212,HBI,2017-05-22,20.75,20.620743355482
213,HBI,2017-05-19,20.72,20.590930232558
214,HBI,2017-05-18,20.36,20.233172757475
215,HBI,2017-05-17,20.42,20.292799003322
216,HBI,2017-05-16,20.69,20.561117109635
217,HBI,2017-05-15,21.35,21.217005813953
218,HBI,2017-05-12,21.44,21.306445182724
