None,ticker,date,close,adj_close
0,HCA,2018-03-27,97.43,97.43
1,HCA,2018-03-26,97.98,97.98
2,HCA,2018-03-23,98.78,98.78
3,HCA,2018-03-22,99.79,99.79
4,HCA,2018-03-21,100.9,100.9
5,HCA,2018-03-20,100.6,100.6
6,HCA,2018-03-19,102.66,102.66
7,HCA,2018-03-16,102.77,102.77
8,HCA,2018-03-15,103.15,103.15
9,HCA,2018-03-14,101.93,101.93
10,HCA,2018-03-13,102.58,102.58
11,HCA,2018-03-12,103.56,103.56
12,HCA,2018-03-09,103.9,103.9
13,HCA,2018-03-08,102.35,102.35
14,HCA,2018-03-07,101.31,101.31
15,HCA,2018-03-06,100.99,100.99
16,HCA,2018-03-05,101.11,101.11
17,HCA,2018-03-02,101.38,101.38
18,HCA,2018-03-01,99.43,99.43
19,HCA,2018-02-28,99.25,99.25
20,HCA,2018-02-27,101.56,101.56
21,HCA,2018-02-26,100.02,100.02
22,HCA,2018-02-23,100.84,100.84
23,HCA,2018-02-22,100.54,100.54
24,HCA,2018-02-21,100.35,100.35
25,HCA,2018-02-20,101.0,101.0
26,HCA,2018-02-16,101.0,101.0
27,HCA,2018-02-15,100.95,100.95
28,HCA,2018-02-14,99.91,99.91
29,HCA,2018-02-13,98.92,98.92
30,HCA,2018-02-12,98.28,98.28
31,HCA,2018-02-09,97.84,97.84
32,HCA,2018-02-08,95.97,95.97
33,HCA,2018-02-07,98.4,98.4
34,HCA,2018-02-06,98.71,98.71
35,HCA,2018-02-05,95.89,95.89
36,HCA,2018-02-02,99.69,99.69
37,HCA,2018-02-01,102.24,102.24
38,HCA,2018-01-31,101.16,101.16
39,HCA,2018-01-30,101.45,101.45
40,HCA,2018-01-29,97.62,97.62
41,HCA,2018-01-26,97.07,97.07
42,HCA,2018-01-25,92.83,92.83
43,HCA,2018-01-24,91.49,91.49
44,HCA,2018-01-23,91.73,91.73
45,HCA,2018-01-22,92.86,92.86
46,HCA,2018-01-19,93.01,93.01
47,HCA,2018-01-18,90.11,90.11
48,HCA,2018-01-17,89.4,89.4
49,HCA,2018-01-16,88.79,88.79
50,HCA,2018-01-12,88.8,88.8
51,HCA,2018-01-11,86.97,86.97
52,HCA,2018-01-10,84.96,84.96
53,HCA,2018-01-09,86.0,86.0
54,HCA,2018-01-08,86.75,86.75
55,HCA,2018-01-05,86.93,86.93
56,HCA,2018-01-04,85.96,85.96
57,HCA,2018-01-03,87.04,87.04
58,HCA,2018-01-02,89.51,89.51
59,HCA,2017-12-29,87.84,87.84
60,HCA,2017-12-28,88.31,88.31
61,HCA,2017-12-27,87.89,87.89
62,HCA,2017-12-26,89.14,89.14
63,HCA,2017-12-22,89.09,89.09
64,HCA,2017-12-21,87.84,87.84
65,HCA,2017-12-20,86.45,86.45
66,HCA,2017-12-19,88.83,88.83
67,HCA,2017-12-18,89.69,89.69
68,HCA,2017-12-15,88.46,88.46
69,HCA,2017-12-14,86.15,86.15
70,HCA,2017-12-13,87.59,87.59
71,HCA,2017-12-12,86.45,86.45
72,HCA,2017-12-11,84.97,84.97
73,HCA,2017-12-08,84.84,84.84
74,HCA,2017-12-07,85.06,85.06
75,HCA,2017-12-06,83.1,83.1
76,HCA,2017-12-05,83.22,83.22
