None,ticker,date,close,adj_close
0,HD,2018-03-27,174.68,174.68
1,HD,2018-03-26,176.38,176.38
2,HD,2018-03-23,171.8,171.8
3,HD,2018-03-22,175.29,175.29
4,HD,2018-03-21,178.02,178.02
5,HD,2018-03-20,178.16,178.16
6,HD,2018-03-19,177.1,177.1
7,HD,2018-03-16,178.96,178.96
8,HD,2018-03-15,178.07,178.07
9,HD,2018-03-14,177.41,177.41
10,HD,2018-03-13,178.35,178.35
11,HD,2018-03-12,179.71,179.71
12,HD,2018-03-09,182.16,182.16
13,HD,2018-03-08,177.94,177.94
14,HD,2018-03-07,178.58,178.58
15,HD,2018-03-06,181.64,181.64
16,HD,2018-03-05,181.74,181.74
17,HD,2018-03-02,178.46,178.46
18,HD,2018-03-01,179.64,179.64
19,HD,2018-02-28,182.27,182.27
20,HD,2018-02-27,184.98,184.98
21,HD,2018-02-26,188.46,188.46
22,HD,2018-02-23,188.35,188.35
23,HD,2018-02-22,185.47,185.47
24,HD,2018-02-21,183.06,183.06
25,HD,2018-02-20,186.71,186.71
26,HD,2018-02-16,186.97,186.97
27,HD,2018-02-15,185.27,185.27
28,HD,2018-02-14,184.69,184.69
29,HD,2018-02-13,183.72,183.72
30,HD,2018-02-12,184.06,184.06
31,HD,2018-02-09,184.12,184.12
32,HD,2018-02-08,181.22,181.22
33,HD,2018-02-07,191.29,191.29
34,HD,2018-02-06,191.04,191.04
35,HD,2018-02-05,183.11,183.11
36,HD,2018-02-02,193.97,193.97
37,HD,2018-02-01,199.9,199.9
38,HD,2018-01-31,200.9,200.9
39,HD,2018-01-30,201.81,201.81
40,HD,2018-01-29,204.92,204.92
41,HD,2018-01-26,207.23,207.23
42,HD,2018-01-25,205.37,205.37
43,HD,2018-01-24,206.22,206.22
44,HD,2018-01-23,204.9,204.9
45,HD,2018-01-22,204.46,204.46
46,HD,2018-01-19,201.33,201.33
47,HD,2018-01-18,198.33,198.33
48,HD,2018-01-17,199.82,199.82
49,HD,2018-01-16,196.31,196.31
50,HD,2018-01-12,196.42,196.42
51,HD,2018-01-11,194.68,194.68
52,HD,2018-01-10,191.8,191.8
53,HD,2018-01-09,193.1,193.1
54,HD,2018-01-08,192.04,192.04
55,HD,2018-01-05,192.5,192.5
56,HD,2018-01-04,190.51,190.51
57,HD,2018-01-03,189.01,189.01
58,HD,2018-01-02,188.03,188.03
59,HD,2017-12-29,189.53,189.53
60,HD,2017-12-28,189.78,189.78
61,HD,2017-12-27,190.19,190.19
62,HD,2017-12-26,190.36,190.36
63,HD,2017-12-22,188.13,188.13
64,HD,2017-12-21,188.08,188.08
65,HD,2017-12-20,187.31,187.31
66,HD,2017-12-19,185.98,185.98
67,HD,2017-12-18,184.73,184.73
68,HD,2017-12-15,182.58,182.58
69,HD,2017-12-14,182.13,182.13
70,HD,2017-12-13,183.03,183.03
71,HD,2017-12-12,181.8,181.8
72,HD,2017-12-11,182.25,182.25
73,HD,2017-12-08,183.41,183.41
74,HD,2017-12-07,182.0,182.0
75,HD,2017-12-06,180.8,180.8
76,HD,2017-12-05,182.85,182.85
77,HD,2017-12-04,184.9,184.9
78,HD,2017-12-01,180.42,180.42
79,HD,2017-11-30,179.82,179.82
80,HD,2017-11-29,177.25,177.25
81,HD,2017-11-28,176.57,176.57
82,HD,2017-11-27,174.16,174.16
83,HD,2017-11-24,172.33,172.33
84,HD,2017-11-22,172.06,172.06
85,HD,2017-11-21,172.86,172.86
86,HD,2017-11-20,170.45,170.45
87,HD,2017-11-17,167.74,167.74
88,HD,2017-11-16,167.5,167.5
89,HD,2017-11-15,165.47,165.47
90,HD,2017-11-14,168.06,168.06
91,HD,2017-11-13,165.35,165.35
92,HD,2017-11-10,164.11,164.11
93,HD,2017-11-09,163.27,163.27
94,HD,2017-11-07,163.66,163.66
95,HD,2017-11-06,164.22,164.22
96,HD,2017-11-03,164.39,164.39
97,HD,2017-11-02,162.71,162.71
98,HD,2017-11-01,165.38,165.38
99,HD,2017-10-31,165.78,165.78
100,HD,2017-10-30,165.31,165.31
101,HD,2017-10-27,167.34,167.34
102,HD,2017-10-26,167.65,167.65
103,HD,2017-10-25,166.1076,166.1076
104,HD,2017-10-24,166.03,166.03
105,HD,2017-10-23,164.74,164.74
106,HD,2017-10-20,163.43,163.43
107,HD,2017-10-19,163.24,163.24
108,HD,2017-10-18,163.45,163.45
109,HD,2017-10-17,163.35,163.35
110,HD,2017-10-16,164.22,164.22
111,HD,2017-10-13,164.47,164.47
112,HD,2017-10-12,164.59,164.59
113,HD,2017-10-11,165.25,165.25
114,HD,2017-10-10,165.16,165.16
115,HD,2017-10-09,165.71,165.71
116,HD,2017-10-06,165.85,165.85
117,HD,2017-10-05,166.12,166.12
118,HD,2017-10-04,165.29,165.29
119,HD,2017-10-03,165.17,165.17
120,HD,2017-10-02,164.02,164.02
121,HD,2017-09-29,163.56,163.56
122,HD,2017-09-28,162.36,162.36
123,HD,2017-09-27,160.92,160.92
124,HD,2017-09-26,161.26,161.26
125,HD,2017-09-25,161.1,161.1
126,HD,2017-09-22,159.97,159.97
127,HD,2017-09-21,159.19,159.19
128,HD,2017-09-20,158.68,158.68
129,HD,2017-09-19,157.66,157.66
130,HD,2017-09-18,157.81,157.81
131,HD,2017-09-15,158.4,158.4
132,HD,2017-09-14,159.38,159.38
133,HD,2017-09-13,160.02,160.02
134,HD,2017-09-12,159.91,159.91
135,HD,2017-09-11,158.37,158.37
136,HD,2017-09-08,159.66,159.66
137,HD,2017-09-07,157.93,157.93
138,HD,2017-09-06,156.56,156.56
139,HD,2017-09-05,152.93,152.93
140,HD,2017-09-01,150.78,150.78
141,HD,2017-08-31,149.87,149.87
142,HD,2017-08-30,150.0,150.0
143,HD,2017-08-29,149.84,149.84
144,HD,2017-08-28,151.39,150.49610296557
145,HD,2017-08-25,149.65,148.76637696543
146,HD,2017-08-24,148.25,147.37464340211
147,HD,2017-08-23,149.1,148.21962449413
148,HD,2017-08-22,149.91,149.02484177005
149,HD,2017-08-21,149.2,148.31903403437
150,HD,2017-08-18,147.49,146.6191308963
151,HD,2017-08-17,149.67,148.78625887348
152,HD,2017-08-16,152.25,151.35102501161
153,HD,2017-08-15,150.17,149.28330657467
154,HD,2017-08-14,154.26,153.34915677038
155,HD,2017-08-11,154.88,153.96549591986
156,HD,2017-08-10,153.88,152.97140051748
157,HD,2017-08-09,155.26,154.34325217276
158,HD,2017-08-08,153.35,152.44452995422
159,HD,2017-08-07,153.35,152.44452995422
160,HD,2017-08-04,152.75,151.8480727128
161,HD,2017-08-03,150.79,149.89964572414
162,HD,2017-08-02,150.5,149.61135805745
163,HD,2017-08-01,149.85,148.96519604591
164,HD,2017-07-31,149.6,148.71667219532
165,HD,2017-07-28,148.08,147.20564718371
166,HD,2017-07-27,147.73,146.85771379287
167,HD,2017-07-26,146.69,145.8238545744
168,HD,2017-07-25,146.97,146.10220128707
169,HD,2017-07-24,144.58,143.72631327539
170,HD,2017-07-21,146.65,145.78409075831
171,HD,2017-07-20,147.03,146.16184701121
172,HD,2017-07-19,153.3,152.3948251841
173,HD,2017-07-18,152.17,151.27149737942
174,HD,2017-07-17,153.89,152.98134147151
175,HD,2017-07-14,152.88,151.97730511511
176,HD,2017-07-13,153.29,152.38488423008
177,HD,2017-07-12,152.59,151.68901744842
178,HD,2017-07-11,150.6,149.71076759769
179,HD,2017-07-10,151.18,150.28734293107
180,HD,2017-07-07,152.23,151.33114310356
181,HD,2017-07-06,152.05,151.15220593114
182,HD,2017-07-05,152.69,151.78842698866
183,HD,2017-07-03,154.01,153.10063291979
184,HD,2017-06-30,153.4,152.49423472434
185,HD,2017-06-29,152.16,151.2615564254
186,HD,2017-06-28,153.23,152.32523850594
187,HD,2017-06-27,152.24,151.34108405759
188,HD,2017-06-26,151.42,150.52592582764
189,HD,2017-06-23,151.31,150.41657533338
190,HD,2017-06-22,155.48,154.56195316128
191,HD,2017-06-21,156.59,155.66539905792
192,HD,2017-06-20,157.67,156.73902209248
193,HD,2017-06-19,158.81,157.87229085119
194,HD,2017-06-16,156.64,155.71510382804
195,HD,2017-06-15,156.77,155.84433623035
196,HD,2017-06-14,156.76,155.83439527632
197,HD,2017-06-13,153.99,153.08075101174
198,HD,2017-06-12,152.18,151.28143833344
199,HD,2017-06-09,152.96,152.0568327473
200,HD,2017-06-08,153.5,152.59364426458
201,HD,2017-06-07,154.96,154.04502355205
202,HD,2017-06-06,154.2,153.28951104624
203,HD,2017-06-05,154.79,153.87602733364
204,HD,2017-06-02,155.35,154.43272075897
205,HD,2017-06-01,155.15,154.2339016785
206,HD,2017-05-31,153.51,152.6035852186
207,HD,2017-05-30,153.88,152.97140051748
208,HD,2017-05-26,154.9,153.09988977294
209,HD,2017-05-25,156.46,154.64176083844
210,HD,2017-05-24,155.0,153.19872766175
211,HD,2017-05-23,154.83,153.03070325077
212,HD,2017-05-22,155.96,154.14757139437
213,HD,2017-05-19,156.3,154.48362021634
214,HD,2017-05-18,155.7,153.89059288345
215,HD,2017-05-17,156.09,154.27606064983
216,HD,2017-05-16,158.26,156.42084283709
217,HD,2017-05-15,157.33,155.50165047112
218,HD,2017-05-12,156.92,155.09641512698
219,HD,2017-05-11,156.2,154.38478232752
220,HD,2017-05-10,158.13,156.29235358163
221,HD,2017-05-09,157.68,155.84758308197
222,HD,2017-05-08,156.89,155.06676376034
223,HD,2017-05-05,155.73,153.9202442501
224,HD,2017-05-04,154.86,153.06035461741
225,HD,2017-05-03,155.0,153.19872766175
226,HD,2017-05-02,154.95,153.14930871735
227,HD,2017-05-01,154.21,152.41790834012
228,HD,2017-04-28,156.1,154.28594443871
229,HD,2017-04-27,156.12,154.30571201647
230,HD,2017-04-26,154.22,152.427792129
231,HD,2017-04-25,153.03,151.25162125212
232,HD,2017-04-24,151.89,150.12486931964
233,HD,2017-04-21,150.0,148.25683322105
234,HD,2017-04-20,148.72,146.99170824423
235,HD,2017-04-19,147.22,145.50913991202
236,HD,2017-04-18,147.76,146.04286451162
237,HD,2017-04-17,147.31,145.59809401195
238,HD,2017-04-13,145.91,144.21436356856
239,HD,2017-04-12,146.54,144.83704226809
240,HD,2017-04-11,148.2,146.4777512224
241,HD,2017-04-10,148.21,146.48763501128
242,HD,2017-04-07,147.13,145.42018581209
243,HD,2017-04-06,147.24,145.52890748978
244,HD,2017-04-05,146.64,144.9358801569
245,HD,2017-04-04,146.34,144.63936649046
246,HD,2017-04-03,146.62,144.91611257914
247,HD,2017-03-31,146.83,145.12367214565
248,HD,2017-03-30,146.95,145.24227761222
249,HD,2017-03-29,147.04,145.33123171216
250,HD,2017-03-28,147.2,145.48937233426
251,HD,2017-03-27,146.87,145.16320730117
252,HD,2017-03-24,147.71,145.99344556721
253,HD,2017-03-23,147.99,146.27019165589
254,HD,2017-03-22,147.36,145.64751295636
255,HD,2017-03-21,146.61,144.90622879026
256,HD,2017-03-20,147.8,146.08239966714
257,HD,2017-03-17,149.6,147.8614816658
258,HD,2017-03-16,148.73,147.00159203311
259,HD,2017-03-15,147.95,146.23065650036
260,HD,2017-03-14,147.16,145.44983717873
261,HD,2017-03-13,147.43,145.71669947853
262,HD,2017-03-10,146.85,145.14343972341
263,HD,2017-03-09,146.62,144.91611257914
264,HD,2017-03-08,146.92,145.21262624558
265,HD,2017-03-07,146.02,144.32308524625
266,HD,2017-03-06,147.13,144.53921130135
267,HD,2017-03-03,147.81,145.20723728983
268,HD,2017-03-02,147.95,145.34477205216
269,HD,2017-03-01,146.68,144.09713527956
270,HD,2017-02-28,144.91,142.3583029272
271,HD,2017-02-27,145.3,142.74143547941
272,HD,2017-02-24,145.95,143.37998973311
273,HD,2017-02-23,144.71,142.16182469529
274,HD,2017-02-22,145.25,142.69231592144
275,HD,2017-02-21,145.02,142.46636595475
276,HD,2017-02-17,143.0,140.4819358125
277,HD,2017-02-16,141.54,139.04764471959
278,HD,2017-02-15,142.19,139.68619897328
279,HD,2017-02-14,141.36,138.87081431087
280,HD,2017-02-13,139.87,137.40705148318
281,HD,2017-02-10,139.85,137.38740365999
282,HD,2017-02-09,138.71,136.26747773812
283,HD,2017-02-08,137.88,135.45209307572
284,HD,2017-02-07,136.65,134.2437519495
285,HD,2017-02-06,136.49,134.08656936397
286,HD,2017-02-03,137.98,135.55033219167
287,HD,2017-02-02,136.95,134.53846929736
288,HD,2017-02-01,137.44,135.01984096552
289,HD,2017-01-31,137.58,135.15737572786
290,HD,2017-01-30,138.47,136.03170385984
291,HD,2017-01-27,138.33,135.8941690975
292,HD,2017-01-26,138.46,136.02187994824
293,HD,2017-01-25,137.48,135.0591366119
294,HD,2017-01-24,138.06,135.62892348443
295,HD,2017-01-23,138.07,135.63874739603
296,HD,2017-01-20,135.6,133.21224123199
297,HD,2017-01-19,135.39,133.00593908849
298,HD,2017-01-18,136.16,133.76238028133
299,HD,2017-01-17,135.93,133.53643031464
300,HD,2017-01-13,135.04,132.66210218266
301,HD,2017-01-12,135.07,132.69157391744
302,HD,2017-01-11,135.7,133.31048034795
303,HD,2017-01-10,136.1,133.70343681176
304,HD,2017-01-09,134.31,131.9449566362
305,HD,2017-01-06,133.53,131.17869153177
306,HD,2017-01-05,133.9,131.54217626079
307,HD,2017-01-04,135.5,133.11400211604
