None,ticker,date,close,adj_close
0,HFC,2018-03-27,48.98,48.98
1,HFC,2018-03-26,49.36,49.36
2,HFC,2018-03-23,47.81,47.81
3,HFC,2018-03-22,48.18,48.18
4,HFC,2018-03-21,49.03,49.03
5,HFC,2018-03-20,48.01,48.01
6,HFC,2018-03-19,46.26,46.26
7,HFC,2018-03-16,46.51,46.51
8,HFC,2018-03-15,45.59,45.59
9,HFC,2018-03-14,46.27,46.27
10,HFC,2018-03-13,46.14,46.14
11,HFC,2018-03-12,45.99,45.99
12,HFC,2018-03-09,46.52,46.52
13,HFC,2018-03-08,45.29,45.29
14,HFC,2018-03-07,44.95,44.95
15,HFC,2018-03-06,45.23,45.23
16,HFC,2018-03-05,44.42,44.42
17,HFC,2018-03-02,44.08,44.08
18,HFC,2018-03-01,43.45,43.45
19,HFC,2018-02-28,42.83,42.83
20,HFC,2018-02-27,44.4,44.4
21,HFC,2018-02-26,45.06,45.06
22,HFC,2018-02-23,45.0,45.0
23,HFC,2018-02-22,44.09,44.09
24,HFC,2018-02-21,44.41,44.41
25,HFC,2018-02-20,45.98,45.98
26,HFC,2018-02-16,46.4,46.4
27,HFC,2018-02-15,46.81,46.81
28,HFC,2018-02-14,46.78,46.78
29,HFC,2018-02-13,45.26,45.26
30,HFC,2018-02-12,44.73,44.73
31,HFC,2018-02-09,44.5,44.5
32,HFC,2018-02-08,44.36,44.36
33,HFC,2018-02-07,45.79,45.79
34,HFC,2018-02-06,46.47,46.47
35,HFC,2018-02-05,44.99,44.99
36,HFC,2018-02-02,46.4,46.4
37,HFC,2018-02-01,47.62,47.62
38,HFC,2018-01-31,47.96,47.96
39,HFC,2018-01-30,46.55,46.55
40,HFC,2018-01-29,46.82,46.82
41,HFC,2018-01-26,48.81,48.81
42,HFC,2018-01-25,48.5,48.5
43,HFC,2018-01-24,49.26,49.26
44,HFC,2018-01-23,51.72,51.72
45,HFC,2018-01-22,51.74,51.74
46,HFC,2018-01-19,50.94,50.94
47,HFC,2018-01-18,50.91,50.91
48,HFC,2018-01-17,52.4,52.4
49,HFC,2018-01-16,52.25,52.25
50,HFC,2018-01-12,52.51,52.51
51,HFC,2018-01-11,51.5,51.5
52,HFC,2018-01-10,51.28,51.28
53,HFC,2018-01-09,51.26,51.26
54,HFC,2018-01-08,51.72,51.72
55,HFC,2018-01-05,51.25,51.25
56,HFC,2018-01-04,50.97,50.97
57,HFC,2018-01-03,51.38,51.38
58,HFC,2018-01-02,51.3,51.3
59,HFC,2017-12-29,51.22,51.22
60,HFC,2017-12-28,51.5,51.5
61,HFC,2017-12-27,51.63,51.63
62,HFC,2017-12-26,51.3,51.3
63,HFC,2017-12-22,50.62,50.62
64,HFC,2017-12-21,50.15,50.15
