None,ticker,date,close,adj_close
0,HIG,2018-03-27,51.11,51.11
1,HIG,2018-03-26,51.48,51.48
2,HIG,2018-03-23,50.29,50.29
3,HIG,2018-03-22,51.88,51.88
4,HIG,2018-03-21,53.4,53.4
5,HIG,2018-03-20,53.67,53.67
6,HIG,2018-03-19,53.45,53.45
7,HIG,2018-03-16,53.93,53.93
8,HIG,2018-03-15,53.81,53.81
9,HIG,2018-03-14,53.87,53.87
10,HIG,2018-03-13,54.31,54.31
11,HIG,2018-03-12,55.2,55.2
12,HIG,2018-03-09,56.13,56.13
13,HIG,2018-03-08,54.36,54.36
14,HIG,2018-03-07,54.27,54.27
15,HIG,2018-03-06,54.42,54.42
16,HIG,2018-03-05,53.94,53.94
17,HIG,2018-03-02,51.77,51.77
18,HIG,2018-03-01,51.91,51.91
19,HIG,2018-02-28,52.85,52.85
20,HIG,2018-02-27,53.81,53.81
21,HIG,2018-02-26,54.5,54.5
22,HIG,2018-02-23,54.04,54.04
23,HIG,2018-02-22,53.22,53.22
24,HIG,2018-02-21,53.95,53.95
25,HIG,2018-02-20,53.82,53.82
26,HIG,2018-02-16,54.14,54.14
27,HIG,2018-02-15,54.46,54.46
28,HIG,2018-02-14,54.53,54.53
29,HIG,2018-02-13,53.97,53.97
30,HIG,2018-02-12,53.5,53.5
31,HIG,2018-02-09,53.98,53.98
32,HIG,2018-02-08,53.34,53.34
33,HIG,2018-02-07,55.86,55.86
34,HIG,2018-02-06,55.13,55.13
35,HIG,2018-02-05,55.58,55.58
36,HIG,2018-02-02,58.01,58.01
37,HIG,2018-02-01,58.77,58.77
38,HIG,2018-01-31,58.76,58.76
39,HIG,2018-01-30,58.25,58.25
40,HIG,2018-01-29,58.42,58.42
41,HIG,2018-01-26,59.11,59.11
42,HIG,2018-01-25,58.49,58.49
43,HIG,2018-01-24,58.15,58.15
44,HIG,2018-01-23,56.67,56.67
45,HIG,2018-01-22,56.05,56.05
46,HIG,2018-01-19,55.96,55.96
47,HIG,2018-01-18,56.09,56.09
48,HIG,2018-01-17,56.23,56.23
49,HIG,2018-01-16,55.24,55.24
50,HIG,2018-01-12,55.29,55.29
51,HIG,2018-01-11,55.09,55.09
52,HIG,2018-01-10,55.04,55.04
53,HIG,2018-01-09,54.97,54.97
54,HIG,2018-01-08,54.78,54.78
55,HIG,2018-01-05,55.16,55.16
56,HIG,2018-01-04,55.4,55.4
57,HIG,2018-01-03,54.83,54.83
58,HIG,2018-01-02,55.27,55.27
59,HIG,2017-12-29,56.28,56.28
60,HIG,2017-12-28,56.56,56.56
61,HIG,2017-12-27,56.28,56.28
62,HIG,2017-12-26,55.97,55.97
63,HIG,2017-12-22,55.55,55.55
64,HIG,2017-12-21,55.93,55.93
65,HIG,2017-12-20,56.35,56.35
66,HIG,2017-12-19,56.73,56.73
67,HIG,2017-12-18,55.64,55.64
68,HIG,2017-12-15,55.75,55.75
69,HIG,2017-12-14,55.21,55.21
70,HIG,2017-12-13,55.55,55.55
71,HIG,2017-12-12,56.03,56.03
72,HIG,2017-12-11,55.42,55.42
73,HIG,2017-12-08,55.17,55.17
74,HIG,2017-12-07,54.77,54.77
75,HIG,2017-12-06,54.92,54.92
76,HIG,2017-12-05,54.64,54.64
77,HIG,2017-12-04,56.5,56.5
78,HIG,2017-12-01,57.43,57.43
79,HIG,2017-11-30,57.44,57.44
80,HIG,2017-11-29,57.65,57.65
81,HIG,2017-11-28,56.69,56.69
82,HIG,2017-11-27,55.8,55.8
83,HIG,2017-11-24,55.64,55.64
84,HIG,2017-11-22,55.78,55.78
85,HIG,2017-11-21,56.09,56.09
86,HIG,2017-11-20,55.85,55.85
87,HIG,2017-11-17,56.14,56.14
88,HIG,2017-11-16,56.01,56.01
89,HIG,2017-11-15,56.67,56.67
90,HIG,2017-11-14,56.22,56.22
91,HIG,2017-11-13,55.69,55.69
92,HIG,2017-11-10,55.52,55.52
93,HIG,2017-11-09,55.25,55.25
94,HIG,2017-11-07,55.34,55.34
95,HIG,2017-11-06,55.89,55.89
96,HIG,2017-11-03,55.84,55.84
97,HIG,2017-11-02,55.71,55.71
98,HIG,2017-11-01,55.25,55.25
99,HIG,2017-10-31,55.05,55.05
100,HIG,2017-10-30,55.18,55.18
101,HIG,2017-10-27,55.2,55.2
102,HIG,2017-10-26,55.56,55.56
103,HIG,2017-10-25,54.83,54.83
104,HIG,2017-10-24,54.88,54.88
105,HIG,2017-10-23,54.06,54.06
106,HIG,2017-10-20,56.49,56.49
107,HIG,2017-10-19,56.47,56.47
108,HIG,2017-10-18,55.52,55.52
109,HIG,2017-10-17,55.81,55.81
110,HIG,2017-10-16,56.08,56.08
111,HIG,2017-10-13,55.99,55.99
112,HIG,2017-10-12,55.86,55.86
113,HIG,2017-10-11,55.87,55.87
114,HIG,2017-10-10,55.93,55.93
115,HIG,2017-10-09,55.58,55.58
116,HIG,2017-10-06,55.62,55.62
117,HIG,2017-10-05,55.49,55.49
118,HIG,2017-10-04,55.68,55.68
119,HIG,2017-10-03,55.42,55.42
120,HIG,2017-10-02,55.6,55.6
121,HIG,2017-09-29,55.43,55.43
122,HIG,2017-09-28,55.12,55.12
123,HIG,2017-09-27,55.04,55.04
124,HIG,2017-09-26,54.9,54.9
125,HIG,2017-09-25,54.68,54.68
126,HIG,2017-09-22,54.45,54.45
127,HIG,2017-09-21,54.35,54.35
128,HIG,2017-09-20,55.13,55.13
129,HIG,2017-09-19,54.41,54.41
130,HIG,2017-09-18,53.83,53.83
131,HIG,2017-09-15,53.71,53.71
132,HIG,2017-09-14,53.33,53.33
133,HIG,2017-09-13,53.51,53.51
134,HIG,2017-09-12,53.84,53.84
135,HIG,2017-09-11,53.94,53.94
136,HIG,2017-09-08,53.17,53.17
137,HIG,2017-09-07,51.64,51.64
138,HIG,2017-09-06,52.77,52.77
139,HIG,2017-09-05,52.88,52.88
140,HIG,2017-09-01,54.05,54.05
141,HIG,2017-08-31,54.07,54.07
142,HIG,2017-08-30,54.35,54.35
143,HIG,2017-08-29,54.33,54.10105349945
144,HIG,2017-08-28,54.49,54.260379259802
145,HIG,2017-08-25,55.03,54.798103700989
146,HIG,2017-08-24,54.63,54.39978930011
147,HIG,2017-08-23,55.15,54.917598021253
148,HIG,2017-08-22,55.56,55.325870282155
149,HIG,2017-08-21,55.28,55.047050201539
150,HIG,2017-08-18,55.56,55.325870282155
151,HIG,2017-08-17,55.6,55.365701722243
152,HIG,2017-08-16,56.51,56.271866984243
153,HIG,2017-08-15,56.81,56.570602784903
154,HIG,2017-08-14,56.45,56.212119824111
155,HIG,2017-08-11,56.04,55.80384756321
156,HIG,2017-08-10,55.73,55.495153902528
157,HIG,2017-08-09,56.24,56.00300476365
158,HIG,2017-08-08,56.05,55.813805423232
159,HIG,2017-08-07,55.97,55.734142543056
160,HIG,2017-08-04,56.29,56.05279406376
161,HIG,2017-08-03,55.84,55.60469036277
162,HIG,2017-08-02,55.63,55.395575302309
163,HIG,2017-08-01,55.71,55.475238182484
164,HIG,2017-07-31,55.0,54.768230120923
165,HIG,2017-07-28,54.82,54.588988640528
166,HIG,2017-07-27,52.92,52.69699523635
167,HIG,2017-07-26,53.22,52.99573103701
168,HIG,2017-07-25,53.94,53.712696958593
169,HIG,2017-07-24,53.7,53.473708318065
170,HIG,2017-07-21,53.79,53.563329058263
171,HIG,2017-07-20,53.78,53.553371198241
172,HIG,2017-07-19,53.89,53.662907658483
173,HIG,2017-07-18,53.57,53.344256137779
174,HIG,2017-07-17,53.58,53.354213997801
175,HIG,2017-07-14,53.36,53.135141077318
176,HIG,2017-07-13,53.28,53.055478197142
177,HIG,2017-07-12,52.87,52.64720593624
178,HIG,2017-07-11,52.75,52.527711615977
179,HIG,2017-07-10,52.87,52.64720593624
180,HIG,2017-07-07,52.73,52.507795895933
181,HIG,2017-07-06,52.56,52.338512275559
182,HIG,2017-07-05,52.71,52.487880175889
183,HIG,2017-07-03,52.84,52.617332356174
184,HIG,2017-06-30,52.57,52.348470135581
185,HIG,2017-06-29,52.75,52.527711615977
186,HIG,2017-06-28,52.73,52.507795895933
187,HIG,2017-06-27,52.2,51.980029314767
188,HIG,2017-06-26,52.02,51.800787834372
189,HIG,2017-06-23,51.45,51.233189813118
190,HIG,2017-06-22,51.6,51.382557713448
191,HIG,2017-06-21,51.75,51.531925613778
192,HIG,2017-06-20,52.23,52.009902894833
193,HIG,2017-06-19,52.45,52.228975815317
194,HIG,2017-06-16,52.41,52.189144375229
195,HIG,2017-06-15,51.87,51.651419934042
196,HIG,2017-06-14,51.85,51.631504213998
197,HIG,2017-06-13,51.67,51.452262733602
198,HIG,2017-06-12,51.12,50.904580432393
199,HIG,2017-06-09,51.51,51.29293697325
200,HIG,2017-06-08,50.72,50.506266031513
201,HIG,2017-06-07,49.71,49.500522169293
202,HIG,2017-06-06,49.58,49.371069989007
203,HIG,2017-06-05,49.45,49.241617808721
204,HIG,2017-06-02,49.64,49.430817149139
205,HIG,2017-06-01,49.84,49.629974349579
206,HIG,2017-05-31,49.39,49.181870648589
207,HIG,2017-05-30,49.05,48.843303407842
208,HIG,2017-05-26,49.23,48.793746484741
209,HIG,2017-05-25,49.72,49.279404331126
210,HIG,2017-05-24,49.23,48.793746484741
211,HIG,2017-05-23,49.15,48.71445540778
212,HIG,2017-05-22,48.8,48.367556946077
213,HIG,2017-05-19,48.42,47.990924330513
214,HIG,2017-05-18,48.69,48.258531715256
215,HIG,2017-05-17,48.9,48.466670792278
216,HIG,2017-05-16,49.28,48.843303407842
217,HIG,2017-05-15,49.2,48.764012330881
218,HIG,2017-05-12,49.08,48.64507571544
219,HIG,2017-05-11,49.54,49.100999407964
220,HIG,2017-05-10,49.75,49.309138484986
221,HIG,2017-05-09,49.26,48.823480638602
222,HIG,2017-05-08,49.37,48.932505869423
223,HIG,2017-05-05,49.5,49.061353869484
224,HIG,2017-05-04,49.36,48.922594484802
225,HIG,2017-05-03,49.04,48.605430176959
226,HIG,2017-05-02,48.77,48.337822792217
227,HIG,2017-05-01,48.71,48.278354484496
228,HIG,2017-04-28,48.36,47.931456022793
229,HIG,2017-04-27,48.24,47.812519407352
230,HIG,2017-04-26,48.11,47.68367140729
231,HIG,2017-04-25,47.745,47.321905868657
232,HIG,2017-04-24,47.36,46.940317560783
233,HIG,2017-04-21,47.28,46.861026483822
234,HIG,2017-04-20,47.63,47.207924945526
235,HIG,2017-04-19,47.26,46.841203714582
236,HIG,2017-04-18,47.69,47.267393253246
237,HIG,2017-04-17,48.36,47.931456022793
238,HIG,2017-04-13,47.73,47.307038791727
239,HIG,2017-04-12,47.82,47.396241253307
240,HIG,2017-04-11,48.21,47.782785253491
241,HIG,2017-04-10,48.08,47.65393725343
242,HIG,2017-04-07,47.83,47.406152637928
243,HIG,2017-04-06,48.08,47.65393725343
244,HIG,2017-04-05,47.76,47.336772945587
245,HIG,2017-04-04,47.91,47.485443714888
246,HIG,2017-04-03,48.13,47.70349417653
247,HIG,2017-03-31,48.07,47.64402586881
248,HIG,2017-03-30,47.81,47.386329868687
249,HIG,2017-03-29,47.28,46.861026483822
250,HIG,2017-03-28,47.69,47.267393253246
251,HIG,2017-03-27,47.45,47.029520022364
252,HIG,2017-03-24,47.33,46.910583406923
253,HIG,2017-03-23,47.57,47.148456637805
254,HIG,2017-03-22,47.8,47.376418484067
255,HIG,2017-03-21,47.71,47.287216022486
256,HIG,2017-03-20,48.26,47.832342176592
257,HIG,2017-03-17,48.78,48.347734176837
258,HIG,2017-03-16,48.81,48.377468330697
259,HIG,2017-03-15,49.87,49.428075100427
260,HIG,2017-03-14,49.75,49.309138484986
261,HIG,2017-03-13,49.56,49.120822177204
262,HIG,2017-03-10,49.72,49.279404331126
263,HIG,2017-03-09,49.29,48.853214792462
264,HIG,2017-03-08,48.5,48.070215407474
265,HIG,2017-03-07,48.66,48.228797561396
266,HIG,2017-03-06,48.79,48.357645561457
267,HIG,2017-03-03,49.15,48.71445540778
268,HIG,2017-03-02,49.02,48.585607407719
269,HIG,2017-03-01,49.69,49.019671717555
270,HIG,2017-02-28,48.89,48.23046388149
271,HIG,2017-02-27,48.93,48.269924273293
272,HIG,2017-02-24,48.62,47.964106236818
273,HIG,2017-02-23,48.79,48.131812901982
274,HIG,2017-02-22,48.69,48.033161922474
275,HIG,2017-02-21,48.93,48.269924273293
276,HIG,2017-02-17,48.36,47.707613690097
277,HIG,2017-02-16,48.6,47.944376040917
278,HIG,2017-02-15,48.6,47.944376040917
279,HIG,2017-02-14,48.5,47.845725061409
280,HIG,2017-02-13,48.05,47.401795653622
281,HIG,2017-02-10,47.86,47.214358792557
282,HIG,2017-02-09,47.54,46.898675658131
283,HIG,2017-02-08,47.05,46.415285858542
284,HIG,2017-02-07,47.35,46.711238797066
285,HIG,2017-02-06,47.55,46.908540756082
286,HIG,2017-02-03,47.33,46.691508601164
