None,ticker,date,close,adj_close
0,HII,2018-03-27,254.78,254.78
1,HII,2018-03-26,262.24,262.24
2,HII,2018-03-23,253.98,253.98
3,HII,2018-03-22,249.15,249.15
4,HII,2018-03-21,255.67,255.67
5,HII,2018-03-20,256.52,256.52
6,HII,2018-03-19,254.0,254.0
7,HII,2018-03-16,254.09,254.09
8,HII,2018-03-15,253.87,253.87
9,HII,2018-03-14,255.51,255.51
10,HII,2018-03-13,258.67,258.67
11,HII,2018-03-12,258.16,258.16
12,HII,2018-03-09,264.03,264.03
13,HII,2018-03-08,260.95,260.95
14,HII,2018-03-07,259.55,259.55
15,HII,2018-03-06,258.62,258.62
16,HII,2018-03-05,260.08,260.08
17,HII,2018-03-02,260.85,260.85
18,HII,2018-03-01,260.31,260.31
19,HII,2018-02-28,262.01,262.01
20,HII,2018-02-27,262.76,262.76
21,HII,2018-02-26,266.17,266.17
22,HII,2018-02-23,265.02,265.02
23,HII,2018-02-22,262.83,262.83
24,HII,2018-02-21,270.88,270.88
25,HII,2018-02-20,266.11,266.11
26,HII,2018-02-16,265.7,265.7
27,HII,2018-02-15,255.39,255.39
28,HII,2018-02-14,241.4,241.4
29,HII,2018-02-13,237.46,237.46
30,HII,2018-02-12,234.93,234.93
31,HII,2018-02-09,230.31,230.31
32,HII,2018-02-08,225.37,225.37
33,HII,2018-02-07,234.82,234.82
34,HII,2018-02-06,227.67,227.67
35,HII,2018-02-05,228.61,228.61
36,HII,2018-02-02,243.77,243.77
37,HII,2018-02-01,241.47,241.47
38,HII,2018-01-31,237.54,237.54
39,HII,2018-01-30,244.79,244.79
40,HII,2018-01-29,247.7,247.7
41,HII,2018-01-26,247.76,247.76
42,HII,2018-01-25,241.25,241.25
43,HII,2018-01-24,238.14,238.14
44,HII,2018-01-23,235.04,235.04
45,HII,2018-01-22,238.88,238.88
46,HII,2018-01-19,242.12,242.12
47,HII,2018-01-18,236.88,236.88
48,HII,2018-01-17,237.24,237.24
49,HII,2018-01-16,235.15,235.15
50,HII,2018-01-12,247.43,247.43
51,HII,2018-01-11,239.27,239.27
52,HII,2018-01-10,237.33,237.33
53,HII,2018-01-09,239.2,239.2
