None,ticker,date,close,adj_close
0,HOG,2018-03-27,42.02,42.02
1,HOG,2018-03-26,42.4,42.4
2,HOG,2018-03-23,41.44,41.44
3,HOG,2018-03-22,42.13,42.13
4,HOG,2018-03-21,43.28,43.28
5,HOG,2018-03-20,43.0,43.0
6,HOG,2018-03-19,43.54,43.54
7,HOG,2018-03-16,44.14,44.14
8,HOG,2018-03-15,43.42,43.42
9,HOG,2018-03-14,43.46,43.46
10,HOG,2018-03-13,44.85,44.85
11,HOG,2018-03-12,44.82,44.82
12,HOG,2018-03-09,44.35,44.35
13,HOG,2018-03-08,44.34,44.34
14,HOG,2018-03-07,43.9,43.9
15,HOG,2018-03-06,44.33,44.33
16,HOG,2018-03-05,45.23,45.23
17,HOG,2018-03-02,44.2,44.2
18,HOG,2018-03-01,45.11,45.11
19,HOG,2018-02-28,45.38,45.38
20,HOG,2018-02-27,45.54,45.54
21,HOG,2018-02-26,46.63,46.63
22,HOG,2018-02-23,46.61,46.61
23,HOG,2018-02-22,46.67,46.67
24,HOG,2018-02-21,46.3,46.3
25,HOG,2018-02-20,46.64,46.64
26,HOG,2018-02-16,47.16,47.16
27,HOG,2018-02-15,47.65,47.65
28,HOG,2018-02-14,47.94,47.94
29,HOG,2018-02-13,47.25,47.25
30,HOG,2018-02-12,48.35,48.35
31,HOG,2018-02-09,47.83,47.83
32,HOG,2018-02-08,47.54,47.54
33,HOG,2018-02-07,48.48,48.48
34,HOG,2018-02-06,48.62,48.62
35,HOG,2018-02-05,46.4,46.4
36,HOG,2018-02-02,47.5,47.5
37,HOG,2018-02-01,48.68,48.68
38,HOG,2018-01-31,48.46,48.46
39,HOG,2018-01-30,50.84,50.84
40,HOG,2018-01-29,55.29,55.29
41,HOG,2018-01-26,55.15,55.15
42,HOG,2018-01-25,54.7,54.7
43,HOG,2018-01-24,55.95,55.95
44,HOG,2018-01-23,54.07,54.07
45,HOG,2018-01-22,53.81,53.81
46,HOG,2018-01-19,53.0,53.0
47,HOG,2018-01-18,52.34,52.34
48,HOG,2018-01-17,52.51,52.51
49,HOG,2018-01-16,51.98,51.98
50,HOG,2018-01-12,54.41,54.41
51,HOG,2018-01-11,53.63,53.63
52,HOG,2018-01-10,52.15,52.15
53,HOG,2018-01-09,52.27,52.27
54,HOG,2018-01-08,51.54,51.54
55,HOG,2018-01-05,50.97,50.97
56,HOG,2018-01-04,50.97,50.97
57,HOG,2018-01-03,50.1,50.1
58,HOG,2018-01-02,52.06,52.06
59,HOG,2017-12-29,50.88,50.88
60,HOG,2017-12-28,51.57,51.57
61,HOG,2017-12-27,51.28,51.28
62,HOG,2017-12-26,51.77,51.77
63,HOG,2017-12-22,51.84,51.84
64,HOG,2017-12-21,51.81,51.81
65,HOG,2017-12-20,50.71,50.71
66,HOG,2017-12-19,51.19,51.19
67,HOG,2017-12-18,51.65,51.65
68,HOG,2017-12-15,50.46,50.46
69,HOG,2017-12-14,50.02,50.02
70,HOG,2017-12-13,51.01,51.01
71,HOG,2017-12-12,51.02,51.02
72,HOG,2017-12-11,50.79,50.79
73,HOG,2017-12-08,51.19,51.19
74,HOG,2017-12-07,51.18,51.18
75,HOG,2017-12-06,50.88,50.88
76,HOG,2017-12-05,50.64,50.64
77,HOG,2017-12-04,51.81,51.81
78,HOG,2017-12-01,50.03,50.03
79,HOG,2017-11-30,50.2,50.2
80,HOG,2017-11-29,48.98,48.98
81,HOG,2017-11-28,49.25,49.25
82,HOG,2017-11-27,47.52,47.52
83,HOG,2017-11-24,47.4,47.4
84,HOG,2017-11-22,47.68,47.68
85,HOG,2017-11-21,46.68,46.68
86,HOG,2017-11-20,46.76,46.76
87,HOG,2017-11-17,47.25,47.25
88,HOG,2017-11-16,48.1,48.1
89,HOG,2017-11-15,47.47,47.47
90,HOG,2017-11-14,46.93,46.93
91,HOG,2017-11-13,46.88,46.88
92,HOG,2017-11-10,47.3,47.3
93,HOG,2017-11-09,45.85,45.85
94,HOG,2017-11-07,44.78,44.78
95,HOG,2017-11-06,45.15,45.15
96,HOG,2017-11-03,47.04,47.04
97,HOG,2017-11-02,48.32,48.32
98,HOG,2017-11-01,47.8,47.8
99,HOG,2017-10-31,47.34,47.34
100,HOG,2017-10-30,47.2,47.2
101,HOG,2017-10-27,47.84,47.84
102,HOG,2017-10-26,48.8,48.8
103,HOG,2017-10-25,48.91,48.91
104,HOG,2017-10-24,49.47,49.47
105,HOG,2017-10-23,48.51,48.51
106,HOG,2017-10-20,49.5,49.5
107,HOG,2017-10-19,48.09,48.09
108,HOG,2017-10-18,48.02,48.02
109,HOG,2017-10-17,47.52,47.52
110,HOG,2017-10-16,46.57,46.57
111,HOG,2017-10-13,46.62,46.62
112,HOG,2017-10-12,46.46,46.46
113,HOG,2017-10-11,46.27,46.27
114,HOG,2017-10-10,46.32,46.32
115,HOG,2017-10-09,45.78,45.78
116,HOG,2017-10-06,46.21,46.21
117,HOG,2017-10-05,46.85,46.85
118,HOG,2017-10-04,48.78,48.78
119,HOG,2017-10-03,48.95,48.95
120,HOG,2017-10-02,48.55,48.55
121,HOG,2017-09-29,48.21,48.21
122,HOG,2017-09-28,49.15,49.15
123,HOG,2017-09-27,49.3,49.3
124,HOG,2017-09-26,49.59,49.59
125,HOG,2017-09-25,48.95,48.95
126,HOG,2017-09-22,48.24,48.24
127,HOG,2017-09-21,47.96,47.96
128,HOG,2017-09-20,48.35,48.35
129,HOG,2017-09-19,48.14,48.14
130,HOG,2017-09-18,48.56,48.56
131,HOG,2017-09-15,48.01,48.01
132,HOG,2017-09-14,48.91,48.91
133,HOG,2017-09-13,47.96,47.96
134,HOG,2017-09-12,47.52,47.52
135,HOG,2017-09-11,47.57,47.57
136,HOG,2017-09-08,47.38,47.019226035256
137,HOG,2017-09-07,46.95,46.59250026077
138,HOG,2017-09-06,46.65,46.294784604151
139,HOG,2017-09-05,45.93,45.580267028267
140,HOG,2017-09-01,47.37,47.009302180035
141,HOG,2017-08-31,47.01,46.652043392093
142,HOG,2017-08-30,47.19,46.830672786064
143,HOG,2017-08-29,47.07,46.711586523417
144,HOG,2017-08-28,47.06,46.701662668197
145,HOG,2017-08-25,47.72,47.356637112757
146,HOG,2017-08-24,47.2,46.840596641285
147,HOG,2017-08-23,46.85,46.493261708564
148,HOG,2017-08-22,47.97,47.604733493272
149,HOG,2017-08-21,47.22,46.860444351726
150,HOG,2017-08-18,46.88,46.523033274226
151,HOG,2017-08-17,47.1,46.741358089079
152,HOG,2017-08-16,47.55,47.187931574006
153,HOG,2017-08-15,47.68,47.316941691874
154,HOG,2017-08-14,47.9,47.535266506728
155,HOG,2017-08-11,47.54,47.178007718786
156,HOG,2017-08-10,47.32,46.959682903932
157,HOG,2017-08-09,47.8,47.436027954522
158,HOG,2017-08-08,47.81,47.445951809742
159,HOG,2017-08-07,48.06,47.694048190258
160,HOG,2017-08-04,48.34,47.971916136435
161,HOG,2017-08-03,47.99,47.624581203713
162,HOG,2017-08-02,47.8,47.436027954522
163,HOG,2017-08-01,48.86,48.487956607907
164,HOG,2017-07-31,48.67,48.299403358715
