None,ticker,date,close,adj_close
0,HON,2018-03-27,144.34,144.34
1,HON,2018-03-26,146.94,146.94
2,HON,2018-03-23,143.28,143.28
3,HON,2018-03-22,146.88,146.88
4,HON,2018-03-21,151.36,151.36
5,HON,2018-03-20,150.48,150.48
6,HON,2018-03-19,150.2,150.2
7,HON,2018-03-16,151.78,151.78
8,HON,2018-03-15,151.07,151.07
9,HON,2018-03-14,150.42,150.42
10,HON,2018-03-13,151.5,151.5
11,HON,2018-03-12,152.23,152.23
12,HON,2018-03-09,154.21,154.21
13,HON,2018-03-08,151.23,151.23
14,HON,2018-03-07,150.41,150.41
15,HON,2018-03-06,149.33,149.33
16,HON,2018-03-05,148.51,148.51
17,HON,2018-03-02,148.14,148.14
18,HON,2018-03-01,147.21,147.21
19,HON,2018-02-28,151.11,151.11
20,HON,2018-02-27,153.92,153.92
21,HON,2018-02-26,156.5,156.5
22,HON,2018-02-23,155.12,155.12
23,HON,2018-02-22,153.31,153.31
24,HON,2018-02-21,154.05,154.05
25,HON,2018-02-20,154.34,154.34
26,HON,2018-02-16,154.03,154.03
27,HON,2018-02-15,153.42,153.42
28,HON,2018-02-14,150.38,150.38
29,HON,2018-02-13,148.5,148.5
30,HON,2018-02-12,149.47,149.47
31,HON,2018-02-09,147.9,147.9
32,HON,2018-02-08,146.02,146.02
33,HON,2018-02-07,151.19,151.19
34,HON,2018-02-06,151.4,151.4
35,HON,2018-02-05,150.17,150.17
36,HON,2018-02-02,156.65,156.65
37,HON,2018-02-01,159.65,159.65
38,HON,2018-01-31,159.67,159.67
39,HON,2018-01-30,158.97,158.97
40,HON,2018-01-29,161.47,161.47
41,HON,2018-01-26,164.99,164.99
42,HON,2018-01-25,161.84,161.84
43,HON,2018-01-24,159.97,159.97
44,HON,2018-01-23,159.59,159.59
45,HON,2018-01-22,158.54,158.54
46,HON,2018-01-19,158.69,158.69
47,HON,2018-01-18,157.78,157.78
48,HON,2018-01-17,158.41,158.41
49,HON,2018-01-16,157.89,157.89
50,HON,2018-01-12,159.07,159.07
51,HON,2018-01-11,157.92,157.92
52,HON,2018-01-10,157.09,157.09
53,HON,2018-01-09,156.01,156.01
54,HON,2018-01-08,154.74,154.74
55,HON,2018-01-05,155.58,155.58
56,HON,2018-01-04,154.5,154.5
57,HON,2018-01-03,152.44,152.44
58,HON,2018-01-02,153.71,153.71
59,HON,2017-12-29,153.36,153.36
60,HON,2017-12-28,154.13,154.13
61,HON,2017-12-27,153.95,153.95
62,HON,2017-12-26,153.76,153.76
63,HON,2017-12-22,153.49,153.49
64,HON,2017-12-21,153.72,153.72
65,HON,2017-12-20,154.73,154.73
66,HON,2017-12-19,154.11,154.11
67,HON,2017-12-18,154.59,154.59
68,HON,2017-12-15,154.25,154.25
69,HON,2017-12-14,153.23,153.23
70,HON,2017-12-13,155.8,155.8
71,HON,2017-12-12,153.74,153.74
72,HON,2017-12-11,153.21,153.21
73,HON,2017-12-08,153.66,153.66
74,HON,2017-12-07,153.28,153.28
75,HON,2017-12-06,153.0,153.0
76,HON,2017-12-05,153.06,153.06
77,HON,2017-12-04,153.77,153.77
78,HON,2017-12-01,154.4,154.4
79,HON,2017-11-30,155.96,155.96
80,HON,2017-11-29,153.24,153.24
81,HON,2017-11-28,152.76,152.76
82,HON,2017-11-27,150.43,150.43
83,HON,2017-11-24,149.66,149.66
84,HON,2017-11-22,148.99,148.99
85,HON,2017-11-21,149.35,149.35
86,HON,2017-11-20,147.94,147.94
87,HON,2017-11-17,146.49,146.49
88,HON,2017-11-16,146.88,146.88
89,HON,2017-11-15,146.37,146.37
90,HON,2017-11-14,147.32,147.32
91,HON,2017-11-13,146.72,146.72
92,HON,2017-11-10,145.75,145.75
93,HON,2017-11-09,145.44,145.44
94,HON,2017-11-07,146.97,146.97
95,HON,2017-11-06,145.6,145.6
96,HON,2017-11-03,144.97,144.97
97,HON,2017-11-02,145.41,145.41
98,HON,2017-11-01,144.93,144.93
99,HON,2017-10-31,144.16,144.16
100,HON,2017-10-30,144.64,144.64
101,HON,2017-10-27,146.2,146.2
102,HON,2017-10-26,145.84,145.84
103,HON,2017-10-25,146.0,146.0
104,HON,2017-10-24,146.12,146.12
105,HON,2017-10-23,145.92,145.92
106,HON,2017-10-20,145.35,145.35
107,HON,2017-10-19,143.62,143.62
108,HON,2017-10-18,143.44,143.44
109,HON,2017-10-17,143.43,143.43
110,HON,2017-10-16,143.75,143.75
111,HON,2017-10-13,143.37,143.37
112,HON,2017-10-12,143.19,143.19
113,HON,2017-10-11,142.72,142.72
114,HON,2017-10-10,143.31,143.31
115,HON,2017-10-09,143.6,143.6
116,HON,2017-10-06,143.62,143.62
117,HON,2017-10-05,143.07,143.07
118,HON,2017-10-04,142.55,142.55
119,HON,2017-10-03,142.67,142.67
120,HON,2017-10-02,142.66,142.66
121,HON,2017-09-29,141.74,141.74
122,HON,2017-09-28,140.58,140.58
123,HON,2017-09-27,139.57,139.57
124,HON,2017-09-26,140.24,140.24
125,HON,2017-09-25,140.81,140.81
126,HON,2017-09-22,141.75,141.75
127,HON,2017-09-21,140.86,140.86
128,HON,2017-09-20,138.69,138.69
129,HON,2017-09-19,137.75,137.75
130,HON,2017-09-18,137.67,137.67
131,HON,2017-09-15,138.95,138.95
132,HON,2017-09-14,137.21,137.21
133,HON,2017-09-13,137.9,137.9
134,HON,2017-09-12,138.68,138.68
135,HON,2017-09-11,139.0,139.0
136,HON,2017-09-08,137.57,137.57
137,HON,2017-09-07,137.08,137.08
138,HON,2017-09-06,136.55,136.55
139,HON,2017-09-05,136.51,136.51
140,HON,2017-09-01,137.63,137.63
141,HON,2017-08-31,138.27,138.27
142,HON,2017-08-30,138.04,138.04
143,HON,2017-08-29,137.63,137.63
144,HON,2017-08-28,136.87,136.87
145,HON,2017-08-25,136.82,136.82
146,HON,2017-08-24,136.54,136.54
147,HON,2017-08-23,136.41,136.41
148,HON,2017-08-22,136.9,136.9
149,HON,2017-08-21,135.57,135.57
150,HON,2017-08-18,134.95,134.95
151,HON,2017-08-17,135.85,135.85
152,HON,2017-08-16,138.08,138.08
153,HON,2017-08-15,137.42,136.7613506793
154,HON,2017-08-14,138.27,137.60727665862
155,HON,2017-08-11,136.59,135.93532884068
156,HON,2017-08-10,137.24,136.5822134131
157,HON,2017-08-09,139.0,138.33377779379
158,HON,2017-08-08,138.67,138.00535947241
159,HON,2017-08-07,138.96,138.29396951241
160,HON,2017-08-04,140.04,139.36879310966
161,HON,2017-08-03,139.56,138.89109373311
162,HON,2017-08-02,138.72,138.05511982414
163,HON,2017-08-01,137.01,136.35331579516
164,HON,2017-07-31,136.12,135.46758153447
165,HON,2017-07-28,136.79,136.13437024758
166,HON,2017-07-27,136.98,136.32345958413
167,HON,2017-07-26,138.49,137.82622220621
168,HON,2017-07-25,137.25,136.59216548344
169,HON,2017-07-24,137.71,137.04996071931
170,HON,2017-07-21,136.35,135.6964791524
171,HON,2017-07-20,134.95,134.30318930412
172,HON,2017-07-19,136.15,135.4974377455
173,HON,2017-07-18,135.19,134.5420389924
174,HON,2017-07-17,135.26,134.61170348481
175,HON,2017-07-14,135.83,135.17897149447
176,HON,2017-07-13,135.33,134.68136797722
177,HON,2017-07-12,134.77,134.12405203791
178,HON,2017-07-11,134.22,133.57668816894
179,HON,2017-07-10,134.69,134.04443547515
180,HON,2017-07-07,134.12,133.47716746549
181,HON,2017-07-06,133.37,132.73076218963
182,HON,2017-07-05,133.8,133.15870121446
