None,ticker,date,close,adj_close
0,HPQ,2018-03-27,21.77,21.77
1,HPQ,2018-03-26,22.2,22.2
2,HPQ,2018-03-23,21.85,21.85
3,HPQ,2018-03-22,22.47,22.47
4,HPQ,2018-03-21,23.28,23.28
5,HPQ,2018-03-20,23.28,23.28
6,HPQ,2018-03-19,23.2,23.2
7,HPQ,2018-03-16,23.51,23.51
8,HPQ,2018-03-15,23.48,23.48
9,HPQ,2018-03-14,23.48,23.48
10,HPQ,2018-03-13,23.62,23.62
11,HPQ,2018-03-12,23.83,23.83
12,HPQ,2018-03-09,24.65,24.65
13,HPQ,2018-03-08,23.95,23.95
14,HPQ,2018-03-07,24.04,24.04
15,HPQ,2018-03-06,23.95,23.95
16,HPQ,2018-03-05,23.69,23.69
17,HPQ,2018-03-02,23.57,23.57
18,HPQ,2018-03-01,23.35,23.35
19,HPQ,2018-02-28,23.39,23.39
20,HPQ,2018-02-27,23.52,23.52
21,HPQ,2018-02-26,23.46,23.46
22,HPQ,2018-02-23,22.13,22.13
23,HPQ,2018-02-22,21.39,21.39
24,HPQ,2018-02-21,21.17,21.17
25,HPQ,2018-02-20,21.39,21.39
26,HPQ,2018-02-16,21.4,21.4
27,HPQ,2018-02-15,21.45,21.45
28,HPQ,2018-02-14,21.29,21.29
29,HPQ,2018-02-13,20.58,20.58
30,HPQ,2018-02-12,20.41,20.41
31,HPQ,2018-02-09,20.11,20.11
32,HPQ,2018-02-08,19.92,19.92
33,HPQ,2018-02-07,21.21,21.21
34,HPQ,2018-02-06,21.43,21.43
35,HPQ,2018-02-05,21.29,21.29
36,HPQ,2018-02-02,22.48,22.48
37,HPQ,2018-02-01,23.3,23.3
38,HPQ,2018-01-31,23.32,23.32
39,HPQ,2018-01-30,23.44,23.44
40,HPQ,2018-01-29,23.81,23.81
41,HPQ,2018-01-26,23.91,23.91
42,HPQ,2018-01-25,23.32,23.32
43,HPQ,2018-01-24,23.66,23.66
44,HPQ,2018-01-23,23.81,23.81
45,HPQ,2018-01-22,23.85,23.85
46,HPQ,2018-01-19,23.7,23.7
47,HPQ,2018-01-18,23.29,23.29
48,HPQ,2018-01-17,23.46,23.46
49,HPQ,2018-01-16,22.88,22.88
50,HPQ,2018-01-12,22.92,22.92
51,HPQ,2018-01-11,22.41,22.41
52,HPQ,2018-01-10,22.05,22.05
53,HPQ,2018-01-09,21.81,21.81
54,HPQ,2018-01-08,21.84,21.84
55,HPQ,2018-01-05,21.75,21.75
56,HPQ,2018-01-04,21.53,21.53
57,HPQ,2018-01-03,21.37,21.37
58,HPQ,2018-01-02,21.32,21.32
59,HPQ,2017-12-29,21.01,21.01
60,HPQ,2017-12-28,21.15,21.15
61,HPQ,2017-12-27,21.27,21.27
62,HPQ,2017-12-26,21.23,21.23
63,HPQ,2017-12-22,21.26,21.26
64,HPQ,2017-12-21,21.25,21.25
65,HPQ,2017-12-20,21.46,21.46
66,HPQ,2017-12-19,21.42,21.42
67,HPQ,2017-12-18,21.29,21.29
68,HPQ,2017-12-15,20.92,20.92
69,HPQ,2017-12-14,20.74,20.74
70,HPQ,2017-12-13,20.85,20.85
71,HPQ,2017-12-12,20.98,20.98
72,HPQ,2017-12-11,21.3,21.3
73,HPQ,2017-12-08,21.07,21.07
74,HPQ,2017-12-07,20.97,20.97
75,HPQ,2017-12-06,21.02,21.02
76,HPQ,2017-12-05,21.07,21.07
77,HPQ,2017-12-04,21.08,21.08
78,HPQ,2017-12-01,21.41,21.41
79,HPQ,2017-11-30,21.45,21.45
80,HPQ,2017-11-29,21.43,21.43
81,HPQ,2017-11-28,21.66,21.66
82,HPQ,2017-11-27,21.25,21.25
83,HPQ,2017-11-24,21.24,21.24
84,HPQ,2017-11-22,21.34,21.34
85,HPQ,2017-11-21,22.46,22.46
86,HPQ,2017-11-20,22.12,22.12
87,HPQ,2017-11-17,21.75,21.75
88,HPQ,2017-11-16,21.57,21.57
89,HPQ,2017-11-15,21.36,21.36
90,HPQ,2017-11-14,21.36,21.36
91,HPQ,2017-11-13,21.17,21.17
92,HPQ,2017-11-10,21.23,21.23
93,HPQ,2017-11-09,21.34,21.34
94,HPQ,2017-11-07,21.38,21.38
95,HPQ,2017-11-06,21.44,21.44
96,HPQ,2017-11-03,21.47,21.47
97,HPQ,2017-11-02,21.44,21.44
98,HPQ,2017-11-01,21.47,21.47
99,HPQ,2017-10-31,21.55,21.55
100,HPQ,2017-10-30,21.39,21.39
101,HPQ,2017-10-27,21.5,21.5
102,HPQ,2017-10-26,21.52,21.52
103,HPQ,2017-10-25,21.675,21.675
104,HPQ,2017-10-24,21.95,21.95
105,HPQ,2017-10-23,22.12,22.12
106,HPQ,2017-10-20,22.02,22.02
107,HPQ,2017-10-19,21.96,21.96
108,HPQ,2017-10-18,21.72,21.72
109,HPQ,2017-10-17,21.55,21.55
110,HPQ,2017-10-16,21.79,21.79
111,HPQ,2017-10-13,21.71,21.71
112,HPQ,2017-10-12,20.4,20.4
113,HPQ,2017-10-11,20.41,20.41
114,HPQ,2017-10-10,20.57,20.57
115,HPQ,2017-10-09,20.57,20.57
116,HPQ,2017-10-06,20.58,20.58
117,HPQ,2017-10-05,20.35,20.35
118,HPQ,2017-10-04,20.26,20.26
119,HPQ,2017-10-03,20.09,20.09
120,HPQ,2017-10-02,20.12,20.12
121,HPQ,2017-09-29,19.96,19.96
