None,ticker,date,close,adj_close
0,HRS,2018-03-27,160.35,160.35
1,HRS,2018-03-26,162.07,162.07
2,HRS,2018-03-23,157.19,157.19
3,HRS,2018-03-22,154.57,154.57
4,HRS,2018-03-21,159.81,159.81
5,HRS,2018-03-20,158.82,158.82
6,HRS,2018-03-19,156.43,156.43
7,HRS,2018-03-16,156.51,156.51
8,HRS,2018-03-15,158.18,158.18
9,HRS,2018-03-14,157.58,157.58
10,HRS,2018-03-13,158.1,158.1
11,HRS,2018-03-12,158.02,158.02
12,HRS,2018-03-09,157.72,157.72
13,HRS,2018-03-08,155.74,155.74
14,HRS,2018-03-07,155.76,155.76
15,HRS,2018-03-06,154.67,154.67
16,HRS,2018-03-05,154.26,154.26
17,HRS,2018-03-02,153.86,153.86
18,HRS,2018-03-01,152.87,152.87
19,HRS,2018-02-28,156.15,156.15
20,HRS,2018-02-27,159.02,159.02
21,HRS,2018-02-26,159.54,159.54
22,HRS,2018-02-23,158.8,158.8
23,HRS,2018-02-22,157.99,157.99
24,HRS,2018-02-21,158.17,158.17
25,HRS,2018-02-20,157.01,157.01
26,HRS,2018-02-16,156.66,156.66
27,HRS,2018-02-15,156.23,156.23
28,HRS,2018-02-14,154.97,154.97
29,HRS,2018-02-13,153.02,153.02
30,HRS,2018-02-12,152.79,152.79
31,HRS,2018-02-09,153.02,153.02
32,HRS,2018-02-08,149.84,149.84
33,HRS,2018-02-07,152.79,152.79
34,HRS,2018-02-06,148.64,148.64
35,HRS,2018-02-05,148.2,148.2
36,HRS,2018-02-02,155.9,155.9
37,HRS,2018-02-01,157.68,157.68
38,HRS,2018-01-31,159.38,159.38
39,HRS,2018-01-30,156.31,156.31
40,HRS,2018-01-29,147.19,147.19
41,HRS,2018-01-26,146.15,146.15
42,HRS,2018-01-25,144.47,144.47
43,HRS,2018-01-24,143.1,143.1
44,HRS,2018-01-23,142.41,142.41
45,HRS,2018-01-22,143.19,143.19
46,HRS,2018-01-19,145.89,145.89
47,HRS,2018-01-18,145.74,145.74
48,HRS,2018-01-17,147.61,147.61
49,HRS,2018-01-16,145.77,145.77
50,HRS,2018-01-12,147.21,147.21
51,HRS,2018-01-11,145.3,145.3
52,HRS,2018-01-10,145.15,145.15
53,HRS,2018-01-09,145.62,145.62
54,HRS,2018-01-08,146.4,146.4
55,HRS,2018-01-05,143.74,143.74
56,HRS,2018-01-04,142.43,142.43
57,HRS,2018-01-03,142.82,142.82
58,HRS,2018-01-02,142.07,142.07
59,HRS,2017-12-29,141.65,141.65
60,HRS,2017-12-28,143.22,143.22
61,HRS,2017-12-27,143.22,143.22
62,HRS,2017-12-26,142.2,142.2
63,HRS,2017-12-22,142.78,142.78
64,HRS,2017-12-21,142.79,142.79
65,HRS,2017-12-20,142.34,142.34
66,HRS,2017-12-19,142.57,142.57
67,HRS,2017-12-18,142.67,142.67
68,HRS,2017-12-15,144.09,144.09
69,HRS,2017-12-14,141.27,141.27
70,HRS,2017-12-13,141.94,141.94
71,HRS,2017-12-12,141.42,141.42
72,HRS,2017-12-11,142.64,142.64
73,HRS,2017-12-08,143.25,143.25
74,HRS,2017-12-07,143.2,143.2
75,HRS,2017-12-06,142.52,142.52
76,HRS,2017-12-05,142.58,142.58
77,HRS,2017-12-04,141.69,141.69
78,HRS,2017-12-01,142.86,142.86
79,HRS,2017-11-30,144.5,144.5
80,HRS,2017-11-29,143.22,143.22
81,HRS,2017-11-28,144.2,144.2
82,HRS,2017-11-27,143.5,143.5
83,HRS,2017-11-24,143.94,143.94
84,HRS,2017-11-22,142.52,142.52
85,HRS,2017-11-21,144.0,144.0
86,HRS,2017-11-20,141.92,141.92
87,HRS,2017-11-17,139.84,139.84
88,HRS,2017-11-16,140.35,140.35
89,HRS,2017-11-15,138.97,138.97
90,HRS,2017-11-14,139.34,139.34
91,HRS,2017-11-13,138.97,138.97
92,HRS,2017-11-10,138.76,138.76
93,HRS,2017-11-09,137.56,137.56
94,HRS,2017-11-07,139.37,139.37
95,HRS,2017-11-06,138.99,138.99
96,HRS,2017-11-03,139.41,139.41
97,HRS,2017-11-02,137.1,137.1
98,HRS,2017-11-01,137.15,137.15
99,HRS,2017-10-31,139.32,139.32
100,HRS,2017-10-30,135.64,135.64
101,HRS,2017-10-27,136.53,136.53
102,HRS,2017-10-26,135.86,135.86
103,HRS,2017-10-25,136.77,136.77
104,HRS,2017-10-24,136.96,136.96
105,HRS,2017-10-23,136.82,136.82
106,HRS,2017-10-20,136.73,136.73
107,HRS,2017-10-19,135.61,135.61
108,HRS,2017-10-18,134.84,134.84
109,HRS,2017-10-17,136.09,136.09
110,HRS,2017-10-16,135.9,135.9
111,HRS,2017-10-13,136.56,136.56
112,HRS,2017-10-12,136.62,136.62
113,HRS,2017-10-11,136.0,136.0
114,HRS,2017-10-10,136.07,136.07
115,HRS,2017-10-09,135.88,135.88
116,HRS,2017-10-06,135.66,135.66
117,HRS,2017-10-05,134.79,134.79
118,HRS,2017-10-04,134.0,134.0
119,HRS,2017-10-03,133.31,133.31
120,HRS,2017-10-02,132.81,132.81
121,HRS,2017-09-29,131.68,131.68
122,HRS,2017-09-28,130.95,130.95
123,HRS,2017-09-27,131.36,131.36
124,HRS,2017-09-26,131.52,131.52
125,HRS,2017-09-25,130.75,130.75
126,HRS,2017-09-22,131.8,131.8
127,HRS,2017-09-21,131.06,131.06
128,HRS,2017-09-20,131.6,131.6
129,HRS,2017-09-19,130.91,130.91
130,HRS,2017-09-18,128.98,128.98
131,HRS,2017-09-15,126.87,126.87
132,HRS,2017-09-14,124.25,124.25
133,HRS,2017-09-13,123.29,123.29
134,HRS,2017-09-12,123.67,123.67
135,HRS,2017-09-11,123.27,123.27
136,HRS,2017-09-08,122.51,122.51
137,HRS,2017-09-07,122.45,122.45
