None,ticker,date,close,adj_close
0,HSIC,2018-03-27,65.08,65.08
1,HSIC,2018-03-26,65.54,65.54
2,HSIC,2018-03-23,64.59,64.59
3,HSIC,2018-03-22,65.93,65.93
4,HSIC,2018-03-21,65.67,65.67
5,HSIC,2018-03-20,65.72,65.72
6,HSIC,2018-03-19,67.83,67.83
7,HSIC,2018-03-16,68.05,68.05
8,HSIC,2018-03-15,67.99,67.99
9,HSIC,2018-03-14,68.3,68.3
10,HSIC,2018-03-13,68.04,68.04
11,HSIC,2018-03-12,67.85,67.85
12,HSIC,2018-03-09,68.43,68.43
13,HSIC,2018-03-08,67.13,67.13
14,HSIC,2018-03-07,67.13,67.13
15,HSIC,2018-03-06,66.03,66.03
16,HSIC,2018-03-05,66.04,66.04
17,HSIC,2018-03-02,65.19,65.19
18,HSIC,2018-03-01,63.44,63.44
19,HSIC,2018-02-28,66.19,66.19
20,HSIC,2018-02-27,67.21,67.21
21,HSIC,2018-02-26,67.69,67.69
22,HSIC,2018-02-23,68.05,68.05
23,HSIC,2018-02-22,67.97,67.97
24,HSIC,2018-02-21,68.68,68.68
25,HSIC,2018-02-20,67.97,67.97
26,HSIC,2018-02-16,69.52,69.52
27,HSIC,2018-02-15,68.38,68.38
28,HSIC,2018-02-14,68.43,68.43
29,HSIC,2018-02-13,67.39,67.39
30,HSIC,2018-02-12,72.18,72.18
31,HSIC,2018-02-09,71.76,71.76
32,HSIC,2018-02-08,70.83,70.83
33,HSIC,2018-02-07,72.97,72.97
34,HSIC,2018-02-06,73.53,73.53
35,HSIC,2018-02-05,72.18,72.18
36,HSIC,2018-02-02,74.35,74.35
37,HSIC,2018-02-01,75.28,75.28
38,HSIC,2018-01-31,75.68,75.68
39,HSIC,2018-01-30,78.07,78.07
40,HSIC,2018-01-29,79.41,79.41
41,HSIC,2018-01-26,78.93,78.93
42,HSIC,2018-01-25,78.14,78.14
43,HSIC,2018-01-24,77.41,77.41
44,HSIC,2018-01-23,76.3,76.3
45,HSIC,2018-01-22,76.41,76.41
46,HSIC,2018-01-19,75.96,75.96
47,HSIC,2018-01-18,74.62,74.62
48,HSIC,2018-01-17,76.35,76.35
49,HSIC,2018-01-16,76.04,76.04
50,HSIC,2018-01-12,74.84,74.84
51,HSIC,2018-01-11,73.3,73.3
52,HSIC,2018-01-10,72.82,72.82
53,HSIC,2018-01-09,73.45,73.45
54,HSIC,2018-01-08,74.34,74.34
55,HSIC,2018-01-05,73.33,73.33
56,HSIC,2018-01-04,72.18,72.18
57,HSIC,2018-01-03,72.14,72.14
58,HSIC,2018-01-02,71.47,71.47
59,HSIC,2017-12-29,69.88,69.88
60,HSIC,2017-12-28,70.56,70.56
61,HSIC,2017-12-27,70.46,70.46
62,HSIC,2017-12-26,70.62,70.62
63,HSIC,2017-12-22,71.01,71.01
64,HSIC,2017-12-21,71.16,71.16
65,HSIC,2017-12-20,71.1,71.1
66,HSIC,2017-12-19,71.49,71.49
67,HSIC,2017-12-18,70.16,70.16
68,HSIC,2017-12-15,70.16,70.16
69,HSIC,2017-12-14,68.69,68.69
70,HSIC,2017-12-13,68.7,68.7
71,HSIC,2017-12-12,67.81,67.81
72,HSIC,2017-12-11,68.32,68.32
73,HSIC,2017-12-08,67.9,67.9
74,HSIC,2017-12-07,67.57,67.57
75,HSIC,2017-12-06,67.58,67.58
76,HSIC,2017-12-05,71.1,71.1
77,HSIC,2017-12-04,71.21,71.21
78,HSIC,2017-12-01,70.66,70.66
79,HSIC,2017-11-30,71.45,71.45
80,HSIC,2017-11-29,70.3,70.3
81,HSIC,2017-11-28,70.5,70.5
82,HSIC,2017-11-27,69.89,69.89
83,HSIC,2017-11-24,69.97,69.97
84,HSIC,2017-11-22,69.95,69.95
85,HSIC,2017-11-21,67.97,67.97
86,HSIC,2017-11-20,67.5,67.5
87,HSIC,2017-11-17,69.12,69.12
88,HSIC,2017-11-16,69.51,69.51
89,HSIC,2017-11-15,67.97,67.97
90,HSIC,2017-11-14,66.84,66.84
91,HSIC,2017-11-13,66.5,66.5
92,HSIC,2017-11-10,67.05,67.05
93,HSIC,2017-11-09,69.66,69.66
94,HSIC,2017-11-07,71.01,71.01
95,HSIC,2017-11-06,70.04,70.04
96,HSIC,2017-11-03,77.64,77.64
97,HSIC,2017-11-02,76.3,76.3
98,HSIC,2017-11-01,77.24,77.24
99,HSIC,2017-10-31,78.6,78.6
100,HSIC,2017-10-30,77.7,77.7
101,HSIC,2017-10-27,76.55,76.55
102,HSIC,2017-10-26,81.47,81.47
103,HSIC,2017-10-25,82.9,82.9
104,HSIC,2017-10-24,82.97,82.97
105,HSIC,2017-10-23,82.85,82.85
106,HSIC,2017-10-20,84.53,84.53
107,HSIC,2017-10-19,83.09,83.09
108,HSIC,2017-10-18,82.29,82.29
109,HSIC,2017-10-17,82.45,82.45
110,HSIC,2017-10-16,81.91,81.91
111,HSIC,2017-10-13,80.93,80.93
112,HSIC,2017-10-12,80.51,80.51
113,HSIC,2017-10-11,80.67,80.67
114,HSIC,2017-10-10,79.89,79.89
115,HSIC,2017-10-09,80.1,80.1
116,HSIC,2017-10-06,80.99,80.99
117,HSIC,2017-10-05,81.58,81.58
118,HSIC,2017-10-04,81.74,81.74
119,HSIC,2017-10-03,81.58,81.58
120,HSIC,2017-10-02,81.03,81.03
121,HSIC,2017-09-29,81.99,81.99
122,HSIC,2017-09-28,80.86,80.86
123,HSIC,2017-09-27,81.13,81.13
124,HSIC,2017-09-26,80.39,80.39
125,HSIC,2017-09-25,80.34,80.34
126,HSIC,2017-09-22,79.6,79.6
127,HSIC,2017-09-21,79.32,79.32
128,HSIC,2017-09-20,80.39,80.39
129,HSIC,2017-09-19,79.14,79.14
130,HSIC,2017-09-18,80.9,80.9
131,HSIC,2017-09-15,82.88,82.88
132,HSIC,2017-09-14,161.15,80.575
133,HSIC,2017-09-13,168.88,84.44
134,HSIC,2017-09-12,175.92,87.96
135,HSIC,2017-09-11,177.57,88.785
136,HSIC,2017-09-08,175.34,87.67
137,HSIC,2017-09-07,174.83,87.415
138,HSIC,2017-09-06,172.44,86.22
139,HSIC,2017-09-05,172.35,86.175
140,HSIC,2017-09-01,173.53,86.765
141,HSIC,2017-08-31,173.68,86.84
142,HSIC,2017-08-30,169.62,84.81
143,HSIC,2017-08-29,168.43,84.215
144,HSIC,2017-08-28,169.58,84.79
145,HSIC,2017-08-25,171.57,85.785
146,HSIC,2017-08-24,171.06,85.53
147,HSIC,2017-08-23,170.46,85.23
148,HSIC,2017-08-22,171.3,85.65
149,HSIC,2017-08-21,170.82,85.41
150,HSIC,2017-08-18,169.49,84.745
151,HSIC,2017-08-17,169.61,84.805
152,HSIC,2017-08-16,170.31,85.155
153,HSIC,2017-08-15,167.94,83.97
154,HSIC,2017-08-14,169.27,84.635
155,HSIC,2017-08-11,170.58,85.29
156,HSIC,2017-08-10,167.32,83.66
157,HSIC,2017-08-09,169.65,84.825
158,HSIC,2017-08-08,174.02,87.01
159,HSIC,2017-08-07,183.79,91.895
160,HSIC,2017-08-04,178.71,89.355
161,HSIC,2017-08-03,179.16,89.58
162,HSIC,2017-08-02,179.3,89.65
163,HSIC,2017-08-01,181.27,90.635
164,HSIC,2017-07-31,182.21,91.105
165,HSIC,2017-07-28,182.91,91.455
166,HSIC,2017-07-27,182.83,91.415
167,HSIC,2017-07-26,184.74,92.37
168,HSIC,2017-07-25,184.74,92.37
169,HSIC,2017-07-24,185.69,92.845
170,HSIC,2017-07-21,184.92,92.46
171,HSIC,2017-07-20,184.44,92.22
172,HSIC,2017-07-19,185.2,92.6
173,HSIC,2017-07-18,184.38,92.19
174,HSIC,2017-07-17,185.51,92.755
175,HSIC,2017-07-14,184.52,92.26
176,HSIC,2017-07-13,182.43,91.215
177,HSIC,2017-07-12,183.17,91.585
178,HSIC,2017-07-11,180.68,90.34
179,HSIC,2017-07-10,180.62,90.31
180,HSIC,2017-07-07,182.84,91.42
181,HSIC,2017-07-06,181.11,90.555
182,HSIC,2017-07-05,183.68,91.84
183,HSIC,2017-07-03,181.97,90.985
184,HSIC,2017-06-30,183.02,91.51
185,HSIC,2017-06-29,182.38,91.19
186,HSIC,2017-06-28,184.28,92.14
187,HSIC,2017-06-27,182.87,91.435
188,HSIC,2017-06-26,184.96,92.48
189,HSIC,2017-06-23,184.17,92.085
190,HSIC,2017-06-22,184.26,92.13
191,HSIC,2017-06-21,183.27,91.635
192,HSIC,2017-06-20,182.12,91.06
193,HSIC,2017-06-19,185.06,92.53
194,HSIC,2017-06-16,182.74,91.37
195,HSIC,2017-06-15,183.66,91.83
196,HSIC,2017-06-14,184.02,92.01
197,HSIC,2017-06-13,183.75,91.875
198,HSIC,2017-06-12,184.02,92.01
199,HSIC,2017-06-09,185.75,92.875
200,HSIC,2017-06-08,184.18,92.09
201,HSIC,2017-06-07,185.4,92.7
202,HSIC,2017-06-06,184.05,92.025
203,HSIC,2017-06-05,185.21,92.605
204,HSIC,2017-06-02,186.57,93.285
205,HSIC,2017-06-01,186.51,93.255
206,HSIC,2017-05-31,183.97,91.985
207,HSIC,2017-05-30,182.89,91.445
208,HSIC,2017-05-26,182.68,91.34
209,HSIC,2017-05-25,183.26,91.63
210,HSIC,2017-05-24,181.63,90.815
211,HSIC,2017-05-23,182.1,91.05
212,HSIC,2017-05-22,180.91,90.455
213,HSIC,2017-05-19,177.81,88.905
214,HSIC,2017-05-18,177.05,88.525
215,HSIC,2017-05-17,174.56,87.28
216,HSIC,2017-05-16,176.84,88.42
217,HSIC,2017-05-15,176.12,88.06
218,HSIC,2017-05-12,175.62,87.81
219,HSIC,2017-05-11,176.4,88.2
220,HSIC,2017-05-10,176.08,88.04
221,HSIC,2017-05-09,177.41,88.705
222,HSIC,2017-05-08,175.02,87.51
223,HSIC,2017-05-05,178.35,89.175
224,HSIC,2017-05-04,178.08,89.04
225,HSIC,2017-05-03,175.69,87.845
226,HSIC,2017-05-02,175.42,87.71
227,HSIC,2017-05-01,173.6,86.8
228,HSIC,2017-04-28,173.8,86.9
229,HSIC,2017-04-27,174.175,87.0875
230,HSIC,2017-04-26,173.18,86.59
231,HSIC,2017-04-25,170.22,85.11
232,HSIC,2017-04-24,169.8,84.9
233,HSIC,2017-04-21,168.11,84.055
