None,ticker,date,close,adj_close
0,HST,2018-03-27,18.33,18.33
1,HST,2018-03-26,18.39,18.39
2,HST,2018-03-23,17.98,17.98
3,HST,2018-03-22,18.4,18.4
4,HST,2018-03-21,18.75,18.75
5,HST,2018-03-20,18.92,18.92
6,HST,2018-03-19,18.94,18.94
7,HST,2018-03-16,19.18,19.18
8,HST,2018-03-15,19.05,19.05
9,HST,2018-03-14,18.92,18.92
10,HST,2018-03-13,18.7,18.7
11,HST,2018-03-12,18.73,18.73
12,HST,2018-03-09,18.91,18.91
13,HST,2018-03-08,18.61,18.61
14,HST,2018-03-07,18.54,18.54
15,HST,2018-03-06,18.2,18.2
16,HST,2018-03-05,18.12,18.12
17,HST,2018-03-02,18.44,18.44
18,HST,2018-03-01,18.41,18.41
19,HST,2018-02-28,18.56,18.56
20,HST,2018-02-27,18.49,18.49
21,HST,2018-02-26,19.0,19.0
22,HST,2018-02-23,19.21,19.21
23,HST,2018-02-22,19.11,19.11
24,HST,2018-02-21,19.22,19.22
25,HST,2018-02-20,19.51,19.51
26,HST,2018-02-16,19.88,19.88
27,HST,2018-02-15,19.56,19.56
28,HST,2018-02-14,19.64,19.64
29,HST,2018-02-13,19.52,19.52
30,HST,2018-02-12,19.42,19.42
31,HST,2018-02-09,19.52,19.52
32,HST,2018-02-08,18.75,18.75
33,HST,2018-02-07,19.45,19.45
34,HST,2018-02-06,19.42,19.42
35,HST,2018-02-05,19.35,19.35
36,HST,2018-02-02,20.11,20.11
37,HST,2018-02-01,20.57,20.57
38,HST,2018-01-31,20.76,20.76
39,HST,2018-01-30,20.83,20.83
40,HST,2018-01-29,20.95,20.95
41,HST,2018-01-26,21.24,21.24
42,HST,2018-01-25,21.17,21.17
43,HST,2018-01-24,21.29,21.29
44,HST,2018-01-23,21.3,21.3
45,HST,2018-01-22,20.81,20.81
46,HST,2018-01-19,20.72,20.72
47,HST,2018-01-18,20.5,20.5
48,HST,2018-01-17,20.93,20.93
49,HST,2018-01-16,20.32,20.32
50,HST,2018-01-12,20.36,20.36
51,HST,2018-01-11,20.57,20.57
52,HST,2018-01-10,20.65,20.65
53,HST,2018-01-09,20.44,20.44
54,HST,2018-01-08,20.39,20.39
55,HST,2018-01-05,19.86,19.86
56,HST,2018-01-04,19.82,19.82
57,HST,2018-01-03,19.87,19.87
58,HST,2018-01-02,19.94,19.94
59,HST,2017-12-29,19.85,19.85
60,HST,2017-12-28,20.12,20.12
61,HST,2017-12-27,20.15,20.15
62,HST,2017-12-26,20.18,20.18
63,HST,2017-12-22,20.14,20.14
64,HST,2017-12-21,20.05,20.05
65,HST,2017-12-20,20.05,20.05
66,HST,2017-12-19,20.28,20.28
67,HST,2017-12-18,20.58,20.58
68,HST,2017-12-15,20.14,20.14
69,HST,2017-12-14,19.78,19.78
70,HST,2017-12-13,19.85,19.85
71,HST,2017-12-12,19.85,19.85
72,HST,2017-12-11,19.83,19.83
73,HST,2017-12-08,19.84,19.84
74,HST,2017-12-07,19.65,19.65
75,HST,2017-12-06,19.61,19.61
76,HST,2017-12-05,19.73,19.73
77,HST,2017-12-04,19.86,19.86
78,HST,2017-12-01,19.51,19.51
79,HST,2017-11-30,19.79,19.79
80,HST,2017-11-29,19.67,19.67
81,HST,2017-11-28,19.46,19.46
82,HST,2017-11-27,19.6,19.6
83,HST,2017-11-24,19.8,19.8
84,HST,2017-11-22,19.78,19.78
85,HST,2017-11-21,19.79,19.79
86,HST,2017-11-20,19.7,19.7
87,HST,2017-11-17,19.89,19.89
88,HST,2017-11-16,19.97,19.97
89,HST,2017-11-15,19.76,19.76
90,HST,2017-11-14,19.97,19.97
91,HST,2017-11-13,20.03,20.03
92,HST,2017-11-10,19.99,19.99
93,HST,2017-11-09,20.0,20.0
94,HST,2017-11-07,19.79,19.79
95,HST,2017-11-06,19.79,19.79
96,HST,2017-11-03,19.63,19.63
97,HST,2017-11-02,19.46,19.46
98,HST,2017-11-01,19.73,19.73
99,HST,2017-10-31,19.56,19.56
100,HST,2017-10-30,19.3,19.3
101,HST,2017-10-27,19.44,19.44
102,HST,2017-10-26,19.4,19.4
103,HST,2017-10-25,19.345,19.345
104,HST,2017-10-24,19.66,19.66
105,HST,2017-10-23,19.33,19.33
106,HST,2017-10-20,19.46,19.46
107,HST,2017-10-19,19.83,19.83
108,HST,2017-10-18,19.85,19.85
109,HST,2017-10-17,19.34,19.34
110,HST,2017-10-16,19.4,19.4
111,HST,2017-10-13,19.51,19.51
112,HST,2017-10-12,19.4,19.4
113,HST,2017-10-11,18.67,18.67
114,HST,2017-10-10,18.55,18.55
115,HST,2017-10-09,18.39,18.39
116,HST,2017-10-06,18.34,18.34
117,HST,2017-10-05,18.32,18.32
118,HST,2017-10-04,18.2,18.2
119,HST,2017-10-03,18.24,18.24
120,HST,2017-10-02,18.43,18.43
121,HST,2017-09-29,18.49,18.49
122,HST,2017-09-28,18.49,18.49
123,HST,2017-09-27,18.54,18.341605136437
124,HST,2017-09-26,18.5,18.30203317282
125,HST,2017-09-25,18.36,18.163531300161
126,HST,2017-09-22,18.33,18.133852327448
127,HST,2017-09-21,18.29,18.094280363831
128,HST,2017-09-20,18.46,18.262461209203
129,HST,2017-09-19,18.34,18.143745318352
130,HST,2017-09-18,18.31,18.114066345639
131,HST,2017-09-15,18.25,18.054708400214
132,HST,2017-09-14,18.27,18.074494382022
133,HST,2017-09-13,18.44,18.242675227394
134,HST,2017-09-12,18.38,18.183317281969
135,HST,2017-09-11,18.21,18.015136436597
136,HST,2017-09-08,18.15,17.955778491172
137,HST,2017-09-07,17.94,17.748025682183
138,HST,2017-09-06,17.98,17.7875976458
139,HST,2017-09-05,17.62,17.431449973248
140,HST,2017-09-01,18.14,17.945885500268
141,HST,2017-08-31,18.12,17.926099518459
142,HST,2017-08-30,18.02,17.827169609417
143,HST,2017-08-29,17.68,17.490807918673
144,HST,2017-08-28,17.53,17.34241305511
145,HST,2017-08-25,17.7,17.510593900482
146,HST,2017-08-24,17.6,17.411663991439
147,HST,2017-08-23,17.57,17.381985018727
148,HST,2017-08-22,17.65,17.46112894596
149,HST,2017-08-21,17.38,17.194018191546
150,HST,2017-08-18,17.43,17.243483146067
151,HST,2017-08-17,17.92,17.728239700375
152,HST,2017-08-16,18.23,18.034922418406
153,HST,2017-08-15,17.95,17.757918673087
154,HST,2017-08-14,18.0,17.807383627608
155,HST,2017-08-11,17.85,17.658988764045
156,HST,2017-08-10,17.83,17.639202782236
157,HST,2017-08-09,17.97,17.777704654896
158,HST,2017-08-08,18.21,18.015136436597
159,HST,2017-08-07,18.74,18.539464954521
160,HST,2017-08-04,18.65,18.450428036383
161,HST,2017-08-03,18.39,18.193210272873
162,HST,2017-08-02,18.64,18.440535045479
163,HST,2017-08-01,18.91,18.707645799893
164,HST,2017-07-31,18.66,18.460321027287
165,HST,2017-07-28,18.71,18.509785981808
166,HST,2017-07-27,18.68,18.480107009096
167,HST,2017-07-26,18.02,17.827169609417
168,HST,2017-07-25,18.44,18.242675227394
169,HST,2017-07-24,17.97,17.777704654896
170,HST,2017-07-21,17.96,17.767811663991
171,HST,2017-07-20,18.05,17.856848582129
172,HST,2017-07-19,18.61,18.410856072766
173,HST,2017-07-18,18.62,18.42074906367
174,HST,2017-07-17,18.48,18.282247191011
175,HST,2017-07-14,18.15,17.955778491172
176,HST,2017-07-13,18.11,17.916206527555
177,HST,2017-07-12,18.05,17.856848582129
178,HST,2017-07-11,18.02,17.827169609417
179,HST,2017-07-10,17.92,17.728239700375
180,HST,2017-07-07,18.26,18.064601391118
181,HST,2017-07-06,18.3,18.104173354735
182,HST,2017-07-05,18.71,18.509785981808
183,HST,2017-07-03,18.81,18.608715890851
184,HST,2017-06-30,18.27,18.074494382022
185,HST,2017-06-29,18.48,18.282247191011
186,HST,2017-06-28,18.6,18.400963081862
187,HST,2017-06-27,18.81,18.410750828182
188,HST,2017-06-26,18.95,18.547779276664
189,HST,2017-06-23,18.72,18.322661111301
190,HST,2017-06-22,18.67,18.2737223797
191,HST,2017-06-21,18.6,18.205208155459
192,HST,2017-06-20,18.92,18.518416037704
193,HST,2017-06-19,19.1,18.694595471466
194,HST,2017-06-16,18.74,18.342236603941
195,HST,2017-06-15,18.59,18.195420409139
196,HST,2017-06-14,18.57,18.175844916499
197,HST,2017-06-13,18.7,18.303085618661
198,HST,2017-06-12,18.63,18.23457139442
199,HST,2017-06-09,18.38,17.989877736416
200,HST,2017-06-08,18.14,17.754971824733
201,HST,2017-06-07,17.98,17.598367883611
202,HST,2017-06-06,17.85,17.471127181449
203,HST,2017-06-05,17.87,17.490702674089
204,HST,2017-06-02,18.17,17.784335063693
205,HST,2017-06-01,17.88,17.500490420409
206,HST,2017-05-31,17.99,17.608155629931
207,HST,2017-05-30,17.85,17.471127181449
208,HST,2017-05-26,18.07,17.686457600492
