None,ticker,date,close,adj_close
0,HUM,2018-03-27,267.65,267.65
1,HUM,2018-03-26,268.1,268.1
2,HUM,2018-03-23,261.6,261.6
3,HUM,2018-03-22,265.72,265.72
4,HUM,2018-03-21,270.81,270.81
5,HUM,2018-03-20,273.6,273.6
6,HUM,2018-03-19,269.98,269.98
7,HUM,2018-03-16,272.73,272.73
8,HUM,2018-03-15,271.09,271.09
9,HUM,2018-03-14,270.5,270.5
10,HUM,2018-03-13,269.98,269.98
11,HUM,2018-03-12,268.21,268.21
12,HUM,2018-03-09,272.5,272.5
13,HUM,2018-03-08,269.52,269.52
14,HUM,2018-03-07,273.29,273.29
15,HUM,2018-03-06,273.11,273.11
16,HUM,2018-03-05,270.59,270.59
17,HUM,2018-03-02,269.8,269.8
18,HUM,2018-03-01,269.72,269.72
19,HUM,2018-02-28,271.82,271.82
20,HUM,2018-02-27,276.92,276.92
21,HUM,2018-02-26,274.58,274.58
22,HUM,2018-02-23,271.19,271.19
23,HUM,2018-02-22,267.81,267.81
24,HUM,2018-02-21,266.38,266.38
25,HUM,2018-02-20,267.33,267.33
26,HUM,2018-02-16,269.0,269.0
27,HUM,2018-02-15,267.45,267.45
28,HUM,2018-02-14,267.47,267.47
29,HUM,2018-02-13,268.07,268.07
30,HUM,2018-02-12,267.05,267.05
31,HUM,2018-02-09,265.32,265.32
32,HUM,2018-02-08,262.37,262.37
33,HUM,2018-02-07,264.9,264.9
34,HUM,2018-02-06,269.12,269.12
35,HUM,2018-02-05,267.1,267.1
36,HUM,2018-02-02,276.5,276.5
37,HUM,2018-02-01,279.77,279.77
38,HUM,2018-01-31,281.83,281.83
39,HUM,2018-01-30,282.29,282.29
40,HUM,2018-01-29,291.23,291.23
41,HUM,2018-01-26,288.29,288.29
42,HUM,2018-01-25,285.91,285.91
43,HUM,2018-01-24,286.32,286.32
44,HUM,2018-01-23,282.86,282.86
45,HUM,2018-01-22,281.87,281.87
46,HUM,2018-01-19,279.3,279.3
47,HUM,2018-01-18,279.44,279.44
48,HUM,2018-01-17,275.75,275.75
49,HUM,2018-01-16,270.17,270.17
50,HUM,2018-01-12,268.02,268.02
51,HUM,2018-01-11,265.21,265.21
52,HUM,2018-01-10,263.1,263.1
53,HUM,2018-01-09,263.08,263.08
54,HUM,2018-01-08,258.55,258.55
55,HUM,2018-01-05,264.33,264.33
56,HUM,2018-01-04,258.36,258.36
57,HUM,2018-01-03,251.28,251.28
58,HUM,2018-01-02,251.64,251.64
59,HUM,2017-12-29,248.07,248.07
60,HUM,2017-12-28,249.01,249.01
61,HUM,2017-12-27,248.15,248.15
62,HUM,2017-12-26,246.25,246.25
63,HUM,2017-12-22,245.0,245.0
64,HUM,2017-12-21,243.58,243.58
65,HUM,2017-12-20,245.16,245.16
66,HUM,2017-12-19,245.16,245.16
67,HUM,2017-12-18,246.38,246.38
68,HUM,2017-12-15,253.64,253.64
69,HUM,2017-12-14,250.61,250.61
70,HUM,2017-12-13,256.24,256.24
71,HUM,2017-12-12,254.64,254.64
72,HUM,2017-12-11,253.03,253.03
73,HUM,2017-12-08,256.49,256.49
74,HUM,2017-12-07,253.9,253.9
75,HUM,2017-12-06,250.3,250.3
76,HUM,2017-12-05,253.34,253.34
77,HUM,2017-12-04,252.28,252.28
78,HUM,2017-12-01,258.53,258.53
79,HUM,2017-11-30,260.86,260.86
80,HUM,2017-11-29,250.13,250.13
81,HUM,2017-11-28,244.22,244.22
82,HUM,2017-11-27,243.56,243.56
83,HUM,2017-11-24,240.51,240.51
84,HUM,2017-11-22,238.3,238.3
85,HUM,2017-11-21,236.42,236.42
86,HUM,2017-11-20,233.48,233.48
87,HUM,2017-11-17,233.46,233.46
88,HUM,2017-11-16,235.91,235.91
89,HUM,2017-11-15,233.28,233.28
90,HUM,2017-11-14,239.56,239.56
91,HUM,2017-11-13,240.94,240.94
92,HUM,2017-11-10,244.39,244.39
93,HUM,2017-11-09,247.46,247.46
94,HUM,2017-11-07,256.31,256.31
95,HUM,2017-11-06,254.48,254.48
96,HUM,2017-11-03,256.69,256.69
97,HUM,2017-11-02,256.35,256.35
98,HUM,2017-11-01,255.48,255.48
99,HUM,2017-10-31,255.35,255.35
100,HUM,2017-10-30,255.66,255.66
101,HUM,2017-10-27,258.97,258.97
102,HUM,2017-10-26,251.52,251.52
103,HUM,2017-10-25,248.4,248.4
104,HUM,2017-10-24,246.49,246.49
105,HUM,2017-10-23,246.13,246.13
106,HUM,2017-10-20,245.81,245.81
107,HUM,2017-10-19,242.69,242.69
108,HUM,2017-10-18,241.31,241.31
109,HUM,2017-10-17,240.43,240.43
110,HUM,2017-10-16,237.17,237.17
111,HUM,2017-10-13,237.73,237.73
112,HUM,2017-10-12,241.44,241.44
113,HUM,2017-10-11,240.38,240.38
114,HUM,2017-10-10,240.49,240.49
115,HUM,2017-10-09,240.41,240.41
116,HUM,2017-10-06,246.9,246.9
117,HUM,2017-10-05,245.36,245.36
118,HUM,2017-10-04,246.51,246.51
119,HUM,2017-10-03,247.39,247.39
120,HUM,2017-10-02,245.0,245.0
121,HUM,2017-09-29,243.63,243.63
122,HUM,2017-09-28,242.75,242.75
123,HUM,2017-09-27,238.87,238.47704092124
124,HUM,2017-09-26,239.21,238.81648159572
125,HUM,2017-09-25,237.21,236.81977174584
126,HUM,2017-09-22,239.09,238.69667900473
127,HUM,2017-09-21,238.64,238.24741928851
128,HUM,2017-09-20,239.68,239.28570841045
129,HUM,2017-09-19,240.04,239.64511618343
130,HUM,2017-09-18,248.45,248.0412811022
131,HUM,2017-09-15,249.28,248.8699156899
132,HUM,2017-09-14,250.65,250.23766193708
133,HUM,2017-09-13,251.54,251.12619782028
134,HUM,2017-09-12,255.1,254.68034135307
135,HUM,2017-09-11,257.21,256.7868702447
136,HUM,2017-09-08,256.56,256.13793954349
137,HUM,2017-09-07,256.53,256.10798889574
138,HUM,2017-09-06,256.88,256.45741311947
139,HUM,2017-09-05,257.55,257.12631091919
140,HUM,2017-09-01,258.75,258.32433682912
141,HUM,2017-08-31,257.62,257.19619576393
142,HUM,2017-08-30,254.24,253.82175611762
143,HUM,2017-08-29,255.67,255.24940366029
144,HUM,2017-08-28,255.07,254.65039070533
145,HUM,2017-08-25,253.0,252.58379601069
146,HUM,2017-08-24,251.85,251.43568784701
147,HUM,2017-08-23,251.99,251.5754575365
148,HUM,2017-08-22,253.28,252.86333538968
149,HUM,2017-08-21,249.36,248.9497840839
150,HUM,2017-08-18,247.28,246.87320584002
151,HUM,2017-08-17,247.66,247.25258071149
152,HUM,2017-08-16,247.36,246.95307423401
153,HUM,2017-08-15,246.83,246.42394612379
154,HUM,2017-08-14,250.25,249.8383199671
155,HUM,2017-08-11,249.99,249.57874768661
156,HUM,2017-08-10,251.67,251.25598396052
157,HUM,2017-08-09,254.96,254.54057166358
158,HUM,2017-08-08,250.22,249.80836931935
159,HUM,2017-08-07,249.62,249.20935636438
160,HUM,2017-08-04,245.93,245.52542669134
161,HUM,2017-08-03,248.84,248.43063952293
162,HUM,2017-08-02,241.09,240.69338885462
163,HUM,2017-08-01,230.77,230.3903660292
164,HUM,2017-07-31,231.2,230.81965864693
165,HUM,2017-07-28,233.08,232.69656590582
166,HUM,2017-07-27,232.6,232.21735554185
167,HUM,2017-07-26,233.5,233.1158749743
168,HUM,2017-07-25,234.91,234.52355541847
169,HUM,2017-07-24,235.5,235.11258482418
170,HUM,2017-07-21,235.92,235.53189389266
171,HUM,2017-07-20,235.83,235.44204194941
172,HUM,2017-07-19,236.23,235.84138391939
173,HUM,2017-07-18,235.06,234.67330865721
174,HUM,2017-07-17,237.56,237.16919596957
175,HUM,2017-07-14,239.09,238.69667900473
176,HUM,2017-07-13,238.06,237.66837343204
177,HUM,2017-07-12,239.22,238.82646514497
178,HUM,2017-07-11,239.04,238.64676125848
179,HUM,2017-07-10,239.04,238.64676125848
180,HUM,2017-07-07,238.23,237.83809376928
181,HUM,2017-07-06,238.46,238.06771540202
182,HUM,2017-07-05,242.32,241.9213654123
183,HUM,2017-07-03,238.95,238.55690931524
184,HUM,2017-06-30,240.62,240.22416203989
185,HUM,2017-06-29,239.34,238.94626773597
186,HUM,2017-06-28,239.76,239.36557680444
187,HUM,2017-06-27,237.07,236.28579818883
188,HUM,2017-06-26,234.75,233.97347249685
189,HUM,2017-06-23,238.42,237.63133253546
190,HUM,2017-06-22,237.0,236.21602974123
191,HUM,2017-06-21,236.21,235.42864297542
192,HUM,2017-06-20,232.97,232.19936054352
193,HUM,2017-06-19,235.49,234.71102465722
194,HUM,2017-06-16,234.46,233.68443178535
195,HUM,2017-06-15,232.41,231.64121296269
196,HUM,2017-06-14,231.71,230.94352848666
197,HUM,2017-06-13,231.95,231.18273459273
198,HUM,2017-06-12,228.1,227.34546997457
199,HUM,2017-06-09,229.69,228.93021042727
200,HUM,2017-06-08,230.26,229.49832492918
201,HUM,2017-06-07,233.75,232.97678038823
202,HUM,2017-06-06,233.5,232.72760736108
203,HUM,2017-06-05,232.76,231.99005520071
204,HUM,2017-06-02,234.21,233.4352587582
205,HUM,2017-06-01,235.0,234.222645524
206,HUM,2017-05-31,232.26,231.4917091464
207,HUM,2017-05-30,230.37,229.60796106112
208,HUM,2017-05-26,232.25,231.48174222531
209,HUM,2017-05-25,232.23,231.46180838314
210,HUM,2017-05-24,231.61,230.8438592758
211,HUM,2017-05-23,229.28,228.52156666273
212,HUM,2017-05-22,230.3,229.53819261352
213,HUM,2017-05-19,227.89,227.13616463176
214,HUM,2017-05-18,228.81,228.05312137169
215,HUM,2017-05-17,224.92,224.17598906918
216,HUM,2017-05-16,226.2,225.45175496821
217,HUM,2017-05-15,231.11,230.3455132215
218,HUM,2017-05-12,231.99,231.22260227708
219,HUM,2017-05-11,230.73,229.96677022022
220,HUM,2017-05-10,230.8,230.03653866783
221,HUM,2017-05-09,230.59,229.82723332502
222,HUM,2017-05-08,229.25,228.49166589948
223,HUM,2017-05-05,229.76,228.99997887487
224,HUM,2017-05-04,228.85,228.09298905603
225,HUM,2017-05-03,224.02,223.27896617143
226,HUM,2017-05-02,225.6,224.85373970304
227,HUM,2017-05-01,223.37,222.63111630083
228,HUM,2017-04-28,221.98,221.24571426986
229,HUM,2017-04-27,218.67,217.94666339035
230,HUM,2017-04-26,219.35,218.62441402421
231,HUM,2017-04-25,217.94,217.21907815107
232,HUM,2017-04-24,213.76,213.05290513706
233,HUM,2017-04-21,213.67,212.96320284729
234,HUM,2017-04-20,214.24,213.5313173492
235,HUM,2017-04-19,213.11,212.40505526647
236,HUM,2017-04-18,211.7,210.99971939332
237,HUM,2017-04-17,212.77,212.06617994954
238,HUM,2017-04-13,211.8,211.09938860418
239,HUM,2017-04-12,212.99,212.28545221343
240,HUM,2017-04-11,212.9,212.19574992366
241,HUM,2017-04-10,212.58,211.8768084489
242,HUM,2017-04-07,210.75,210.05286189014
243,HUM,2017-04-06,212.6,211.89674229107
244,HUM,2017-04-05,210.07,209.37511125628
245,HUM,2017-04-04,211.05,210.35186952272
246,HUM,2017-04-03,209.77,209.0761036237
247,HUM,2017-03-31,206.14,205.45811126944
248,HUM,2017-03-30,206.87,206.18569650872
249,HUM,2017-03-29,206.03,205.34847513749
250,HUM,2017-03-28,206.63,205.54742730058
251,HUM,2017-03-27,203.48,202.41393073185
252,HUM,2017-03-24,207.27,206.18407422248
253,HUM,2017-03-23,209.91,208.81024277532
254,HUM,2017-03-22,213.33,212.21232476423
255,HUM,2017-03-21,213.55,212.43117214363
256,HUM,2017-03-20,215.4,214.27147965225
257,HUM,2017-03-17,218.9,217.7531425064
258,HUM,2017-03-16,219.25,218.10130879181
259,HUM,2017-03-15,219.08,217.93219945318
260,HUM,2017-03-14,218.0,216.85785777248
261,HUM,2017-03-13,219.18,218.03167553473
262,HUM,2017-03-10,217.93,216.78822451539
263,HUM,2017-03-09,217.79,216.64895800123
264,HUM,2017-03-08,217.45,216.31073932397
265,HUM,2017-03-07,217.95,216.8081197317
266,HUM,2017-03-06,212.74,211.6254158831
267,HUM,2017-03-03,213.97,212.84897168613
268,HUM,2017-03-02,212.57,211.45630654447
269,HUM,2017-03-01,213.99,212.86886690244
270,HUM,2017-02-28,211.25,210.14322226805
271,HUM,2017-02-27,208.75,207.65632022938
