None,ticker,date,close,adj_close
0,IDXX,2018-03-27,190.9,190.9
1,IDXX,2018-03-26,197.3,197.3
2,IDXX,2018-03-23,190.31,190.31
3,IDXX,2018-03-22,193.88,193.88
4,IDXX,2018-03-21,200.23,200.23
5,IDXX,2018-03-20,200.72,200.72
6,IDXX,2018-03-19,199.06,199.06
7,IDXX,2018-03-16,204.73,204.73
8,IDXX,2018-03-15,203.37,203.37
9,IDXX,2018-03-14,203.58,203.58
10,IDXX,2018-03-13,204.53,204.53
11,IDXX,2018-03-12,204.35,204.35
12,IDXX,2018-03-09,203.17,203.17
13,IDXX,2018-03-08,197.45,197.45
14,IDXX,2018-03-07,194.42,194.42
15,IDXX,2018-03-06,190.59,190.59
16,IDXX,2018-03-05,191.14,191.14
17,IDXX,2018-03-02,185.77,185.77
18,IDXX,2018-03-01,182.51,182.51
19,IDXX,2018-02-28,187.23,187.23
20,IDXX,2018-02-27,187.98,187.98
21,IDXX,2018-02-26,186.09,186.09
22,IDXX,2018-02-23,187.61,187.61
23,IDXX,2018-02-22,183.86,183.86
24,IDXX,2018-02-21,183.94,183.94
25,IDXX,2018-02-20,183.16,183.16
26,IDXX,2018-02-16,182.48,182.48
27,IDXX,2018-02-15,181.45,181.45
28,IDXX,2018-02-14,178.26,178.26
29,IDXX,2018-02-13,175.39,175.39
30,IDXX,2018-02-12,175.06,175.06
31,IDXX,2018-02-09,172.67,172.67
32,IDXX,2018-02-08,169.21,169.21
33,IDXX,2018-02-07,176.83,176.83
34,IDXX,2018-02-06,180.05,180.05
35,IDXX,2018-02-05,181.59,181.59
36,IDXX,2018-02-02,186.36,186.36
37,IDXX,2018-02-01,194.06,194.06
38,IDXX,2018-01-31,187.04,187.04
39,IDXX,2018-01-30,186.59,186.59
40,IDXX,2018-01-29,186.78,186.78
41,IDXX,2018-01-26,187.03,187.03
42,IDXX,2018-01-25,185.74,185.74
43,IDXX,2018-01-24,184.08,184.08
44,IDXX,2018-01-23,182.23,182.23
45,IDXX,2018-01-22,180.95,180.95
46,IDXX,2018-01-19,180.63,180.63
47,IDXX,2018-01-18,179.0,179.0
48,IDXX,2018-01-17,179.36,179.36
49,IDXX,2018-01-16,176.1,176.1
50,IDXX,2018-01-12,173.11,173.11
51,IDXX,2018-01-11,171.51,171.51
52,IDXX,2018-01-10,166.14,166.14
53,IDXX,2018-01-09,165.73,165.73
54,IDXX,2018-01-08,165.08,165.08
55,IDXX,2018-01-05,166.6,166.6
56,IDXX,2018-01-04,163.96,163.96
57,IDXX,2018-01-03,162.05,162.05
58,IDXX,2018-01-02,157.81,157.81
59,IDXX,2017-12-29,156.38,156.38
60,IDXX,2017-12-28,158.79,158.79
61,IDXX,2017-12-27,156.69,156.69
62,IDXX,2017-12-26,157.07,157.07
63,IDXX,2017-12-22,157.65,157.65
64,IDXX,2017-12-21,157.28,157.28
65,IDXX,2017-12-20,158.68,158.68
66,IDXX,2017-12-19,157.39,157.39
67,IDXX,2017-12-18,157.3,157.3
68,IDXX,2017-12-15,156.6,156.6
69,IDXX,2017-12-14,155.25,155.25
70,IDXX,2017-12-13,158.2,158.2
71,IDXX,2017-12-12,159.27,159.27
72,IDXX,2017-12-11,159.7,159.7
73,IDXX,2017-12-08,160.57,160.57
74,IDXX,2017-12-07,159.78,159.78
75,IDXX,2017-12-06,159.99,159.99
76,IDXX,2017-12-05,159.78,159.78
77,IDXX,2017-12-04,159.3,159.3
78,IDXX,2017-12-01,155.0,155.0
79,IDXX,2017-11-30,156.41,156.41
80,IDXX,2017-11-29,154.0,154.0
81,IDXX,2017-11-28,155.02,155.02
82,IDXX,2017-11-27,155.43,155.43
83,IDXX,2017-11-24,154.81,154.81
84,IDXX,2017-11-22,154.06,154.06
85,IDXX,2017-11-21,155.59,155.59
86,IDXX,2017-11-20,155.4,155.4
87,IDXX,2017-11-17,154.88,154.88
88,IDXX,2017-11-16,154.08,154.08
89,IDXX,2017-11-15,151.4,151.4
90,IDXX,2017-11-14,149.54,149.54
91,IDXX,2017-11-13,147.79,147.79
92,IDXX,2017-11-10,147.68,147.68
93,IDXX,2017-11-09,150.19,150.19
94,IDXX,2017-11-07,150.08,150.08
95,IDXX,2017-11-06,151.49,151.49
96,IDXX,2017-11-03,155.49,155.49
97,IDXX,2017-11-02,151.83,151.83
98,IDXX,2017-11-01,159.24,159.24
99,IDXX,2017-10-31,166.17,166.17
100,IDXX,2017-10-30,164.41,164.41
101,IDXX,2017-10-27,168.37,168.37
102,IDXX,2017-10-26,164.25,164.25
103,IDXX,2017-10-25,162.04,162.04
104,IDXX,2017-10-24,162.7,162.7
105,IDXX,2017-10-23,164.43,164.43
106,IDXX,2017-10-20,164.71,164.71
107,IDXX,2017-10-19,161.58,161.58
108,IDXX,2017-10-18,163.05,163.05
109,IDXX,2017-10-17,160.0,160.0
110,IDXX,2017-10-16,158.55,158.55
111,IDXX,2017-10-13,159.6,159.6
112,IDXX,2017-10-12,161.76,161.76
113,IDXX,2017-10-11,158.08,158.08
114,IDXX,2017-10-10,157.33,157.33
115,IDXX,2017-10-09,158.29,158.29
116,IDXX,2017-10-06,158.97,158.97
117,IDXX,2017-10-05,158.11,158.11
118,IDXX,2017-10-04,157.41,157.41
119,IDXX,2017-10-03,154.4,154.4
120,IDXX,2017-10-02,157.17,157.17
121,IDXX,2017-09-29,155.49,155.49
122,IDXX,2017-09-28,154.37,154.37
123,IDXX,2017-09-27,156.45,156.45
124,IDXX,2017-09-26,153.24,153.24
125,IDXX,2017-09-25,154.52,154.52
126,IDXX,2017-09-22,157.5,157.5
127,IDXX,2017-09-21,155.76,155.76
128,IDXX,2017-09-20,158.48,158.48
129,IDXX,2017-09-19,160.53,160.53
130,IDXX,2017-09-18,162.1,162.1
131,IDXX,2017-09-15,158.97,158.97
132,IDXX,2017-09-14,158.8,158.8
133,IDXX,2017-09-13,159.0,159.0
134,IDXX,2017-09-12,158.98,158.98
135,IDXX,2017-09-11,160.23,160.23
136,IDXX,2017-09-08,157.49,157.49
137,IDXX,2017-09-07,157.95,157.95
138,IDXX,2017-09-06,156.87,156.87
139,IDXX,2017-09-05,155.81,155.81
140,IDXX,2017-09-01,154.98,154.98
141,IDXX,2017-08-31,155.43,155.43
142,IDXX,2017-08-30,152.71,152.71
143,IDXX,2017-08-29,150.32,150.32
144,IDXX,2017-08-28,150.44,150.44
145,IDXX,2017-08-25,151.08,151.08
146,IDXX,2017-08-24,152.57,152.57
147,IDXX,2017-08-23,153.61,153.61
148,IDXX,2017-08-22,152.82,152.82
149,IDXX,2017-08-21,150.41,150.41
