None,ticker,date,close,adj_close
0,IFF,2018-03-27,135.4,135.4
1,IFF,2018-03-26,135.81,135.81
2,IFF,2018-03-23,132.6,132.6
3,IFF,2018-03-22,133.25,133.25
4,IFF,2018-03-21,136.08,136.08
5,IFF,2018-03-20,135.62,135.62
6,IFF,2018-03-19,137.84,137.84
7,IFF,2018-03-16,138.74,138.74
8,IFF,2018-03-15,139.03,139.03
9,IFF,2018-03-14,139.29,139.29
10,IFF,2018-03-13,141.29,141.29
11,IFF,2018-03-12,142.05,142.05
12,IFF,2018-03-09,141.01,141.01
13,IFF,2018-03-08,139.0,139.0
14,IFF,2018-03-07,139.32,139.32
15,IFF,2018-03-06,139.63,139.63
16,IFF,2018-03-05,138.57,138.57
17,IFF,2018-03-02,137.84,137.84
18,IFF,2018-03-01,138.38,138.38
19,IFF,2018-02-28,141.25,141.25
20,IFF,2018-02-27,142.58,142.58
21,IFF,2018-02-26,145.43,145.43
22,IFF,2018-02-23,145.82,145.82
23,IFF,2018-02-22,142.66,142.66
24,IFF,2018-02-21,141.44,141.44
25,IFF,2018-02-20,142.38,142.38
26,IFF,2018-02-16,141.83,141.83
27,IFF,2018-02-15,144.02,144.02
28,IFF,2018-02-14,144.85,144.85
29,IFF,2018-02-13,143.06,143.06
30,IFF,2018-02-12,142.42,142.42
31,IFF,2018-02-09,140.4,140.4
32,IFF,2018-02-08,138.0,138.0
33,IFF,2018-02-07,142.7,142.7
34,IFF,2018-02-06,142.41,142.41
35,IFF,2018-02-05,140.96,140.96
36,IFF,2018-02-02,146.13,146.13
37,IFF,2018-02-01,147.99,147.99
38,IFF,2018-01-31,150.3,150.3
39,IFF,2018-01-30,149.91,149.91
40,IFF,2018-01-29,150.9,150.9
41,IFF,2018-01-26,153.49,153.49
42,IFF,2018-01-25,154.85,154.85
43,IFF,2018-01-24,152.86,152.86
44,IFF,2018-01-23,153.01,153.01
45,IFF,2018-01-22,153.06,153.06
46,IFF,2018-01-19,155.19,155.19
47,IFF,2018-01-18,155.13,155.13
48,IFF,2018-01-17,156.55,156.55
49,IFF,2018-01-16,152.54,152.54
50,IFF,2018-01-12,153.7,153.7
51,IFF,2018-01-11,153.53,153.53
52,IFF,2018-01-10,153.78,153.78
53,IFF,2018-01-09,154.26,154.26
54,IFF,2018-01-08,155.83,155.83
55,IFF,2018-01-05,156.87,156.87
56,IFF,2018-01-04,153.76,153.76
57,IFF,2018-01-03,155.74,155.74
58,IFF,2018-01-02,154.56,154.56
59,IFF,2017-12-29,152.61,152.61
60,IFF,2017-12-28,153.77,153.77
61,IFF,2017-12-27,152.92,152.92
62,IFF,2017-12-26,152.24,152.24
63,IFF,2017-12-22,152.51,152.51
64,IFF,2017-12-21,151.86,151.86
65,IFF,2017-12-20,153.07,153.07
66,IFF,2017-12-19,154.4,154.4
67,IFF,2017-12-18,154.34,154.34
68,IFF,2017-12-15,154.17,154.17
69,IFF,2017-12-14,151.63,151.63
70,IFF,2017-12-13,153.04,153.04
71,IFF,2017-12-12,152.26,152.26
72,IFF,2017-12-11,152.3,152.3
73,IFF,2017-12-08,153.04,153.04
74,IFF,2017-12-07,153.26,153.26
75,IFF,2017-12-06,153.8,153.8
76,IFF,2017-12-05,154.97,154.97
77,IFF,2017-12-04,154.34,154.34
78,IFF,2017-12-01,154.7,154.7
79,IFF,2017-11-30,155.44,155.44
80,IFF,2017-11-29,154.56,154.56
81,IFF,2017-11-28,154.45,154.45
82,IFF,2017-11-27,151.47,151.47
83,IFF,2017-11-24,152.38,152.38
84,IFF,2017-11-22,150.98,150.98
85,IFF,2017-11-21,151.71,151.71
86,IFF,2017-11-20,149.94,149.94
87,IFF,2017-11-17,148.75,148.75
88,IFF,2017-11-16,148.59,148.59
89,IFF,2017-11-15,147.95,147.95
90,IFF,2017-11-14,150.65,150.65
91,IFF,2017-11-13,149.72,149.72
92,IFF,2017-11-10,146.77,146.77
93,IFF,2017-11-09,146.74,146.74
94,IFF,2017-11-07,149.99,149.99
95,IFF,2017-11-06,146.45,146.45
96,IFF,2017-11-03,148.31,148.31
97,IFF,2017-11-02,148.2,148.2
98,IFF,2017-11-01,148.32,148.32
99,IFF,2017-10-31,147.42,147.42
100,IFF,2017-10-30,146.77,146.77
101,IFF,2017-10-27,148.56,148.56
102,IFF,2017-10-26,150.0,150.0
103,IFF,2017-10-25,149.27,149.27
104,IFF,2017-10-24,149.05,149.05
105,IFF,2017-10-23,150.16,150.16
106,IFF,2017-10-20,150.36,150.36
107,IFF,2017-10-19,148.12,148.12
108,IFF,2017-10-18,147.28,147.28
109,IFF,2017-10-17,148.58,148.58
110,IFF,2017-10-16,149.78,149.78
111,IFF,2017-10-13,148.18,148.18
112,IFF,2017-10-12,147.59,147.59
113,IFF,2017-10-11,147.73,147.73
114,IFF,2017-10-10,148.26,148.26
115,IFF,2017-10-09,146.38,146.38
116,IFF,2017-10-06,145.63,145.63
117,IFF,2017-10-05,147.25,147.25
118,IFF,2017-10-04,146.65,146.65
119,IFF,2017-10-03,145.91,145.91
120,IFF,2017-10-02,144.47,144.47
121,IFF,2017-09-29,142.91,142.91
122,IFF,2017-09-28,142.6,142.6
123,IFF,2017-09-27,141.02,141.02
124,IFF,2017-09-26,143.83,143.83
125,IFF,2017-09-25,144.89,144.89
126,IFF,2017-09-22,144.21,144.21
127,IFF,2017-09-21,143.77,143.08538095238
128,IFF,2017-09-20,145.01,144.31947619048
129,IFF,2017-09-19,144.62,143.93133333333
130,IFF,2017-09-18,144.14,143.45361904762
131,IFF,2017-09-15,143.78,143.09533333333
132,IFF,2017-09-14,143.66,142.9759047619
133,IFF,2017-09-13,143.14,142.45838095238
134,IFF,2017-09-12,143.21,142.52804761905
135,IFF,2017-09-11,143.14,142.45838095238
136,IFF,2017-09-08,141.83,141.15461904762
137,IFF,2017-09-07,140.56,139.89066666667
138,IFF,2017-09-06,139.06,138.39780952381
139,IFF,2017-09-05,139.26,138.59685714286
140,IFF,2017-09-01,137.94,137.28314285714
141,IFF,2017-08-31,136.85,136.19833333333
142,IFF,2017-08-30,136.22,135.57133333333
143,IFF,2017-08-29,135.95,135.30261904762
144,IFF,2017-08-28,136.14,135.49171428571
145,IFF,2017-08-25,135.92,135.27276190476
146,IFF,2017-08-24,135.23,134.58604761905
147,IFF,2017-08-23,135.12,134.47657142857
148,IFF,2017-08-22,135.86,135.21304761905
149,IFF,2017-08-21,134.88,134.23771428571
150,IFF,2017-08-18,134.83,134.18795238095
151,IFF,2017-08-17,135.28,134.63580952381
152,IFF,2017-08-16,138.54,137.88028571429
153,IFF,2017-08-15,137.07,136.41728571429
154,IFF,2017-08-14,137.06,136.40733333333
155,IFF,2017-08-11,135.38,134.73533333333
156,IFF,2017-08-10,136.85,136.19833333333
157,IFF,2017-08-09,139.68,139.01485714286
158,IFF,2017-08-08,134.64,133.99885714286
159,IFF,2017-08-07,134.81,134.16804761905
160,IFF,2017-08-04,134.8,134.1580952381
161,IFF,2017-08-03,134.33,133.69033333333
162,IFF,2017-08-02,133.84,133.20266666667
163,IFF,2017-08-01,134.57,133.92919047619
164,IFF,2017-07-31,133.18,132.54580952381
165,IFF,2017-07-28,133.15,132.51595238095
166,IFF,2017-07-27,133.58,132.9439047619
167,IFF,2017-07-26,133.38,132.74485714286
168,IFF,2017-07-25,132.98,132.34676190476
169,IFF,2017-07-24,132.51,131.879
170,IFF,2017-07-21,133.01,132.37661904762
171,IFF,2017-07-20,133.37,132.7349047619
172,IFF,2017-07-19,135.23,134.58604761905
173,IFF,2017-07-18,135.06,134.41685714286
174,IFF,2017-07-17,133.88,133.24247619048
175,IFF,2017-07-14,133.73,133.09319047619
176,IFF,2017-07-13,132.73,132.09795238095
177,IFF,2017-07-12,133.56,132.924
178,IFF,2017-07-11,131.98,131.35152380952
179,IFF,2017-07-10,131.69,131.0629047619
180,IFF,2017-07-07,131.88,131.252
181,IFF,2017-07-06,132.16,131.53066666667
182,IFF,2017-07-05,134.21,133.5709047619
183,IFF,2017-07-03,134.9,134.25761904762
184,IFF,2017-06-30,135.0,134.35714285714
185,IFF,2017-06-29,133.48,132.84438095238
186,IFF,2017-06-28,135.91,135.26280952381
187,IFF,2017-06-27,135.37,134.72538095238
188,IFF,2017-06-26,137.07,136.41728571429
189,IFF,2017-06-23,136.15,135.50166666667
190,IFF,2017-06-22,135.13,134.48652380952
191,IFF,2017-06-21,136.08,134.79359328276
192,IFF,2017-06-20,136.19,134.90255341842
193,IFF,2017-06-19,136.14,134.85302608403
194,IFF,2017-06-16,134.58,133.30777325098
195,IFF,2017-06-15,135.09,133.81295206179
196,IFF,2017-06-14,136.51,135.21952835853
197,IFF,2017-06-13,136.5,135.20962289166
198,IFF,2017-06-12,136.44,135.15019009038
199,IFF,2017-06-09,137.2,135.90300557315
200,IFF,2017-06-08,135.69,134.4072800745
201,IFF,2017-06-07,137.87,136.56667185401
202,IFF,2017-06-06,138.8,137.48788027371
203,IFF,2017-06-05,139.45,138.13173562082
204,IFF,2017-06-02,139.24,137.92372081637
205,IFF,2017-06-01,138.18,136.87374132724
206,IFF,2017-05-31,137.89,136.58648278777
207,IFF,2017-05-30,136.99,135.6949907687
208,IFF,2017-05-26,138.44,137.13128346609
209,IFF,2017-05-25,138.41,137.10156706545
210,IFF,2017-05-24,137.9,136.59638825465
211,IFF,2017-05-23,136.52,135.22943382541
212,IFF,2017-05-22,135.85,134.56576754455
213,IFF,2017-05-19,134.81,133.53559898919
214,IFF,2017-05-18,134.26,132.99079831087
215,IFF,2017-05-17,133.15,131.89129148735
216,IFF,2017-05-16,133.16,131.90119695423
217,IFF,2017-05-15,132.49,131.23753067337
218,IFF,2017-05-12,130.71,129.474357569
219,IFF,2017-05-11,130.85,129.6130341053
220,IFF,2017-05-10,130.33,129.09794982761
221,IFF,2017-05-09,128.98,127.76071179902
222,IFF,2017-05-08,137.38,136.08130397696
223,IFF,2017-05-05,139.27,137.953437217
224,IFF,2017-05-04,138.47,137.16099986672
225,IFF,2017-05-03,138.83,137.51759667435
226,IFF,2017-05-02,138.22,136.91336319476
227,IFF,2017-05-01,138.98,137.66617867753
228,IFF,2017-04-28,138.59,137.27986546926
229,IFF,2017-04-27,139.73,138.40908869341
