None,ticker,date,close,adj_close
0,INCY,2018-03-27,85.03,85.03
1,INCY,2018-03-26,86.37,86.37
2,INCY,2018-03-23,83.06,83.06
3,INCY,2018-03-22,85.25,85.25
4,INCY,2018-03-21,88.79,88.79
5,INCY,2018-03-20,87.01,87.01
6,INCY,2018-03-19,86.27,86.27
7,INCY,2018-03-16,90.03,90.03
8,INCY,2018-03-15,88.69,88.69
9,INCY,2018-03-14,92.26,92.26
10,INCY,2018-03-13,94.63,94.63
11,INCY,2018-03-12,94.45,94.45
12,INCY,2018-03-09,94.23,94.23
13,INCY,2018-03-08,92.42,92.42
14,INCY,2018-03-07,91.7,91.7
15,INCY,2018-03-06,91.09,91.09
16,INCY,2018-03-05,90.97,90.97
17,INCY,2018-03-02,86.61,86.61
18,INCY,2018-03-01,83.09,83.09
19,INCY,2018-02-28,85.16,85.16
20,INCY,2018-02-27,86.57,86.57
21,INCY,2018-02-26,87.53,87.53
22,INCY,2018-02-23,87.8,87.8
23,INCY,2018-02-22,85.19,85.19
24,INCY,2018-02-21,84.71,84.71
25,INCY,2018-02-20,85.51,85.51
26,INCY,2018-02-16,86.03,86.03
27,INCY,2018-02-15,85.59,85.59
28,INCY,2018-02-14,88.17,88.17
29,INCY,2018-02-13,88.03,88.03
30,INCY,2018-02-12,87.52,87.52
31,INCY,2018-02-09,84.45,84.45
32,INCY,2018-02-08,83.88,83.88
33,INCY,2018-02-07,86.34,86.34
34,INCY,2018-02-06,88.11,88.11
35,INCY,2018-02-05,85.745,85.745
36,INCY,2018-02-02,85.92,85.92
37,INCY,2018-02-01,89.67,89.67
38,INCY,2018-01-31,90.29,90.29
39,INCY,2018-01-30,92.5,92.5
40,INCY,2018-01-29,93.54,93.54
41,INCY,2018-01-26,95.51,95.51
42,INCY,2018-01-25,94.26,94.26
43,INCY,2018-01-24,95.34,95.34
44,INCY,2018-01-23,94.63,94.63
45,INCY,2018-01-22,94.08,94.08
46,INCY,2018-01-19,93.16,93.16
47,INCY,2018-01-18,91.92,91.92
48,INCY,2018-01-17,90.31,90.31
49,INCY,2018-01-16,91.65,91.65
50,INCY,2018-01-12,94.07,94.07
51,INCY,2018-01-11,93.06,93.06
52,INCY,2018-01-10,96.62,96.62
53,INCY,2018-01-09,96.29,96.29
54,INCY,2018-01-08,100.81,100.81
55,INCY,2018-01-05,99.85,99.85
56,INCY,2018-01-04,98.44,98.44
57,INCY,2018-01-03,100.98,100.98
58,INCY,2018-01-02,100.89,100.89
59,INCY,2017-12-29,94.71,94.71
60,INCY,2017-12-28,95.38,95.38
61,INCY,2017-12-27,96.51,96.51
62,INCY,2017-12-26,95.4,95.4
63,INCY,2017-12-22,95.81,95.81
64,INCY,2017-12-21,96.36,96.36
65,INCY,2017-12-20,94.03,94.03
66,INCY,2017-12-19,95.02,95.02
67,INCY,2017-12-18,93.56,93.56
68,INCY,2017-12-15,96.41,96.41
69,INCY,2017-12-14,95.97,95.97
70,INCY,2017-12-13,98.1,98.1
71,INCY,2017-12-12,95.4,95.4
72,INCY,2017-12-11,97.25,97.25
73,INCY,2017-12-08,96.58,96.58
74,INCY,2017-12-07,94.83,94.83
75,INCY,2017-12-06,93.79,93.79
76,INCY,2017-12-05,93.71,93.71
77,INCY,2017-12-04,93.68,93.68
78,INCY,2017-12-01,97.94,97.94
79,INCY,2017-11-30,98.99,98.99
80,INCY,2017-11-29,95.96,95.96
81,INCY,2017-11-28,95.83,95.83
82,INCY,2017-11-27,97.86,97.86
83,INCY,2017-11-24,98.78,98.78
84,INCY,2017-11-22,99.0,99.0
85,INCY,2017-11-21,98.95,98.95
86,INCY,2017-11-20,98.95,98.95
87,INCY,2017-11-17,105.47,105.47
88,INCY,2017-11-16,106.48,106.48
89,INCY,2017-11-15,105.24,105.24
90,INCY,2017-11-14,105.12,105.12
91,INCY,2017-11-13,107.21,107.21
92,INCY,2017-11-10,104.76,104.76
93,INCY,2017-11-09,102.99,102.99
94,INCY,2017-11-07,108.14,108.14
95,INCY,2017-11-06,105.43,105.43
96,INCY,2017-11-03,105.08,105.08
97,INCY,2017-11-02,106.51,106.51
98,INCY,2017-11-01,107.96,107.96
99,INCY,2017-10-31,113.25,113.25
100,INCY,2017-10-30,114.24,114.24
101,INCY,2017-10-27,116.27,116.27
102,INCY,2017-10-26,115.56,115.56
103,INCY,2017-10-25,114.55,114.55
104,INCY,2017-10-24,114.04,114.04
105,INCY,2017-10-23,113.48,113.48
106,INCY,2017-10-20,114.19,114.19
107,INCY,2017-10-19,114.27,114.27
108,INCY,2017-10-18,115.14,115.14
109,INCY,2017-10-17,115.64,115.64
110,INCY,2017-10-16,116.6,116.6
111,INCY,2017-10-13,114.31,114.31
112,INCY,2017-10-12,112.73,112.73
113,INCY,2017-10-11,111.62,111.62
114,INCY,2017-10-10,114.77,114.77
115,INCY,2017-10-09,113.99,113.99
116,INCY,2017-10-06,114.7,114.7
117,INCY,2017-10-05,113.57,113.57
118,INCY,2017-10-04,113.83,113.83
119,INCY,2017-10-03,112.8,112.8
120,INCY,2017-10-02,115.19,115.19
121,INCY,2017-09-29,116.74,116.74
122,INCY,2017-09-28,113.14,113.14
123,INCY,2017-09-27,110.31,110.31
124,INCY,2017-09-26,109.15,109.15
125,INCY,2017-09-25,109.69,109.69
126,INCY,2017-09-22,110.85,110.85
127,INCY,2017-09-21,115.05,115.05
128,INCY,2017-09-20,114.87,114.87
129,INCY,2017-09-19,117.09,117.09
130,INCY,2017-09-18,118.46,118.46
131,INCY,2017-09-15,119.15,119.15
132,INCY,2017-09-14,119.76,119.76
