None,ticker,date,close,adj_close
0,INTC,2018-03-27,51.19,51.19
1,INTC,2018-03-26,52.48,52.48
2,INTC,2018-03-23,49.36,49.36
3,INTC,2018-03-22,50.83,50.83
4,INTC,2018-03-21,51.56,51.56
5,INTC,2018-03-20,51.55,51.55
6,INTC,2018-03-19,50.83,50.83
7,INTC,2018-03-16,51.17,51.17
8,INTC,2018-03-15,50.88,50.88
9,INTC,2018-03-14,51.86,51.86
10,INTC,2018-03-13,51.78,51.78
11,INTC,2018-03-12,51.52,51.52
12,INTC,2018-03-09,52.19,52.19
13,INTC,2018-03-08,50.74,50.74
14,INTC,2018-03-07,51.32,51.32
15,INTC,2018-03-06,50.71,50.71
16,INTC,2018-03-05,49.75,49.75
17,INTC,2018-03-02,48.98,48.98
18,INTC,2018-03-01,47.84,47.84
19,INTC,2018-02-28,49.29,49.29
20,INTC,2018-02-27,49.91,49.91
21,INTC,2018-02-26,49.11,49.11
22,INTC,2018-02-23,47.73,47.73
23,INTC,2018-02-22,45.8,45.8
24,INTC,2018-02-21,45.94,45.94
25,INTC,2018-02-20,46.32,46.32
26,INTC,2018-02-16,45.56,45.56
27,INTC,2018-02-15,45.92,45.92
28,INTC,2018-02-14,45.38,45.38
29,INTC,2018-02-13,44.46,44.46
30,INTC,2018-02-12,44.83,44.83
31,INTC,2018-02-09,43.87,43.87
32,INTC,2018-02-08,42.75,42.75
33,INTC,2018-02-07,45.2,45.2
34,INTC,2018-02-06,44.91,44.91
35,INTC,2018-02-05,44.88,44.88
36,INTC,2018-02-02,46.15,46.15
37,INTC,2018-02-01,47.65,47.65
38,INTC,2018-01-31,48.14,48.14
39,INTC,2018-01-30,48.79,48.79
40,INTC,2018-01-29,49.98,49.98
41,INTC,2018-01-26,50.08,50.08
42,INTC,2018-01-25,45.3,45.3
43,INTC,2018-01-24,45.5,45.5
44,INTC,2018-01-23,46.06,46.06
45,INTC,2018-01-22,45.75,45.75
46,INTC,2018-01-19,44.82,44.82
47,INTC,2018-01-18,44.48,44.48
48,INTC,2018-01-17,44.39,44.39
49,INTC,2018-01-16,43.14,43.14
50,INTC,2018-01-12,43.21,43.21
51,INTC,2018-01-11,43.41,43.41
52,INTC,2018-01-10,42.5,42.5
53,INTC,2018-01-09,43.62,43.62
54,INTC,2018-01-08,44.74,44.74
55,INTC,2018-01-05,44.74,44.74
56,INTC,2018-01-04,44.43,44.43
57,INTC,2018-01-03,45.26,45.26
58,INTC,2018-01-02,46.83,46.83
59,INTC,2017-12-29,46.16,46.16
60,INTC,2017-12-28,46.22,46.22
61,INTC,2017-12-27,46.11,46.11
62,INTC,2017-12-26,46.08,46.08
63,INTC,2017-12-22,46.7,46.7
64,INTC,2017-12-21,46.76,46.76
65,INTC,2017-12-20,47.56,47.56
66,INTC,2017-12-19,47.04,47.04
67,INTC,2017-12-18,46.26,46.26
68,INTC,2017-12-15,44.56,44.56
69,INTC,2017-12-14,43.26,43.26
70,INTC,2017-12-13,43.34,43.34
71,INTC,2017-12-12,43.33,43.33
72,INTC,2017-12-11,43.66,43.66
73,INTC,2017-12-08,43.35,43.35
74,INTC,2017-12-07,43.08,43.08
75,INTC,2017-12-06,43.45,43.45
76,INTC,2017-12-05,43.44,43.44
77,INTC,2017-12-04,44.49,44.49
78,INTC,2017-12-01,44.68,44.68
79,INTC,2017-11-30,44.84,44.84
80,INTC,2017-11-29,43.95,43.95
81,INTC,2017-11-28,44.73,44.73
82,INTC,2017-11-27,44.49,44.49
83,INTC,2017-11-24,44.75,44.75
84,INTC,2017-11-22,44.65,44.65
85,INTC,2017-11-21,44.94,44.94
86,INTC,2017-11-20,44.62,44.62
87,INTC,2017-11-17,44.63,44.63
88,INTC,2017-11-16,45.65,45.65
89,INTC,2017-11-15,45.46,45.46
90,INTC,2017-11-14,45.86,45.86
91,INTC,2017-11-13,45.75,45.75
92,INTC,2017-11-10,45.58,45.58
93,INTC,2017-11-09,46.3,46.3
94,INTC,2017-11-07,46.78,46.78
95,INTC,2017-11-06,46.7,46.428586634875
96,INTC,2017-11-03,46.34,45.802923054949
97,INTC,2017-11-02,47.1,46.554114714892
98,INTC,2017-11-01,46.71,46.168634784132
99,INTC,2017-10-31,45.49,44.962774487908
100,INTC,2017-10-30,44.37,43.85575519957
101,INTC,2017-10-27,44.4,43.885407501937
102,INTC,2017-10-26,41.35,40.870756761376
103,INTC,2017-10-25,40.78,40.307363016418
104,INTC,2017-10-24,40.95,40.475392729827
105,INTC,2017-10-23,40.83,40.356783520362
106,INTC,2017-10-20,40.43,39.961419488813
107,INTC,2017-10-19,40.09,39.625360061996
108,INTC,2017-10-18,40.25,39.783505674616
109,INTC,2017-10-17,39.79,39.328837038335
110,INTC,2017-10-16,39.76,39.299184735968
111,INTC,2017-10-13,39.67,39.21022782887
112,INTC,2017-10-12,39.19,38.735790991011
113,INTC,2017-10-11,39.3,38.844516099687
114,INTC,2017-10-10,39.65,39.190459627292
115,INTC,2017-10-09,39.86,39.398025743856
116,INTC,2017-10-06,39.63,39.170691425715
117,INTC,2017-10-05,39.53,39.071850417828
118,INTC,2017-10-04,39.34,38.884052502842
119,INTC,2017-10-03,39.38,38.923588905997
120,INTC,2017-10-02,39.04,38.58752947918
121,INTC,2017-09-29,38.08,37.638655803463
122,INTC,2017-09-28,37.83,37.391553283745
123,INTC,2017-09-27,37.54,37.104914360872
124,INTC,2017-09-26,37.47,37.035725655351
125,INTC,2017-09-25,37.16,36.7293185309
126,INTC,2017-09-22,37.18,36.749086732477
127,INTC,2017-09-21,37.2,36.768854934055
128,INTC,2017-09-20,37.07,36.640361623802
129,INTC,2017-09-19,37.23,36.798507236421
130,INTC,2017-09-18,37.0,36.57117291828
131,INTC,2017-09-15,37.0,36.57117291828
132,INTC,2017-09-14,36.48,36.057199677267
133,INTC,2017-09-13,36.33,35.908938165436
134,INTC,2017-09-12,36.09,35.671719746507
135,INTC,2017-09-11,35.77,35.355428521267
136,INTC,2017-09-08,35.19,34.782150675521
137,INTC,2017-09-07,35.54,35.128094203127
138,INTC,2017-09-06,35.76,35.345544420479
139,INTC,2017-09-05,35.02,34.614120962113
140,INTC,2017-09-01,35.085,34.67836761724
141,INTC,2017-08-31,35.07,34.663541466057
142,INTC,2017-08-30,34.89,34.48562765186
143,INTC,2017-08-29,34.73,34.32748203924
144,INTC,2017-08-28,34.65,34.24840923293
145,INTC,2017-08-25,34.67,34.268177434508
146,INTC,2017-08-24,34.71,34.307713837663
147,INTC,2017-08-23,34.66,34.258293333719
148,INTC,2017-08-22,34.65,34.24840923293
149,INTC,2017-08-21,34.92,34.515279954226
150,INTC,2017-08-18,35.01,34.604236861324
151,INTC,2017-08-17,35.17,34.762382473944
152,INTC,2017-08-16,35.82,35.404849025211
153,INTC,2017-08-15,36.0,35.582762839408
154,INTC,2017-08-14,36.34,35.918822266225
155,INTC,2017-08-11,35.87,35.454269529155
156,INTC,2017-08-10,36.12,35.701372048873
157,INTC,2017-08-09,36.59,36.165924785943
158,INTC,2017-08-08,36.41,35.988010971746
159,INTC,2017-08-04,36.3,35.87928586307
160,INTC,2017-08-03,36.49,36.067083778056
161,INTC,2017-08-02,36.64,35.946412143404
162,INTC,2017-08-01,36.35,35.661901785282
163,INTC,2017-07-31,35.47,34.798560008912
164,INTC,2017-07-28,35.31,34.641588776845
165,INTC,2017-07-27,34.97,34.308024908702
166,INTC,2017-07-26,34.75,34.092189464609
167,INTC,2017-07-25,34.67,34.013703848576
168,INTC,2017-07-24,34.5,33.846921914504
169,INTC,2017-07-21,34.73,34.072568060601
170,INTC,2017-07-20,34.75,34.092189464609
171,INTC,2017-07-19,34.56,33.905786126529
172,INTC,2017-07-18,34.53,33.876354020517
173,INTC,2017-07-17,34.47,33.817489808492
174,INTC,2017-07-14,34.68,34.02351455058
175,INTC,2017-07-13,34.24,33.591843662395
176,INTC,2017-07-12,34.25,33.601654364399
177,INTC,2017-07-11,33.92,33.27790119826
178,INTC,2017-07-10,33.65,33.013012244147
179,INTC,2017-07-07,33.88,33.238658390243
180,INTC,2017-07-06,33.63,32.993390840138
181,INTC,2017-07-05,34.34,33.689950682437
182,INTC,2017-07-03,33.46,32.826608906067
183,INTC,2017-06-30,33.74,33.101308562185
184,INTC,2017-06-29,33.54,32.905094522101
185,INTC,2017-06-28,34.2,33.552600854378
186,INTC,2017-06-27,33.65,33.013012244147
187,INTC,2017-06-26,34.07,33.425061728323
188,INTC,2017-06-23,34.19,33.542790152374
189,INTC,2017-06-22,34.36,33.709572086445
190,INTC,2017-06-21,34.58,33.925407530538
191,INTC,2017-06-20,34.86,34.200107186655
192,INTC,2017-06-19,35.51,34.837802816929
193,INTC,2017-06-16,35.21,34.543481756803
194,INTC,2017-06-15,35.31,34.641588776845
