None,ticker,date,close,adj_close
0,INTU,2018-03-27,173.25,173.25
1,INTU,2018-03-26,174.53,174.53
2,INTU,2018-03-23,169.87,169.87
3,INTU,2018-03-22,174.83,174.83
4,INTU,2018-03-21,176.66,176.66
5,INTU,2018-03-20,178.15,178.15
6,INTU,2018-03-19,175.74,175.74
7,INTU,2018-03-16,178.59,178.59
8,INTU,2018-03-15,177.93,177.93
9,INTU,2018-03-14,177.29,177.29
10,INTU,2018-03-13,177.68,177.68
11,INTU,2018-03-12,177.33,177.33
12,INTU,2018-03-09,177.17,177.17
13,INTU,2018-03-08,171.47,171.47
14,INTU,2018-03-07,170.66,170.66
15,INTU,2018-03-06,169.46,169.46
16,INTU,2018-03-05,170.18,170.18
17,INTU,2018-03-02,168.84,168.84
18,INTU,2018-03-01,164.34,164.34
19,INTU,2018-02-28,166.86,166.86
20,INTU,2018-02-27,170.35,170.35
21,INTU,2018-02-26,172.67,172.67
22,INTU,2018-02-23,171.78,171.78
23,INTU,2018-02-22,172.1,172.1
24,INTU,2018-02-21,173.32,173.32
25,INTU,2018-02-20,173.57,173.57
26,INTU,2018-02-16,171.69,171.69
27,INTU,2018-02-15,169.31,169.31
28,INTU,2018-02-14,163.9,163.9
29,INTU,2018-02-13,159.36,159.36
30,INTU,2018-02-12,159.38,159.38
31,INTU,2018-02-09,157.03,157.03
32,INTU,2018-02-08,152.67,152.67
33,INTU,2018-02-07,161.29,161.29
34,INTU,2018-02-06,160.87,160.87
35,INTU,2018-02-05,158.71,158.71
36,INTU,2018-02-02,163.42,163.42
37,INTU,2018-02-01,165.65,165.65
38,INTU,2018-01-31,167.9,167.9
39,INTU,2018-01-30,168.5,168.5
40,INTU,2018-01-29,169.21,169.21
41,INTU,2018-01-26,170.44,170.44
42,INTU,2018-01-25,167.82,167.82
43,INTU,2018-01-24,167.55,167.55
44,INTU,2018-01-23,168.46,168.46
45,INTU,2018-01-22,168.67,168.67
46,INTU,2018-01-19,167.74,167.74
47,INTU,2018-01-18,164.4,164.4
48,INTU,2018-01-17,164.29,164.29
49,INTU,2018-01-16,162.29,162.29
50,INTU,2018-01-12,164.51,164.51
51,INTU,2018-01-11,163.0,163.0
52,INTU,2018-01-10,163.51,163.51
53,INTU,2018-01-09,164.85,164.85
54,INTU,2018-01-08,164.21,164.21
55,INTU,2018-01-05,164.11,164.11
56,INTU,2018-01-04,162.01,162.01
57,INTU,2018-01-03,159.16,159.16
58,INTU,2018-01-02,158.72,158.72
59,INTU,2017-12-29,157.78,157.78
60,INTU,2017-12-28,158.58,158.58
61,INTU,2017-12-27,158.73,158.73
62,INTU,2017-12-26,158.93,158.93
63,INTU,2017-12-22,158.5,158.5
64,INTU,2017-12-21,158.62,158.62
65,INTU,2017-12-20,159.35,159.35
66,INTU,2017-12-19,159.88,159.88
67,INTU,2017-12-18,161.13,161.13
68,INTU,2017-12-15,159.65,159.65
69,INTU,2017-12-14,156.19,156.19
70,INTU,2017-12-13,156.48,156.48
71,INTU,2017-12-12,155.85,155.85
72,INTU,2017-12-11,155.68,155.68
73,INTU,2017-12-08,155.23,155.23
74,INTU,2017-12-07,155.56,155.56
75,INTU,2017-12-06,156.19,156.19
76,INTU,2017-12-05,154.47,154.47
77,INTU,2017-12-04,154.54,154.54
78,INTU,2017-12-01,156.44,156.44
79,INTU,2017-11-30,157.22,157.22
80,INTU,2017-11-29,154.22,154.22
81,INTU,2017-11-28,155.79,155.79
82,INTU,2017-11-27,154.77,154.77
83,INTU,2017-11-24,153.91,153.91
84,INTU,2017-11-22,151.63,151.63
85,INTU,2017-11-21,151.79,151.79
86,INTU,2017-11-20,157.78,157.78
87,INTU,2017-11-17,156.55,156.55
88,INTU,2017-11-16,155.65,155.65
89,INTU,2017-11-15,153.86,153.86
90,INTU,2017-11-14,155.21,155.21
91,INTU,2017-11-13,154.89,154.89
92,INTU,2017-11-10,153.3,153.3
93,INTU,2017-11-09,152.41,152.41
94,INTU,2017-11-07,152.51,152.51
95,INTU,2017-11-06,152.68,152.68
96,INTU,2017-11-03,153.64,153.64
97,INTU,2017-11-02,152.15,152.15
98,INTU,2017-11-01,151.36,151.36
99,INTU,2017-10-31,151.02,151.02
100,INTU,2017-10-30,151.45,151.45
101,INTU,2017-10-27,153.46,153.46
102,INTU,2017-10-26,151.33,151.33
103,INTU,2017-10-25,149.46,149.46
104,INTU,2017-10-24,148.62,148.62
105,INTU,2017-10-23,147.32,147.32
106,INTU,2017-10-20,147.97,147.97
107,INTU,2017-10-19,146.62,146.62
108,INTU,2017-10-18,145.77,145.77
109,INTU,2017-10-17,145.5,145.5
110,INTU,2017-10-16,144.74,144.74
111,INTU,2017-10-13,145.65,145.65
112,INTU,2017-10-12,145.86,145.86
113,INTU,2017-10-11,143.66,143.66
114,INTU,2017-10-10,144.18,144.18
115,INTU,2017-10-09,143.96,143.96
116,INTU,2017-10-06,144.18,144.18
117,INTU,2017-10-05,142.86,142.47461299025
118,INTU,2017-10-04,142.67,142.28512554472
119,INTU,2017-10-03,141.85,141.46733762191
120,INTU,2017-10-02,141.74,141.35763436398
121,INTU,2017-09-29,142.14,141.75655530193
122,INTU,2017-09-28,142.31,141.92609670056
123,INTU,2017-09-27,144.36,143.97056650757
124,INTU,2017-09-26,144.77,144.37946046898
125,INTU,2017-09-25,144.74,144.34954139863
126,INTU,2017-09-22,146.32,145.92527910355
127,INTU,2017-09-21,144.49,144.10021581241
128,INTU,2017-09-20,144.97,144.57892093795
129,INTU,2017-09-19,145.34,144.94792280556
130,INTU,2017-09-18,143.8,143.41207719444
131,INTU,2017-09-15,142.13,141.74658227848
132,INTU,2017-09-14,142.08,141.69671716124
133,INTU,2017-09-13,142.06,141.67677111434
134,INTU,2017-09-12,142.38,141.9959078647
135,INTU,2017-09-11,142.64,142.25520647437
136,INTU,2017-09-08,141.56,141.1781199419
137,INTU,2017-09-07,141.0,140.61963062876
138,INTU,2017-09-06,141.14,140.75925295705
139,INTU,2017-09-05,141.54,141.158173895
140,INTU,2017-09-01,141.9,141.51720273916
141,INTU,2017-08-31,141.45,141.06841668396
142,INTU,2017-08-30,139.97,139.59240921353
143,INTU,2017-08-29,138.01,137.63769661756
144,INTU,2017-08-28,137.9,137.52799335962
145,INTU,2017-08-25,137.35,136.97947706993
146,INTU,2017-08-24,135.33,134.96492633326
147,INTU,2017-08-23,135.52,135.15441377879
148,INTU,2017-08-22,138.15,137.77731894584
149,INTU,2017-08-21,135.91,135.5433616933
150,INTU,2017-08-18,134.11,133.7482174725
151,INTU,2017-08-17,134.46,134.09727329321
152,INTU,2017-08-16,137.92,137.54793940652
153,INTU,2017-08-15,137.47,137.09915335132
154,INTU,2017-08-14,138.89,138.51532268105
155,INTU,2017-08-11,136.6,136.23150031127
156,INTU,2017-08-10,135.16,134.79538493463
157,INTU,2017-08-09,136.82,136.45090682714
158,INTU,2017-08-08,136.18,135.81263332642
159,INTU,2017-08-07,136.65,136.28136542851
160,INTU,2017-08-04,136.9,136.53069101473
161,INTU,2017-08-03,137.14,136.77004357751
162,INTU,2017-08-02,136.53,136.16168914713
163,INTU,2017-08-01,137.43,137.05926125752
164,INTU,2017-07-31,137.21,136.83985474165
165,INTU,2017-07-28,135.64,135.27409006018
166,INTU,2017-07-27,136.87,136.50077194439
167,INTU,2017-07-26,137.14,136.77004357751
168,INTU,2017-07-25,136.84,136.47085287404
169,INTU,2017-07-24,136.25,135.88244449056
170,INTU,2017-07-21,134.84,134.47624818427
171,INTU,2017-07-20,135.35,134.98487238016
172,INTU,2017-07-19,135.19,134.82530400498
173,INTU,2017-07-18,133.65,133.28945839386
174,INTU,2017-07-17,133.07,132.71102303382
175,INTU,2017-07-14,132.88,132.5215355883
176,INTU,2017-07-13,132.4,132.04283046275
177,INTU,2017-07-12,133.48,133.11991699523
178,INTU,2017-07-11,132.36,132.00293836896
179,INTU,2017-07-10,131.87,131.51426021996
