None,ticker,date,close,adj_close
0,IP,2018-03-27,52.13,52.13
1,IP,2018-03-26,52.37,52.37
2,IP,2018-03-23,50.15,50.15
3,IP,2018-03-22,51.41,51.41
4,IP,2018-03-21,53.53,53.53
5,IP,2018-03-20,53.2,53.2
6,IP,2018-03-19,53.22,53.22
7,IP,2018-03-16,54.57,54.57
8,IP,2018-03-15,54.42,54.42
9,IP,2018-03-14,54.75,54.75
10,IP,2018-03-13,55.0,55.0
11,IP,2018-03-12,54.98,54.98
12,IP,2018-03-09,55.24,55.24
13,IP,2018-03-08,54.9,54.9
14,IP,2018-03-07,55.0,55.0
15,IP,2018-03-06,57.7,57.7
16,IP,2018-03-05,58.94,58.94
17,IP,2018-03-02,58.47,58.47
18,IP,2018-03-01,58.36,58.36
19,IP,2018-02-28,59.59,59.59
20,IP,2018-02-27,60.16,60.16
21,IP,2018-02-26,60.57,60.57
22,IP,2018-02-23,59.5,59.5
23,IP,2018-02-22,58.31,58.31
24,IP,2018-02-21,58.4,58.4
25,IP,2018-02-20,58.0,58.0
26,IP,2018-02-16,58.94,58.94
27,IP,2018-02-15,58.6,58.6
28,IP,2018-02-14,58.38,58.38
29,IP,2018-02-13,58.03,58.03
30,IP,2018-02-12,57.88,57.88
31,IP,2018-02-09,57.2,57.2
32,IP,2018-02-08,56.05,56.05
33,IP,2018-02-07,59.25,59.25
34,IP,2018-02-06,59.57,59.57
35,IP,2018-02-05,59.44,59.44
36,IP,2018-02-02,62.17,62.17
37,IP,2018-02-01,61.67,61.67
38,IP,2018-01-31,62.86,62.86
39,IP,2018-01-30,64.2,64.2
40,IP,2018-01-29,65.08,65.08
41,IP,2018-01-26,64.75,64.75
42,IP,2018-01-25,63.4,63.4
43,IP,2018-01-24,63.66,63.66
44,IP,2018-01-23,63.32,63.32
45,IP,2018-01-22,63.46,63.46
46,IP,2018-01-19,63.5,63.5
47,IP,2018-01-18,62.62,62.62
48,IP,2018-01-17,61.49,61.49
49,IP,2018-01-16,61.23,61.23
50,IP,2018-01-12,62.26,62.26
51,IP,2018-01-11,62.23,62.23
52,IP,2018-01-10,61.62,61.62
53,IP,2018-01-09,61.49,61.49
54,IP,2018-01-08,62.13,62.13
55,IP,2018-01-05,61.7,61.7
56,IP,2018-01-04,61.58,61.58
57,IP,2018-01-03,60.56,60.56
58,IP,2018-01-02,59.77,59.77
59,IP,2017-12-29,57.94,57.94
60,IP,2017-12-28,57.83,57.83
61,IP,2017-12-27,57.65,57.65
62,IP,2017-12-26,57.49,57.49
63,IP,2017-12-22,57.98,57.98
64,IP,2017-12-21,57.48,57.48
65,IP,2017-12-20,57.97,57.97
66,IP,2017-12-19,57.76,57.76
67,IP,2017-12-18,57.41,57.41
68,IP,2017-12-15,56.25,56.25
69,IP,2017-12-14,55.18,55.18
70,IP,2017-12-13,56.48,56.48
71,IP,2017-12-12,56.63,56.63
72,IP,2017-12-11,57.32,57.32
73,IP,2017-12-08,56.91,56.91
74,IP,2017-12-07,56.8,56.8
75,IP,2017-12-06,56.8,56.8
76,IP,2017-12-05,56.92,56.92
77,IP,2017-12-04,56.88,56.88
78,IP,2017-12-01,55.63,55.63
79,IP,2017-11-30,56.61,56.61
80,IP,2017-11-29,55.52,55.52
81,IP,2017-11-28,55.58,55.58
82,IP,2017-11-27,55.04,55.04
83,IP,2017-11-24,54.92,54.92
84,IP,2017-11-22,54.75,54.75
85,IP,2017-11-21,54.71,54.71
86,IP,2017-11-20,54.15,54.15
87,IP,2017-11-17,54.21,54.21
88,IP,2017-11-16,54.07,54.07
89,IP,2017-11-15,53.89,53.89
90,IP,2017-11-14,54.33,54.33
91,IP,2017-11-13,54.39,54.39
92,IP,2017-11-10,54.85,54.85
93,IP,2017-11-09,54.93,54.93
94,IP,2017-11-07,55.25,55.25
95,IP,2017-11-06,55.81,55.81
96,IP,2017-11-03,57.12,57.12
97,IP,2017-11-02,57.5,57.5
98,IP,2017-11-01,57.72,57.72
99,IP,2017-10-31,57.27,57.27
100,IP,2017-10-30,57.19,57.19
101,IP,2017-10-27,57.95,57.95
102,IP,2017-10-26,58.0,58.0
103,IP,2017-10-25,58.005,58.005
104,IP,2017-10-24,58.67,58.67
105,IP,2017-10-23,58.25,58.25
106,IP,2017-10-20,58.21,58.21
107,IP,2017-10-19,57.61,57.61
108,IP,2017-10-18,58.02,58.02
109,IP,2017-10-17,58.14,58.14
110,IP,2017-10-16,57.72,57.72
111,IP,2017-10-13,57.45,57.45
112,IP,2017-10-12,57.23,57.23
113,IP,2017-10-11,57.39,57.39
114,IP,2017-10-10,57.64,57.64
115,IP,2017-10-09,57.03,57.03
116,IP,2017-10-06,57.45,57.45
117,IP,2017-10-05,57.71,57.71
118,IP,2017-10-04,57.78,57.78
119,IP,2017-10-03,57.39,57.39
120,IP,2017-10-02,57.38,57.38
121,IP,2017-09-29,56.82,56.82
122,IP,2017-09-28,56.87,56.87
123,IP,2017-09-27,56.65,56.65
124,IP,2017-09-26,55.9,55.9
125,IP,2017-09-25,55.67,55.67
126,IP,2017-09-22,56.05,56.05
127,IP,2017-09-21,57.29,57.29
128,IP,2017-09-20,57.84,57.84
129,IP,2017-09-19,57.5,57.5
130,IP,2017-09-18,57.05,57.05
131,IP,2017-09-15,56.23,56.23
132,IP,2017-09-14,56.26,56.26
133,IP,2017-09-13,56.15,56.15
134,IP,2017-09-12,56.02,56.02
135,IP,2017-09-11,56.1,56.1
136,IP,2017-09-08,54.78,54.78
137,IP,2017-09-07,54.69,54.69
138,IP,2017-09-06,54.88,54.88
139,IP,2017-09-05,54.79,54.79
140,IP,2017-09-01,54.91,54.91
141,IP,2017-08-31,53.87,53.87
142,IP,2017-08-30,53.86,53.86
143,IP,2017-08-29,53.2,53.2
144,IP,2017-08-28,53.86,53.86
145,IP,2017-08-25,54.59,54.59
146,IP,2017-08-24,53.89,53.89
147,IP,2017-08-23,53.67,53.67
148,IP,2017-08-22,53.75,53.75
149,IP,2017-08-21,53.18,53.18
150,IP,2017-08-18,54.29,54.29
151,IP,2017-08-17,53.94,53.94
