None,ticker,date,close,adj_close
0,IPG,2018-03-27,22.75,22.75
1,IPG,2018-03-26,22.73,22.73
2,IPG,2018-03-23,22.03,22.03
3,IPG,2018-03-22,22.23,22.23
4,IPG,2018-03-21,22.91,22.91
5,IPG,2018-03-20,22.88,22.88
6,IPG,2018-03-19,23.41,23.41
7,IPG,2018-03-16,23.58,23.58
8,IPG,2018-03-15,23.56,23.56
9,IPG,2018-03-14,23.44,23.44
10,IPG,2018-03-13,23.44,23.44
11,IPG,2018-03-12,23.73,23.73
12,IPG,2018-03-09,23.93,23.93
13,IPG,2018-03-08,23.65,23.65
14,IPG,2018-03-07,23.46,23.46
15,IPG,2018-03-06,23.67,23.67
16,IPG,2018-03-05,23.59,23.59
17,IPG,2018-03-02,23.58,23.58
18,IPG,2018-03-01,23.01,23.01
19,IPG,2018-02-28,23.4,23.4
20,IPG,2018-02-27,23.78,23.78
21,IPG,2018-02-26,24.5,24.5
22,IPG,2018-02-23,24.24,24.24
23,IPG,2018-02-22,23.94,23.94
24,IPG,2018-02-21,24.4,24.4
25,IPG,2018-02-20,24.7,24.7
26,IPG,2018-02-16,25.33,25.33
27,IPG,2018-02-15,25.06,25.06
28,IPG,2018-02-14,24.49,24.49
29,IPG,2018-02-13,22.22,22.22
30,IPG,2018-02-12,21.91,21.91
31,IPG,2018-02-09,21.74,21.74
32,IPG,2018-02-08,21.34,21.34
33,IPG,2018-02-07,21.3,21.3
34,IPG,2018-02-06,20.98,20.98
35,IPG,2018-02-05,20.77,20.77
36,IPG,2018-02-02,21.29,21.29
37,IPG,2018-02-01,21.77,21.77
38,IPG,2018-01-31,21.89,21.89
39,IPG,2018-01-30,21.7,21.7
40,IPG,2018-01-29,21.76,21.76
41,IPG,2018-01-26,21.91,21.91
42,IPG,2018-01-25,21.36,21.36
43,IPG,2018-01-24,21.82,21.82
44,IPG,2018-01-23,21.73,21.73
45,IPG,2018-01-22,21.96,21.96
46,IPG,2018-01-19,21.35,21.35
47,IPG,2018-01-18,21.6,21.6
48,IPG,2018-01-17,21.58,21.58
49,IPG,2018-01-16,21.22,21.22
50,IPG,2018-01-12,21.74,21.74
51,IPG,2018-01-11,21.46,21.46
52,IPG,2018-01-10,20.9,20.9
53,IPG,2018-01-09,20.31,20.31
54,IPG,2018-01-08,20.35,20.35
55,IPG,2018-01-05,20.19,20.19
56,IPG,2018-01-04,20.17,20.17
57,IPG,2018-01-03,19.76,19.76
58,IPG,2018-01-02,20.25,20.25
59,IPG,2017-12-29,20.16,20.16
60,IPG,2017-12-28,20.37,20.37
61,IPG,2017-12-27,20.26,20.26
62,IPG,2017-12-26,20.23,20.23
63,IPG,2017-12-22,20.39,20.39
64,IPG,2017-12-21,20.23,20.23
65,IPG,2017-12-20,20.15,20.15
66,IPG,2017-12-19,20.39,20.39
67,IPG,2017-12-18,20.33,20.33
68,IPG,2017-12-15,20.46,20.46
69,IPG,2017-12-14,20.18,20.18
70,IPG,2017-12-13,20.15,20.15
71,IPG,2017-12-12,20.47,20.47
72,IPG,2017-12-11,20.2,20.2
73,IPG,2017-12-08,20.22,20.22
74,IPG,2017-12-07,20.19,20.19
75,IPG,2017-12-06,20.33,20.33
76,IPG,2017-12-05,20.57,20.57
