None,ticker,date,close,adj_close
0,IRM,2018-03-27,31.9,31.9
1,IRM,2018-03-26,31.27,31.27
2,IRM,2018-03-23,30.89,30.89
3,IRM,2018-03-22,31.64,31.64
4,IRM,2018-03-21,31.61,31.61
5,IRM,2018-03-20,31.73,31.73
6,IRM,2018-03-19,31.46,31.46
7,IRM,2018-03-16,32.52,32.52
8,IRM,2018-03-15,32.89,32.89
9,IRM,2018-03-14,32.98,32.98
10,IRM,2018-03-13,33.22,33.22
11,IRM,2018-03-12,33.01,33.01
12,IRM,2018-03-09,33.25,33.25
13,IRM,2018-03-08,32.71,32.71
14,IRM,2018-03-07,32.71,32.71
15,IRM,2018-03-06,32.39,32.39
16,IRM,2018-03-05,32.1,32.1
17,IRM,2018-03-02,31.55,31.55
18,IRM,2018-03-01,31.63,31.63
19,IRM,2018-02-28,31.46,31.46
20,IRM,2018-02-27,31.05,31.05
21,IRM,2018-02-26,31.95,31.95
22,IRM,2018-02-23,31.96,31.96
23,IRM,2018-02-22,31.58,31.58
24,IRM,2018-02-21,31.47,31.47
25,IRM,2018-02-20,32.12,32.12
26,IRM,2018-02-16,33.17,33.17
27,IRM,2018-02-15,33.72,33.72
28,IRM,2018-02-14,33.19,33.19
29,IRM,2018-02-13,33.54,33.54
30,IRM,2018-02-12,33.3,33.3
31,IRM,2018-02-09,33.1,33.1
32,IRM,2018-02-08,32.07,32.07
33,IRM,2018-02-07,33.18,33.18
34,IRM,2018-02-06,33.11,33.11
35,IRM,2018-02-05,32.73,32.73
36,IRM,2018-02-02,33.66,33.66
37,IRM,2018-02-01,34.62,34.62
38,IRM,2018-01-31,35.03,35.03
39,IRM,2018-01-30,33.93,33.93
40,IRM,2018-01-29,34.08,34.08
41,IRM,2018-01-26,35.76,35.76
42,IRM,2018-01-25,35.82,35.82
43,IRM,2018-01-24,35.77,35.77
44,IRM,2018-01-23,36.35,36.35
45,IRM,2018-01-22,35.81,35.81
46,IRM,2018-01-19,35.49,35.49
47,IRM,2018-01-18,35.3,35.3
48,IRM,2018-01-17,36.33,36.33
49,IRM,2018-01-16,36.23,36.23
50,IRM,2018-01-12,36.22,36.22
51,IRM,2018-01-11,36.58,36.58
52,IRM,2018-01-10,36.55,36.55
53,IRM,2018-01-09,36.83,36.83
54,IRM,2018-01-08,37.04,37.04
55,IRM,2018-01-05,36.8,36.8
56,IRM,2018-01-04,36.92,36.92
57,IRM,2018-01-03,37.1,37.1
58,IRM,2018-01-02,37.61,37.61
59,IRM,2017-12-29,37.73,37.73
60,IRM,2017-12-28,37.98,37.98
61,IRM,2017-12-27,37.45,37.45
62,IRM,2017-12-26,37.66,37.66
63,IRM,2017-12-22,37.66,37.66
64,IRM,2017-12-21,37.15,37.15
65,IRM,2017-12-20,37.18,37.18
66,IRM,2017-12-19,37.95,37.95
67,IRM,2017-12-18,37.94,37.94
68,IRM,2017-12-15,37.68,37.68
69,IRM,2017-12-14,37.96,37.96
70,IRM,2017-12-13,38.34,38.34
71,IRM,2017-12-12,37.8,37.8
72,IRM,2017-12-11,40.7,40.7
73,IRM,2017-12-08,40.12,40.12
74,IRM,2017-12-07,39.99,39.99
75,IRM,2017-12-06,40.07,40.07
76,IRM,2017-12-05,40.35,40.35
77,IRM,2017-12-04,40.53,40.53
78,IRM,2017-12-01,40.75,40.75
79,IRM,2017-11-30,40.87,40.87
80,IRM,2017-11-29,40.52,40.52
81,IRM,2017-11-28,40.68,40.68
82,IRM,2017-11-27,40.5,40.5
83,IRM,2017-11-24,41.44,41.44
84,IRM,2017-11-22,41.14,41.14
85,IRM,2017-11-21,41.35,41.35
86,IRM,2017-11-20,40.92,40.92
87,IRM,2017-11-17,40.77,40.77
88,IRM,2017-11-16,40.82,40.82
89,IRM,2017-11-15,40.53,40.53
90,IRM,2017-11-14,41.0,41.0
91,IRM,2017-11-13,40.99,40.99
92,IRM,2017-11-10,40.66,40.66
93,IRM,2017-11-09,40.63,40.63
94,IRM,2017-11-07,40.6,40.6
95,IRM,2017-11-06,40.64,40.64
96,IRM,2017-11-03,40.12,40.12
97,IRM,2017-11-02,39.89,39.89
98,IRM,2017-11-01,39.81,39.81
99,IRM,2017-10-31,40.0,40.0
100,IRM,2017-10-30,40.11,40.11
101,IRM,2017-10-27,40.0,40.0
102,IRM,2017-10-26,39.66,39.66
103,IRM,2017-10-25,39.81,39.81
104,IRM,2017-10-24,39.9,39.9
105,IRM,2017-10-23,40.06,40.06
106,IRM,2017-10-20,40.92,40.92
107,IRM,2017-10-19,40.96,40.96
108,IRM,2017-10-18,40.79,40.79
109,IRM,2017-10-17,40.11,40.11
110,IRM,2017-10-16,39.81,39.81
111,IRM,2017-10-13,39.86,39.86
112,IRM,2017-10-12,39.81,39.81
113,IRM,2017-10-11,38.94,38.94
114,IRM,2017-10-10,38.8,38.8
115,IRM,2017-10-09,38.32,38.32
116,IRM,2017-10-06,38.12,38.12
117,IRM,2017-10-05,39.01,39.01
118,IRM,2017-10-04,39.02,39.02
119,IRM,2017-10-03,38.95,38.95
120,IRM,2017-10-02,39.25,39.25
121,IRM,2017-09-29,38.9,38.9
122,IRM,2017-09-28,38.78,38.78
123,IRM,2017-09-27,38.13,38.13
124,IRM,2017-09-26,39.36,39.36
125,IRM,2017-09-25,40.08,40.08
126,IRM,2017-09-22,40.13,40.13
127,IRM,2017-09-21,39.77,39.77
128,IRM,2017-09-20,39.72,39.72
129,IRM,2017-09-19,39.84,39.84
130,IRM,2017-09-18,39.42,39.42
131,IRM,2017-09-15,39.47,39.47
132,IRM,2017-09-14,39.15,39.15
133,IRM,2017-09-13,39.71,39.159861460957
134,IRM,2017-09-12,40.14,39.583904282116
135,IRM,2017-09-11,40.38,39.820579345088
136,IRM,2017-09-08,40.04,39.485289672544
137,IRM,2017-09-07,39.87,39.317644836272
138,IRM,2017-09-06,39.24,38.69637279597
139,IRM,2017-09-05,39.56,39.011939546599
140,IRM,2017-09-01,39.44,38.893602015113
141,IRM,2017-08-31,39.42,38.873879093199
142,IRM,2017-08-30,39.51,38.962632241814
143,IRM,2017-08-29,39.24,38.69637279597
144,IRM,2017-08-28,39.06,38.518866498741
145,IRM,2017-08-25,38.47,37.937040302267
146,IRM,2017-08-24,38.53,37.99620906801
147,IRM,2017-08-23,38.39,37.85814861461
148,IRM,2017-08-22,37.73,37.207292191436
149,IRM,2017-08-21,37.58,37.059370277078
150,IRM,2017-08-18,36.89,36.378929471033
151,IRM,2017-08-17,37.13,36.615604534005
152,IRM,2017-08-16,37.49,36.970617128463
153,IRM,2017-08-15,37.39,36.872002518892
154,IRM,2017-08-14,37.63,37.108677581864
155,IRM,2017-08-11,37.13,36.615604534005
156,IRM,2017-08-10,37.83,37.305906801008
157,IRM,2017-08-09,38.31,37.779256926952
158,IRM,2017-08-08,37.18,36.664911838791
159,IRM,2017-08-07,37.12,36.605743073048
160,IRM,2017-08-04,37.0,36.487405541562
161,IRM,2017-08-03,37.4,36.881863979849
162,IRM,2017-08-02,36.92,36.408513853904
163,IRM,2017-08-01,36.87,36.359206549118
164,IRM,2017-07-31,36.43,35.925302267003
165,IRM,2017-07-28,35.19,34.702481108312
166,IRM,2017-07-27,34.76,34.278438287154
167,IRM,2017-07-26,34.96,34.475667506297
168,IRM,2017-07-25,34.86,34.377052896725
169,IRM,2017-07-24,34.89,34.406637279597
170,IRM,2017-07-21,35.0,34.515113350126
171,IRM,2017-07-20,34.69,34.209408060453
172,IRM,2017-07-19,34.95,34.46580604534
173,IRM,2017-07-18,34.68,34.199546599496
174,IRM,2017-07-17,34.74,34.258715365239
175,IRM,2017-07-14,34.78,34.298161209068
176,IRM,2017-07-13,33.94,33.469798488665
177,IRM,2017-07-12,33.99,33.519105793451
178,IRM,2017-07-11,33.34,32.878110831234
179,IRM,2017-07-10,33.46,32.99644836272
180,IRM,2017-07-07,34.43,33.953010075567
181,IRM,2017-07-06,34.07,33.597997481108
182,IRM,2017-07-05,34.52,34.041763224181
183,IRM,2017-07-03,34.88,34.39677581864
184,IRM,2017-06-30,34.36,33.883979848867
185,IRM,2017-06-29,34.19,33.716335012594
186,IRM,2017-06-28,34.72,34.238992443325
187,IRM,2017-06-27,34.27,33.795226700252
188,IRM,2017-06-26,34.75,34.268576826196
189,IRM,2017-06-23,34.52,34.041763224181
190,IRM,2017-06-22,34.12,33.647304785894
191,IRM,2017-06-21,34.05,33.578274559194
192,IRM,2017-06-20,34.81,34.32774559194
193,IRM,2017-06-19,34.72,34.238992443325
194,IRM,2017-06-16,34.21,33.736057934509
195,IRM,2017-06-15,34.62,34.140377833753
196,IRM,2017-06-14,34.19,33.716335012594
197,IRM,2017-06-13,34.21,33.736057934509
198,IRM,2017-06-12,34.3,33.289608376112
199,IRM,2017-06-09,33.31,32.328771283041
200,IRM,2017-06-08,33.45,32.464647235596
201,IRM,2017-06-07,33.69,32.697577439977
202,IRM,2017-06-06,35.0,33.96898813889
203,IRM,2017-06-05,34.81,33.784585060422
204,IRM,2017-06-02,35.26,34.221329193636
205,IRM,2017-06-01,34.99,33.959282713707
206,IRM,2017-05-31,34.92,33.891344737429
207,IRM,2017-05-30,35.04,34.00780983962
208,IRM,2017-05-26,35.17,34.133980366993
209,IRM,2017-05-25,35.08,34.04663154035
210,IRM,2017-05-24,34.8,33.774879635239
211,IRM,2017-05-23,34.72,33.697236233779
212,IRM,2017-05-22,34.81,33.784585060422
213,IRM,2017-05-19,34.98,33.949577288525
214,IRM,2017-05-18,35.41,34.366910571374
215,IRM,2017-05-17,35.26,34.221329193636
216,IRM,2017-05-16,34.95,33.920461012977
217,IRM,2017-05-15,34.67,33.648709107866
218,IRM,2017-05-12,34.57,33.551654856041
219,IRM,2017-05-11,34.86,33.833112186334
220,IRM,2017-05-10,35.08,34.04663154035
221,IRM,2017-05-09,34.8,33.774879635239
222,IRM,2017-05-08,34.9,33.871933887064
223,IRM,2017-05-05,35.26,34.221329193636
224,IRM,2017-05-04,34.75,33.726352509326
225,IRM,2017-05-03,34.69,33.668119958231
226,IRM,2017-05-02,35.33,34.289267169914
227,IRM,2017-05-01,35.19,34.153391217358
228,IRM,2017-04-28,34.76,33.736057934509
229,IRM,2017-04-27,34.86,33.833112186334
230,IRM,2017-04-26,36.1,35.036584908969
231,IRM,2017-04-25,36.55,35.473329042183
232,IRM,2017-04-24,36.47,35.395685640723
233,IRM,2017-04-21,36.34,35.26951511335
234,IRM,2017-04-20,36.52,35.444212766636
235,IRM,2017-04-19,36.2,35.133639160795
236,IRM,2017-04-18,36.54,35.463623617001
237,IRM,2017-04-17,35.89,34.832770980136
