None,ticker,date,close,adj_close
0,IVZ,2018-03-27,31.36,31.36
1,IVZ,2018-03-26,32.13,32.13
2,IVZ,2018-03-23,30.72,30.72
3,IVZ,2018-03-22,31.45,31.45
4,IVZ,2018-03-21,32.94,32.94
5,IVZ,2018-03-20,32.53,32.53
6,IVZ,2018-03-19,32.64,32.64
7,IVZ,2018-03-16,33.2,33.2
8,IVZ,2018-03-15,32.92,32.92
9,IVZ,2018-03-14,33.27,33.27
10,IVZ,2018-03-13,34.11,34.11
11,IVZ,2018-03-12,34.52,34.52
12,IVZ,2018-03-09,34.52,34.52
13,IVZ,2018-03-08,33.9,33.9
14,IVZ,2018-03-07,33.34,33.34
15,IVZ,2018-03-06,33.12,33.12
16,IVZ,2018-03-05,32.67,32.67
17,IVZ,2018-03-02,32.21,32.21
18,IVZ,2018-03-01,31.81,31.81
19,IVZ,2018-02-28,32.54,32.54
20,IVZ,2018-02-27,33.02,33.02
21,IVZ,2018-02-26,33.84,33.84
22,IVZ,2018-02-23,33.19,33.19
23,IVZ,2018-02-22,32.94,32.94
24,IVZ,2018-02-21,33.22,33.22
25,IVZ,2018-02-20,33.21,33.21
26,IVZ,2018-02-16,33.92,33.92
27,IVZ,2018-02-15,33.19,33.19
28,IVZ,2018-02-14,33.17,33.17
29,IVZ,2018-02-13,32.51,32.51
30,IVZ,2018-02-12,32.52,32.52
31,IVZ,2018-02-09,32.44,32.44
32,IVZ,2018-02-08,31.92,31.92
33,IVZ,2018-02-07,33.46,33.46
34,IVZ,2018-02-06,33.61,33.61
35,IVZ,2018-02-05,33.17,33.17
36,IVZ,2018-02-02,35.16,35.16
37,IVZ,2018-02-01,36.03,36.03
38,IVZ,2018-01-31,36.13,36.13
39,IVZ,2018-01-30,36.68,36.68
40,IVZ,2018-01-29,37.48,37.48
41,IVZ,2018-01-26,38.4,38.4
42,IVZ,2018-01-25,37.59,37.59
43,IVZ,2018-01-24,37.61,37.61
44,IVZ,2018-01-23,37.61,37.61
45,IVZ,2018-01-22,37.87,37.87
46,IVZ,2018-01-19,38.13,38.13
47,IVZ,2018-01-18,37.86,37.86
48,IVZ,2018-01-17,38.08,38.08
49,IVZ,2018-01-16,37.2,37.2
50,IVZ,2018-01-12,37.86,37.86
51,IVZ,2018-01-11,37.3,37.3
52,IVZ,2018-01-10,36.82,36.82
53,IVZ,2018-01-09,37.2,37.2
54,IVZ,2018-01-08,36.84,36.84
55,IVZ,2018-01-05,37.28,37.28
56,IVZ,2018-01-04,36.83,36.83
57,IVZ,2018-01-03,36.53,36.53
58,IVZ,2018-01-02,36.35,36.35
59,IVZ,2017-12-29,36.54,36.54
60,IVZ,2017-12-28,36.77,36.77
61,IVZ,2017-12-27,36.54,36.54
62,IVZ,2017-12-26,36.6,36.6
63,IVZ,2017-12-22,36.64,36.64
64,IVZ,2017-12-21,36.61,36.61
65,IVZ,2017-12-20,36.52,36.52
66,IVZ,2017-12-19,36.61,36.61
67,IVZ,2017-12-18,36.81,36.81
68,IVZ,2017-12-15,36.56,36.56
69,IVZ,2017-12-14,36.29,36.29
70,IVZ,2017-12-13,36.96,36.96
71,IVZ,2017-12-12,37.17,37.17
72,IVZ,2017-12-11,37.39,37.39
73,IVZ,2017-12-08,37.67,37.67
74,IVZ,2017-12-07,37.34,37.34
75,IVZ,2017-12-06,37.09,37.09
76,IVZ,2017-12-05,36.63,36.63
77,IVZ,2017-12-04,36.88,36.88
78,IVZ,2017-12-01,36.21,36.21
79,IVZ,2017-11-30,36.17,36.17
80,IVZ,2017-11-29,36.1,36.1
81,IVZ,2017-11-28,36.0,36.0
82,IVZ,2017-11-27,35.2,35.2
83,IVZ,2017-11-24,35.09,35.09
84,IVZ,2017-11-22,35.23,35.23
85,IVZ,2017-11-21,35.63,35.63
86,IVZ,2017-11-20,35.46,35.46
87,IVZ,2017-11-17,34.98,34.98
88,IVZ,2017-11-16,34.57,34.57
89,IVZ,2017-11-15,34.48,34.48
90,IVZ,2017-11-14,34.47,34.47
91,IVZ,2017-11-13,34.52,34.52
92,IVZ,2017-11-10,35.15,35.15
93,IVZ,2017-11-09,35.5,35.5
94,IVZ,2017-11-07,35.61,35.61
95,IVZ,2017-11-06,35.87,35.87
96,IVZ,2017-11-03,36.05,36.05
97,IVZ,2017-11-02,36.16,36.16
98,IVZ,2017-11-01,35.76,35.76
99,IVZ,2017-10-31,35.79,35.79
100,IVZ,2017-10-30,36.04,36.04
101,IVZ,2017-10-27,36.89,36.89
102,IVZ,2017-10-26,37.15,37.15
103,IVZ,2017-10-25,36.825,36.825
104,IVZ,2017-10-24,37.41,37.41
105,IVZ,2017-10-23,37.26,37.26
106,IVZ,2017-10-20,37.34,37.34
107,IVZ,2017-10-19,36.88,36.88
108,IVZ,2017-10-18,36.79,36.79
109,IVZ,2017-10-17,36.19,36.19
110,IVZ,2017-10-16,36.32,36.32
111,IVZ,2017-10-13,36.15,36.15
112,IVZ,2017-10-12,36.29,36.29
113,IVZ,2017-10-11,36.29,36.29
114,IVZ,2017-10-10,36.08,36.08
115,IVZ,2017-10-09,35.73,35.73
116,IVZ,2017-10-06,35.77,35.77
117,IVZ,2017-10-05,35.8,35.8
118,IVZ,2017-10-04,35.59,35.59
119,IVZ,2017-10-03,35.76,35.76
120,IVZ,2017-10-02,35.53,35.53
121,IVZ,2017-09-29,35.04,35.04
122,IVZ,2017-09-28,34.28,34.28
123,IVZ,2017-09-27,34.4,34.4
124,IVZ,2017-09-26,34.09,34.09
125,IVZ,2017-09-25,34.23,34.23
126,IVZ,2017-09-22,34.2,34.2
127,IVZ,2017-09-21,33.56,33.56
128,IVZ,2017-09-20,33.45,33.45
129,IVZ,2017-09-19,33.51,33.51
130,IVZ,2017-09-18,33.44,33.44
131,IVZ,2017-09-15,33.08,33.08
132,IVZ,2017-09-14,32.79,32.79
133,IVZ,2017-09-13,32.73,32.73
134,IVZ,2017-09-12,32.51,32.51
135,IVZ,2017-09-11,32.1,32.1
136,IVZ,2017-09-08,31.69,31.69
137,IVZ,2017-09-07,31.75,31.75
138,IVZ,2017-09-06,32.05,32.05
139,IVZ,2017-09-05,32.26,32.26
140,IVZ,2017-09-01,33.12,33.12
141,IVZ,2017-08-31,32.78,32.78
142,IVZ,2017-08-30,32.44,32.44
143,IVZ,2017-08-29,32.23,32.23
144,IVZ,2017-08-28,32.45,32.45
145,IVZ,2017-08-25,32.77,32.77
146,IVZ,2017-08-24,32.58,32.58
147,IVZ,2017-08-23,32.87,32.87
148,IVZ,2017-08-22,33.25,33.25
149,IVZ,2017-08-21,32.88,32.88
150,IVZ,2017-08-18,32.86,32.86
151,IVZ,2017-08-17,32.77,32.77
152,IVZ,2017-08-16,33.66,33.66
153,IVZ,2017-08-15,33.82,33.82
154,IVZ,2017-08-14,34.0,33.710935209616
155,IVZ,2017-08-11,33.99,33.701020228672
156,IVZ,2017-08-10,33.54,33.254846086192
157,IVZ,2017-08-09,34.57,34.276089123424
158,IVZ,2017-08-08,34.61,34.3157490472
159,IVZ,2017-08-07,34.76,34.46447376136
160,IVZ,2017-08-04,34.57,34.276089123424
161,IVZ,2017-08-03,34.53,34.236429199648
162,IVZ,2017-08-02,34.63,34.335579009088
163,IVZ,2017-08-01,35.2,34.900732922897
164,IVZ,2017-07-31,34.77,34.474388742304
165,IVZ,2017-07-28,34.36,34.0678745236
166,IVZ,2017-07-27,34.6,34.305834066256
167,IVZ,2017-07-26,36.44,36.130190559953
168,IVZ,2017-07-25,36.53,36.219425388449
169,IVZ,2017-07-24,36.27,35.961635883905
170,IVZ,2017-07-21,36.05,35.743506303137
171,IVZ,2017-07-20,36.14,35.832741131633
172,IVZ,2017-07-19,36.2,35.892231017297
173,IVZ,2017-07-18,35.94,35.634441512753
174,IVZ,2017-07-17,36.17,35.862486074465
175,IVZ,2017-07-14,36.11,35.802996188801
176,IVZ,2017-07-13,35.9,35.594781588977
177,IVZ,2017-07-12,36.11,35.802996188801
178,IVZ,2017-07-11,35.72,35.416311931985
179,IVZ,2017-07-10,36.47,36.159935502785
180,IVZ,2017-07-07,35.92,35.614611550865
181,IVZ,2017-07-06,35.16,34.86107299912
182,IVZ,2017-07-05,35.5,35.198182351217
183,IVZ,2017-07-03,35.51,35.208097332161
184,IVZ,2017-06-30,35.19,34.890817941953
185,IVZ,2017-06-29,35.0,34.702433304016
186,IVZ,2017-06-28,35.31,35.009797713281
187,IVZ,2017-06-27,34.77,34.474388742304
188,IVZ,2017-06-26,35.01,34.71234828496
189,IVZ,2017-06-23,34.97,34.672688361184
190,IVZ,2017-06-22,34.99,34.692518323072
191,IVZ,2017-06-21,34.8,34.504133685136
192,IVZ,2017-06-20,35.07,34.771838170624
193,IVZ,2017-06-19,35.4,35.099032541777
194,IVZ,2017-06-16,34.61,34.3157490472
195,IVZ,2017-06-15,34.58,34.286004104368
196,IVZ,2017-06-14,34.68,34.385153913808
197,IVZ,2017-06-13,34.49,34.196769275872
198,IVZ,2017-06-12,34.45,34.157109352096
199,IVZ,2017-06-09,34.32,34.028214599824
200,IVZ,2017-06-08,33.88,33.591955438288
201,IVZ,2017-06-07,33.41,33.12595133392
202,IVZ,2017-06-06,33.41,33.12595133392
203,IVZ,2017-06-05,33.34,33.056546467312
204,IVZ,2017-06-02,32.93,32.650032248607
205,IVZ,2017-06-01,32.92,32.640117267663
206,IVZ,2017-05-31,31.7,31.430489592495
207,IVZ,2017-05-30,31.62,31.351169744943
208,IVZ,2017-05-26,32.0,31.727939020815
209,IVZ,2017-05-25,31.95,31.678364116095
210,IVZ,2017-05-24,31.18,30.914910583407
211,IVZ,2017-05-23,31.25,30.984315450015
212,IVZ,2017-05-22,31.85,31.579214306655
213,IVZ,2017-05-19,31.62,31.351169744943
214,IVZ,2017-05-18,31.24,30.974400469071
215,IVZ,2017-05-17,30.66,30.399331574318
