None,ticker,date,close,adj_close
0,JBHT,2018-03-27,114.96,114.96
1,JBHT,2018-03-26,120.18,120.18
2,JBHT,2018-03-23,118.0,118.0
3,JBHT,2018-03-22,118.82,118.82
4,JBHT,2018-03-21,120.59,120.59
5,JBHT,2018-03-20,120.77,120.77
6,JBHT,2018-03-19,120.19,120.19
7,JBHT,2018-03-16,120.3,120.3
8,JBHT,2018-03-15,119.77,119.77
9,JBHT,2018-03-14,119.81,119.81
10,JBHT,2018-03-13,121.99,121.99
11,JBHT,2018-03-12,120.82,120.82
12,JBHT,2018-03-09,121.8,121.8
13,JBHT,2018-03-08,118.7,118.7
14,JBHT,2018-03-07,118.9,118.9
15,JBHT,2018-03-06,118.57,118.57
16,JBHT,2018-03-05,117.41,117.41
17,JBHT,2018-03-02,120.33,120.33
18,JBHT,2018-03-01,118.54,118.54
19,JBHT,2018-02-28,118.57,118.57
20,JBHT,2018-02-27,120.62,120.62
21,JBHT,2018-02-26,123.18,123.18
22,JBHT,2018-02-23,121.11,121.11
23,JBHT,2018-02-22,119.71,119.71
24,JBHT,2018-02-21,119.0,119.0
25,JBHT,2018-02-20,118.2,118.2
26,JBHT,2018-02-16,120.58,120.58
27,JBHT,2018-02-15,120.73,120.73
28,JBHT,2018-02-14,120.0,120.0
29,JBHT,2018-02-13,118.33,118.33
30,JBHT,2018-02-12,115.88,115.88
31,JBHT,2018-02-09,115.04,115.04
32,JBHT,2018-02-08,114.96,114.96
33,JBHT,2018-02-07,117.95,117.95
34,JBHT,2018-02-06,115.93,115.93
35,JBHT,2018-02-05,114.845,114.845
36,JBHT,2018-02-02,118.17,118.17
37,JBHT,2018-02-01,120.79,120.79
38,JBHT,2018-01-31,120.83,120.83
39,JBHT,2018-01-30,120.72,120.72
40,JBHT,2018-01-29,121.76,121.76
41,JBHT,2018-01-26,125.03,125.03
42,JBHT,2018-01-25,123.99,123.99
43,JBHT,2018-01-24,125.65,125.65
44,JBHT,2018-01-23,125.59,125.59
45,JBHT,2018-01-22,125.39,125.39
46,JBHT,2018-01-19,123.61,123.61
47,JBHT,2018-01-18,121.45,121.45
48,JBHT,2018-01-17,120.65,120.65
49,JBHT,2018-01-16,120.64,120.64
50,JBHT,2018-01-12,121.06,121.06
51,JBHT,2018-01-11,120.92,120.92
52,JBHT,2018-01-10,120.11,120.11
53,JBHT,2018-01-09,120.31,120.31
54,JBHT,2018-01-08,118.03,118.03
55,JBHT,2018-01-05,116.27,116.27
56,JBHT,2018-01-04,116.89,116.89
57,JBHT,2018-01-03,116.87,116.87
58,JBHT,2018-01-02,116.09,116.09
59,JBHT,2017-12-29,114.98,114.98
60,JBHT,2017-12-28,115.24,115.24
61,JBHT,2017-12-27,115.47,115.47
62,JBHT,2017-12-26,114.92,114.92
63,JBHT,2017-12-22,114.53,114.53
64,JBHT,2017-12-21,112.72,112.72
65,JBHT,2017-12-20,112.75,112.75
66,JBHT,2017-12-19,112.74,112.74
67,JBHT,2017-12-18,112.83,112.83
68,JBHT,2017-12-15,112.37,112.37
69,JBHT,2017-12-14,111.39,111.39
70,JBHT,2017-12-13,111.87,111.87
71,JBHT,2017-12-12,111.24,111.24
72,JBHT,2017-12-11,111.3,111.3
73,JBHT,2017-12-08,112.51,112.51
74,JBHT,2017-12-07,111.6,111.6
75,JBHT,2017-12-06,110.41,110.41
76,JBHT,2017-12-05,109.28,109.28
77,JBHT,2017-12-04,110.2,110.2
78,JBHT,2017-12-01,109.01,109.01
79,JBHT,2017-11-30,111.14,111.14
80,JBHT,2017-11-29,108.64,108.64
81,JBHT,2017-11-28,106.03,106.03
82,JBHT,2017-11-27,103.64,103.64
83,JBHT,2017-11-24,104.16,104.16
84,JBHT,2017-11-22,104.01,104.01
85,JBHT,2017-11-21,103.22,103.22
86,JBHT,2017-11-20,101.72,101.72
87,JBHT,2017-11-17,101.44,101.44
88,JBHT,2017-11-16,102.98,102.98
89,JBHT,2017-11-15,101.54,101.54
90,JBHT,2017-11-14,102.47,102.47
91,JBHT,2017-11-13,102.58,102.58
92,JBHT,2017-11-10,101.85,101.85
93,JBHT,2017-11-09,102.0,102.0
94,JBHT,2017-11-07,106.65,106.65
95,JBHT,2017-11-06,107.84,107.84
96,JBHT,2017-11-03,107.22,107.22
97,JBHT,2017-11-02,107.38,107.38
98,JBHT,2017-11-01,106.18,105.9530564074
99,JBHT,2017-10-31,106.39,106.16260756435
100,JBHT,2017-10-30,105.26,105.0350227674
101,JBHT,2017-10-27,109.61,109.37572530434
102,JBHT,2017-10-26,108.88,108.64728556826
103,JBHT,2017-10-25,106.23,106.00294954001
104,JBHT,2017-10-24,106.31,106.08277855218
105,JBHT,2017-10-23,107.41,107.18042746957
106,JBHT,2017-10-20,106.58,106.35220146827
107,JBHT,2017-10-19,104.79,104.56602732088
108,JBHT,2017-10-18,104.45,104.22675401914
109,JBHT,2017-10-17,102.43,102.21107146176
110,JBHT,2017-10-16,101.64,101.42275996655
111,JBHT,2017-10-13,104.01,103.78769445219
112,JBHT,2017-10-12,108.35,108.11841836261
113,JBHT,2017-10-11,105.68,105.45412508131
114,JBHT,2017-10-10,106.17,105.94307778088
115,JBHT,2017-10-09,105.91,105.68363349131
116,JBHT,2017-10-06,106.73,106.50188086609
117,JBHT,2017-10-05,106.87,106.64158163739
118,JBHT,2017-10-04,108.66,108.42775578478
119,JBHT,2017-10-03,109.07,108.83687947217
120,JBHT,2017-10-02,108.99,108.75705045999
121,JBHT,2017-09-29,111.08,110.84258340303
122,JBHT,2017-09-28,108.9,108.6672428213
123,JBHT,2017-09-27,108.88,108.64728556826
124,JBHT,2017-09-26,107.08,106.85113279435
125,JBHT,2017-09-25,104.93,104.70572809218
126,JBHT,2017-09-22,105.75,105.52397546696
127,JBHT,2017-09-21,104.67,104.44628380262
128,JBHT,2017-09-20,104.26,104.03716011523
129,JBHT,2017-09-19,102.67,102.45055849828
130,JBHT,2017-09-18,102.76,102.54036613698
131,JBHT,2017-09-15,101.57,101.35290958089
132,JBHT,2017-09-14,99.83,99.616628566118
133,JBHT,2017-09-13,100.59,100.37500418177
134,JBHT,2017-09-12,101.59,101.37286683394
135,JBHT,2017-09-11,101.5,101.28305919524
136,JBHT,2017-09-08,101.84,101.62233249698
137,JBHT,2017-09-07,100.74,100.52468357959
138,JBHT,2017-09-06,99.09,98.878210203513
139,JBHT,2017-09-05,98.61,98.399236130471
140,JBHT,2017-09-01,99.36,99.147633119599
141,JBHT,2017-08-31,98.89,98.678637673079
142,JBHT,2017-08-30,99.78,99.56673543351
143,JBHT,2017-08-29,100.06,99.846136976117
144,JBHT,2017-08-28,99.12,98.908146083078
145,JBHT,2017-08-25,97.66,97.45126661091
146,JBHT,2017-08-24,96.56,96.353617693523
147,JBHT,2017-08-23,97.09,96.882484899173
148,JBHT,2017-08-22,97.9,97.690753647431
149,JBHT,2017-08-21,97.35,97.141929188737
150,JBHT,2017-08-18,96.63,96.423468079175
151,JBHT,2017-08-17,96.89,96.682912368739
152,JBHT,2017-08-16,97.3,97.092036056129
153,JBHT,2017-08-15,97.38,97.171865068302
154,JBHT,2017-08-14,96.31,96.10415203048
155,JBHT,2017-08-11,94.7,94.497593160487
156,JBHT,2017-08-10,92.1,91.903150264845
157,JBHT,2017-08-09,92.17,91.973000650497
158,JBHT,2017-08-08,90.91,90.715693708763
159,JBHT,2017-08-07,90.66,90.466228045721
160,JBHT,2017-08-04,90.53,90.336505900939
161,JBHT,2017-08-03,89.29,89.099156212248
162,JBHT,2017-08-02,89.64,89.218592078484
163,JBHT,2017-08-01,89.51,89.089203223395
164,JBHT,2017-07-31,90.71,90.283561885757
165,JBHT,2017-07-28,90.37,89.945160264755
166,JBHT,2017-07-27,90.85,90.4229037297
167,JBHT,2017-07-26,93.6,93.159975664281
168,JBHT,2017-07-25,93.36,92.921103931808
169,JBHT,2017-07-24,91.54,91.109659960558
170,JBHT,2017-07-21,91.56,91.129565938264
171,JBHT,2017-07-20,91.53,91.099706971705
172,JBHT,2017-07-19,91.7,91.268907782207
173,JBHT,2017-07-18,92.01,91.57745043665
174,JBHT,2017-07-17,93.53,93.09030474231
175,JBHT,2017-07-14,91.85,91.418202615002
176,JBHT,2017-07-13,91.23,90.801117306115
177,JBHT,2017-07-12,91.95,91.517732503532
178,JBHT,2017-07-11,91.47,91.039989038587
179,JBHT,2017-07-10,92.73,92.294065634068
180,JBHT,2017-07-07,93.65,93.209740608546
181,JBHT,2017-07-06,92.25,91.816322169123
182,JBHT,2017-07-05,93.25,92.811621054425
183,JBHT,2017-07-03,93.22,92.781762087866
184,JBHT,2017-06-30,91.38,90.95041213891
185,JBHT,2017-06-29,90.89,90.462715685112
186,JBHT,2017-06-28,91.38,90.95041213891
187,JBHT,2017-06-27,87.7,87.287712240998
