None,ticker,date,close,adj_close
0,JCI,2018-03-27,34.32,34.32
1,JCI,2018-03-26,34.94,34.94
2,JCI,2018-03-23,34.33,34.33
3,JCI,2018-03-22,35.5,35.5
4,JCI,2018-03-21,36.33,36.33
5,JCI,2018-03-20,35.85,35.85
6,JCI,2018-03-19,36.41,36.41
7,JCI,2018-03-16,36.7,36.7
8,JCI,2018-03-15,37.05,37.05
9,JCI,2018-03-14,37.22,37.22
10,JCI,2018-03-13,38.88,38.88
11,JCI,2018-03-12,38.7,38.7
12,JCI,2018-03-09,38.54,38.54
13,JCI,2018-03-08,37.63,37.63
14,JCI,2018-03-07,37.07,37.07
15,JCI,2018-03-06,37.39,37.39
16,JCI,2018-03-05,36.92,36.92
17,JCI,2018-03-02,36.27,36.27
18,JCI,2018-03-01,35.9,35.9
19,JCI,2018-02-28,36.87,36.87
20,JCI,2018-02-27,38.02,38.02
21,JCI,2018-02-26,38.74,38.74
22,JCI,2018-02-23,38.82,38.82
23,JCI,2018-02-22,37.98,37.98
24,JCI,2018-02-21,37.85,37.85
25,JCI,2018-02-20,37.87,37.87
26,JCI,2018-02-16,38.42,38.42
27,JCI,2018-02-15,38.19,38.19
28,JCI,2018-02-14,37.51,37.51
29,JCI,2018-02-13,37.39,37.39
30,JCI,2018-02-12,37.41,37.41
31,JCI,2018-02-09,36.29,36.29
32,JCI,2018-02-08,36.55,36.55
33,JCI,2018-02-07,37.6,37.6
34,JCI,2018-02-06,37.62,37.62
35,JCI,2018-02-05,37.52,37.52
36,JCI,2018-02-02,39.53,39.53
37,JCI,2018-02-01,39.81,39.81
38,JCI,2018-01-31,39.13,39.13
39,JCI,2018-01-30,39.84,39.84
40,JCI,2018-01-29,40.46,40.46
41,JCI,2018-01-26,41.43,41.43
42,JCI,2018-01-25,40.79,40.79
43,JCI,2018-01-24,40.6,40.6
44,JCI,2018-01-23,40.47,40.47
45,JCI,2018-01-22,39.2,39.2
46,JCI,2018-01-19,38.9,38.9
47,JCI,2018-01-18,39.29,39.29
48,JCI,2018-01-17,39.53,39.53
49,JCI,2018-01-16,40.17,40.17
50,JCI,2018-01-12,39.8,39.8
51,JCI,2018-01-11,39.56,39.56
52,JCI,2018-01-10,39.06,39.06
53,JCI,2018-01-09,38.75,38.75
54,JCI,2018-01-08,38.94,38.94
55,JCI,2018-01-05,38.42,38.42
56,JCI,2018-01-04,39.85,39.85
57,JCI,2018-01-03,38.96,38.96
58,JCI,2018-01-02,38.23,38.23
59,JCI,2017-12-29,38.11,38.11
60,JCI,2017-12-28,38.18,38.18
61,JCI,2017-12-27,37.92,37.92
62,JCI,2017-12-26,37.9,37.9
63,JCI,2017-12-22,38.11,38.11
64,JCI,2017-12-21,38.0,38.0
65,JCI,2017-12-20,37.65,37.65
66,JCI,2017-12-19,37.46,37.46
67,JCI,2017-12-18,37.51,37.51
68,JCI,2017-12-15,37.26,37.26
69,JCI,2017-12-14,37.41,37.41
70,JCI,2017-12-13,37.66,37.66
71,JCI,2017-12-12,38.25,38.25
72,JCI,2017-12-11,37.71,37.71
73,JCI,2017-12-08,37.41,37.41
74,JCI,2017-12-07,37.36,37.36
75,JCI,2017-12-06,37.24,37.24
76,JCI,2017-12-05,37.13,37.13
77,JCI,2017-12-04,37.43,37.43
78,JCI,2017-12-01,37.42,37.42
79,JCI,2017-11-30,37.64,37.64
80,JCI,2017-11-29,38.09,38.09
81,JCI,2017-11-28,38.42,38.42
82,JCI,2017-11-27,37.09,37.09
83,JCI,2017-11-24,36.91,36.91
84,JCI,2017-11-22,36.79,36.79
85,JCI,2017-11-21,36.0,36.0
86,JCI,2017-11-20,36.06,36.06
87,JCI,2017-11-17,36.39,36.39
88,JCI,2017-11-16,36.14,36.14
89,JCI,2017-11-15,35.73,35.73
90,JCI,2017-11-14,35.89,35.89
91,JCI,2017-11-13,36.0,36.0
92,JCI,2017-11-10,36.93,36.93
93,JCI,2017-11-09,38.51,38.51
94,JCI,2017-11-07,40.99,40.99
95,JCI,2017-11-06,41.09,41.09
96,JCI,2017-11-03,40.68,40.68
97,JCI,2017-11-02,40.65,40.65
98,JCI,2017-11-01,41.2,41.2
99,JCI,2017-10-31,41.39,41.39
100,JCI,2017-10-30,42.14,42.14
101,JCI,2017-10-27,42.41,42.41
102,JCI,2017-10-26,42.17,42.17
103,JCI,2017-10-25,41.21,41.21
104,JCI,2017-10-24,41.96,41.96
105,JCI,2017-10-23,41.61,41.61
106,JCI,2017-10-20,41.62,41.62
107,JCI,2017-10-19,41.24,41.24
108,JCI,2017-10-18,40.66,40.66
109,JCI,2017-10-17,41.2,41.2
110,JCI,2017-10-16,41.75,41.75
111,JCI,2017-10-13,41.69,41.69
112,JCI,2017-10-12,41.39,41.39
113,JCI,2017-10-11,41.35,41.35
114,JCI,2017-10-10,41.49,41.49
115,JCI,2017-10-09,40.6,40.6
116,JCI,2017-10-06,41.07,41.07
117,JCI,2017-10-05,41.2,41.2
118,JCI,2017-10-04,40.95,40.95
119,JCI,2017-10-03,40.47,40.47
120,JCI,2017-10-02,40.45,40.45
121,JCI,2017-09-29,40.29,40.29
122,JCI,2017-09-28,40.06,40.06
123,JCI,2017-09-27,40.45,40.45
124,JCI,2017-09-26,40.94,40.94
125,JCI,2017-09-25,40.12,40.12
126,JCI,2017-09-22,39.89,39.89
127,JCI,2017-09-21,39.98,39.730996512207
128,JCI,2017-09-20,39.75,39.502428998505
129,JCI,2017-09-19,39.04,38.796851021425
130,JCI,2017-09-18,39.57,39.323550074738
131,JCI,2017-09-15,39.81,39.562055306428
132,JCI,2017-09-14,40.1,39.850249128052
133,JCI,2017-09-13,39.9,39.651494768311
134,JCI,2017-09-12,40.0,39.750871948181
135,JCI,2017-09-11,39.4,39.154608868959
136,JCI,2017-09-08,39.16,38.91610363727
137,JCI,2017-09-07,39.21,38.965792227205
138,JCI,2017-09-06,39.62,39.373238664674
139,JCI,2017-09-05,40.0,39.750871948181
140,JCI,2017-09-01,39.89,39.641557050324
141,JCI,2017-08-31,39.59,39.343425510713
142,JCI,2017-08-30,39.14,38.896228201295
143,JCI,2017-08-29,38.75,38.508657199801
144,JCI,2017-08-28,38.84,38.598096661684
145,JCI,2017-08-25,38.83,38.588158943697
146,JCI,2017-08-24,38.59,38.349653712008
147,JCI,2017-08-23,38.56,38.319840558047
148,JCI,2017-08-22,38.62,38.379466865969
149,JCI,2017-08-21,38.27,38.031646736423
150,JCI,2017-08-18,37.05,36.819245142003
151,JCI,2017-08-17,36.89,36.66024165421
152,JCI,2017-08-16,37.55,37.316131041355
153,JCI,2017-08-15,37.83,37.594387144993
154,JCI,2017-08-14,38.65,38.40928001993
155,JCI,2017-08-11,38.67,38.429155455904
156,JCI,2017-08-10,38.89,38.647785251619
157,JCI,2017-08-09,39.45,39.204297458894
158,JCI,2017-08-08,39.61,39.363300946687
159,JCI,2017-08-07,39.78,39.532242152466
160,JCI,2017-08-04,39.17,38.926041355257
161,JCI,2017-08-03,39.46,39.214235176881
162,JCI,2017-08-02,39.37,39.124795714998
163,JCI,2017-08-01,38.75,38.508657199801
