None,ticker,date,close,adj_close
0,JNPR,2018-03-27,24.25,24.25
1,JNPR,2018-03-26,24.6,24.6
2,JNPR,2018-03-23,24.12,24.12
3,JNPR,2018-03-22,24.79,24.79
4,JNPR,2018-03-21,25.3,25.3
5,JNPR,2018-03-20,25.42,25.42
6,JNPR,2018-03-19,25.26,25.26
7,JNPR,2018-03-16,26.29,26.29
8,JNPR,2018-03-15,26.23,26.23
9,JNPR,2018-03-14,26.2,26.2
10,JNPR,2018-03-13,26.41,26.41
11,JNPR,2018-03-12,26.34,26.34
12,JNPR,2018-03-09,26.43,26.43
13,JNPR,2018-03-08,26.04,26.04
14,JNPR,2018-03-07,25.87,25.87
15,JNPR,2018-03-06,25.94,25.94
16,JNPR,2018-03-05,25.84,25.84
17,JNPR,2018-03-02,25.6,25.6
18,JNPR,2018-03-01,25.17,25.17
19,JNPR,2018-02-28,25.66,25.66
20,JNPR,2018-02-27,26.1,26.1
21,JNPR,2018-02-26,26.19,26.19
22,JNPR,2018-02-23,26.12,26.12
23,JNPR,2018-02-22,26.03,26.03
24,JNPR,2018-02-21,25.89,25.89
25,JNPR,2018-02-20,26.23,26.23
26,JNPR,2018-02-16,26.35,26.35
27,JNPR,2018-02-15,26.91,26.91
28,JNPR,2018-02-14,26.17,26.17
29,JNPR,2018-02-13,26.19,26.19
30,JNPR,2018-02-12,25.8,25.8
31,JNPR,2018-02-09,25.44,25.44
32,JNPR,2018-02-08,24.66,24.66
33,JNPR,2018-02-07,25.39,25.39
34,JNPR,2018-02-06,25.54,25.54
35,JNPR,2018-02-05,25.2,25.2
36,JNPR,2018-02-02,26.26,26.26
37,JNPR,2018-02-01,26.55,26.55
38,JNPR,2018-01-31,26.15,26.15
39,JNPR,2018-01-30,28.32,28.32
40,JNPR,2018-01-29,28.48,28.48
41,JNPR,2018-01-26,28.19,28.19
42,JNPR,2018-01-25,27.67,27.67
43,JNPR,2018-01-24,27.97,27.97
44,JNPR,2018-01-23,28.13,28.13
45,JNPR,2018-01-22,28.36,28.36
46,JNPR,2018-01-19,27.85,27.85
47,JNPR,2018-01-18,27.66,27.66
48,JNPR,2018-01-17,28.67,28.67
49,JNPR,2018-01-16,28.61,28.61
50,JNPR,2018-01-12,28.89,28.89
51,JNPR,2018-01-11,28.76,28.76
52,JNPR,2018-01-10,28.4,28.4
53,JNPR,2018-01-09,28.63,28.63
54,JNPR,2018-01-08,28.78,28.78
55,JNPR,2018-01-05,28.51,28.51
56,JNPR,2018-01-04,28.79,28.79
57,JNPR,2018-01-03,28.81,28.81
58,JNPR,2018-01-02,28.7,28.7
59,JNPR,2017-12-29,28.5,28.5
60,JNPR,2017-12-28,28.87,28.87
61,JNPR,2017-12-27,28.88,28.88
62,JNPR,2017-12-26,28.86,28.86
63,JNPR,2017-12-22,28.86,28.86
64,JNPR,2017-12-21,28.68,28.68
65,JNPR,2017-12-20,28.5,28.5
66,JNPR,2017-12-19,28.44,28.44
67,JNPR,2017-12-18,28.6,28.6
68,JNPR,2017-12-15,28.4,28.4
69,JNPR,2017-12-14,28.8,28.8
70,JNPR,2017-12-13,29.11,29.11
71,JNPR,2017-12-12,28.92,28.92
72,JNPR,2017-12-11,28.39,28.39
73,JNPR,2017-12-08,28.38,28.38
74,JNPR,2017-12-07,28.42,28.42
75,JNPR,2017-12-06,27.96,27.96
76,JNPR,2017-12-05,27.61,27.61
77,JNPR,2017-12-04,27.96,27.96
78,JNPR,2017-12-01,28.38,28.38
79,JNPR,2017-11-30,27.76,27.76
80,JNPR,2017-11-29,29.61,29.61
81,JNPR,2017-11-28,28.19,28.19
82,JNPR,2017-11-27,27.38,27.38
83,JNPR,2017-11-24,27.34,27.34
84,JNPR,2017-11-22,27.01,27.01
85,JNPR,2017-11-21,26.98,26.98
86,JNPR,2017-11-20,26.97,26.97
87,JNPR,2017-11-17,26.3,26.3
88,JNPR,2017-11-16,26.19,26.19
89,JNPR,2017-11-15,25.95,25.95
90,JNPR,2017-11-14,26.43,26.43
91,JNPR,2017-11-13,25.36,25.36
92,JNPR,2017-11-10,25.0,25.0
93,JNPR,2017-11-09,25.35,25.35
94,JNPR,2017-11-07,24.5,24.5
95,JNPR,2017-11-06,24.74,24.74
96,JNPR,2017-11-03,24.55,24.55
97,JNPR,2017-11-02,24.4,24.4
98,JNPR,2017-11-01,24.86,24.86
99,JNPR,2017-10-31,24.83,24.83
100,JNPR,2017-10-30,24.92,24.92
101,JNPR,2017-10-27,25.2,25.2
102,JNPR,2017-10-26,24.86,24.86
103,JNPR,2017-10-25,24.56,24.56
104,JNPR,2017-10-24,26.16,26.16
105,JNPR,2017-10-23,25.76,25.76
106,JNPR,2017-10-20,26.03,26.03
107,JNPR,2017-10-19,25.82,25.82
108,JNPR,2017-10-18,26.08,26.08
109,JNPR,2017-10-17,26.11,26.11
110,JNPR,2017-10-16,26.04,26.04
111,JNPR,2017-10-13,25.82,25.82
112,JNPR,2017-10-12,25.47,25.47
113,JNPR,2017-10-11,26.86,26.86
114,JNPR,2017-10-10,27.31,27.31
115,JNPR,2017-10-09,27.32,27.32
116,JNPR,2017-10-06,28.43,28.43
117,JNPR,2017-10-05,28.45,28.45
118,JNPR,2017-10-04,28.69,28.69
119,JNPR,2017-10-03,28.54,28.54
120,JNPR,2017-10-02,28.38,28.38
121,JNPR,2017-09-29,27.83,27.83
