None,ticker,date,close,adj_close
0,JPM,2018-03-27,108.17,108.17
1,JPM,2018-03-26,110.31,110.31
2,JPM,2018-03-23,107.01,107.01
3,JPM,2018-03-22,109.95,109.95
4,JPM,2018-03-21,114.74,114.74
5,JPM,2018-03-20,114.64,114.64
6,JPM,2018-03-19,114.53,114.53
7,JPM,2018-03-16,115.44,115.44
8,JPM,2018-03-15,115.24,115.24
9,JPM,2018-03-14,114.95,114.95
10,JPM,2018-03-13,116.25,116.25
11,JPM,2018-03-12,117.66,117.66
12,JPM,2018-03-09,118.04,118.04
13,JPM,2018-03-08,114.74,114.74
14,JPM,2018-03-07,114.73,114.73
15,JPM,2018-03-06,115.16,115.16
16,JPM,2018-03-05,115.06,115.06
17,JPM,2018-03-02,113.32,113.32
18,JPM,2018-03-01,113.43,113.43
19,JPM,2018-02-28,115.5,115.5
20,JPM,2018-02-27,117.36,117.36
21,JPM,2018-02-26,118.77,118.77
22,JPM,2018-02-23,117.31,117.31
23,JPM,2018-02-22,114.98,114.98
24,JPM,2018-02-21,115.19,115.19
25,JPM,2018-02-20,114.71,114.71
26,JPM,2018-02-16,114.68,114.68
27,JPM,2018-02-15,115.51,115.51
28,JPM,2018-02-14,115.03,115.03
29,JPM,2018-02-13,112.43,112.43
30,JPM,2018-02-12,111.74,111.74
31,JPM,2018-02-09,110.04,110.04
32,JPM,2018-02-08,107.88,107.88
33,JPM,2018-02-07,112.87,112.87
34,JPM,2018-02-06,112.11,112.11
35,JPM,2018-02-05,108.8,108.8
36,JPM,2018-02-02,114.28,114.28
37,JPM,2018-02-01,116.87,116.87
38,JPM,2018-01-31,115.67,115.67
39,JPM,2018-01-30,115.11,115.11
40,JPM,2018-01-29,116.2,116.2
41,JPM,2018-01-26,116.32,116.32
42,JPM,2018-01-25,115.7,115.7
43,JPM,2018-01-24,115.67,115.67
44,JPM,2018-01-23,114.21,114.21
45,JPM,2018-01-22,114.33,114.33
46,JPM,2018-01-19,113.01,113.01
47,JPM,2018-01-18,113.26,113.26
48,JPM,2018-01-17,112.99,112.99
49,JPM,2018-01-16,112.27,112.27
50,JPM,2018-01-12,112.67,112.67
51,JPM,2018-01-11,110.84,110.84
52,JPM,2018-01-10,110.25,110.25
53,JPM,2018-01-09,109.05,109.05
54,JPM,2018-01-08,108.5,108.5
55,JPM,2018-01-05,108.34,108.34
56,JPM,2018-01-04,109.04,109.04
57,JPM,2018-01-03,108.06,108.06
58,JPM,2018-01-02,107.95,107.95
59,JPM,2017-12-29,106.94,106.94
60,JPM,2017-12-28,107.79,107.79
61,JPM,2017-12-27,107.22,107.22
62,JPM,2017-12-26,107.02,107.02
63,JPM,2017-12-22,107.45,107.45
64,JPM,2017-12-21,107.83,107.83
65,JPM,2017-12-20,106.14,106.14
66,JPM,2017-12-19,106.51,106.51
67,JPM,2017-12-18,106.96,106.96
68,JPM,2017-12-15,106.14,106.14
69,JPM,2017-12-14,104.66,104.66
70,JPM,2017-12-13,105.51,105.51
71,JPM,2017-12-12,106.85,106.85
72,JPM,2017-12-11,105.62,105.62
73,JPM,2017-12-08,105.93,105.93
74,JPM,2017-12-07,104.62,104.62
75,JPM,2017-12-06,104.93,104.93
76,JPM,2017-12-05,105.72,105.72
77,JPM,2017-12-04,106.95,106.95
78,JPM,2017-12-01,104.79,104.79
79,JPM,2017-11-30,104.52,104.52
80,JPM,2017-11-29,103.73,103.73
81,JPM,2017-11-28,101.36,101.36
82,JPM,2017-11-27,97.93,97.93
83,JPM,2017-11-24,98.32,98.32
84,JPM,2017-11-22,98.64,98.64
85,JPM,2017-11-21,98.93,98.93
86,JPM,2017-11-20,99.01,99.01
87,JPM,2017-11-17,98.14,98.14
88,JPM,2017-11-16,98.47,98.47
89,JPM,2017-11-15,98.19,98.19
90,JPM,2017-11-14,97.27,97.27
91,JPM,2017-11-13,97.86,97.86
92,JPM,2017-11-10,97.51,97.51
93,JPM,2017-11-09,97.63,97.63
94,JPM,2017-11-07,98.75,98.75
95,JPM,2017-11-06,100.78,100.78
96,JPM,2017-11-03,101.41,101.41
97,JPM,2017-11-02,101.59,101.59
98,JPM,2017-11-01,100.92,100.92
99,JPM,2017-10-31,100.61,100.61
100,JPM,2017-10-30,101.41,101.41
101,JPM,2017-10-27,101.77,101.77
102,JPM,2017-10-26,101.74,101.74
103,JPM,2017-10-25,101.05,101.05
104,JPM,2017-10-24,100.92,100.92
105,JPM,2017-10-23,99.34,99.34
106,JPM,2017-10-20,99.51,99.51
107,JPM,2017-10-19,98.11,98.11
108,JPM,2017-10-18,97.99,97.99
109,JPM,2017-10-17,97.62,97.62
110,JPM,2017-10-16,97.84,97.84
111,JPM,2017-10-13,95.86,95.86
112,JPM,2017-10-12,95.99,95.99
113,JPM,2017-10-11,96.84,96.84
114,JPM,2017-10-10,97.13,97.13
115,JPM,2017-10-09,96.41,96.41
116,JPM,2017-10-06,96.92,96.92
117,JPM,2017-10-05,97.09,97.09
118,JPM,2017-10-04,96.36,95.807397849462
119,JPM,2017-10-03,97.35,96.791720430108
120,JPM,2017-10-02,96.84,96.28464516129
121,JPM,2017-09-29,95.51,94.962272401434
122,JPM,2017-09-28,95.38,94.833017921147
123,JPM,2017-09-27,95.18,94.634164874552
124,JPM,2017-09-26,93.7,93.162652329749
125,JPM,2017-09-25,94.12,93.580243727599
126,JPM,2017-09-22,94.83,94.286172043011
127,JPM,2017-09-21,95.03,94.485025089606
128,JPM,2017-09-20,94.6,94.057491039427
129,JPM,2017-09-19,93.94,93.401275985663
130,JPM,2017-09-18,92.92,92.387125448029
131,JPM,2017-09-15,91.62,91.094580645161
132,JPM,2017-09-14,90.97,90.448308243728
133,JPM,2017-09-13,91.15,90.627275985663
134,JPM,2017-09-12,90.89,90.36876702509
135,JPM,2017-09-11,89.79,89.275075268817
