None,ticker,date,close,adj_close
0,JWN,2018-03-27,47.37,47.37
1,JWN,2018-03-26,47.13,47.13
2,JWN,2018-03-23,46.36,46.36
3,JWN,2018-03-22,46.87,46.87
4,JWN,2018-03-21,47.7,47.7
5,JWN,2018-03-20,49.35,49.35
6,JWN,2018-03-19,49.36,49.36
7,JWN,2018-03-16,49.32,49.32
8,JWN,2018-03-15,48.92,48.92
9,JWN,2018-03-14,49.48,49.48
10,JWN,2018-03-13,50.33,50.33
11,JWN,2018-03-12,49.85,49.85
12,JWN,2018-03-09,49.99,49.99
13,JWN,2018-03-08,50.13,50.13
14,JWN,2018-03-07,51.05,51.05
15,JWN,2018-03-06,52.49,52.49
16,JWN,2018-03-05,51.9,51.9
17,JWN,2018-03-02,53.04,53.04
18,JWN,2018-03-01,50.48,50.48
19,JWN,2018-02-28,51.31,51.31
20,JWN,2018-02-27,51.03,51.03
21,JWN,2018-02-26,52.4,52.4
22,JWN,2018-02-23,53.56,53.56
23,JWN,2018-02-22,50.27,50.27
24,JWN,2018-02-21,50.06,50.06
25,JWN,2018-02-20,50.49,50.49
26,JWN,2018-02-16,51.5,51.5
27,JWN,2018-02-15,51.24,51.24
28,JWN,2018-02-14,50.36,50.36
29,JWN,2018-02-13,49.17,49.17
30,JWN,2018-02-12,48.37,48.37
31,JWN,2018-02-09,47.89,47.89
32,JWN,2018-02-08,47.23,47.23
33,JWN,2018-02-07,49.3,49.3
34,JWN,2018-02-06,48.26,48.26
35,JWN,2018-02-05,46.64,46.64
36,JWN,2018-02-02,47.85,47.85
37,JWN,2018-02-01,49.23,49.23
38,JWN,2018-01-31,49.31,49.31
39,JWN,2018-01-30,49.41,49.41
40,JWN,2018-01-29,50.89,50.89
41,JWN,2018-01-26,50.4,50.4
42,JWN,2018-01-25,49.5,49.5
43,JWN,2018-01-24,50.62,50.62
44,JWN,2018-01-23,52.0,52.0
45,JWN,2018-01-22,52.82,52.82
46,JWN,2018-01-19,52.0,52.0
47,JWN,2018-01-18,51.22,51.22
48,JWN,2018-01-17,50.97,50.97
49,JWN,2018-01-16,50.18,50.18
50,JWN,2018-01-12,51.82,51.82
51,JWN,2018-01-11,50.09,50.09
52,JWN,2018-01-10,49.2,49.2
53,JWN,2018-01-09,47.89,47.89
54,JWN,2018-01-08,48.27,48.27
55,JWN,2018-01-05,48.25,48.25
56,JWN,2018-01-04,48.06,48.06
57,JWN,2018-01-03,48.65,48.65
58,JWN,2018-01-02,49.12,49.12
59,JWN,2017-12-29,47.38,47.38
60,JWN,2017-12-28,47.71,47.71
61,JWN,2017-12-27,47.93,47.93
62,JWN,2017-12-26,48.47,48.47
63,JWN,2017-12-22,47.54,47.54
64,JWN,2017-12-21,47.5,47.5
65,JWN,2017-12-20,46.84,46.84
66,JWN,2017-12-19,46.51,46.51
67,JWN,2017-12-18,46.63,46.63
68,JWN,2017-12-15,45.49,45.49
69,JWN,2017-12-14,44.96,44.96
70,JWN,2017-12-13,46.27,46.27
71,JWN,2017-12-12,45.74,45.74
72,JWN,2017-12-11,45.84,45.84
73,JWN,2017-12-08,45.78,45.78
74,JWN,2017-12-07,44.98,44.98
75,JWN,2017-12-06,45.32,45.32
76,JWN,2017-12-05,46.15,46.15
77,JWN,2017-12-04,47.26,47.26
78,JWN,2017-12-01,45.5,45.5
79,JWN,2017-11-30,45.45,45.45
80,JWN,2017-11-29,45.76,45.76
81,JWN,2017-11-28,42.67,42.67
82,JWN,2017-11-27,41.34,41.34
83,JWN,2017-11-24,40.96,40.96
84,JWN,2017-11-22,41.16,41.16
85,JWN,2017-11-21,41.3,41.3
86,JWN,2017-11-20,41.44,41.44
87,JWN,2017-11-17,40.86,40.86
88,JWN,2017-11-16,39.97,39.97
89,JWN,2017-11-15,39.19,39.19
90,JWN,2017-11-14,39.16,39.16
91,JWN,2017-11-13,38.72,38.72
92,JWN,2017-11-10,40.03,40.03
93,JWN,2017-11-09,40.03,40.03
94,JWN,2017-11-07,38.31,38.31
95,JWN,2017-11-06,39.26,39.26
96,JWN,2017-11-03,38.5,38.5
97,JWN,2017-11-02,39.35,39.35
98,JWN,2017-11-01,39.94,39.94
99,JWN,2017-10-31,39.65,39.65
100,JWN,2017-10-30,40.0,40.0
101,JWN,2017-10-27,40.97,40.97
102,JWN,2017-10-26,42.21,42.21
103,JWN,2017-10-25,41.535,41.535
104,JWN,2017-10-24,41.61,41.61
105,JWN,2017-10-23,41.77,41.77
106,JWN,2017-10-20,42.15,42.15
107,JWN,2017-10-19,41.73,41.73
108,JWN,2017-10-18,42.01,42.01
109,JWN,2017-10-17,41.45,41.45
110,JWN,2017-10-16,40.4,40.4
111,JWN,2017-10-13,42.65,42.65
112,JWN,2017-10-12,42.59,42.59
113,JWN,2017-10-11,42.92,42.92
114,JWN,2017-10-10,43.38,43.38
115,JWN,2017-10-09,43.54,43.54
116,JWN,2017-10-06,44.31,44.31
117,JWN,2017-10-05,44.8,44.8
118,JWN,2017-10-04,44.25,44.25
119,JWN,2017-10-03,44.2,44.2
120,JWN,2017-10-02,44.18,44.18
121,JWN,2017-09-29,47.15,47.15
122,JWN,2017-09-28,47.4,47.4
123,JWN,2017-09-27,47.44,47.44
124,JWN,2017-09-26,47.53,47.53
125,JWN,2017-09-25,47.32,47.32
126,JWN,2017-09-22,46.88,46.88
127,JWN,2017-09-21,46.28,46.28
128,JWN,2017-09-20,46.22,46.22
129,JWN,2017-09-19,46.22,46.22
130,JWN,2017-09-18,46.64,46.64
131,JWN,2017-09-15,46.74,46.74
132,JWN,2017-09-14,46.74,46.74
133,JWN,2017-09-13,47.74,47.74
134,JWN,2017-09-12,45.05,45.05
135,JWN,2017-09-11,44.72,44.72
136,JWN,2017-09-08,46.1,46.1
137,JWN,2017-09-07,46.21,46.21
138,JWN,2017-09-06,46.72,46.72
139,JWN,2017-09-05,46.2,46.2
140,JWN,2017-09-01,46.44,46.44
141,JWN,2017-08-31,44.62,44.62
142,JWN,2017-08-30,44.29,44.29
143,JWN,2017-08-29,44.54,44.54
144,JWN,2017-08-28,45.06,45.06
145,JWN,2017-08-25,45.34,45.34
146,JWN,2017-08-24,43.82,43.82
147,JWN,2017-08-23,44.6,44.226567096628
148,JWN,2017-08-22,44.52,44.147236931432
149,JWN,2017-08-21,43.77,43.403516632722
150,JWN,2017-08-18,44.33,43.958827789093
151,JWN,2017-08-17,44.44,44.067906766237
152,JWN,2017-08-16,44.58,44.206734555329
153,JWN,2017-08-15,44.66,44.286064720525
154,JWN,2017-08-14,45.36,44.980203665988
155,JWN,2017-08-11,44.9,44.524055216112
156,JWN,2017-08-10,44.87,44.494306404164
157,JWN,2017-08-09,46.88,46.487476804707
158,JWN,2017-08-08,47.41,47.013039149129
159,JWN,2017-08-07,47.49,47.092369314325
160,JWN,2017-08-04,46.81,46.418062910161
161,JWN,2017-08-03,46.85,46.457727992759
162,JWN,2017-08-02,46.49,46.100742249378
163,JWN,2017-08-01,48.94,48.530228558497
164,JWN,2017-07-31,48.57,48.163326544467
165,JWN,2017-07-28,48.56,48.153410273818
166,JWN,2017-07-27,48.97,48.559977370446
167,JWN,2017-07-26,47.86,47.459271328355
168,JWN,2017-07-25,48.09,47.687345553293
169,JWN,2017-07-24,46.9,46.507309346006
170,JWN,2017-07-21,47.44,47.042787961077
171,JWN,2017-07-20,47.1,46.705634758995
172,JWN,2017-07-19,46.94,46.546974428604
173,JWN,2017-07-18,46.27,45.882584295089
174,JWN,2017-07-17,47.41,47.013039149129
175,JWN,2017-07-14,46.85,46.457727992759
176,JWN,2017-07-13,47.33,46.933708983933
177,JWN,2017-07-12,46.61,46.219737497171
178,JWN,2017-07-11,46.45,46.06107716678
179,JWN,2017-07-10,46.22,45.833002941842
180,JWN,2017-07-07,47.54,47.141950667572
181,JWN,2017-07-06,47.38,46.98329033718
182,JWN,2017-07-05,48.12,47.717094365241
183,JWN,2017-07-03,48.41,48.004666214076
184,JWN,2017-06-30,47.83,47.429522516406
185,JWN,2017-06-29,47.56,47.161783208871
186,JWN,2017-06-28,47.68,47.280778456664
187,JWN,2017-06-27,47.67,47.270862186015
188,JWN,2017-06-26,47.8,47.399773704458
189,JWN,2017-06-23,48.0,47.598099117447
190,JWN,2017-06-22,47.48,47.082453043675
191,JWN,2017-06-21,46.08,45.694175152749
192,JWN,2017-06-20,46.16,45.773505317945
193,JWN,2017-06-19,48.06,47.657596741344
194,JWN,2017-06-16,47.5,47.102285584974
195,JWN,2017-06-15,47.0,46.606472052501
196,JWN,2017-06-14,47.32,46.923792713284
197,JWN,2017-06-13,46.38,45.991663272234
198,JWN,2017-06-12,46.47,46.080909708079
199,JWN,2017-06-09,47.16,46.765132382892
200,JWN,2017-06-08,44.63,44.256315908577
201,JWN,2017-06-07,40.48,40.141063589047
202,JWN,2017-06-06,40.14,39.803910386965
203,JWN,2017-06-05,41.65,41.301267255035
204,JWN,2017-06-02,42.47,42.114401448291
205,JWN,2017-06-01,42.88,42.52096854492
206,JWN,2017-05-31,41.8,41.450011314777
207,JWN,2017-05-30,42.44,42.084652636343
208,JWN,2017-05-26,42.47,42.114401448291
209,JWN,2017-05-25,41.8,41.450011314777
210,JWN,2017-05-24,41.29,40.944281511654
211,JWN,2017-05-23,41.55,40.836171310831
212,JWN,2017-05-22,42.04,41.317753114497
213,JWN,2017-05-19,40.77,40.069571704996
214,JWN,2017-05-18,40.66,39.961461504173
215,JWN,2017-05-17,40.81,40.108884505295
216,JWN,2017-05-16,40.64,39.941805104024
217,JWN,2017-05-15,41.4,40.688748309709
218,JWN,2017-05-12,41.2,40.492184308213
219,JWN,2017-05-11,46.21,45.416112545692
220,JWN,2017-05-10,50.01,49.15082857412
221,JWN,2017-05-09,49.35,48.502167369182
222,JWN,2017-05-08,48.7,47.86333436432
223,JWN,2017-05-05,49.01,48.168008566639
224,JWN,2017-05-04,49.14,48.295775167611
225,JWN,2017-05-03,49.64,48.787185171352
226,JWN,2017-05-02,48.64,47.804365163871
227,JWN,2017-05-01,47.35,46.536527354221
228,JWN,2017-04-28,48.27,47.440721761103
229,JWN,2017-04-27,48.3,47.470206361327
230,JWN,2017-04-26,47.68,46.860857956689
231,JWN,2017-04-25,47.14,46.33013515265
232,JWN,2017-04-24,47.23,46.418588953323
233,JWN,2017-04-21,47.62,46.80188875624
234,JWN,2017-04-20,47.87,47.047593758111
235,JWN,2017-04-19,46.53,45.730614948086
236,JWN,2017-04-18,46.08,45.28834594472
237,JWN,2017-04-17,46.1,45.308002344869
238,JWN,2017-04-13,46.57,45.769927748385
239,JWN,2017-04-12,46.43,45.632332947338
240,JWN,2017-04-11,46.57,45.769927748385
241,JWN,2017-04-10,45.4,44.620028339633
242,JWN,2017-04-07,44.53,43.764974933124
243,JWN,2017-04-06,44.72,43.951710734546
244,JWN,2017-04-05,43.44,42.69370112497
245,JWN,2017-04-04,43.92,43.165454728561
246,JWN,2017-04-03,46.48,45.681473947712
247,JWN,2017-03-31,46.57,45.769927748385
248,JWN,2017-03-30,46.45,45.651989347488
249,JWN,2017-03-29,45.92,45.131094743523
250,JWN,2017-03-28,43.58,42.831295926018
251,JWN,2017-03-27,42.46,41.730537517639
252,JWN,2017-03-24,41.95,41.229299313824
253,JWN,2017-03-23,41.61,40.89514051128
254,JWN,2017-03-22,41.96,41.239127513898
255,JWN,2017-03-21,41.81,41.091704512776
256,JWN,2017-03-20,42.58,41.848475918537
257,JWN,2017-03-17,43.92,43.165454728561
258,JWN,2017-03-16,44.31,43.548754531479
259,JWN,2017-03-15,44.34,43.578239131703
260,JWN,2017-03-14,43.78,43.027859927514
261,JWN,2017-03-13,43.6,42.850952326167
262,JWN,2017-03-10,44.45,43.686349332526
263,JWN,2017-03-09,44.67,43.902569734172
264,JWN,2017-03-08,45.15,44.374323337763
265,JWN,2017-03-07,44.03,43.273564929384
266,JWN,2017-03-06,45.5,44.718310340381
267,JWN,2017-03-03,46.35,45.55370734674
