None,ticker,date,close,adj_close
0,KIM,2018-03-27,14.13,14.13
1,KIM,2018-03-26,14.19,14.19
2,KIM,2018-03-23,14.01,14.01
3,KIM,2018-03-22,14.2,14.2
4,KIM,2018-03-21,14.14,14.14
5,KIM,2018-03-20,14.17,14.17
6,KIM,2018-03-19,14.25,14.25
7,KIM,2018-03-16,14.54,14.54
8,KIM,2018-03-15,14.44,14.44
9,KIM,2018-03-14,14.59,14.59
10,KIM,2018-03-13,14.68,14.68
11,KIM,2018-03-12,14.69,14.69
12,KIM,2018-03-09,14.48,14.48
13,KIM,2018-03-08,15.14,15.14
14,KIM,2018-03-07,15.21,15.21
15,KIM,2018-03-06,14.96,14.96
16,KIM,2018-03-05,15.14,15.14
17,KIM,2018-03-02,15.29,15.29
18,KIM,2018-03-01,15.16,15.16
19,KIM,2018-02-28,14.96,14.96
20,KIM,2018-02-27,14.85,14.85
21,KIM,2018-02-26,15.49,15.49
22,KIM,2018-02-23,15.26,15.26
23,KIM,2018-02-22,14.99,14.99
24,KIM,2018-02-21,14.68,14.68
25,KIM,2018-02-20,15.25,15.25
26,KIM,2018-02-16,15.2,15.2
27,KIM,2018-02-15,14.67,14.67
28,KIM,2018-02-14,14.26,14.26
29,KIM,2018-02-13,14.34,14.34
30,KIM,2018-02-12,14.32,14.32
31,KIM,2018-02-09,14.18,14.18
32,KIM,2018-02-08,14.01,14.01
33,KIM,2018-02-07,14.52,14.52
34,KIM,2018-02-06,14.67,14.67
35,KIM,2018-02-05,14.66,14.66
36,KIM,2018-02-02,14.87,14.87
37,KIM,2018-02-01,15.36,15.36
38,KIM,2018-01-31,15.91,15.91
39,KIM,2018-01-30,15.6,15.6
40,KIM,2018-01-29,15.93,15.93
41,KIM,2018-01-26,15.99,15.99
42,KIM,2018-01-25,16.19,16.19
43,KIM,2018-01-24,16.33,16.33
44,KIM,2018-01-23,16.6,16.6
45,KIM,2018-01-22,16.58,16.58
46,KIM,2018-01-19,16.41,16.41
47,KIM,2018-01-18,16.47,16.47
48,KIM,2018-01-17,16.6,16.6
49,KIM,2018-01-16,16.55,16.55
50,KIM,2018-01-12,16.76,16.76
51,KIM,2018-01-11,17.01,17.01
52,KIM,2018-01-10,17.13,17.13
53,KIM,2018-01-09,17.22,17.22
54,KIM,2018-01-08,17.8,17.8
55,KIM,2018-01-05,17.7,17.7
56,KIM,2018-01-04,17.68,17.68
57,KIM,2018-01-03,18.0,18.0
58,KIM,2018-01-02,18.12,18.12
