None,ticker,date,close,adj_close
0,KMB,2018-03-27,107.5,107.5
1,KMB,2018-03-26,105.56,105.56
2,KMB,2018-03-23,104.74,104.74
3,KMB,2018-03-22,107.48,107.48
4,KMB,2018-03-21,108.4,108.4
5,KMB,2018-03-20,110.12,110.12
6,KMB,2018-03-19,111.09,111.09
7,KMB,2018-03-16,112.02,112.02
8,KMB,2018-03-15,110.94,110.94
9,KMB,2018-03-14,111.08,111.08
10,KMB,2018-03-13,112.96,112.96
11,KMB,2018-03-12,113.06,113.06
12,KMB,2018-03-09,111.94,111.94
13,KMB,2018-03-08,112.05,112.05
14,KMB,2018-03-07,111.76,110.77141088
15,KMB,2018-03-06,113.05,112.05
16,KMB,2018-03-05,113.18,112.178850066
17,KMB,2018-03-02,112.55,111.554422822
18,KMB,2018-03-01,111.5,110.513710747
19,KMB,2018-02-28,110.92,110.92
20,KMB,2018-02-27,112.34,112.34
21,KMB,2018-02-26,114.46,114.46
22,KMB,2018-02-23,113.65,113.65
23,KMB,2018-02-22,112.81,112.81
24,KMB,2018-02-21,111.94,111.94
25,KMB,2018-02-20,114.45,114.45
26,KMB,2018-02-16,116.1,116.1
27,KMB,2018-02-15,115.82,115.82
28,KMB,2018-02-14,112.73,112.73
29,KMB,2018-02-13,112.66,112.66
30,KMB,2018-02-12,113.67,113.67
31,KMB,2018-02-09,111.44,111.44
32,KMB,2018-02-08,111.69,111.69
33,KMB,2018-02-07,112.36,112.36
34,KMB,2018-02-06,114.14,114.14
35,KMB,2018-02-05,111.88,111.88
36,KMB,2018-02-02,116.21,116.21
37,KMB,2018-02-01,117.9,117.9
38,KMB,2018-01-31,117.0,117.0
39,KMB,2018-01-30,118.5,118.5
40,KMB,2018-01-29,119.71,119.71
41,KMB,2018-01-26,122.23,122.23
42,KMB,2018-01-25,123.44,123.44
43,KMB,2018-01-24,119.71,119.71
44,KMB,2018-01-23,117.84,117.84
45,KMB,2018-01-22,116.91,116.91
46,KMB,2018-01-19,115.49,115.49
47,KMB,2018-01-18,115.34,115.34
48,KMB,2018-01-17,116.66,116.66
49,KMB,2018-01-16,114.26,114.26
50,KMB,2018-01-12,112.98,112.98
51,KMB,2018-01-11,112.7,112.7
52,KMB,2018-01-10,114.96,114.96
53,KMB,2018-01-09,116.8,116.8
54,KMB,2018-01-08,119.43,119.43
55,KMB,2018-01-05,118.17,118.17
56,KMB,2018-01-04,118.43,118.43
57,KMB,2018-01-03,117.08,117.08
58,KMB,2018-01-02,119.07,119.07
59,KMB,2017-12-29,120.66,120.66
60,KMB,2017-12-28,120.23,120.23
61,KMB,2017-12-27,121.88,121.88
62,KMB,2017-12-26,121.31,121.31
63,KMB,2017-12-22,120.66,120.66
64,KMB,2017-12-21,120.28,120.28
65,KMB,2017-12-20,120.45,120.45
66,KMB,2017-12-19,120.57,120.57
67,KMB,2017-12-18,119.65,119.65
68,KMB,2017-12-15,118.51,118.51
69,KMB,2017-12-14,117.25,117.25
70,KMB,2017-12-13,117.39,117.39
71,KMB,2017-12-12,116.4,116.4
72,KMB,2017-12-11,118.49,118.49
73,KMB,2017-12-08,120.11,120.11
74,KMB,2017-12-07,119.76,119.76
75,KMB,2017-12-06,122.16,122.16
76,KMB,2017-12-05,122.85,122.85
77,KMB,2017-12-04,123.11,123.11
78,KMB,2017-12-01,120.51,120.51
79,KMB,2017-11-30,119.76,119.76
80,KMB,2017-11-29,119.14,119.14
81,KMB,2017-11-28,117.38,117.38
82,KMB,2017-11-27,116.76,116.76
83,KMB,2017-11-24,116.48,116.48
84,KMB,2017-11-22,116.05,116.05
85,KMB,2017-11-21,117.0,117.0
86,KMB,2017-11-20,115.35,115.35
87,KMB,2017-11-17,114.32,114.32
88,KMB,2017-11-16,114.9,114.9
89,KMB,2017-11-15,113.43,113.43
90,KMB,2017-11-14,114.55,114.55
91,KMB,2017-11-13,115.41,115.41
92,KMB,2017-11-10,114.14,114.14
93,KMB,2017-11-09,113.29,113.29
94,KMB,2017-11-07,111.93,111.93
95,KMB,2017-11-06,109.87,109.87
96,KMB,2017-11-03,110.79,110.79
97,KMB,2017-11-02,111.55,111.55
98,KMB,2017-11-01,112.05,112.05
99,KMB,2017-10-31,112.51,112.51
100,KMB,2017-10-30,111.27,111.27
101,KMB,2017-10-27,112.41,112.41
102,KMB,2017-10-26,113.59,113.59
103,KMB,2017-10-25,112.46,112.46
104,KMB,2017-10-24,112.04,112.04
105,KMB,2017-10-23,112.53,112.53
106,KMB,2017-10-20,113.44,113.44
107,KMB,2017-10-19,115.55,115.55
108,KMB,2017-10-18,117.3,117.3
109,KMB,2017-10-17,118.28,118.28
110,KMB,2017-10-16,118.22,118.22
111,KMB,2017-10-13,118.56,118.56
112,KMB,2017-10-12,117.56,117.56
113,KMB,2017-10-11,117.84,117.84
114,KMB,2017-10-10,116.45,116.45
115,KMB,2017-10-09,115.49,115.49
116,KMB,2017-10-06,115.39,115.39
117,KMB,2017-10-05,117.47,117.47
118,KMB,2017-10-04,117.19,117.19
119,KMB,2017-10-03,115.58,115.58
120,KMB,2017-10-02,116.97,116.97
121,KMB,2017-09-29,117.68,117.68
122,KMB,2017-09-28,116.96,116.96
123,KMB,2017-09-27,116.51,116.51
124,KMB,2017-09-26,117.68,117.68
125,KMB,2017-09-25,117.49,117.49
126,KMB,2017-09-22,117.52,117.52
127,KMB,2017-09-21,118.12,118.12
128,KMB,2017-09-20,120.16,120.16
129,KMB,2017-09-19,121.76,121.76
130,KMB,2017-09-18,121.87,121.87
131,KMB,2017-09-15,121.1,121.1
132,KMB,2017-09-14,120.83,120.83
133,KMB,2017-09-13,119.98,119.98
134,KMB,2017-09-12,120.6,120.6
135,KMB,2017-09-11,119.6,119.6
136,KMB,2017-09-08,118.13,118.13
137,KMB,2017-09-07,119.61,119.61
138,KMB,2017-09-06,120.31,119.34217200199
139,KMB,2017-09-05,122.91,121.92125642727
140,KMB,2017-09-01,123.21,122.21884309172
141,KMB,2017-08-31,123.29,122.29819953558
142,KMB,2017-08-30,122.3,121.31616354288
143,KMB,2017-08-29,122.38,121.39551998673
144,KMB,2017-08-28,122.37,121.38560043125
145,KMB,2017-08-25,121.52,120.54243821529
146,KMB,2017-08-24,120.99,120.01670177476
147,KMB,2017-08-23,122.27,121.28640487643
148,KMB,2017-08-22,122.43,121.44511776414
149,KMB,2017-08-21,122.68,121.69310665119
150,KMB,2017-08-18,121.39,120.41348399403
151,KMB,2017-08-17,122.28,121.29632443191
152,KMB,2017-08-16,122.33,121.34592220932
153,KMB,2017-08-15,122.23,121.2467266545
154,KMB,2017-08-14,121.69,120.71107065848
155,KMB,2017-08-11,120.64,119.66951733289
156,KMB,2017-08-10,121.07,120.09605821861
157,KMB,2017-08-09,121.61,120.63171421463
158,KMB,2017-08-08,121.44,120.46308177144
159,KMB,2017-08-07,121.42,120.44324266047
160,KMB,2017-08-04,121.32,120.34404710566
161,KMB,2017-08-03,121.68,120.701151103
162,KMB,2017-08-02,121.36,120.38372532758
163,KMB,2017-08-01,121.69,120.71107065848
164,KMB,2017-07-31,123.16,122.16924531431
165,KMB,2017-07-28,122.45,121.4649568751
166,KMB,2017-07-27,124.21,123.21079863991
167,KMB,2017-07-26,122.24,121.25664620999
168,KMB,2017-07-25,124.68,123.67701774755
169,KMB,2017-07-24,123.81,122.81401642063
170,KMB,2017-07-21,125.28,124.27219107646
171,KMB,2017-07-20,123.71,122.71482086582
172,KMB,2017-07-19,123.95,122.95289019738
173,KMB,2017-07-18,124.57,123.56790263725
174,KMB,2017-07-17,124.69,123.68693730304
175,KMB,2017-07-14,124.51,123.50838530436
176,KMB,2017-07-13,123.9,122.90329241997
177,KMB,2017-07-12,124.7,123.69685685852
178,KMB,2017-07-11,125.81,124.797927517
179,KMB,2017-07-10,127.01,125.98827417482
180,KMB,2017-07-07,126.8,125.7799635097
181,KMB,2017-07-06,126.38,125.36334217947
182,KMB,2017-07-05,128.66,127.62500082932
183,KMB,2017-07-03,128.43,127.39685105324
184,KMB,2017-06-30,129.11,128.07138082601
185,KMB,2017-06-29,129.0,127.96226571571
186,KMB,2017-06-28,131.5,130.44215458617
187,KMB,2017-06-27,131.46,130.40247636424
188,KMB,2017-06-26,133.52,132.4459047935
189,KMB,2017-06-23,132.3,131.23571902471
190,KMB,2017-06-22,131.75,130.69014347321
191,KMB,2017-06-21,131.83,130.76949991707
192,KMB,2017-06-20,132.97,131.900329242
193,KMB,2017-06-19,132.78,131.71185768784
194,KMB,2017-06-16,130.21,129.16253192901
195,KMB,2017-06-15,130.82,129.7676248134
196,KMB,2017-06-14,130.37,129.32124481672
197,KMB,2017-06-13,129.37,128.32928926854
198,KMB,2017-06-12,128.82,127.78371371703
199,KMB,2017-06-09,128.77,127.73411593963
200,KMB,2017-06-08,128.05,127.01990794493
201,KMB,2017-06-07,130.2,129.15261237353
202,KMB,2017-06-06,130.96,128.94584216236
203,KMB,2017-06-05,130.8,128.78830295386
204,KMB,2017-06-02,130.64,128.63076374535
205,KMB,2017-06-01,129.99,127.99076071079
206,KMB,2017-05-31,129.73,127.73475949697
207,KMB,2017-05-30,128.97,126.98644825657
208,KMB,2017-05-26,129.51,127.51814308528
209,KMB,2017-05-25,129.4,127.40983487943
210,KMB,2017-05-24,128.03,126.06090540659
211,KMB,2017-05-23,126.8,124.8498227412
212,KMB,2017-05-22,127.08,125.12551635609
213,KMB,2017-05-19,127.2,125.24367076247
214,KMB,2017-05-18,126.72,124.77105313695
215,KMB,2017-05-17,127.96,125.99198200287
216,KMB,2017-05-16,127.42,125.46028717416
217,KMB,2017-05-15,128.0,126.031366805
218,KMB,2017-05-12,127.99,126.02152060447
219,KMB,2017-05-11,128.11,126.13967501085
220,KMB,2017-05-10,129.15,127.16367986614
221,KMB,2017-05-09,128.21,126.23813701616
222,KMB,2017-05-08,128.32,126.34644522201
223,KMB,2017-05-05,128.59,126.61229263636
224,KMB,2017-05-04,128.19,126.2184446151
225,KMB,2017-05-03,126.77,124.82028413961
226,KMB,2017-05-02,126.74,124.79074553801
227,KMB,2017-05-01,129.56,127.56737408793
228,KMB,2017-04-28,129.75,127.75445189804
229,KMB,2017-04-27,130.0,128.00060691133
230,KMB,2017-04-26,130.13,128.12860751824
231,KMB,2017-04-25,132.79,130.74769685965
232,KMB,2017-04-24,130.4,128.39445493259
233,KMB,2017-04-21,129.96,127.9612221092
234,KMB,2017-04-20,131.23,129.21168957672
235,KMB,2017-04-19,133.19,131.14154488092
236,KMB,2017-04-18,133.91,131.8504713192
237,KMB,2017-04-17,133.37,131.31877649049
238,KMB,2017-04-13,132.67,130.62954245327
239,KMB,2017-04-12,133.1,131.05292907613
240,KMB,2017-04-11,132.63,130.59015765115
241,KMB,2017-04-10,131.92,129.8910774134
242,KMB,2017-04-07,131.33,129.31015158203
243,KMB,2017-04-06,131.11,129.09353517034
244,KMB,2017-04-05,131.7,129.6744610017
245,KMB,2017-04-04,132.22,130.18646342935
246,KMB,2017-04-03,131.51,129.4873831916
247,KMB,2017-03-31,131.63,129.60553759798
248,KMB,2017-03-30,132.24,130.20615583041
249,KMB,2017-03-29,132.53,130.49169564583
250,KMB,2017-03-28,132.73,130.68861965646
251,KMB,2017-03-27,132.36,130.32431023679
252,KMB,2017-03-24,132.45,130.41292604158
253,KMB,2017-03-23,133.03,130.98400567241
254,KMB,2017-03-22,132.84,130.79692786231
255,KMB,2017-03-21,133.68,131.62400870697
256,KMB,2017-03-20,133.74,131.68308591016
257,KMB,2017-03-17,133.26,131.21046828464
258,KMB,2017-03-16,134.53,132.46093575216
259,KMB,2017-03-15,135.0,132.92370717715
260,KMB,2017-03-14,133.54,131.48616189953
261,KMB,2017-03-13,133.74,131.68308591016
262,KMB,2017-03-10,133.89,131.83077891813
263,KMB,2017-03-09,132.71,130.6689272554
264,KMB,2017-03-08,132.35,130.31446403626
265,KMB,2017-03-07,133.38,130.37311140982
266,KMB,2017-03-06,133.33,130.32423859852
267,KMB,2017-03-03,133.65,130.63702459081
268,KMB,2017-03-02,134.5,131.46786238282
269,KMB,2017-03-01,133.24,130.23626753819
270,KMB,2017-02-28,132.55,129.56182274232
271,KMB,2017-02-27,132.63,129.64001924039
272,KMB,2017-02-24,133.66,130.64679915307
273,KMB,2017-02-23,134.34,131.31146938667
274,KMB,2017-02-22,134.83,131.79042293736
275,KMB,2017-02-21,134.64,131.60470625444
276,KMB,2017-02-17,131.93,128.95579988227
277,KMB,2017-02-16,126.62,123.76550732277
278,KMB,2017-02-15,124.41,121.60532906354
279,KMB,2017-02-14,122.88,120.10982103792
280,KMB,2017-02-13,123.43,120.64742196216
281,KMB,2017-02-10,123.55,120.76471670927
282,KMB,2017-02-09,123.58,120.79404039605
283,KMB,2017-02-08,122.93,120.15869384922
284,KMB,2017-02-07,122.45,119.68951486079
285,KMB,2017-02-06,121.24,118.50679282746
286,KMB,2017-02-03,121.54,118.80002969522
287,KMB,2017-02-02,121.41,118.67296038586
288,KMB,2017-02-01,121.01,118.2819778955
289,KMB,2017-01-31,121.13,118.39927264261
290,KMB,2017-01-30,120.59,117.87144628062
291,KMB,2017-01-27,120.98,118.25265420872
292,KMB,2017-01-26,122.15,119.39627799302
293,KMB,2017-01-25,122.0,119.24965955914
294,KMB,2017-01-24,121.79,119.0443937517
295,KMB,2017-01-23,116.98,114.34282930514
296,KMB,2017-01-20,116.22,113.59996257346
297,KMB,2017-01-19,115.9,113.28717658118
298,KMB,2017-01-18,116.4,113.77590469413
299,KMB,2017-01-17,116.03,113.41424589054
300,KMB,2017-01-13,114.59,112.00670892526
301,KMB,2017-01-12,114.46,111.87963961589
302,KMB,2017-01-11,114.41,111.8307668046
303,KMB,2017-01-10,114.36,111.7818939933
304,KMB,2017-01-09,114.64,112.05558173655
305,KMB,2017-01-06,116.43,113.8052283809
306,KMB,2017-01-05,116.01,113.39469676603
307,KMB,2017-01-04,115.18,112.58340809853
308,KMB,2017-01-03,114.56,111.97738523848
