None,ticker,date,close,adj_close
0,KMI,2018-03-27,15.09,15.09
1,KMI,2018-03-26,15.13,15.13
2,KMI,2018-03-23,15.01,15.01
3,KMI,2018-03-22,15.36,15.36
4,KMI,2018-03-21,15.91,15.91
5,KMI,2018-03-20,15.61,15.61
6,KMI,2018-03-19,16.0,16.0
7,KMI,2018-03-16,16.41,16.41
8,KMI,2018-03-15,16.31,16.31
9,KMI,2018-03-14,16.42,16.42
10,KMI,2018-03-13,16.5,16.5
11,KMI,2018-03-12,16.55,16.55
12,KMI,2018-03-09,16.33,16.33
13,KMI,2018-03-08,16.01,16.01
14,KMI,2018-03-07,16.05,16.05
15,KMI,2018-03-06,16.11,16.11
16,KMI,2018-03-05,16.21,16.21
17,KMI,2018-03-02,16.1,16.1
18,KMI,2018-03-01,16.21,16.21
19,KMI,2018-02-28,16.2,16.2
20,KMI,2018-02-27,16.64,16.64
21,KMI,2018-02-26,16.92,16.92
22,KMI,2018-02-23,17.01,17.01
23,KMI,2018-02-22,16.66,16.66
24,KMI,2018-02-21,16.75,16.75
25,KMI,2018-02-20,17.0,17.0
26,KMI,2018-02-16,17.06,17.06
27,KMI,2018-02-15,17.31,17.31
28,KMI,2018-02-14,17.45,17.45
29,KMI,2018-02-13,17.39,17.39
30,KMI,2018-02-12,17.3,17.3
31,KMI,2018-02-09,17.24,17.24
32,KMI,2018-02-08,16.8,16.8
33,KMI,2018-02-07,17.29,17.29
34,KMI,2018-02-06,17.33,17.33
35,KMI,2018-02-05,16.81,16.81
36,KMI,2018-02-02,17.5,17.5
37,KMI,2018-02-01,18.06,18.06
38,KMI,2018-01-31,17.98,17.98
39,KMI,2018-01-30,18.23,18.23
40,KMI,2018-01-29,18.71,18.71
41,KMI,2018-01-26,18.77,18.77
42,KMI,2018-01-25,18.82,18.82
43,KMI,2018-01-24,19.14,19.14
44,KMI,2018-01-23,19.45,19.45
45,KMI,2018-01-22,19.63,19.63
46,KMI,2018-01-19,19.01,19.01
47,KMI,2018-01-18,19.01,19.01
48,KMI,2018-01-17,19.57,19.57
49,KMI,2018-01-16,19.39,19.39
50,KMI,2018-01-12,19.52,19.52
51,KMI,2018-01-11,19.2,19.2
52,KMI,2018-01-10,18.88,18.88
53,KMI,2018-01-09,18.94,18.94
54,KMI,2018-01-08,18.86,18.86
55,KMI,2018-01-05,18.95,18.95
56,KMI,2018-01-04,19.01,19.01
57,KMI,2018-01-03,18.96,18.96
58,KMI,2018-01-02,18.8,18.8
59,KMI,2017-12-29,18.07,18.07
60,KMI,2017-12-28,18.31,18.31
61,KMI,2017-12-27,18.12,18.12
62,KMI,2017-12-26,18.11,18.11
63,KMI,2017-12-22,18.05,18.05
64,KMI,2017-12-21,18.07,18.07
65,KMI,2017-12-20,17.76,17.76
66,KMI,2017-12-19,17.92,17.92
67,KMI,2017-12-18,18.0,18.0
68,KMI,2017-12-15,17.93,17.93
69,KMI,2017-12-14,17.84,17.84
70,KMI,2017-12-13,17.85,17.85
71,KMI,2017-12-12,17.75,17.75
72,KMI,2017-12-11,17.96,17.96
73,KMI,2017-12-08,17.79,17.79
74,KMI,2017-12-07,17.36,17.36
75,KMI,2017-12-06,17.11,17.11
76,KMI,2017-12-05,17.14,17.14
77,KMI,2017-12-04,17.25,17.25
78,KMI,2017-12-01,17.41,17.41
79,KMI,2017-11-30,17.23,17.23
80,KMI,2017-11-29,16.76,16.76
81,KMI,2017-11-28,17.03,17.03
82,KMI,2017-11-27,16.96,16.96
83,KMI,2017-11-24,17.19,17.19
84,KMI,2017-11-22,17.1,17.1
85,KMI,2017-11-21,16.87,16.87
86,KMI,2017-11-20,17.06,17.06
87,KMI,2017-11-17,17.01,17.01
88,KMI,2017-11-16,16.83,16.83
89,KMI,2017-11-15,17.03,17.03
90,KMI,2017-11-14,17.43,17.43
91,KMI,2017-11-13,17.46,17.46
92,KMI,2017-11-10,17.67,17.67
93,KMI,2017-11-09,17.91,17.91
94,KMI,2017-11-07,18.04,18.04
95,KMI,2017-11-06,18.08,18.08
96,KMI,2017-11-03,17.74,17.74
97,KMI,2017-11-02,17.8,17.8
98,KMI,2017-11-01,18.13,18.13
99,KMI,2017-10-31,18.11,18.11
100,KMI,2017-10-30,18.1,18.1
101,KMI,2017-10-27,18.03,17.90633744856
102,KMI,2017-10-26,18.0,17.876543209877
103,KMI,2017-10-25,17.97,17.846748971193
104,KMI,2017-10-24,18.27,18.144691358025
105,KMI,2017-10-23,18.12,17.995720164609
106,KMI,2017-10-20,18.42,18.29366255144
107,KMI,2017-10-19,18.65,18.522085048011
108,KMI,2017-10-18,18.58,18.45256515775
109,KMI,2017-10-17,18.68,18.551879286694
110,KMI,2017-10-16,18.81,18.680987654321
111,KMI,2017-10-13,18.76,18.631330589849
112,KMI,2017-10-12,18.88,18.750507544582
113,KMI,2017-10-11,19.05,18.919341563786
114,KMI,2017-10-10,18.95,18.820027434842
115,KMI,2017-10-09,19.03,18.899478737997
116,KMI,2017-10-06,19.02,18.889547325103
117,KMI,2017-10-05,19.1,18.968998628258
118,KMI,2017-10-04,18.82,18.690919067215
119,KMI,2017-10-03,18.85,18.720713305898
120,KMI,2017-10-02,19.1,18.968998628258
121,KMI,2017-09-29,19.18,19.048449931413
122,KMI,2017-09-28,19.31,19.17755829904
123,KMI,2017-09-27,19.33,19.197421124829
124,KMI,2017-09-26,19.52,19.386117969822
125,KMI,2017-09-25,19.69,19.554951989026
126,KMI,2017-09-22,19.27,19.137832647462
127,KMI,2017-09-21,19.32,19.187489711934
128,KMI,2017-09-20,19.77,19.634403292181
129,KMI,2017-09-19,19.56,19.425843621399
130,KMI,2017-09-18,19.39,19.257009602195
131,KMI,2017-09-15,19.36,19.227215363512
132,KMI,2017-09-14,19.34,19.207352537723
133,KMI,2017-09-13,19.44,19.306666666667
134,KMI,2017-09-12,19.36,19.227215363512
135,KMI,2017-09-11,19.44,19.306666666667
136,KMI,2017-09-08,19.14,19.008724279835
137,KMI,2017-09-07,19.14,19.008724279835
138,KMI,2017-09-06,19.33,19.197421124829
139,KMI,2017-09-05,19.35,19.217283950617
140,KMI,2017-09-01,19.36,19.227215363512
141,KMI,2017-08-31,19.33,19.197421124829
142,KMI,2017-08-30,19.07,18.939204389575
143,KMI,2017-08-29,19.02,18.889547325103
144,KMI,2017-08-28,19.01,18.879615912209
145,KMI,2017-08-25,19.17,19.038518518519
146,KMI,2017-08-24,19.05,18.919341563786
147,KMI,2017-08-23,19.01,18.879615912209
148,KMI,2017-08-22,18.79,18.661124828532
149,KMI,2017-08-21,18.55,18.422770919067
150,KMI,2017-08-18,18.55,18.422770919067
151,KMI,2017-08-17,18.4,18.273799725652
152,KMI,2017-08-16,18.71,18.581673525377
153,KMI,2017-08-15,18.85,18.720713305898
154,KMI,2017-08-14,19.03,18.899478737997
155,KMI,2017-08-11,19.07,18.939204389575
156,KMI,2017-08-10,19.39,19.257009602195
157,KMI,2017-08-09,19.75,19.614540466392
158,KMI,2017-08-08,19.75,19.614540466392
159,KMI,2017-08-07,20.15,20.011796982167
160,KMI,2017-08-04,20.2,20.061454046639
161,KMI,2017-08-03,20.23,20.091248285322
162,KMI,2017-08-02,20.33,20.190562414266
163,KMI,2017-08-01,20.35,20.210425240055
164,KMI,2017-07-31,20.43,20.28987654321
165,KMI,2017-07-28,20.4,20.260082304527
166,KMI,2017-07-27,20.47,20.329602194787
167,KMI,2017-07-26,20.34,20.077888256469
168,KMI,2017-07-25,20.25,19.989048042945
169,KMI,2017-07-24,20.33,20.068017121633
170,KMI,2017-07-21,20.69,20.42337797573
171,KMI,2017-07-20,20.56,20.295053222861
172,KMI,2017-07-19,19.67,19.416522222455
173,KMI,2017-07-18,19.5,19.248712930243
174,KMI,2017-07-17,19.55,19.298068604423
175,KMI,2017-07-14,19.54,19.288197469587
176,KMI,2017-07-13,19.33,19.080903638031
177,KMI,2017-07-12,19.41,19.159872716719
178,KMI,2017-07-11,19.22,18.972321154834
179,KMI,2017-07-10,19.08,18.83412526713
180,KMI,2017-07-07,19.17,18.922965480654
181,KMI,2017-07-06,19.13,18.88348094131
182,KMI,2017-07-05,19.31,19.061161368359
183,KMI,2017-07-03,19.52,19.268455199915
184,KMI,2017-06-30,19.16,18.913094345818
185,KMI,2017-06-29,19.04,18.794640727786
186,KMI,2017-06-28,19.02,18.774898458114
187,KMI,2017-06-27,18.91,18.666315974918
188,KMI,2017-06-26,18.88,18.63670257041
189,KMI,2017-06-23,18.79,18.547862356885
190,KMI,2017-06-22,18.58,18.340568525329
191,KMI,2017-06-21,18.51,18.271470581477
192,KMI,2017-06-20,18.52,18.281341716313
193,KMI,2017-06-19,19.06,18.814382997458
194,KMI,2017-06-16,19.19,18.942707750326
195,KMI,2017-06-15,18.81,18.567604626557
196,KMI,2017-06-14,18.96,18.715671649098
197,KMI,2017-06-13,19.23,18.98219228967
198,KMI,2017-06-12,19.13,18.88348094131
199,KMI,2017-06-09,19.08,18.83412526713
200,KMI,2017-06-08,18.76,18.518248952377
201,KMI,2017-06-07,18.68,18.439279873689
202,KMI,2017-06-06,18.8,18.557733491721
203,KMI,2017-06-05,18.96,18.715671649098
204,KMI,2017-06-02,18.95,18.705800514262
205,KMI,2017-06-01,18.99,18.745285053606
206,KMI,2017-05-31,18.76,18.518248952377
207,KMI,2017-05-30,18.42,18.182630367953
208,KMI,2017-05-26,19.25,19.001934559342
209,KMI,2017-05-25,19.42,19.169743851555
210,KMI,2017-05-24,19.37,19.120388177375
211,KMI,2017-05-23,19.52,19.268455199915
212,KMI,2017-05-22,19.51,19.258584065079
213,KMI,2017-05-19,19.52,19.268455199915
214,KMI,2017-05-18,19.45,19.199357256063
215,KMI,2017-05-17,19.5,19.248712930243
216,KMI,2017-05-16,19.8,19.544846975324
217,KMI,2017-05-15,19.9,19.643558323684
218,KMI,2017-05-12,19.91,19.65342945852
219,KMI,2017-05-11,20.11,19.85085215524
220,KMI,2017-05-10,20.19,19.929821233928
221,KMI,2017-05-09,19.9,19.643558323684
222,KMI,2017-05-08,20.15,19.890336694584
223,KMI,2017-05-05,20.19,19.929821233928
224,KMI,2017-05-04,19.76,19.50536243598
225,KMI,2017-05-03,20.28,20.018661447453
226,KMI,2017-05-02,20.45,20.186470739665
227,KMI,2017-05-01,20.54,20.275310953189
228,KMI,2017-04-28,20.63,20.364151166713
229,KMI,2017-04-27,20.62,20.354280031877
230,KMI,2017-04-26,20.92,20.525984009008
231,KMI,2017-04-25,20.9,20.506360697336
232,KMI,2017-04-24,20.63,20.241445989763
233,KMI,2017-04-21,20.27,19.888226379665
234,KMI,2017-04-20,20.72,20.329750892287
235,KMI,2017-04-19,20.98,20.584853944025
236,KMI,2017-04-18,21.16,20.761463749073
237,KMI,2017-04-17,21.37,20.96750852163
238,KMI,2017-04-13,21.39,20.987131833302
239,KMI,2017-04-12,21.66,21.252046540876
240,KMI,2017-04-11,21.61,21.202988261695
241,KMI,2017-04-10,21.75,21.3403514434
242,KMI,2017-04-07,21.56,21.153929982515
243,KMI,2017-04-06,21.75,21.3403514434
244,KMI,2017-04-05,21.47,21.065625079991
245,KMI,2017-04-04,21.64,21.232423229204
246,KMI,2017-04-03,21.59,21.183364950023
247,KMI,2017-03-31,21.74,21.330539787564
248,KMI,2017-03-30,21.43,21.026378456647
249,KMI,2017-03-29,21.41,21.006755144974
250,KMI,2017-03-28,21.42,21.016566800811
251,KMI,2017-03-27,21.03,20.633912223205
252,KMI,2017-03-24,21.15,20.751652093237
253,KMI,2017-03-23,21.15,20.751652093237
254,KMI,2017-03-22,20.98,20.584853944025
255,KMI,2017-03-21,20.94,20.54560732068
256,KMI,2017-03-20,21.19,20.790898716581
257,KMI,2017-03-17,21.28,20.879203619106
258,KMI,2017-03-16,21.56,21.153929982515
259,KMI,2017-03-15,21.66,21.252046540876
260,KMI,2017-03-14,21.04,20.643723879041
261,KMI,2017-03-13,21.51,21.104871703335
262,KMI,2017-03-10,21.5,21.095060047499
263,KMI,2017-03-09,21.27,20.86939196327
264,KMI,2017-03-08,21.29,20.889015274942
265,KMI,2017-03-07,21.63,21.222611573368
266,KMI,2017-03-06,21.76,21.350163099236
267,KMI,2017-03-03,21.75,21.3403514434
268,KMI,2017-03-02,21.85,21.438468001761
269,KMI,2017-03-01,21.77,21.359974755072
270,KMI,2017-02-28,21.31,20.908638586614
271,KMI,2017-02-27,21.4,20.996943489138
272,KMI,2017-02-24,21.24,20.839956995762
273,KMI,2017-02-23,21.54,21.134306670843
274,KMI,2017-02-22,21.51,21.104871703335
275,KMI,2017-02-21,21.99,21.575831183465
276,KMI,2017-02-17,21.77,21.359974755072
277,KMI,2017-02-16,21.79,21.379598066744
278,KMI,2017-02-15,22.27,21.850557546874
279,KMI,2017-02-14,22.54,22.115472254448
280,KMI,2017-02-13,22.55,22.125283910284
281,KMI,2017-02-10,22.48,22.056602319431
282,KMI,2017-02-09,22.38,21.958485761071
283,KMI,2017-02-08,22.41,21.987920728579
284,KMI,2017-02-07,22.12,21.703382709334
285,KMI,2017-02-06,22.5,22.076225631104
286,KMI,2017-02-03,22.94,22.50793848789
287,KMI,2017-02-02,22.65,22.223400468644
288,KMI,2017-02-01,22.23,21.81131092353
289,KMI,2017-01-31,22.34,21.919239137727
290,KMI,2017-01-30,21.98,21.566019527629
291,KMI,2017-01-27,22.38,21.834314274071
292,KMI,2017-01-26,22.42,21.873338964463
293,KMI,2017-01-25,22.6,22.048950071225
294,KMI,2017-01-24,22.62,22.06846241642
295,KMI,2017-01-23,22.14,21.600166131722
296,KMI,2017-01-20,22.49,21.941632172648
297,KMI,2017-01-19,22.47,21.922119827452
298,KMI,2017-01-18,22.44,21.892851309658
299,KMI,2017-01-17,22.55,22.000169208235
