None,ticker,date,close,adj_close
0,KMX,2018-03-27,59.75,59.75
1,KMX,2018-03-26,60.59,60.59
2,KMX,2018-03-23,59.36,59.36
3,KMX,2018-03-22,60.0,60.0
4,KMX,2018-03-21,61.51,61.51
5,KMX,2018-03-20,61.93,61.93
6,KMX,2018-03-19,62.49,62.49
7,KMX,2018-03-16,62.87,62.87
8,KMX,2018-03-15,62.17,62.17
9,KMX,2018-03-14,62.8,62.8
10,KMX,2018-03-13,62.62,62.62
11,KMX,2018-03-12,62.5,62.5
12,KMX,2018-03-09,62.43,62.43
13,KMX,2018-03-08,60.76,60.76
14,KMX,2018-03-07,60.72,60.72
15,KMX,2018-03-06,61.49,61.49
16,KMX,2018-03-05,60.46,60.46
17,KMX,2018-03-02,59.97,59.97
18,KMX,2018-03-01,60.06,60.06
19,KMX,2018-02-28,61.92,61.92
20,KMX,2018-02-27,62.04,62.04
21,KMX,2018-02-26,62.89,62.89
22,KMX,2018-02-23,62.76,62.76
23,KMX,2018-02-22,61.04,61.04
24,KMX,2018-02-21,60.98,60.98
25,KMX,2018-02-20,63.31,63.31
26,KMX,2018-02-16,64.43,64.43
27,KMX,2018-02-15,64.33,64.33
28,KMX,2018-02-14,63.78,63.78
29,KMX,2018-02-13,63.39,63.39
30,KMX,2018-02-12,65.66,65.66
31,KMX,2018-02-09,64.49,64.49
32,KMX,2018-02-08,64.34,64.34
33,KMX,2018-02-07,65.4,65.4
34,KMX,2018-02-06,65.32,65.32
35,KMX,2018-02-05,64.82,64.82
36,KMX,2018-02-02,68.75,68.75
37,KMX,2018-02-01,70.81,70.81
38,KMX,2018-01-31,71.37,71.37
39,KMX,2018-01-30,71.82,71.82
40,KMX,2018-01-29,72.36,72.36
41,KMX,2018-01-26,72.42,72.42
42,KMX,2018-01-25,71.54,71.54
43,KMX,2018-01-24,70.95,70.95
44,KMX,2018-01-23,70.54,70.54
45,KMX,2018-01-22,71.49,71.49
46,KMX,2018-01-19,70.58,70.58
47,KMX,2018-01-18,70.54,70.54
48,KMX,2018-01-17,69.84,69.84
