None,ticker,date,close,adj_close
0,KSS,2018-03-27,62.8,62.8
1,KSS,2018-03-26,63.77,63.77
2,KSS,2018-03-23,61.98,61.98
3,KSS,2018-03-22,63.01,63.01
4,KSS,2018-03-21,63.74,63.74
5,KSS,2018-03-20,64.16,64.16
6,KSS,2018-03-19,63.55,63.55
7,KSS,2018-03-16,63.13,63.13
8,KSS,2018-03-15,61.49,61.49
9,KSS,2018-03-14,62.25,62.25
10,KSS,2018-03-13,64.11,64.11
11,KSS,2018-03-12,63.03,63.03
12,KSS,2018-03-09,62.97,62.97
13,KSS,2018-03-08,62.19,62.19
14,KSS,2018-03-07,65.18,65.18
15,KSS,2018-03-06,66.82,66.82
16,KSS,2018-03-05,66.09,66.09
17,KSS,2018-03-02,66.5,66.5
18,KSS,2018-03-01,62.75,62.75
19,KSS,2018-02-28,66.09,66.09
20,KSS,2018-02-27,65.0,65.0
21,KSS,2018-02-26,67.1,67.1
22,KSS,2018-02-23,66.47,66.47
23,KSS,2018-02-22,64.75,64.75
24,KSS,2018-02-21,63.44,63.44
25,KSS,2018-02-20,64.37,64.37
26,KSS,2018-02-16,65.61,65.61
27,KSS,2018-02-15,65.15,65.15
28,KSS,2018-02-14,64.57,64.57
29,KSS,2018-02-13,62.9,62.9
30,KSS,2018-02-12,61.12,61.12
31,KSS,2018-02-09,61.47,61.47
32,KSS,2018-02-08,60.34,60.34
33,KSS,2018-02-07,62.92,62.92
34,KSS,2018-02-06,62.75,62.75
35,KSS,2018-02-05,61.14,61.14
36,KSS,2018-02-02,63.47,63.47
37,KSS,2018-02-01,65.09,65.09
38,KSS,2018-01-31,64.77,64.77
39,KSS,2018-01-30,65.88,65.88
40,KSS,2018-01-29,67.95,67.95
41,KSS,2018-01-26,68.36,68.36
42,KSS,2018-01-25,66.79,66.79
43,KSS,2018-01-24,67.7,67.7
44,KSS,2018-01-23,68.83,68.83
45,KSS,2018-01-22,68.17,68.17
46,KSS,2018-01-19,67.54,67.54
47,KSS,2018-01-18,64.85,64.85
48,KSS,2018-01-17,64.59,64.59
49,KSS,2018-01-16,63.4,63.4
50,KSS,2018-01-12,63.87,63.87
51,KSS,2018-01-11,61.12,61.12
52,KSS,2018-01-10,58.84,58.84
53,KSS,2018-01-09,57.02,57.02
54,KSS,2018-01-08,56.9,56.9
55,KSS,2018-01-05,54.36,54.36
56,KSS,2018-01-04,54.68,54.68
57,KSS,2018-01-03,55.66,55.66
58,KSS,2018-01-02,56.35,56.35
59,KSS,2017-12-29,54.23,54.23
60,KSS,2017-12-28,54.68,54.68
61,KSS,2017-12-27,55.29,55.29
62,KSS,2017-12-26,56.87,56.87
63,KSS,2017-12-22,53.66,53.66
64,KSS,2017-12-21,53.47,53.47
65,KSS,2017-12-20,53.13,53.13
66,KSS,2017-12-19,52.88,52.88
67,KSS,2017-12-18,53.28,53.28
68,KSS,2017-12-15,51.35,51.35
69,KSS,2017-12-14,49.78,49.78
70,KSS,2017-12-13,50.72,50.72
71,KSS,2017-12-12,50.29,50.29
72,KSS,2017-12-11,50.46,50.46
73,KSS,2017-12-08,49.78,49.78
74,KSS,2017-12-07,48.88,48.88
75,KSS,2017-12-06,48.14,48.14
76,KSS,2017-12-05,48.26,48.26
77,KSS,2017-12-04,50.15,49.584900635116
78,KSS,2017-12-01,48.05,47.50856381889
79,KSS,2017-11-30,47.97,47.42946527351
80,KSS,2017-11-29,47.7,47.162507682852
81,KSS,2017-11-28,46.01,45.491550911698
82,KSS,2017-11-27,45.21,44.700565457898
83,KSS,2017-11-24,45.09,44.581917639828
84,KSS,2017-11-22,44.63,44.127101003893
85,KSS,2017-11-21,44.21,43.711833640647
86,KSS,2017-11-20,44.32,43.820594140545
87,KSS,2017-11-17,43.72,43.227355050195
88,KSS,2017-11-16,42.25,41.773919278836
