None,ticker,date,close,adj_close
0,KSU,2018-03-27,106.99,106.99
1,KSU,2018-03-26,109.51,109.51
2,KSU,2018-03-23,108.07,108.07
3,KSU,2018-03-22,108.31,108.31
4,KSU,2018-03-21,109.86,109.86
5,KSU,2018-03-20,106.7,106.7
6,KSU,2018-03-19,106.71,106.71
7,KSU,2018-03-16,105.51,105.51
8,KSU,2018-03-15,106.3,106.3
9,KSU,2018-03-14,106.69,106.69
10,KSU,2018-03-13,109.58,109.58
11,KSU,2018-03-12,111.24,111.24
12,KSU,2018-03-09,111.65,111.65
13,KSU,2018-03-08,108.67,108.67
14,KSU,2018-03-07,106.29,106.29
15,KSU,2018-03-06,105.83,105.83
16,KSU,2018-03-05,104.57,104.57
17,KSU,2018-03-02,104.62,104.62
18,KSU,2018-03-01,103.95,103.95
19,KSU,2018-02-28,103.04,103.04
20,KSU,2018-02-27,105.85,105.85
21,KSU,2018-02-26,110.08,110.08
22,KSU,2018-02-23,108.82,108.82
23,KSU,2018-02-22,107.17,107.17
24,KSU,2018-02-21,107.99,107.99
25,KSU,2018-02-20,107.35,107.35
26,KSU,2018-02-16,109.01,109.01
27,KSU,2018-02-15,107.58,107.58
28,KSU,2018-02-14,106.38,106.38
29,KSU,2018-02-13,104.12,104.12
30,KSU,2018-02-12,105.42,105.42
31,KSU,2018-02-09,103.77,103.77
32,KSU,2018-02-08,103.53,103.53
33,KSU,2018-02-07,107.1,107.1
34,KSU,2018-02-06,107.32,107.32
35,KSU,2018-02-05,105.18,105.18
36,KSU,2018-02-02,110.15,110.15
37,KSU,2018-02-01,112.87,112.87
38,KSU,2018-01-31,113.13,113.13
39,KSU,2018-01-30,112.22,112.22
40,KSU,2018-01-29,113.7,113.7
41,KSU,2018-01-26,113.5,113.5
42,KSU,2018-01-25,111.42,111.42
43,KSU,2018-01-24,112.69,112.69
44,KSU,2018-01-23,111.66,111.66
45,KSU,2018-01-22,110.96,110.96
46,KSU,2018-01-19,110.0,110.0
47,KSU,2018-01-18,111.5,111.5
48,KSU,2018-01-17,110.81,110.81
49,KSU,2018-01-16,111.0,111.0
50,KSU,2018-01-12,110.4,110.4
51,KSU,2018-01-11,107.65,107.65
52,KSU,2018-01-10,106.54,106.54
53,KSU,2018-01-09,110.47,110.47
54,KSU,2018-01-08,109.94,109.94
55,KSU,2018-01-05,109.19,109.19
56,KSU,2018-01-04,107.0,107.0
57,KSU,2018-01-03,107.09,107.09
58,KSU,2018-01-02,107.16,107.16
59,KSU,2017-12-29,105.22,105.22
60,KSU,2017-12-28,105.61,105.61
61,KSU,2017-12-27,107.1,107.1
62,KSU,2017-12-26,107.64,107.64
63,KSU,2017-12-22,108.19,108.19
64,KSU,2017-12-21,108.62,108.62
65,KSU,2017-12-20,110.69,110.69
66,KSU,2017-12-19,112.07,112.07
67,KSU,2017-12-18,111.05,111.05
68,KSU,2017-12-15,110.96,110.96
69,KSU,2017-12-14,109.87,109.87
70,KSU,2017-12-13,110.96,110.96
71,KSU,2017-12-12,110.3,110.3
72,KSU,2017-12-11,110.63,110.63
73,KSU,2017-12-08,111.74,111.74
74,KSU,2017-12-07,111.59,111.59
