None,ticker,date,close,adj_close
0,L,2018-03-27,49.1,49.1
1,L,2018-03-26,50.12,50.12
2,L,2018-03-23,49.07,49.07
3,L,2018-03-22,50.24,50.24
4,L,2018-03-21,51.59,51.59
5,L,2018-03-20,51.41,51.41
6,L,2018-03-19,50.99,50.99
7,L,2018-03-16,51.16,51.16
8,L,2018-03-15,50.94,50.94
9,L,2018-03-14,50.96,50.96
10,L,2018-03-13,51.24,51.24
11,L,2018-03-12,51.51,51.51
12,L,2018-03-09,51.72,51.72
13,L,2018-03-08,51.26,51.26
14,L,2018-03-07,50.94,50.94
15,L,2018-03-06,50.88,50.88
16,L,2018-03-05,50.37,50.37
17,L,2018-03-02,48.82,48.82
18,L,2018-03-01,48.65,48.65
19,L,2018-02-28,49.33,49.33
20,L,2018-02-27,50.18,50.18
21,L,2018-02-26,50.73,50.73
22,L,2018-02-23,50.34,50.34
23,L,2018-02-22,49.6,49.6
24,L,2018-02-21,49.75,49.75
25,L,2018-02-20,49.89,49.89
26,L,2018-02-16,50.08,50.08
27,L,2018-02-15,49.89,49.89
28,L,2018-02-14,48.87,48.87
29,L,2018-02-13,48.09,48.09
30,L,2018-02-12,47.5,47.5
31,L,2018-02-09,46.73,46.73
32,L,2018-02-08,46.05,46.05
33,L,2018-02-07,47.86,47.86
34,L,2018-02-06,47.81,47.81
35,L,2018-02-05,48.19,48.19
36,L,2018-02-02,50.82,50.82
37,L,2018-02-01,51.59,51.59
38,L,2018-01-31,51.65,51.65
39,L,2018-01-30,51.99,51.99
40,L,2018-01-29,53.11,53.11
41,L,2018-01-26,53.46,53.46
42,L,2018-01-25,53.15,53.15
43,L,2018-01-24,53.04,53.04
44,L,2018-01-23,52.9,52.9
45,L,2018-01-22,52.8,52.8
46,L,2018-01-19,52.51,52.51
47,L,2018-01-18,52.52,52.52
48,L,2018-01-17,52.35,52.35
49,L,2018-01-16,52.19,52.19
50,L,2018-01-12,52.78,52.78
51,L,2018-01-11,51.51,51.51
52,L,2018-01-10,51.21,51.21
53,L,2018-01-09,51.13,51.13
54,L,2018-01-08,50.58,50.58
55,L,2018-01-05,50.62,50.62
56,L,2018-01-04,50.72,50.72
57,L,2018-01-03,50.47,50.47
58,L,2018-01-02,49.89,49.89
59,L,2017-12-29,50.03,50.03
60,L,2017-12-28,50.14,50.14
61,L,2017-12-27,50.0,50.0
62,L,2017-12-26,49.92,49.92
63,L,2017-12-22,49.66,49.66
64,L,2017-12-21,49.79,49.79
65,L,2017-12-20,49.51,49.51
66,L,2017-12-19,49.64,49.64
67,L,2017-12-18,49.98,49.98
68,L,2017-12-15,49.75,49.75
69,L,2017-12-14,49.45,49.45
70,L,2017-12-13,49.9,49.9
71,L,2017-12-12,50.32,50.32
72,L,2017-12-11,50.05,50.05
73,L,2017-12-08,49.84,49.84
74,L,2017-12-07,49.99,49.99
75,L,2017-12-06,49.96,49.96
76,L,2017-12-05,50.11,50.11
77,L,2017-12-04,50.65,50.65
78,L,2017-12-01,50.49,50.49
79,L,2017-11-30,50.28,50.28
80,L,2017-11-29,50.33,50.33
81,L,2017-11-28,50.11,50.11
82,L,2017-11-27,49.66,49.597644151237
83,L,2017-11-24,49.35,49.288033404421
84,L,2017-11-22,49.36,49.298020847866
85,L,2017-11-21,49.38,49.317995734758
86,L,2017-11-20,49.35,49.288033404421
87,L,2017-11-17,49.22,49.158196639627
88,L,2017-11-16,49.2,49.138221752736
89,L,2017-11-15,49.69,49.627606481574
90,L,2017-11-14,49.94,49.877292567716
91,L,2017-11-13,49.89,49.827355350487
92,L,2017-11-10,49.51,49.447832499552
93,L,2017-11-09,49.34,49.278045960975
94,L,2017-11-07,49.49,49.42785761266
95,L,2017-11-06,49.68,49.617619038128
96,L,2017-11-03,49.61,49.547706934008
97,L,2017-11-02,49.5,49.437845056106
98,L,2017-11-01,49.54,49.477794829889
99,L,2017-10-31,49.51,49.447832499552
100,L,2017-10-30,49.46,49.397895282323
101,L,2017-10-27,47.95,47.889791322026
102,L,2017-10-26,48.37,48.309263946744
103,L,2017-10-25,48.25,48.189414625396
104,L,2017-10-24,48.51,48.449088154984
105,L,2017-10-23,48.7,48.638849580452
106,L,2017-10-20,49.0,48.938472883822
107,L,2017-10-19,48.98,48.918497996931
108,L,2017-10-18,48.69,48.628862137006
109,L,2017-10-17,48.66,48.598899806669
110,L,2017-10-16,49.06,48.998397544496
111,L,2017-10-13,48.85,48.788661232137
112,L,2017-10-12,48.86,48.798648675582
113,L,2017-10-11,48.7,48.638849580452
114,L,2017-10-10,48.95,48.888535666594
115,L,2017-10-09,48.56,48.499025372212
116,L,2017-10-06,48.92,48.858573336257
117,L,2017-10-05,48.9,48.838598449365
118,L,2017-10-04,48.54,48.479050485321
119,L,2017-10-03,48.4,48.339226277081
120,L,2017-10-02,48.12,48.059577860602
121,L,2017-09-29,47.86,47.799904331015
122,L,2017-09-28,47.84,47.779929444123
123,L,2017-09-27,47.84,47.779929444123
124,L,2017-09-26,47.88,47.819879217906
125,L,2017-09-25,47.79,47.729992226895
126,L,2017-09-22,47.61,47.550218244873
127,L,2017-09-21,47.71,47.65009267933
128,L,2017-09-20,47.79,47.729992226895
129,L,2017-09-19,47.69,47.630117792438
130,L,2017-09-18,47.5,47.44035636697
131,L,2017-09-15,47.49,47.430368923525
132,L,2017-09-14,47.22,47.160707950491
133,L,2017-09-13,47.16,47.100783289817
134,L,2017-09-12,46.88,46.821134873338
135,L,2017-09-11,46.73,46.671323221653
136,L,2017-09-08,45.97,45.912277519782
137,L,2017-09-07,45.12,45.063344826899
138,L,2017-09-06,46.17,46.112026388695
139,L,2017-09-05,45.84,45.782440754988
140,L,2017-09-01,46.91,46.851097203675
141,L,2017-08-31,46.58,46.521511569968
142,L,2017-08-30,46.62,46.561461343751
143,L,2017-08-29,46.62,46.561461343751
144,L,2017-08-28,46.9,46.84110976023
145,L,2017-08-25,47.48,47.356767911243
146,L,2017-08-24,47.21,47.087468683441
147,L,2017-08-23,47.49,47.366741956717
148,L,2017-08-22,47.77,47.646015229993
149,L,2017-08-21,47.4,47.27697554745
150,L,2017-08-18,47.58,47.456508365984
151,L,2017-08-17,47.43,47.306897683872
152,L,2017-08-16,48.31,48.184613685597
