None,ticker,date,close,adj_close
0,LEG,2018-03-27,43.62,43.62
1,LEG,2018-03-26,43.78,43.78
2,LEG,2018-03-23,43.13,43.13
3,LEG,2018-03-22,44.23,44.23
4,LEG,2018-03-21,45.27,45.27
5,LEG,2018-03-20,45.23,45.23
6,LEG,2018-03-19,45.81,45.81
7,LEG,2018-03-16,46.26,46.26
8,LEG,2018-03-15,46.01,46.01
9,LEG,2018-03-14,47.41,47.41
10,LEG,2018-03-13,47.02,47.02
11,LEG,2018-03-12,46.87,46.87
12,LEG,2018-03-09,46.41,46.41
13,LEG,2018-03-08,45.32,45.32
14,LEG,2018-03-07,45.07,45.07
15,LEG,2018-03-06,45.51,45.51
16,LEG,2018-03-05,43.93,43.93
17,LEG,2018-03-02,41.8,41.8
18,LEG,2018-03-01,42.32,42.32
19,LEG,2018-02-28,43.46,43.46
20,LEG,2018-02-27,43.8,43.8
21,LEG,2018-02-26,44.32,44.32
22,LEG,2018-02-23,44.77,44.77
23,LEG,2018-02-22,44.36,44.36
24,LEG,2018-02-21,44.88,44.88
25,LEG,2018-02-20,44.37,44.37
26,LEG,2018-02-16,45.05,45.05
27,LEG,2018-02-15,45.24,45.24
28,LEG,2018-02-14,44.93,44.93
29,LEG,2018-02-13,44.39,44.39
30,LEG,2018-02-12,44.92,44.92
31,LEG,2018-02-09,44.28,44.28
32,LEG,2018-02-08,43.99,43.99
33,LEG,2018-02-07,45.78,45.78
34,LEG,2018-02-06,45.58,45.58
35,LEG,2018-02-05,43.45,43.45
36,LEG,2018-02-02,45.05,45.05
37,LEG,2018-02-01,45.64,45.64
38,LEG,2018-01-31,46.51,46.51
39,LEG,2018-01-30,46.98,46.98
40,LEG,2018-01-29,47.64,47.64
41,LEG,2018-01-26,47.83,47.83
42,LEG,2018-01-25,47.79,47.79
43,LEG,2018-01-24,47.33,47.33
44,LEG,2018-01-23,47.35,47.35
45,LEG,2018-01-22,48.09,48.09
46,LEG,2018-01-19,48.25,48.25
47,LEG,2018-01-18,48.36,48.36
48,LEG,2018-01-17,48.5,48.5
49,LEG,2018-01-16,48.44,48.44
50,LEG,2018-01-12,48.8,48.8
51,LEG,2018-01-11,48.57,48.57
52,LEG,2018-01-10,47.48,47.48
53,LEG,2018-01-09,47.95,47.95
54,LEG,2018-01-08,48.32,48.32
55,LEG,2018-01-05,47.9,47.9
56,LEG,2018-01-04,47.73,47.73
57,LEG,2018-01-03,47.62,47.62
58,LEG,2018-01-02,47.86,47.86
59,LEG,2017-12-29,47.73,47.73
60,LEG,2017-12-28,47.53,47.53
61,LEG,2017-12-27,47.55,47.55
62,LEG,2017-12-26,47.54,47.54
63,LEG,2017-12-22,47.06,47.06
64,LEG,2017-12-21,47.39,47.39
65,LEG,2017-12-20,47.03,47.03
66,LEG,2017-12-19,46.94,46.94
67,LEG,2017-12-18,47.14,47.14
68,LEG,2017-12-15,46.78,46.78
69,LEG,2017-12-14,45.99,45.99
70,LEG,2017-12-13,46.28,46.28
71,LEG,2017-12-12,46.33,46.33
72,LEG,2017-12-11,46.12,46.12
73,LEG,2017-12-08,46.3,46.3
74,LEG,2017-12-07,46.17,46.17
75,LEG,2017-12-06,46.04,46.04
76,LEG,2017-12-05,47.51,47.51
77,LEG,2017-12-04,48.3,48.3
78,LEG,2017-12-01,47.88,47.88
79,LEG,2017-11-30,48.24,48.24
80,LEG,2017-11-29,48.1,48.1
81,LEG,2017-11-28,47.35,47.35
82,LEG,2017-11-27,46.45,46.45
83,LEG,2017-11-24,46.49,46.49
84,LEG,2017-11-22,46.65,46.65
85,LEG,2017-11-21,46.4,46.4
86,LEG,2017-11-20,46.34,46.34
87,LEG,2017-11-17,46.45,46.45
88,LEG,2017-11-16,45.99,45.99
89,LEG,2017-11-15,45.38,45.38
90,LEG,2017-11-14,45.57,45.57
91,LEG,2017-11-13,45.81,45.81
92,LEG,2017-11-10,45.94,45.94
93,LEG,2017-11-09,45.88,45.88
94,LEG,2017-11-07,45.94,45.94
95,LEG,2017-11-06,45.86,45.86
96,LEG,2017-11-03,46.0,46.0
97,LEG,2017-11-02,46.11,46.11
98,LEG,2017-11-01,46.5,46.5
99,LEG,2017-10-31,47.26,47.26
100,LEG,2017-10-30,47.2,47.2
101,LEG,2017-10-27,49.45,49.45
102,LEG,2017-10-26,48.23,48.23
103,LEG,2017-10-25,47.91,47.91
104,LEG,2017-10-24,48.55,48.55
105,LEG,2017-10-23,49.08,49.08
106,LEG,2017-10-20,48.92,48.92
107,LEG,2017-10-19,48.43,48.43
108,LEG,2017-10-18,48.14,48.14
109,LEG,2017-10-17,47.73,47.73
110,LEG,2017-10-16,47.79,47.79
111,LEG,2017-10-13,47.67,47.67
112,LEG,2017-10-12,47.89,47.89
113,LEG,2017-10-11,48.34,48.34
114,LEG,2017-10-10,47.97,47.97
115,LEG,2017-10-09,48.27,48.27
116,LEG,2017-10-06,48.46,48.46
117,LEG,2017-10-05,48.48,48.48
118,LEG,2017-10-04,48.79,48.79
119,LEG,2017-10-03,48.56,48.56
120,LEG,2017-10-02,48.19,48.19
121,LEG,2017-09-29,47.73,47.73
122,LEG,2017-09-28,47.79,47.79
123,LEG,2017-09-27,47.31,47.31
124,LEG,2017-09-26,47.43,47.43
125,LEG,2017-09-25,47.23,47.23
126,LEG,2017-09-22,46.76,46.76
127,LEG,2017-09-21,45.94,45.94
128,LEG,2017-09-20,45.75,45.75
129,LEG,2017-09-19,45.5,45.5
130,LEG,2017-09-18,45.88,45.88
131,LEG,2017-09-15,45.85,45.85
132,LEG,2017-09-14,45.51,45.51
133,LEG,2017-09-13,45.63,45.271883584042
134,LEG,2017-09-12,45.59,45.232197514716
135,LEG,2017-09-11,45.37,45.013924133421
136,LEG,2017-09-08,45.3,44.944473512099
137,LEG,2017-09-07,43.5,43.158600392413
138,LEG,2017-09-06,46.54,46.174741661216
139,LEG,2017-09-05,45.72,45.361177240026
140,LEG,2017-09-01,46.43,46.065604970569
141,LEG,2017-08-31,45.97,45.609215173316
142,LEG,2017-08-30,46.08,45.718351863963
143,LEG,2017-08-29,45.27,44.914708960105
144,LEG,2017-08-28,44.96,44.607141922825
145,LEG,2017-08-25,45.32,44.964316546763
146,LEG,2017-08-24,45.23,44.875022890778
147,LEG,2017-08-23,45.62,45.26196206671
148,LEG,2017-08-22,46.41,46.045761935906
149,LEG,2017-08-21,46.19,45.827488554611
150,LEG,2017-08-18,46.42,46.055683453237
151,LEG,2017-08-17,46.53,46.164820143885
152,LEG,2017-08-16,47.76,47.38516677567
153,LEG,2017-08-15,47.15,46.779954218443
154,LEG,2017-08-14,47.43,47.057756703728
155,LEG,2017-08-11,46.97,46.601366906475
156,LEG,2017-08-10,46.98,46.611288423806
157,LEG,2017-08-09,47.7,47.325637671681
158,LEG,2017-08-08,47.89,47.514146500981
159,LEG,2017-08-07,48.23,47.851478090255
160,LEG,2017-08-04,48.34,47.960614780903
161,LEG,2017-08-03,47.76,47.38516677567
162,LEG,2017-08-02,47.62,47.246265533028
163,LEG,2017-08-01,48.12,47.742341399608
164,LEG,2017-07-31,48.18,47.801870503597
165,LEG,2017-07-28,49.58,49.19088293002
166,LEG,2017-07-27,51.79,51.383538260301
167,LEG,2017-07-26,51.83,51.423224329627
168,LEG,2017-07-25,53.8,53.37776324395
169,LEG,2017-07-24,53.38,52.961059516024
170,LEG,2017-07-21,52.65,52.236788750818
171,LEG,2017-07-20,52.57,52.157416612165
172,LEG,2017-07-19,52.59,52.177259646828
173,LEG,2017-07-18,52.25,51.839928057554
174,LEG,2017-07-17,53.1,52.683257030739
175,LEG,2017-07-14,53.22,52.802315238718
176,LEG,2017-07-13,53.16,52.742786134729
177,LEG,2017-07-12,53.12,52.703100065402
178,LEG,2017-07-11,52.54,52.12765206017
179,LEG,2017-07-10,52.44,52.028436886854
180,LEG,2017-07-07,52.86,52.445140614781
181,LEG,2017-07-06,52.15,51.740712884238
182,LEG,2017-07-05,52.71,52.296317854807
183,LEG,2017-07-03,52.44,52.028436886854
184,LEG,2017-06-30,52.53,52.117730542838
185,LEG,2017-06-29,52.12,51.710948332243
186,LEG,2017-06-28,52.66,52.246710268149
187,LEG,2017-06-27,52.34,51.929221713538
188,LEG,2017-06-26,52.93,52.514591236102
189,LEG,2017-06-23,52.61,52.197102681491
190,LEG,2017-06-22,52.66,52.246710268149
191,LEG,2017-06-21,52.82,52.405454545455
192,LEG,2017-06-20,52.97,52.554277305428
193,LEG,2017-06-19,53.47,53.050353172008
194,LEG,2017-06-16,52.74,52.326082406802
195,LEG,2017-06-15,52.3,51.889535644212
196,LEG,2017-06-14,52.79,52.37568999346
197,LEG,2017-06-13,52.57,52.157416612165
198,LEG,2017-06-12,52.79,52.019460097415
199,LEG,2017-06-09,52.17,51.408509817809
200,LEG,2017-06-08,52.06,51.300115413363
201,LEG,2017-06-07,51.85,51.093180641238
202,LEG,2017-06-06,52.01,51.250845229524
203,LEG,2017-06-05,52.62,51.851941472362
204,LEG,2017-06-02,52.46,51.694276884076
205,LEG,2017-06-01,52.11,51.349385597202
206,LEG,2017-05-31,52.02,51.260699266292
207,LEG,2017-05-30,51.91,51.152304861845
208,LEG,2017-05-26,52.08,51.319823486899
209,LEG,2017-05-25,52.12,51.35923963397
210,LEG,2017-05-24,51.69,50.935516052953
211,LEG,2017-05-23,51.19,50.442814214561
212,LEG,2017-05-22,51.3,50.551208619007
213,LEG,2017-05-19,50.63,49.890988155562
214,LEG,2017-05-18,50.1,49.368724206867
215,LEG,2017-05-17,50.61,49.871280082026
216,LEG,2017-05-16,51.72,50.965078163256
217,LEG,2017-05-15,51.89,51.13259678831
218,LEG,2017-05-12,51.83,51.073472567703
219,LEG,2017-05-11,53.16,52.384059457825
220,LEG,2017-05-10,53.5,52.719096707932
221,LEG,2017-05-09,53.49,52.709242671164
222,LEG,2017-05-08,53.45,52.669826524092
223,LEG,2017-05-05,53.79,53.004863774199
224,LEG,2017-05-04,53.49,52.709242671164
225,LEG,2017-05-03,53.48,52.699388634396
226,LEG,2017-05-02,53.26,52.482599825503
227,LEG,2017-05-01,52.71,51.940627803272
228,LEG,2017-04-28,52.54,51.773109178219
229,LEG,2017-04-27,53.59,52.807783038842
230,LEG,2017-04-26,54.04,53.251214693395
231,LEG,2017-04-25,53.53,52.748658818235
232,LEG,2017-04-24,52.95,52.1771246857
233,LEG,2017-04-21,52.47,51.704130920844
234,LEG,2017-04-20,52.22,51.457780001648
235,LEG,2017-04-19,51.26,50.511792471936
236,LEG,2017-04-18,51.1,50.354127883651
237,LEG,2017-04-17,51.26,50.511792471936
238,LEG,2017-04-13,50.67,49.930404302633
239,LEG,2017-04-12,51.1,50.354127883651
240,LEG,2017-04-11,51.53,50.777851464668
241,LEG,2017-04-10,51.08,50.334419810115
242,LEG,2017-04-07,50.91,50.166901185062
243,LEG,2017-04-06,50.9,50.157047148294
244,LEG,2017-04-05,50.81,50.068360817383
245,LEG,2017-04-04,50.49,49.753031640812
246,LEG,2017-04-03,50.59,49.851572008491
247,LEG,2017-03-31,50.32,49.585513015759
248,LEG,2017-03-30,50.41,49.67419934667
249,LEG,2017-03-29,50.35,49.615075126063
