None,ticker,date,close,adj_close
0,LEN,2018-03-27,58.67,58.67
1,LEN,2018-03-26,59.21,59.21
2,LEN,2018-03-23,58.06,58.06
3,LEN,2018-03-22,58.68,58.68
4,LEN,2018-03-21,59.9,59.9
5,LEN,2018-03-20,58.87,58.87
6,LEN,2018-03-19,59.06,59.06
7,LEN,2018-03-16,59.21,59.21
8,LEN,2018-03-15,58.89,58.89
9,LEN,2018-03-14,59.9,59.9
10,LEN,2018-03-13,60.56,60.56
11,LEN,2018-03-12,60.43,60.43
12,LEN,2018-03-09,59.79,59.79
13,LEN,2018-03-08,58.66,58.66
14,LEN,2018-03-07,59.29,59.29
15,LEN,2018-03-06,59.17,59.17
16,LEN,2018-03-05,58.31,58.31
17,LEN,2018-03-02,57.48,57.48
18,LEN,2018-03-01,57.36,57.36
19,LEN,2018-02-28,56.58,56.58
20,LEN,2018-02-27,57.66,57.66
21,LEN,2018-02-26,59.45,59.45
22,LEN,2018-02-23,59.04,59.04
23,LEN,2018-02-22,58.43,58.43
24,LEN,2018-02-21,58.66,58.66
25,LEN,2018-02-20,59.15,59.15
26,LEN,2018-02-16,60.86,60.86
27,LEN,2018-02-15,60.4,60.4
28,LEN,2018-02-14,61.23,61.23
29,LEN,2018-02-13,59.96,59.96
30,LEN,2018-02-12,59.34,59.34
31,LEN,2018-02-09,58.69,58.69
32,LEN,2018-02-08,59.11,59.11
33,LEN,2018-02-07,60.91,60.91
34,LEN,2018-02-06,60.44,60.44
35,LEN,2018-02-05,57.7,57.7
36,LEN,2018-02-02,60.02,60.02
37,LEN,2018-02-01,62.84,62.84
38,LEN,2018-01-31,62.66,62.66
39,LEN,2018-01-30,63.87,63.87
40,LEN,2018-01-29,65.02,65.02
41,LEN,2018-01-26,67.82,67.82
42,LEN,2018-01-25,68.47,68.47
43,LEN,2018-01-24,70.86,70.86
44,LEN,2018-01-23,70.93,70.93
45,LEN,2018-01-22,71.73,71.73
46,LEN,2018-01-19,71.82,71.82
47,LEN,2018-01-18,70.54,70.54
48,LEN,2018-01-17,70.71,70.71
