None,ticker,date,close,adj_close
0,LKQ,2018-03-27,37.59,37.59
1,LKQ,2018-03-26,37.86,37.86
2,LKQ,2018-03-23,37.17,37.17
3,LKQ,2018-03-22,37.91,37.91
4,LKQ,2018-03-21,39.5,39.5
5,LKQ,2018-03-20,39.4,39.4
6,LKQ,2018-03-19,39.25,39.25
7,LKQ,2018-03-16,39.55,39.55
8,LKQ,2018-03-15,39.05,39.05
9,LKQ,2018-03-14,39.03,39.03
10,LKQ,2018-03-13,39.42,39.42
11,LKQ,2018-03-12,39.33,39.33
12,LKQ,2018-03-09,39.64,39.64
13,LKQ,2018-03-08,38.79,38.79
14,LKQ,2018-03-07,39.0,39.0
15,LKQ,2018-03-06,39.55,39.55
16,LKQ,2018-03-05,38.92,38.92
17,LKQ,2018-03-02,38.99,38.99
18,LKQ,2018-03-01,39.38,39.38
19,LKQ,2018-02-28,39.48,39.48
20,LKQ,2018-02-27,39.33,39.33
21,LKQ,2018-02-26,40.44,40.44
22,LKQ,2018-02-23,40.1,40.1
23,LKQ,2018-02-22,40.05,40.05
24,LKQ,2018-02-21,41.58,41.58
25,LKQ,2018-02-20,41.46,41.46
26,LKQ,2018-02-16,41.77,41.77
27,LKQ,2018-02-15,41.77,41.77
28,LKQ,2018-02-14,41.44,41.44
29,LKQ,2018-02-13,40.53,40.53
30,LKQ,2018-02-12,40.16,40.16
31,LKQ,2018-02-09,38.91,38.91
32,LKQ,2018-02-08,38.85,38.85
33,LKQ,2018-02-07,40.35,40.35
34,LKQ,2018-02-06,40.53,40.53
35,LKQ,2018-02-05,39.59,39.59
36,LKQ,2018-02-02,40.93,40.93
37,LKQ,2018-02-01,41.79,41.79
38,LKQ,2018-01-31,42.03,42.03
39,LKQ,2018-01-30,42.19,42.19
40,LKQ,2018-01-29,42.71,42.71
41,LKQ,2018-01-26,42.83,42.83
42,LKQ,2018-01-25,42.55,42.55
43,LKQ,2018-01-24,42.87,42.87
44,LKQ,2018-01-23,43.13,43.13
45,LKQ,2018-01-22,42.85,42.85
46,LKQ,2018-01-19,42.96,42.96
47,LKQ,2018-01-18,42.7,42.7
48,LKQ,2018-01-17,43.19,43.19
49,LKQ,2018-01-16,43.19,43.19
50,LKQ,2018-01-12,43.46,43.46
51,LKQ,2018-01-11,42.99,42.99
52,LKQ,2018-01-10,42.24,42.24
53,LKQ,2018-01-09,41.99,41.99
54,LKQ,2018-01-08,41.86,41.86
55,LKQ,2018-01-05,42.02,42.02
56,LKQ,2018-01-04,42.06,42.06
57,LKQ,2018-01-03,41.56,41.56
58,LKQ,2018-01-02,41.35,41.35
59,LKQ,2017-12-29,40.67,40.67
60,LKQ,2017-12-28,41.19,41.19
61,LKQ,2017-12-27,40.87,40.87
62,LKQ,2017-12-26,40.78,40.78
63,LKQ,2017-12-22,40.82,40.82
64,LKQ,2017-12-21,40.9,40.9
65,LKQ,2017-12-20,40.74,40.74
66,LKQ,2017-12-19,40.8,40.8
67,LKQ,2017-12-18,40.39,40.39
68,LKQ,2017-12-15,39.51,39.51
69,LKQ,2017-12-14,39.31,39.31
70,LKQ,2017-12-13,40.07,40.07
71,LKQ,2017-12-12,40.59,40.59
72,LKQ,2017-12-11,40.34,40.34
73,LKQ,2017-12-08,40.22,40.22
74,LKQ,2017-12-07,39.75,39.75
75,LKQ,2017-12-06,39.32,39.32
76,LKQ,2017-12-05,39.24,39.24
77,LKQ,2017-12-04,39.28,39.28
78,LKQ,2017-12-01,39.32,39.32
79,LKQ,2017-11-30,39.42,39.42
80,LKQ,2017-11-29,39.5,39.5
81,LKQ,2017-11-28,38.92,38.92
82,LKQ,2017-11-27,38.38,38.38
83,LKQ,2017-11-24,38.05,38.05
84,LKQ,2017-11-22,38.14,38.14
85,LKQ,2017-11-21,37.75,37.75
86,LKQ,2017-11-20,37.79,37.79
87,LKQ,2017-11-17,37.75,37.75
88,LKQ,2017-11-16,37.67,37.67
89,LKQ,2017-11-15,37.15,37.15
90,LKQ,2017-11-14,37.46,37.46
91,LKQ,2017-11-13,37.22,37.22
92,LKQ,2017-11-10,37.16,37.16
93,LKQ,2017-11-09,36.93,36.93
94,LKQ,2017-11-07,36.97,36.97
95,LKQ,2017-11-06,37.63,37.63
96,LKQ,2017-11-03,37.71,37.71
97,LKQ,2017-11-02,37.74,37.74
98,LKQ,2017-11-01,37.42,37.42
99,LKQ,2017-10-31,37.69,37.69
100,LKQ,2017-10-30,36.52,36.52
101,LKQ,2017-10-27,36.74,36.74
102,LKQ,2017-10-26,37.1,37.1
103,LKQ,2017-10-25,36.54,36.54
104,LKQ,2017-10-24,37.1,37.1
105,LKQ,2017-10-23,37.06,37.06
106,LKQ,2017-10-20,37.34,37.34
107,LKQ,2017-10-19,37.23,37.23
108,LKQ,2017-10-18,37.54,37.54
109,LKQ,2017-10-17,37.41,37.41
110,LKQ,2017-10-16,37.455,37.455
111,LKQ,2017-10-13,37.27,37.27
112,LKQ,2017-10-12,37.17,37.17
113,LKQ,2017-10-11,36.96,36.96
114,LKQ,2017-10-10,36.74,36.74
115,LKQ,2017-10-09,36.63,36.63
116,LKQ,2017-10-06,36.88,36.88
117,LKQ,2017-10-05,36.79,36.79
118,LKQ,2017-10-04,36.76,36.76
119,LKQ,2017-10-03,36.43,36.43
120,LKQ,2017-10-02,36.26,36.26
121,LKQ,2017-09-29,35.99,35.99
122,LKQ,2017-09-28,35.75,35.75
123,LKQ,2017-09-27,35.69,35.69
124,LKQ,2017-09-26,35.0,35.0
125,LKQ,2017-09-25,35.08,35.08
126,LKQ,2017-09-22,34.91,34.91
127,LKQ,2017-09-21,34.59,34.59
128,LKQ,2017-09-20,35.12,35.12
129,LKQ,2017-09-19,34.73,34.73
130,LKQ,2017-09-18,35.23,35.23
131,LKQ,2017-09-15,35.35,35.35
132,LKQ,2017-09-14,35.61,35.61
133,LKQ,2017-09-13,35.54,35.54
134,LKQ,2017-09-12,35.62,35.62
135,LKQ,2017-09-11,35.38,35.38
136,LKQ,2017-09-08,34.81,34.81
137,LKQ,2017-09-07,34.75,34.75
138,LKQ,2017-09-06,34.83,34.83
139,LKQ,2017-09-05,34.89,34.89
140,LKQ,2017-09-01,34.72,34.72
141,LKQ,2017-08-31,34.65,34.65
142,LKQ,2017-08-30,34.29,34.29
143,LKQ,2017-08-29,33.92,33.92
144,LKQ,2017-08-28,34.24,34.24
145,LKQ,2017-08-25,34.3,34.3
146,LKQ,2017-08-24,33.95,33.95
147,LKQ,2017-08-23,34.14,34.14
148,LKQ,2017-08-22,34.3,34.3
149,LKQ,2017-08-21,34.06,34.06
150,LKQ,2017-08-18,34.05,34.05
151,LKQ,2017-08-17,34.09,34.09
152,LKQ,2017-08-16,34.51,34.51
153,LKQ,2017-08-15,33.7,33.7
154,LKQ,2017-08-14,33.78,33.78
155,LKQ,2017-08-11,33.82,33.82
156,LKQ,2017-08-10,33.75,33.75
157,LKQ,2017-08-09,34.48,34.48
158,LKQ,2017-08-08,34.33,34.33
159,LKQ,2017-08-07,34.5,34.5
160,LKQ,2017-08-04,34.16,34.16
161,LKQ,2017-08-03,34.11,34.11
162,LKQ,2017-08-02,34.15,34.15
163,LKQ,2017-08-01,34.26,34.26
164,LKQ,2017-07-31,34.56,34.56
165,LKQ,2017-07-28,34.53,34.53
166,LKQ,2017-07-27,33.91,33.91
167,LKQ,2017-07-26,32.84,32.84
168,LKQ,2017-07-25,32.9,32.9
169,LKQ,2017-07-24,33.01,33.01
170,LKQ,2017-07-21,33.5,33.5
171,LKQ,2017-07-20,33.42,33.42
172,LKQ,2017-07-19,33.39,33.39
173,LKQ,2017-07-18,33.05,33.05
174,LKQ,2017-07-17,33.2,33.2
175,LKQ,2017-07-14,32.54,32.54
176,LKQ,2017-07-13,32.33,32.33
177,LKQ,2017-07-12,32.09,32.09
178,LKQ,2017-07-11,31.94,31.94
179,LKQ,2017-07-10,31.73,31.73
180,LKQ,2017-07-07,31.49,31.49
181,LKQ,2017-07-06,31.39,31.39
182,LKQ,2017-07-05,32.45,32.45
183,LKQ,2017-07-03,33.31,33.31
184,LKQ,2017-06-30,32.95,32.95
185,LKQ,2017-06-29,32.65,32.65
186,LKQ,2017-06-28,32.39,32.39
187,LKQ,2017-06-27,32.35,32.35
188,LKQ,2017-06-26,32.67,32.67
189,LKQ,2017-06-23,32.27,32.27
190,LKQ,2017-06-22,32.11,32.11
191,LKQ,2017-06-21,32.1,32.1
192,LKQ,2017-06-20,32.39,32.39
193,LKQ,2017-06-19,32.9,32.9
194,LKQ,2017-06-16,32.43,32.43
195,LKQ,2017-06-15,32.51,32.51
196,LKQ,2017-06-14,32.51,32.51
197,LKQ,2017-06-13,32.64,32.64
198,LKQ,2017-06-12,32.35,32.35
199,LKQ,2017-06-09,31.97,31.97
200,LKQ,2017-06-08,31.52,31.52
201,LKQ,2017-06-07,31.87,31.87
202,LKQ,2017-06-06,31.9,31.9
203,LKQ,2017-06-05,32.34,32.34
204,LKQ,2017-06-02,32.33,32.33
205,LKQ,2017-06-01,32.34,32.34
206,LKQ,2017-05-31,31.49,31.49
207,LKQ,2017-05-30,31.35,31.35
208,LKQ,2017-05-26,31.55,31.55
209,LKQ,2017-05-25,31.51,31.51
210,LKQ,2017-05-24,31.26,31.26
211,LKQ,2017-05-23,31.27,31.27
212,LKQ,2017-05-22,31.45,31.45
213,LKQ,2017-05-19,31.05,31.05
214,LKQ,2017-05-18,30.87,30.87
215,LKQ,2017-05-17,30.73,30.73
216,LKQ,2017-05-16,30.98,30.98
217,LKQ,2017-05-15,31.17,31.17
218,LKQ,2017-05-12,31.02,31.02
219,LKQ,2017-05-11,31.03,31.03
220,LKQ,2017-05-10,31.29,31.29
221,LKQ,2017-05-09,31.41,31.41
222,LKQ,2017-05-08,31.42,31.42
223,LKQ,2017-05-05,31.52,31.52
224,LKQ,2017-05-04,31.05,31.05
225,LKQ,2017-05-03,31.2,31.2
226,LKQ,2017-05-02,31.45,31.45
227,LKQ,2017-05-01,31.44,31.44
228,LKQ,2017-04-28,31.24,31.24
229,LKQ,2017-04-27,31.19,31.19
230,LKQ,2017-04-26,30.19,30.19
231,LKQ,2017-04-25,29.77,29.77
232,LKQ,2017-04-24,29.43,29.43
233,LKQ,2017-04-21,29.01,29.01
234,LKQ,2017-04-20,28.98,28.98
235,LKQ,2017-04-19,28.49,28.49
236,LKQ,2017-04-18,28.22,28.22
237,LKQ,2017-04-17,28.08,28.08
238,LKQ,2017-04-13,27.94,27.94
239,LKQ,2017-04-12,28.14,28.14
240,LKQ,2017-04-11,28.62,28.62
241,LKQ,2017-04-10,28.31,28.31
242,LKQ,2017-04-07,28.06,28.06
243,LKQ,2017-04-06,28.11,28.11
244,LKQ,2017-04-05,27.95,27.95
245,LKQ,2017-04-04,28.35,28.35
246,LKQ,2017-04-03,28.7,28.7
247,LKQ,2017-03-31,29.27,29.27
248,LKQ,2017-03-30,29.6,29.6
249,LKQ,2017-03-29,29.65,29.65
250,LKQ,2017-03-28,29.62,29.62
251,LKQ,2017-03-27,29.39,29.39
252,LKQ,2017-03-24,29.39,29.39
253,LKQ,2017-03-23,29.54,29.54
254,LKQ,2017-03-22,29.67,29.67
255,LKQ,2017-03-21,29.65,29.65
256,LKQ,2017-03-20,29.99,29.99
257,LKQ,2017-03-17,30.31,30.31
258,LKQ,2017-03-16,30.41,30.41
259,LKQ,2017-03-15,30.18,30.18
260,LKQ,2017-03-14,30.15,30.15
261,LKQ,2017-03-13,30.23,30.23
262,LKQ,2017-03-10,30.0,30.0
263,LKQ,2017-03-09,30.44,30.44
264,LKQ,2017-03-08,30.7,30.7
265,LKQ,2017-03-07,30.89,30.89
266,LKQ,2017-03-06,31.31,31.31
267,LKQ,2017-03-03,31.71,31.71
268,LKQ,2017-03-02,31.56,31.56
269,LKQ,2017-03-01,32.26,32.26
270,LKQ,2017-02-28,31.58,31.58
271,LKQ,2017-02-27,31.59,31.59
272,LKQ,2017-02-24,31.88,31.88
273,LKQ,2017-02-23,31.58,31.58
274,LKQ,2017-02-22,33.05,33.05
275,LKQ,2017-02-21,32.83,32.83
276,LKQ,2017-02-17,31.94,31.94
277,LKQ,2017-02-16,31.98,31.98
278,LKQ,2017-02-15,31.92,31.92
279,LKQ,2017-02-14,31.66,31.66
280,LKQ,2017-02-13,31.35,31.35
281,LKQ,2017-02-10,31.2,31.2
282,LKQ,2017-02-09,31.24,31.24
283,LKQ,2017-02-08,30.64,30.64
284,LKQ,2017-02-07,30.89,30.89
285,LKQ,2017-02-06,31.48,31.48
286,LKQ,2017-02-03,31.96,31.96
287,LKQ,2017-02-02,31.74,31.74
288,LKQ,2017-02-01,31.7,31.7
289,LKQ,2017-01-31,31.91,31.91
290,LKQ,2017-01-30,31.85,31.85
291,LKQ,2017-01-27,31.47,31.47
292,LKQ,2017-01-26,31.59,31.59
293,LKQ,2017-01-25,31.61,31.61
294,LKQ,2017-01-24,31.48,31.48
295,LKQ,2017-01-23,31.66,31.66
296,LKQ,2017-01-20,31.62,31.62
297,LKQ,2017-01-19,31.48,31.48
298,LKQ,2017-01-18,31.87,31.87
299,LKQ,2017-01-17,31.6,31.6
300,LKQ,2017-01-13,31.8,31.8
301,LKQ,2017-01-12,31.64,31.64
302,LKQ,2017-01-11,31.18,31.18
303,LKQ,2017-01-10,31.26,31.26
304,LKQ,2017-01-09,31.19,31.19
305,LKQ,2017-01-06,31.67,31.67
306,LKQ,2017-01-05,31.26,31.26
307,LKQ,2017-01-04,31.24,31.24
308,LKQ,2017-01-03,31.03,31.03
