None,ticker,date,close,adj_close
0,LMT,2018-03-27,338.85,338.85
1,LMT,2018-03-26,343.93,343.93
2,LMT,2018-03-23,336.31,336.31
3,LMT,2018-03-22,327.15,327.15
4,LMT,2018-03-21,335.47,335.47
5,LMT,2018-03-20,335.6,335.6
6,LMT,2018-03-19,335.25,335.25
7,LMT,2018-03-16,331.4,331.4
8,LMT,2018-03-15,333.23,333.23
9,LMT,2018-03-14,331.68,331.68
10,LMT,2018-03-13,333.46,333.46
11,LMT,2018-03-12,333.1,333.1
12,LMT,2018-03-09,340.49,340.49
13,LMT,2018-03-08,341.78,341.78
14,LMT,2018-03-07,342.2,342.2
15,LMT,2018-03-06,339.5,339.5
16,LMT,2018-03-05,342.36,342.36
17,LMT,2018-03-02,341.72,341.72
18,LMT,2018-03-01,339.69,339.69
19,LMT,2018-02-28,352.44,352.44
20,LMT,2018-02-27,358.17,358.17
21,LMT,2018-02-26,358.7,358.7
22,LMT,2018-02-23,358.69,358.69
23,LMT,2018-02-22,355.41,355.41
24,LMT,2018-02-21,357.06,357.06
25,LMT,2018-02-20,358.69,358.69
26,LMT,2018-02-16,360.53,360.53
27,LMT,2018-02-15,361.0,361.0
28,LMT,2018-02-14,354.66,354.66
29,LMT,2018-02-13,350.23,350.23
30,LMT,2018-02-12,345.81,345.81
31,LMT,2018-02-09,341.42,341.42
32,LMT,2018-02-08,334.3,334.3
33,LMT,2018-02-07,345.43,345.43
34,LMT,2018-02-06,337.59,337.59
35,LMT,2018-02-05,336.46,336.46
36,LMT,2018-02-02,352.66,352.66
37,LMT,2018-02-01,357.38,357.38
38,LMT,2018-01-31,354.85,354.85
39,LMT,2018-01-30,350.39,350.39
40,LMT,2018-01-29,351.42,351.42
41,LMT,2018-01-26,344.9,344.9
42,LMT,2018-01-25,334.72,334.72
43,LMT,2018-01-24,330.49,330.49
44,LMT,2018-01-23,328.7,328.7
45,LMT,2018-01-22,329.0,329.0
46,LMT,2018-01-19,332.0,332.0
47,LMT,2018-01-18,333.0,333.0
48,LMT,2018-01-17,334.86,334.86
49,LMT,2018-01-16,330.11,330.11
50,LMT,2018-01-12,336.25,336.25
51,LMT,2018-01-11,331.13,331.13
52,LMT,2018-01-10,331.05,331.05
53,LMT,2018-01-09,330.51,330.51
54,LMT,2018-01-08,328.16,328.16
55,LMT,2018-01-05,329.68,329.68
56,LMT,2018-01-04,326.72,326.72
57,LMT,2018-01-03,321.21,321.21
58,LMT,2018-01-02,318.54,318.54
59,LMT,2017-12-29,321.05,321.05
60,LMT,2017-12-28,322.1,322.1
61,LMT,2017-12-27,319.44,319.44
62,LMT,2017-12-26,318.51,318.51
63,LMT,2017-12-22,318.03,318.03
64,LMT,2017-12-21,317.19,317.19
65,LMT,2017-12-20,317.72,317.72
66,LMT,2017-12-19,319.97,319.97
67,LMT,2017-12-18,322.76,322.76
68,LMT,2017-12-15,322.82,322.82
69,LMT,2017-12-14,317.01,317.01
70,LMT,2017-12-13,317.79,317.79
71,LMT,2017-12-12,315.89,315.89
72,LMT,2017-12-11,316.17,316.17
73,LMT,2017-12-08,315.85,315.85
74,LMT,2017-12-07,314.42,314.42
75,LMT,2017-12-06,311.97,311.97
76,LMT,2017-12-05,310.14,310.14
77,LMT,2017-12-04,311.78,311.78
78,LMT,2017-12-01,313.57,313.57
79,LMT,2017-11-30,319.12,319.12
80,LMT,2017-11-29,320.76,320.76
81,LMT,2017-11-28,319.01,319.01
82,LMT,2017-11-27,316.7,316.7
83,LMT,2017-11-24,315.82,315.82
84,LMT,2017-11-22,314.87,314.87
85,LMT,2017-11-21,316.94,316.94
86,LMT,2017-11-20,314.65,314.65
87,LMT,2017-11-17,309.7,309.7
88,LMT,2017-11-16,312.65,312.65
89,LMT,2017-11-15,310.64,310.64
90,LMT,2017-11-14,313.74,313.74
91,LMT,2017-11-13,312.95,312.95
92,LMT,2017-11-10,311.17,311.17
93,LMT,2017-11-09,311.08,311.08
94,LMT,2017-11-07,313.29,313.29
95,LMT,2017-11-06,310.08,310.08
96,LMT,2017-11-03,309.99,309.99
97,LMT,2017-11-02,310.86,310.86
98,LMT,2017-11-01,306.6,306.6
99,LMT,2017-10-31,308.16,308.16
100,LMT,2017-10-30,308.63,308.63
101,LMT,2017-10-27,308.0,308.0
102,LMT,2017-10-26,307.89,307.89
103,LMT,2017-10-25,312.39,312.39
104,LMT,2017-10-24,313.15,313.15
105,LMT,2017-10-23,320.73,320.73
106,LMT,2017-10-20,320.0,320.0
107,LMT,2017-10-19,316.84,316.84
108,LMT,2017-10-18,315.57,315.57
109,LMT,2017-10-17,318.27,318.27
110,LMT,2017-10-16,318.94,318.94
111,LMT,2017-10-13,319.39,319.39
112,LMT,2017-10-12,321.15,321.15
113,LMT,2017-10-11,318.59,318.59
114,LMT,2017-10-10,317.71,317.71
115,LMT,2017-10-09,317.3,317.3
116,LMT,2017-10-06,316.46,316.46
117,LMT,2017-10-05,314.58,314.58
118,LMT,2017-10-04,313.02,313.02
119,LMT,2017-10-03,312.86,312.86
120,LMT,2017-10-02,311.33,311.33
121,LMT,2017-09-29,310.29,310.29
122,LMT,2017-09-28,309.13,309.13
123,LMT,2017-09-27,310.13,310.13
124,LMT,2017-09-26,309.58,309.58
125,LMT,2017-09-25,306.85,306.85
126,LMT,2017-09-22,308.54,308.54
127,LMT,2017-09-21,308.01,308.01
128,LMT,2017-09-20,307.9,307.9
129,LMT,2017-09-19,305.65,305.65
130,LMT,2017-09-18,303.8,303.8
131,LMT,2017-09-15,302.3,302.3
132,LMT,2017-09-14,301.34,301.34
133,LMT,2017-09-13,300.2,300.2
134,LMT,2017-09-12,303.73,303.73
135,LMT,2017-09-11,304.48,304.48
136,LMT,2017-09-08,302.9,302.9
137,LMT,2017-09-07,302.35,302.35
138,LMT,2017-09-06,301.45,301.45
139,LMT,2017-09-05,302.2,302.2
140,LMT,2017-09-01,302.19,302.19
141,LMT,2017-08-31,305.39,305.39
142,LMT,2017-08-30,306.3,306.3
143,LMT,2017-08-29,308.14,306.31988186421
144,LMT,2017-08-28,303.61,301.81663962093
145,LMT,2017-08-25,302.8,301.01142412047
146,LMT,2017-08-24,302.6,300.81260547839
147,LMT,2017-08-23,302.84,301.05118784889
148,LMT,2017-08-22,304.8,302.99961054135
149,LMT,2017-08-21,301.88,300.09685836687
150,LMT,2017-08-18,299.2,297.4326885629
151,LMT,2017-08-17,301.42,299.63957549007
152,LMT,2017-08-16,305.8,303.99370375179
153,LMT,2017-08-15,306.2,304.39134103596
154,LMT,2017-08-14,307.58,305.76318966636
155,LMT,2017-08-11,303.75,301.95581267039
156,LMT,2017-08-10,303.25,301.45876606517
157,LMT,2017-08-09,305.22,303.41712968973
158,LMT,2017-08-08,300.1,298.32737245229
159,LMT,2017-08-07,297.15,295.3947974815
160,LMT,2017-08-04,297.0,295.24568349994
161,LMT,2017-08-03,295.82,294.07265351162
162,LMT,2017-08-02,294.7,292.95926911593
163,LMT,2017-08-01,292.65,290.92137803453
164,LMT,2017-07-31,292.13,290.4044495651
165,LMT,2017-07-28,290.41,288.69460924315
166,LMT,2017-07-27,288.13,286.42807672335
167,LMT,2017-07-26,289.85,288.13791704531
168,LMT,2017-07-25,289.83,288.1180351811
169,LMT,2017-07-24,290.28,288.5653771258
170,LMT,2017-07-21,289.12,287.41222900169
171,LMT,2017-07-20,289.67,287.95898026743
172,LMT,2017-07-19,290.67,288.95307347787
173,LMT,2017-07-18,286.79,285.09599182137
174,LMT,2017-07-17,288.49,286.78595027911
175,LMT,2017-07-14,288.13,286.42807672335
176,LMT,2017-07-13,286.76,285.06616902506
177,LMT,2017-07-12,286.36,284.66853174088
178,LMT,2017-07-11,286.42,284.72817733351
179,LMT,2017-07-10,285.57,283.88319810463
180,LMT,2017-07-07,285.2,283.51538361677
181,LMT,2017-07-06,280.96,279.30042840452
182,LMT,2017-07-05,282.4,280.73192262755
183,LMT,2017-07-03,278.92,277.27247825523
184,LMT,2017-06-30,277.61,275.97021614955
185,LMT,2017-06-29,276.73,275.09541412437
186,LMT,2017-06-28,280.02,278.36598078671
187,LMT,2017-06-27,277.83,276.18891665585
188,LMT,2017-06-26,279.7,278.04787095937
189,LMT,2017-06-23,280.64,278.98231857718
190,LMT,2017-06-22,280.43,278.77355900299
191,LMT,2017-06-21,282.99,281.31843762171
192,LMT,2017-06-20,282.89,281.21902830066
193,LMT,2017-06-19,282.3,280.6325133065
194,LMT,2017-06-16,281.11,279.44954238608
195,LMT,2017-06-15,280.93,279.2706056082
196,LMT,2017-06-14,280.3,278.64432688563
197,LMT,2017-06-13,278.36,276.71578605738
198,LMT,2017-06-12,276.89,275.25446903804
199,LMT,2017-06-09,277.0,275.36381929119
200,LMT,2017-06-08,277.62,275.98015708166
201,LMT,2017-06-07,277.38,275.74157471115
202,LMT,2017-06-06,276.88,275.24452810593
203,LMT,2017-06-05,280.13,278.47533103985
204,LMT,2017-06-02,281.76,280.09570297287
205,LMT,2017-06-01,280.96,279.30042840452
206,LMT,2017-05-31,281.13,279.46942425029
207,LMT,2017-05-30,280.09,278.43556731144
208,LMT,2017-05-26,283.65,280.15412247841
209,LMT,2017-05-25,282.06,278.58371861893
210,LMT,2017-05-24,280.05,276.59849109846
211,LMT,2017-05-23,278.36,274.92931970065
212,LMT,2017-05-22,277.03,273.61571144084
213,LMT,2017-05-19,272.79,269.42796781557
214,LMT,2017-05-18,267.32,264.02538346881
215,LMT,2017-05-17,269.24,265.92172020479
216,LMT,2017-05-16,271.65,268.30201787858
217,LMT,2017-05-15,272.35,268.99339064691
218,LMT,2017-05-12,271.26,267.91682447909
219,LMT,2017-05-11,272.09,268.73659504725
220,LMT,2017-05-10,271.74,268.39090866308
221,LMT,2017-05-09,273.87,270.49465722955
222,LMT,2017-05-08,272.5,269.14154195441
223,LMT,2017-05-05,273.03,269.66500990757
224,LMT,2017-05-04,270.51,267.1760679416
225,LMT,2017-05-03,269.6,266.27728334278
226,LMT,2017-05-02,269.49,266.16863905062
227,LMT,2017-05-01,268.43,265.1217031443
228,LMT,2017-04-28,269.45,266.12913203528
229,LMT,2017-04-27,271.14,267.79830343309
230,LMT,2017-04-26,270.35,267.01803988027
231,LMT,2017-04-25,270.01,266.68223024994
232,LMT,2017-04-24,276.21,272.80581762652
233,LMT,2017-04-21,273.09,269.72427043056
234,LMT,2017-04-20,271.85,268.49955295525
235,LMT,2017-04-19,269.63,266.30691360428
236,LMT,2017-04-18,268.78,265.46738952846
237,LMT,2017-04-17,269.88,266.55383245011
238,LMT,2017-04-13,268.0,264.69700272947
239,LMT,2017-04-12,268.51,265.20071717496
240,LMT,2017-04-11,270.27,266.9390258496
241,LMT,2017-04-10,269.03,265.71430837429
242,LMT,2017-04-07,270.23,266.89951883427
243,LMT,2017-04-06,267.11,263.81797163832
244,LMT,2017-04-05,266.98,263.68957383849
245,LMT,2017-04-04,269.56,266.23777632745
246,LMT,2017-04-03,268.68,265.36862199013
247,LMT,2017-03-31,267.6,264.30193257614
248,LMT,2017-03-30,270.54,267.2056982031
249,LMT,2017-03-29,268.24,264.93404482147
250,LMT,2017-03-28,269.12,265.80319915879
251,LMT,2017-03-27,267.16,263.86735540748
252,LMT,2017-03-24,267.42,264.12415100715
253,LMT,2017-03-23,269.5,266.17851580445
254,LMT,2017-03-22,269.42,266.09950177378
255,LMT,2017-03-21,269.0,265.68467811279
256,LMT,2017-03-20,272.03,268.67733452425
257,LMT,2017-03-17,271.98,268.62795075508
258,LMT,2017-03-16,267.94,264.63774220647
259,LMT,2017-03-15,269.44,266.11925528145
260,LMT,2017-03-14,268.0,264.69700272947
261,LMT,2017-03-13,269.19,265.87233643562
262,LMT,2017-03-10,268.66,265.34886848246
263,LMT,2017-03-09,268.68,265.36862199013
264,LMT,2017-03-08,267.72,264.42045362214
265,LMT,2017-03-07,269.04,265.72418512812
266,LMT,2017-03-06,267.72,264.42045362214
267,LMT,2017-03-03,267.76,264.45996063747
268,LMT,2017-03-02,266.99,263.69945059232
269,LMT,2017-03-01,268.38,265.07231937513
270,LMT,2017-02-28,266.58,263.29450368516
271,LMT,2017-02-27,269.36,266.04024125078
272,LMT,2017-02-24,266.0,260.95841939932
273,LMT,2017-02-23,264.85,259.83021570643
274,LMT,2017-02-22,265.92,260.87993566417
275,LMT,2017-02-21,265.66,260.6248635249
276,LMT,2017-02-17,265.35,260.32073905117
277,LMT,2017-02-16,265.33,260.30111811738
278,LMT,2017-02-15,263.46,258.46656080807
279,LMT,2017-02-14,262.56,257.58361878754
280,LMT,2017-02-13,262.35,257.37759898275
281,LMT,2017-02-10,260.55,255.61171494171
282,LMT,2017-02-09,258.2,253.30625522145
283,LMT,2017-02-08,256.74,251.87392705482
284,LMT,2017-02-07,256.37,251.51093977972
285,LMT,2017-02-06,255.31,250.47103028888
286,LMT,2017-02-03,254.46,249.63714060283
287,LMT,2017-02-02,251.97,247.19433434604
288,LMT,2017-02-01,250.9,246.14461438831
289,LMT,2017-01-31,251.33,246.56646446478
290,LMT,2017-01-30,252.83,248.03803449899
291,LMT,2017-01-27,253.5,248.69533578093
292,LMT,2017-01-26,254.97,250.13747441446
293,LMT,2017-01-25,251.0,246.24271905726
294,LMT,2017-01-24,252.91,248.11651823415
295,LMT,2017-01-23,257.48,252.59990160503
296,LMT,2017-01-20,257.73,252.8451632774
297,LMT,2017-01-19,257.03,252.15843059477
298,LMT,2017-01-18,254.07,249.25453239393
299,LMT,2017-01-17,254.12,249.30358472841
300,LMT,2017-01-13,254.53,249.70581387109
301,LMT,2017-01-12,252.62,247.8320146942
302,LMT,2017-01-11,255.13,250.29444188477
303,LMT,2017-01-10,256.17,251.31473044182
304,LMT,2017-01-09,257.81,252.92364701256
305,LMT,2017-01-06,257.85,252.96288888013
306,LMT,2017-01-05,255.98,251.12833157082
307,LMT,2017-01-04,253.99,249.17604865878
308,LMT,2017-01-03,253.31,248.50893690994
