None,ticker,date,close,adj_close
0,LRCX,2018-03-27,202.62,202.62
1,LRCX,2018-03-26,214.96,214.96
2,LRCX,2018-03-23,202.63,202.63
3,LRCX,2018-03-22,214.82,214.82
4,LRCX,2018-03-21,224.28,224.28
5,LRCX,2018-03-20,219.13,219.13
6,LRCX,2018-03-19,217.58,217.58
7,LRCX,2018-03-16,221.92,221.92
8,LRCX,2018-03-15,223.08,223.08
9,LRCX,2018-03-14,222.64,222.64
10,LRCX,2018-03-13,223.97,223.97
11,LRCX,2018-03-12,228.65,228.65
12,LRCX,2018-03-09,224.95,224.95
13,LRCX,2018-03-08,212.74,212.74
14,LRCX,2018-03-07,211.74,211.74
15,LRCX,2018-03-06,207.94,207.94
16,LRCX,2018-03-05,198.7,198.223364038
17,LRCX,2018-03-02,194.53,194.063366916
18,LRCX,2018-03-01,190.07,189.614065438
19,LRCX,2018-02-28,191.86,191.86
20,LRCX,2018-02-27,193.47,193.47
21,LRCX,2018-02-26,198.43,198.43
22,LRCX,2018-02-23,193.1,193.1
23,LRCX,2018-02-22,188.36,188.36
24,LRCX,2018-02-21,189.23,189.23
25,LRCX,2018-02-20,193.44,193.44
26,LRCX,2018-02-16,187.91,187.91
27,LRCX,2018-02-15,185.71,185.71
28,LRCX,2018-02-14,183.01,183.01
29,LRCX,2018-02-13,172.56,172.56
30,LRCX,2018-02-12,172.95,172.95
31,LRCX,2018-02-09,165.69,165.69
32,LRCX,2018-02-08,162.29,162.29
33,LRCX,2018-02-07,171.63,171.63
34,LRCX,2018-02-06,178.34,178.34
35,LRCX,2018-02-05,171.68,171.68
36,LRCX,2018-02-02,179.06,179.06
37,LRCX,2018-02-01,189.11,189.11
38,LRCX,2018-01-31,191.52,191.52
39,LRCX,2018-01-30,191.08,191.08
40,LRCX,2018-01-29,195.97,195.97
41,LRCX,2018-01-26,202.57,202.57
42,LRCX,2018-01-25,199.25,199.25
43,LRCX,2018-01-24,209.73,209.73
44,LRCX,2018-01-23,215.07,215.07
45,LRCX,2018-01-22,209.19,209.19
46,LRCX,2018-01-19,207.53,207.53
47,LRCX,2018-01-18,205.45,205.45
48,LRCX,2018-01-17,205.08,205.08
49,LRCX,2018-01-16,190.39,190.39
50,LRCX,2018-01-12,188.51,188.51
51,LRCX,2018-01-11,189.169,189.169
52,LRCX,2018-01-10,191.66,191.66
53,LRCX,2018-01-09,197.57,197.57
54,LRCX,2018-01-08,197.88,197.88
55,LRCX,2018-01-05,196.4,196.4
56,LRCX,2018-01-04,193.38,193.38
57,LRCX,2018-01-03,192.5,192.5
58,LRCX,2018-01-02,189.28,189.28
59,LRCX,2017-12-29,184.07,184.07
60,LRCX,2017-12-28,185.54,185.54
61,LRCX,2017-12-27,185.37,185.37
62,LRCX,2017-12-26,184.31,184.31
63,LRCX,2017-12-22,186.69,186.69
64,LRCX,2017-12-21,185.64,185.64
65,LRCX,2017-12-20,188.83,188.83
66,LRCX,2017-12-19,186.11,186.11
67,LRCX,2017-12-18,189.07,189.07
68,LRCX,2017-12-15,186.48,186.48
69,LRCX,2017-12-14,182.1,182.1
70,LRCX,2017-12-13,181.31,181.31
71,LRCX,2017-12-12,181.57,181.57
72,LRCX,2017-12-11,185.56,185.56
73,LRCX,2017-12-08,186.46,186.46
74,LRCX,2017-12-07,189.16,189.16
75,LRCX,2017-12-06,184.23,184.23
76,LRCX,2017-12-05,180.53,180.53
77,LRCX,2017-12-04,180.74,180.24080097221
78,LRCX,2017-12-01,187.81,187.29127382202
79,LRCX,2017-11-30,192.33,191.79878970336
80,LRCX,2017-11-29,194.64,194.10240954538
81,LRCX,2017-11-28,213.14,212.55131304204
82,LRCX,2017-11-27,210.93,210.34741700271
83,LRCX,2017-11-24,216.83,216.2311213611
84,LRCX,2017-11-22,215.17,214.57570623654
85,LRCX,2017-11-21,218.91,218.30537645694
86,LRCX,2017-11-20,215.1,214.50589957466
87,LRCX,2017-11-17,210.47,209.88868751036
88,LRCX,2017-11-16,213.22,212.63109208418
89,LRCX,2017-11-15,207.86,207.28589626029
90,LRCX,2017-11-14,208.64,208.06374192123
91,LRCX,2017-11-13,209.23,208.65211235707
92,LRCX,2017-11-10,207.39,206.81719438767
93,LRCX,2017-11-09,206.29,205.72023255814
94,LRCX,2017-11-07,209.19,208.61222283599
95,LRCX,2017-11-06,206.67,206.09918300834
96,LRCX,2017-11-03,207.07,206.49807821908
97,LRCX,2017-11-02,206.82,206.24876871237
98,LRCX,2017-11-01,202.92,202.35954040767
99,LRCX,2017-10-31,208.57,207.99393525935
100,LRCX,2017-10-30,206.2,205.63048113572
101,LRCX,2017-10-27,208.0,207.42550958405
102,LRCX,2017-10-26,206.78,206.20887919129
103,LRCX,2017-10-25,203.07,202.50912611169
104,LRCX,2017-10-24,205.84,205.27147544606
105,LRCX,2017-10-23,205.89,205.3213373474
106,LRCX,2017-10-20,205.34,204.77285643264
107,LRCX,2017-10-19,200.98,200.42489863559
108,LRCX,2017-10-18,200.49,199.93625200243
109,LRCX,2017-10-17,194.55,194.01265812296
110,LRCX,2017-10-16,192.36,191.82870684417
111,LRCX,2017-10-13,189.9,189.37550129813
112,LRCX,2017-10-12,186.99,186.47353864
113,LRCX,2017-10-11,186.18,185.66577583826
114,LRCX,2017-10-10,184.9,184.3893111639
115,LRCX,2017-10-09,184.66,184.14997403745
116,LRCX,2017-10-06,184.83,184.31950450202
117,LRCX,2017-10-05,182.82,182.31505606806
118,LRCX,2017-10-04,185.02,184.50897972712
119,LRCX,2017-10-03,184.87,184.35939402309
120,LRCX,2017-10-02,185.95,185.43641109208
121,LRCX,2017-09-29,185.04,184.52892448765
122,LRCX,2017-09-28,181.82,181.31781804121
123,LRCX,2017-09-27,179.39,178.89452963597
124,LRCX,2017-09-26,169.44,168.97201126885
125,LRCX,2017-09-25,170.17,169.69999502845
126,LRCX,2017-09-22,176.73,176.24187648456
127,LRCX,2017-09-21,172.28,171.80416726509
128,LRCX,2017-09-20,173.02,172.54212340496
129,LRCX,2017-09-19,177.12,176.63079931503
130,LRCX,2017-09-18,177.31,176.82027454013
131,LRCX,2017-09-15,172.99,172.51220626416
132,LRCX,2017-09-14,172.58,172.10333867315
133,LRCX,2017-09-13,171.52,171.04626636469
134,LRCX,2017-09-12,171.67,171.19585206872
135,LRCX,2017-09-11,169.96,169.04744955612
136,LRCX,2017-09-08,165.75,164.86005391814
137,LRCX,2017-09-07,168.59,167.68480536989
138,LRCX,2017-09-06,165.01,164.12402713141
139,LRCX,2017-09-05,164.1,163.2189131099
140,LRCX,2017-09-01,166.86,165.96409409822
141,LRCX,2017-08-31,165.98,165.0888190005
142,LRCX,2017-08-30,164.99,164.10413451556
143,LRCX,2017-08-29,162.32,161.4484702986
144,LRCX,2017-08-28,160.67,159.80732949036
145,LRCX,2017-08-25,157.86,157.0124169624
146,LRCX,2017-08-24,158.82,157.96726252355
147,LRCX,2017-08-23,161.7,160.83179920702
148,LRCX,2017-08-22,163.81,162.93047017997
149,LRCX,2017-08-21,158.4,157.54951759055
150,LRCX,2017-08-18,160.49,159.62829594764
151,LRCX,2017-08-17,158.46,157.60919543812
152,LRCX,2017-08-16,163.22,162.34363801218
153,LRCX,2017-08-15,160.21,159.34979932564
154,LRCX,2017-08-14,158.55,157.69871220948
155,LRCX,2017-08-11,154.26,153.43174610807
156,LRCX,2017-08-10,149.44,148.63762568644
157,LRCX,2017-08-09,155.2,154.36669905336
158,LRCX,2017-08-08,155.75,154.91374598944
159,LRCX,2017-08-07,155.84,155.0032627608
160,LRCX,2017-08-04,150.05,149.24435047009
161,LRCX,2017-08-03,148.9,148.10052505829
162,LRCX,2017-08-02,151.55,150.73629665939
163,LRCX,2017-08-01,157.46,156.61456464525
164,LRCX,2017-07-31,159.46,158.60382623099
165,LRCX,2017-07-28,161.6,160.73233612773
166,LRCX,2017-07-27,164.76,163.8753694332
167,LRCX,2017-07-26,168.34,167.43614767167
168,LRCX,2017-07-25,164.46,163.57698019534
169,LRCX,2017-07-24,164.12,163.23880572576
170,LRCX,2017-07-21,163.53,162.65197355797
171,LRCX,2017-07-20,164.8,163.91515466491
172,LRCX,2017-07-19,164.23,163.34821511298
173,LRCX,2017-07-18,159.35,158.49441684377
174,LRCX,2017-07-17,156.98,156.13714186467
175,LRCX,2017-07-14,157.3,156.45542371839
176,LRCX,2017-07-13,154.94,154.10809504722
177,LRCX,2017-07-12,154.58,153.75002796178
178,LRCX,2017-07-11,153.72,152.89464547992
179,LRCX,2017-07-10,150.84,150.03010879645
180,LRCX,2017-07-07,148.13,147.33465934778
181,LRCX,2017-07-06,143.89,143.11742478601
182,LRCX,2017-07-05,142.53,141.76472690771
183,LRCX,2017-07-03,139.29,138.54212313881
184,LRCX,2017-06-30,141.43,140.67063303555
185,LRCX,2017-06-29,142.35,141.58569336499
186,LRCX,2017-06-28,147.83,147.03627010992
187,LRCX,2017-06-27,144.62,143.8435052648
188,LRCX,2017-06-26,148.99,148.19004182964
189,LRCX,2017-06-23,151.76,150.94516912589
190,LRCX,2017-06-22,150.04,149.23440416216
191,LRCX,2017-06-21,150.92,150.10967925988
192,LRCX,2017-06-20,150.11,149.30402831766
193,LRCX,2017-06-19,151.0,150.18924972331
194,LRCX,2017-06-16,148.21,147.41422981121
195,LRCX,2017-06-15,148.48,147.68278012528
196,LRCX,2017-06-14,152.75,151.92985361083
197,LRCX,2017-06-13,155.12,154.28712858993
198,LRCX,2017-06-12,154.51,153.68040380628
199,LRCX,2017-06-09,157.78,156.93284649897
200,LRCX,2017-06-08,164.97,164.0842418997
201,LRCX,2017-06-07,162.3,161.42857768274
202,LRCX,2017-06-06,161.01,160.14550395994
203,LRCX,2017-06-05,160.29,159.42936978907
204,LRCX,2017-06-02,158.74,157.44567724472
205,LRCX,2017-06-01,156.44,155.16443081873
206,LRCX,2017-05-31,155.17,153.90478605307
207,LRCX,2017-05-30,156.87,155.59092471576
208,LRCX,2017-05-26,155.12,153.85519373946
209,LRCX,2017-05-25,153.9,152.64514128741
210,LRCX,2017-05-24,152.88,151.63345808979
211,LRCX,2017-05-23,153.43,152.17897353949
212,LRCX,2017-05-22,152.91,151.66321347796
213,LRCX,2017-05-19,152.4,151.15737187915
214,LRCX,2017-05-18,149.81,148.58849003422
215,LRCX,2017-05-17,147.27,146.0692005029
216,LRCX,2017-05-16,152.56,151.3160672827
217,LRCX,2017-05-15,151.27,150.03658559159
218,LRCX,2017-05-12,149.58,148.36036539162
219,LRCX,2017-05-11,149.92,148.69759312416
220,LRCX,2017-05-10,149.15,147.93387149459
221,LRCX,2017-05-09,150.54,149.31253781291
222,LRCX,2017-05-08,149.12,147.90411610642
223,LRCX,2017-05-05,150.31,149.08441317031
224,LRCX,2017-05-04,150.61,149.38196705196
225,LRCX,2017-05-03,150.08,148.85628852771
226,LRCX,2017-05-02,149.32,148.10248536086
227,LRCX,2017-05-01,149.22,148.00330073364
228,LRCX,2017-04-28,144.85,143.66893252424
229,LRCX,2017-04-27,147.0,145.80140200941
230,LRCX,2017-04-26,145.51,144.32355106388
231,LRCX,2017-04-25,145.76,144.57151263192
232,LRCX,2017-04-24,142.51,141.34801224736
233,LRCX,2017-04-21,139.98,138.83864117876
234,LRCX,2017-04-20,139.36,138.22369649001
235,LRCX,2017-04-19,136.17,135.05970688178
236,LRCX,2017-04-18,127.43,126.39097046299
237,LRCX,2017-04-17,127.33,126.29178583577
238,LRCX,2017-04-13,125.17,124.14939788788
239,LRCX,2017-04-12,126.16,125.13132569733
240,LRCX,2017-04-11,127.23,126.19260120856
241,LRCX,2017-04-10,128.8,127.74979985587
242,LRCX,2017-04-07,129.3,128.24572299195
243,LRCX,2017-04-06,128.86,127.8093106322
244,LRCX,2017-04-05,127.77,126.72819819553
245,LRCX,2017-04-04,128.89,127.83906602036
246,LRCX,2017-04-03,128.42,127.37289827244
247,LRCX,2017-03-31,128.36,127.31338749611
248,LRCX,2017-03-30,128.7,127.65061522865
