None,ticker,date,close,adj_close
0,LYB,2018-03-27,104.14,104.14
1,LYB,2018-03-26,105.09,105.09
2,LYB,2018-03-23,104.55,104.55
3,LYB,2018-03-22,106.6,106.6
4,LYB,2018-03-21,111.21,111.21
5,LYB,2018-03-20,107.47,107.47
6,LYB,2018-03-19,106.77,106.77
7,LYB,2018-03-16,107.18,107.18
8,LYB,2018-03-15,107.47,107.47
9,LYB,2018-03-14,108.75,108.75
10,LYB,2018-03-13,110.34,110.34
11,LYB,2018-03-12,111.14,111.14
12,LYB,2018-03-09,112.28,112.28
13,LYB,2018-03-08,109.37,109.37
14,LYB,2018-03-07,109.38,109.38
15,LYB,2018-03-06,109.74,109.74
16,LYB,2018-03-05,108.67,108.67
17,LYB,2018-03-02,107.21,107.21
18,LYB,2018-03-01,108.13,108.13
19,LYB,2018-02-28,108.22,108.22
20,LYB,2018-02-27,109.66,109.66
21,LYB,2018-02-26,110.51,110.51
22,LYB,2018-02-23,111.6,111.6
23,LYB,2018-02-22,110.83,110.83
24,LYB,2018-02-21,109.09,109.09
25,LYB,2018-02-20,108.59,108.59
26,LYB,2018-02-16,108.61,108.61
27,LYB,2018-02-15,109.97,109.97
28,LYB,2018-02-14,112.0,112.0
29,LYB,2018-02-13,109.64,109.64
30,LYB,2018-02-12,109.7,109.7
31,LYB,2018-02-09,106.99,106.99
32,LYB,2018-02-08,105.79,105.79
33,LYB,2018-02-07,110.27,110.27
34,LYB,2018-02-06,113.82,113.82
35,LYB,2018-02-05,108.77,108.77
36,LYB,2018-02-02,112.17,112.17
37,LYB,2018-02-01,117.56,117.56
38,LYB,2018-01-31,119.84,119.84
39,LYB,2018-01-30,118.85,118.85
40,LYB,2018-01-29,120.91,120.91
41,LYB,2018-01-26,121.49,121.49
42,LYB,2018-01-25,120.74,120.74
43,LYB,2018-01-24,118.94,118.94
44,LYB,2018-01-23,118.43,118.43
45,LYB,2018-01-22,118.94,118.94
46,LYB,2018-01-19,119.92,119.92
47,LYB,2018-01-18,116.89,116.89
48,LYB,2018-01-17,116.88,116.88
49,LYB,2018-01-16,115.89,115.89
50,LYB,2018-01-12,117.68,117.68
51,LYB,2018-01-11,117.7,117.7
52,LYB,2018-01-10,115.03,115.03
53,LYB,2018-01-09,115.15,115.15
54,LYB,2018-01-08,114.11,114.11
