None,ticker,date,close,adj_close
0,M,2018-03-27,27.86,27.86
1,M,2018-03-26,27.9,27.9
2,M,2018-03-23,27.21,27.21
3,M,2018-03-22,28.27,28.27
4,M,2018-03-21,28.68,28.68
5,M,2018-03-20,28.93,28.93
6,M,2018-03-19,29.3,29.3
7,M,2018-03-16,28.9,28.9
8,M,2018-03-15,28.8,28.8
9,M,2018-03-14,29.23,29.23
10,M,2018-03-13,29.82,29.82
11,M,2018-03-12,28.76,28.76
12,M,2018-03-09,28.88,28.88
13,M,2018-03-08,28.92,28.92
14,M,2018-03-07,29.92,29.92
15,M,2018-03-06,30.36,30.36
16,M,2018-03-05,30.35,30.35
17,M,2018-03-02,30.41,30.41
18,M,2018-03-01,29.25,29.25
19,M,2018-02-28,29.41,29.41
20,M,2018-02-27,28.4,28.4
21,M,2018-02-26,27.45,27.45
22,M,2018-02-23,26.74,26.74
23,M,2018-02-22,26.17,26.17
24,M,2018-02-21,25.59,25.59
25,M,2018-02-20,25.65,25.65
26,M,2018-02-16,26.26,26.26
27,M,2018-02-15,26.46,26.46
28,M,2018-02-14,25.64,25.64
29,M,2018-02-13,24.88,24.88
30,M,2018-02-12,24.19,24.19
31,M,2018-02-09,24.15,24.15
32,M,2018-02-08,24.0,24.0
33,M,2018-02-07,24.76,24.76
34,M,2018-02-06,24.16,24.16
35,M,2018-02-05,23.47,23.47
36,M,2018-02-02,24.89,24.89
37,M,2018-02-01,25.62,25.62
38,M,2018-01-31,25.95,25.95
39,M,2018-01-30,26.25,26.25
40,M,2018-01-29,27.31,27.31
41,M,2018-01-26,27.4,27.4
42,M,2018-01-25,26.64,26.64
43,M,2018-01-24,27.25,27.25
44,M,2018-01-23,27.36,27.36
45,M,2018-01-22,27.25,27.25
46,M,2018-01-19,27.01,27.01
47,M,2018-01-18,26.6,26.6
48,M,2018-01-17,26.24,26.24
49,M,2018-01-16,25.92,25.92
50,M,2018-01-12,26.89,26.89
51,M,2018-01-11,26.3,26.3
52,M,2018-01-10,25.6,25.6
53,M,2018-01-09,24.69,24.69
54,M,2018-01-08,24.44,24.44
55,M,2018-01-05,24.48,24.48
56,M,2018-01-04,24.49,24.49
57,M,2018-01-03,25.33,25.33
58,M,2018-01-02,26.31,26.31
59,M,2017-12-29,25.19,25.19
60,M,2017-12-28,25.72,25.72
61,M,2017-12-27,25.64,25.64
62,M,2017-12-26,26.85,26.85
63,M,2017-12-22,25.67,25.67
64,M,2017-12-21,25.57,25.57
65,M,2017-12-20,25.33,25.33
66,M,2017-12-19,25.25,25.25
67,M,2017-12-18,25.85,25.85
68,M,2017-12-15,24.59,24.59
69,M,2017-12-14,24.8,24.8
70,M,2017-12-13,25.83,25.83
71,M,2017-12-12,25.69,25.69
72,M,2017-12-11,25.89,25.89
73,M,2017-12-08,25.8,25.8
74,M,2017-12-07,25.28,25.28
75,M,2017-12-06,25.09,25.09
76,M,2017-12-05,25.22,25.22
77,M,2017-12-04,25.8,25.8
78,M,2017-12-01,24.19,24.19
79,M,2017-11-30,23.8,23.8
80,M,2017-11-29,23.98,23.98
81,M,2017-11-28,22.17,22.17
82,M,2017-11-27,21.21,21.21
83,M,2017-11-24,21.07,21.07
84,M,2017-11-22,20.63,20.63
85,M,2017-11-21,20.42,20.42
86,M,2017-11-20,20.8,20.8
87,M,2017-11-17,20.35,20.35
88,M,2017-11-16,20.25,20.25
89,M,2017-11-15,19.98,19.98
90,M,2017-11-14,19.7,19.7
91,M,2017-11-13,19.33,19.33
92,M,2017-11-10,19.98,19.98
93,M,2017-11-09,19.5,19.5
94,M,2017-11-07,17.53,17.53
95,M,2017-11-06,18.16,18.16
96,M,2017-11-03,18.36,18.36
97,M,2017-11-02,18.78,18.78
98,M,2017-11-01,18.95,18.95
99,M,2017-10-31,18.76,18.76
100,M,2017-10-30,18.84,18.84
101,M,2017-10-27,19.69,19.69
102,M,2017-10-26,21.34,21.34
103,M,2017-10-25,21.245,21.245
104,M,2017-10-24,21.4,21.4
105,M,2017-10-23,21.33,21.33
106,M,2017-10-20,21.17,21.17
107,M,2017-10-19,20.19,20.19
108,M,2017-10-18,20.15,20.15
109,M,2017-10-17,19.95,19.95
110,M,2017-10-16,19.89,19.89
111,M,2017-10-13,20.2,20.2
112,M,2017-10-12,20.24,20.24
113,M,2017-10-11,20.47,20.47
114,M,2017-10-10,20.66,20.66
115,M,2017-10-09,20.35,20.35
