None,ticker,date,close,adj_close
0,MA,2018-03-27,172.52,172.52
1,MA,2018-03-26,177.17,177.17
2,MA,2018-03-23,171.83,171.83
3,MA,2018-03-22,175.52,175.52
4,MA,2018-03-21,180.75,180.75
5,MA,2018-03-20,182.51,182.51
6,MA,2018-03-19,180.58,180.58
7,MA,2018-03-16,182.55,182.55
8,MA,2018-03-15,180.95,180.95
9,MA,2018-03-14,180.12,180.12
10,MA,2018-03-13,181.01,181.01
11,MA,2018-03-12,182.54,182.54
12,MA,2018-03-09,183.24,183.24
13,MA,2018-03-08,179.25,179.25
14,MA,2018-03-07,179.21,179.21
15,MA,2018-03-06,177.53,177.53
16,MA,2018-03-05,178.53,178.53
17,MA,2018-03-02,175.02,175.02
18,MA,2018-03-01,173.49,173.49
19,MA,2018-02-28,175.76,175.76
20,MA,2018-02-27,175.93,175.93
21,MA,2018-02-26,177.87,177.87
22,MA,2018-02-23,175.76,175.76
23,MA,2018-02-22,172.95,172.95
24,MA,2018-02-21,172.32,172.32
25,MA,2018-02-20,175.35,175.35
26,MA,2018-02-16,175.65,175.65
27,MA,2018-02-15,174.69,174.69
28,MA,2018-02-13,170.12,170.12
29,MA,2018-02-12,168.19,168.19
30,MA,2018-02-09,165.2,165.2
31,MA,2018-02-08,160.62,160.62
32,MA,2018-02-07,168.73,168.73
33,MA,2018-02-06,169.28,169.28
34,MA,2018-02-05,164.59,164.59
35,MA,2018-02-02,170.55,170.55
36,MA,2018-02-01,172.93,172.93
37,MA,2018-01-31,169.0,169.0
38,MA,2018-01-30,167.19,167.19
39,MA,2018-01-29,168.55,168.55
40,MA,2018-01-26,170.34,170.34
41,MA,2018-01-25,168.59,168.59
42,MA,2018-01-24,167.01,167.01
43,MA,2018-01-23,167.19,167.19
44,MA,2018-01-22,168.28,168.28
45,MA,2018-01-19,166.83,166.83
46,MA,2018-01-18,165.48,165.48
47,MA,2018-01-17,164.32,164.32
48,MA,2018-01-16,162.29,162.29
49,MA,2018-01-12,162.33,162.33
50,MA,2018-01-11,160.92,160.92
51,MA,2018-01-10,159.86,159.86
52,MA,2018-01-09,159.5,159.5
53,MA,2018-01-08,159.27,159.27
54,MA,2018-01-05,159.04,159.04
55,MA,2018-01-04,155.81,155.81
56,MA,2018-01-03,153.82,153.82
57,MA,2018-01-02,151.91,151.91
58,MA,2017-12-29,151.36,151.36
59,MA,2017-12-28,151.77,151.77
60,MA,2017-12-27,151.4,151.4
61,MA,2017-12-26,151.28,151.28
62,MA,2017-12-22,150.85,150.85
63,MA,2017-12-21,150.53,150.53
64,MA,2017-12-20,151.45,151.45
65,MA,2017-12-19,151.68,151.68
66,MA,2017-12-18,153.12,153.12
67,MA,2017-12-15,153.4,153.4
68,MA,2017-12-14,151.93,151.93
