None,ticker,date,close,adj_close
0,MAC,2018-03-27,55.5,55.5
1,MAC,2018-03-26,57.84,57.84
2,MAC,2018-03-23,57.28,57.28
3,MAC,2018-03-22,57.88,57.88
4,MAC,2018-03-21,57.48,57.48
5,MAC,2018-03-20,57.36,57.36
6,MAC,2018-03-19,57.85,57.85
7,MAC,2018-03-16,58.93,58.93
8,MAC,2018-03-15,59.11,59.11
9,MAC,2018-03-14,59.6,59.6
10,MAC,2018-03-13,58.89,58.89
11,MAC,2018-03-12,58.1,58.1
12,MAC,2018-03-09,58.02,58.02
13,MAC,2018-03-08,58.78,58.78
14,MAC,2018-03-07,59.27,59.27
15,MAC,2018-03-06,59.18,59.18
16,MAC,2018-03-05,59.16,59.16
17,MAC,2018-03-02,59.04,59.04
18,MAC,2018-03-01,59.13,59.13
19,MAC,2018-02-28,58.94,58.94
20,MAC,2018-02-27,57.85,57.85
21,MAC,2018-02-26,59.81,59.81
22,MAC,2018-02-23,59.36,59.36
23,MAC,2018-02-22,58.8,58.8
24,MAC,2018-02-21,57.96,57.96
25,MAC,2018-02-20,59.38,59.38
26,MAC,2018-02-16,60.66,60.66
27,MAC,2018-02-15,61.1,61.1
28,MAC,2018-02-14,61.56,61.56
29,MAC,2018-02-13,60.83,60.83
30,MAC,2018-02-12,60.8,60.8
31,MAC,2018-02-09,60.41,60.41
32,MAC,2018-02-08,58.36,58.36
33,MAC,2018-02-07,60.19,60.19
34,MAC,2018-02-06,59.65,59.65
35,MAC,2018-02-05,59.73,59.73
36,MAC,2018-02-02,61.46,61.46
37,MAC,2018-02-01,62.73,62.73
38,MAC,2018-01-31,64.57,64.57
39,MAC,2018-01-30,64.28,64.28
40,MAC,2018-01-29,66.02,66.02
41,MAC,2018-01-26,66.5,66.5
42,MAC,2018-01-25,65.05,65.05
43,MAC,2018-01-24,67.31,67.31
44,MAC,2018-01-23,68.86,68.86
45,MAC,2018-01-22,66.0,66.0
46,MAC,2018-01-19,63.75,63.75
47,MAC,2018-01-18,62.9,62.9
48,MAC,2018-01-17,63.02,63.02
49,MAC,2018-01-16,61.56,61.56
50,MAC,2018-01-12,62.97,62.97
51,MAC,2018-01-11,63.1,63.1
52,MAC,2018-01-10,63.03,63.03
53,MAC,2018-01-09,63.54,63.54
54,MAC,2018-01-08,65.23,65.23
55,MAC,2018-01-05,64.81,64.81
