None,ticker,date,close,adj_close
0,MAR,2018-03-27,135.59,135.59
1,MAR,2018-03-26,138.92,138.92
2,MAR,2018-03-23,133.76,133.76
3,MAR,2018-03-22,137.25,137.25
4,MAR,2018-03-21,140.42,140.42
5,MAR,2018-03-20,140.55,140.55
6,MAR,2018-03-19,139.82,139.82
7,MAR,2018-03-16,141.06,141.06
8,MAR,2018-03-15,141.73,141.73
9,MAR,2018-03-14,141.43,141.43
10,MAR,2018-03-13,141.75,141.75
11,MAR,2018-03-12,141.81,141.81
12,MAR,2018-03-09,143.29,143.29
13,MAR,2018-03-08,139.35,139.35
14,MAR,2018-03-07,138.98,138.98
15,MAR,2018-03-06,137.61,137.61
16,MAR,2018-03-05,135.73,135.73
17,MAR,2018-03-02,139.58,139.58
18,MAR,2018-03-01,137.54,137.54
19,MAR,2018-02-28,141.21,141.21
20,MAR,2018-02-27,138.12,138.12
21,MAR,2018-02-26,141.35,141.35
22,MAR,2018-02-23,142.17,142.17
23,MAR,2018-02-22,140.6,140.6
24,MAR,2018-02-21,141.96,141.96
25,MAR,2018-02-20,140.44,140.44
26,MAR,2018-02-16,138.5,138.5
27,MAR,2018-02-15,141.29,141.29
28,MAR,2018-02-14,145.24,145.24
29,MAR,2018-02-13,140.61,140.61
30,MAR,2018-02-12,139.1,139.1
31,MAR,2018-02-09,136.18,136.18
32,MAR,2018-02-08,133.82,133.82
33,MAR,2018-02-07,139.64,139.64
34,MAR,2018-02-06,140.03,140.03
35,MAR,2018-02-05,137.15,137.15
36,MAR,2018-02-02,141.17,141.17
37,MAR,2018-02-01,147.52,147.52
38,MAR,2018-01-31,147.34,147.34
39,MAR,2018-01-30,147.27,147.27
40,MAR,2018-01-29,147.99,147.99
41,MAR,2018-01-26,147.14,147.14
42,MAR,2018-01-25,145.5,145.5
43,MAR,2018-01-24,144.39,144.39
44,MAR,2018-01-23,145.8,145.8
45,MAR,2018-01-22,143.81,143.81
46,MAR,2018-01-19,144.07,144.07
47,MAR,2018-01-18,141.13,141.13
48,MAR,2018-01-17,142.0,142.0
49,MAR,2018-01-16,139.12,139.12
50,MAR,2018-01-12,139.78,139.78
51,MAR,2018-01-11,139.43,139.43
52,MAR,2018-01-10,137.7,137.7
53,MAR,2018-01-09,137.71,137.71
54,MAR,2018-01-08,136.34,136.34
55,MAR,2018-01-05,134.4,134.4
56,MAR,2018-01-04,135.7,135.7
57,MAR,2018-01-03,136.45,136.45
58,MAR,2018-01-02,133.75,133.75
59,MAR,2017-12-29,135.73,135.73
60,MAR,2017-12-28,136.57,136.57
61,MAR,2017-12-27,136.25,136.25
62,MAR,2017-12-26,133.3,133.3
63,MAR,2017-12-22,133.97,133.97
64,MAR,2017-12-21,133.95,133.95
65,MAR,2017-12-20,133.84,133.84
66,MAR,2017-12-19,133.14,133.14
67,MAR,2017-12-18,133.34,133.34
68,MAR,2017-12-15,129.82,129.82
69,MAR,2017-12-14,127.72,127.72
70,MAR,2017-12-13,128.47,128.47
71,MAR,2017-12-12,128.76,128.76
72,MAR,2017-12-11,128.57,128.57
73,MAR,2017-12-08,129.32,129.32
74,MAR,2017-12-07,127.85,127.85
75,MAR,2017-12-06,127.3,127.3
76,MAR,2017-12-05,127.53,127.53
77,MAR,2017-12-04,127.73,127.73
78,MAR,2017-12-01,126.86,126.86
79,MAR,2017-11-30,127.0,127.0
80,MAR,2017-11-29,126.49,126.49
81,MAR,2017-11-28,126.9,126.9
82,MAR,2017-11-27,126.93,126.93
83,MAR,2017-11-24,126.5,126.5
84,MAR,2017-11-22,126.39,126.39
85,MAR,2017-11-21,127.62,127.62
86,MAR,2017-11-20,125.91,125.58526143025
87,MAR,2017-11-17,125.48,125.15637045721
88,MAR,2017-11-16,124.38,124.05920750293
89,MAR,2017-11-15,122.26,121.94467526377
90,MAR,2017-11-14,123.06,122.7426119578
91,MAR,2017-11-13,120.39,120.0794982415
92,MAR,2017-11-10,120.11,119.80022039859
93,MAR,2017-11-09,118.81,118.50357327081
94,MAR,2017-11-07,120.89,120.57820867526
95,MAR,2017-11-06,121.98,121.66539742087
96,MAR,2017-11-03,121.55,121.23650644783
97,MAR,2017-11-02,119.64,119.33143259086
98,MAR,2017-11-01,120.16,119.85009144197
99,MAR,2017-10-31,119.48,119.17184525205
100,MAR,2017-10-30,118.52,118.21432121923
101,MAR,2017-10-27,118.87,118.56341852286
102,MAR,2017-10-26,118.81,118.50357327081
103,MAR,2017-10-25,116.33,116.02996951934
104,MAR,2017-10-24,116.81,116.50873153576
105,MAR,2017-10-23,115.31,115.01260023447
106,MAR,2017-10-20,115.02,114.72334818288
107,MAR,2017-10-19,115.2,114.90288393904
108,MAR,2017-10-18,115.77,115.47141383353
109,MAR,2017-10-17,115.04,114.74329660023
110,MAR,2017-10-16,114.75,114.45404454865
111,MAR,2017-10-13,115.11,114.81311606096
112,MAR,2017-10-12,114.46,114.16479249707
113,MAR,2017-10-11,114.13,113.83564361079
114,MAR,2017-10-10,114.08,113.78577256741
115,MAR,2017-10-09,112.76,112.46917702227
116,MAR,2017-10-06,111.76,111.47175615475
117,MAR,2017-10-05,111.27,110.98301992966
118,MAR,2017-10-04,108.82,108.53933880422
119,MAR,2017-10-03,109.4,109.11784290739
120,MAR,2017-10-02,110.53,110.24492848769
121,MAR,2017-09-29,110.26,109.97562485346
122,MAR,2017-09-28,110.0,109.7162954279
123,MAR,2017-09-27,108.36,108.08052520516
124,MAR,2017-09-26,108.07,107.79127315358
125,MAR,2017-09-25,108.87,108.5892098476
126,MAR,2017-09-22,107.88,107.60176318875
127,MAR,2017-09-21,107.57,107.29256271981
128,MAR,2017-09-20,107.69,107.41225322392
129,MAR,2017-09-19,107.35,107.07313012896
130,MAR,2017-09-18,105.54,105.26779835873
131,MAR,2017-09-15,105.39,105.1181852286
132,MAR,2017-09-14,106.39,106.11560609613
133,MAR,2017-09-13,106.75,106.47467760844
134,MAR,2017-09-12,105.08,104.80898475967
135,MAR,2017-09-11,104.63,104.36014536928
136,MAR,2017-09-08,103.43,103.16324032825
137,MAR,2017-09-07,101.76,101.49754747948
138,MAR,2017-09-06,101.8,101.53744431419
139,MAR,2017-09-05,102.28,102.0162063306
140,MAR,2017-09-01,103.8,103.53228604924
141,MAR,2017-08-31,103.58,103.31285345838
142,MAR,2017-08-30,103.64,103.37269871043
143,MAR,2017-08-29,100.23,99.971493552169
144,MAR,2017-08-28,100.71,100.45025556858
145,MAR,2017-08-25,100.66,100.40038452521
146,MAR,2017-08-24,99.95,99.692215709261
147,MAR,2017-08-23,100.43,100.17097772567
148,MAR,2017-08-22,102.0,101.73692848769
149,MAR,2017-08-21,99.08,98.505764434285
150,MAR,2017-08-18,98.03,97.461849893954
151,MAR,2017-08-17,97.84,97.27295107237
152,MAR,2017-08-16,100.3,99.718693709717
153,MAR,2017-08-15,100.4,99.81811414213
154,MAR,2017-08-14,100.07,99.490026715168
155,MAR,2017-08-11,99.4,98.823909818005
156,MAR,2017-08-10,99.54,98.963098423382
157,MAR,2017-08-09,101.345,100.75763722843
158,MAR,2017-08-08,103.95,103.34753949277
159,MAR,2017-08-07,106.17,105.55467309233
160,MAR,2017-08-04,105.02,104.41133811959
161,MAR,2017-08-03,103.66,103.05922023878
162,MAR,2017-08-02,103.49,102.89020550368
163,MAR,2017-08-01,105.13,104.52070059524
164,MAR,2017-07-31,104.19,103.58614853056
165,MAR,2017-07-28,103.34,102.74107485506
166,MAR,2017-07-27,104.06,103.45690196843
167,MAR,2017-07-26,103.04,102.44281355782
168,MAR,2017-07-25,103.06,102.4626976443
169,MAR,2017-07-24,102.71,102.11472613086
170,MAR,2017-07-21,102.84,102.24397269299
171,MAR,2017-07-20,102.4,101.80652279038
172,MAR,2017-07-19,102.24,101.64745009852
173,MAR,2017-07-18,102.0,101.40884106073
174,MAR,2017-07-17,101.35,100.76260825005
175,MAR,2017-07-14,100.99,100.40469469336
176,MAR,2017-07-13,100.7,100.11637543937
177,MAR,2017-07-12,100.8,100.21579587178
178,MAR,2017-07-11,100.73,100.14620156909
179,MAR,2017-07-10,100.71,100.12631748261
180,MAR,2017-07-07,100.35,99.768403925923
181,MAR,2017-07-06,99.65,99.072460899036
182,MAR,2017-07-05,101.17,100.58365147171
183,MAR,2017-07-03,100.11,99.529794888133
184,MAR,2017-06-30,100.31,99.728635752958
185,MAR,2017-06-29,100.21,99.629215320546
186,MAR,2017-06-28,101.98,101.38895697425
187,MAR,2017-06-27,101.03,100.44446286633
188,MAR,2017-06-26,103.93,103.32765540629
189,MAR,2017-06-23,104.06,103.45690196843
190,MAR,2017-06-22,103.89,103.28788723333
191,MAR,2017-06-21,104.13,103.52649627112
192,MAR,2017-06-20,104.19,103.58614853056
193,MAR,2017-06-19,105.93,105.31606405454
194,MAR,2017-06-16,104.5,103.89435187104
195,MAR,2017-06-15,104.74,104.13296090883
196,MAR,2017-06-14,103.91,103.30777131981
197,MAR,2017-06-13,103.88,103.27794519008
198,MAR,2017-06-12,102.07,101.47843536342
199,MAR,2017-06-09,102.42,101.82640687686
200,MAR,2017-06-08,105.08,104.47099037903
201,MAR,2017-06-07,105.1,104.49087446552
202,MAR,2017-06-06,104.97,104.36162790338
203,MAR,2017-06-05,108.19,107.56296582706
204,MAR,2017-06-02,110.06,109.42212791318
205,MAR,2017-06-01,108.68,108.05012594588
206,MAR,2017-05-31,107.65,107.02609549203
207,MAR,2017-05-30,106.74,106.12136955708
208,MAR,2017-05-26,106.9,106.28044224894
209,MAR,2017-05-25,106.53,105.91258664901
210,MAR,2017-05-24,105.88,105.26635383833
211,MAR,2017-05-23,105.49,104.87861415192
212,MAR,2017-05-22,104.22,103.61597466029
213,MAR,2017-05-19,102.82,102.22408860651
214,MAR,2017-05-18,102.53,101.93576935252
215,MAR,2017-05-17,102.11,101.51820353638
216,MAR,2017-05-16,103.99,103.05425601082
217,MAR,2017-05-15,104.06,103.12362612257
218,MAR,2017-05-12,102.45,101.52811355235
219,MAR,2017-05-11,102.82,101.89478414302
220,MAR,2017-05-10,103.24,102.31100481351
221,MAR,2017-05-09,102.5,101.57766363217
222,MAR,2017-05-08,96.37,95.502823846166
223,MAR,2017-05-05,97.05,96.176704931726
224,MAR,2017-05-04,96.88,96.008234660336
225,MAR,2017-05-03,96.99,96.117244835941
226,MAR,2017-05-02,97.08,96.206434979618
227,MAR,2017-05-01,95.58,94.719932585001
228,MAR,2017-04-28,94.42,93.570370733164
229,MAR,2017-04-27,95.74,94.878492840427
230,MAR,2017-04-26,96.3,95.433453734417
231,MAR,2017-04-25,94.57,93.719020972625
232,MAR,2017-04-24,93.52,92.678469296393
233,MAR,2017-04-21,92.47,91.637917620161
234,MAR,2017-04-20,92.77,91.935218099085
235,MAR,2017-04-19,91.49,90.666736055678
236,MAR,2017-04-18,92.02,91.191966901776
237,MAR,2017-04-17,91.95,91.122596790028
238,MAR,2017-04-13,91.55,90.726196151463
239,MAR,2017-04-12,91.75,90.924396470745
240,MAR,2017-04-11,91.4,90.577545912001
241,MAR,2017-04-10,91.06,90.240605369221
242,MAR,2017-04-07,91.21,90.389255608683
243,MAR,2017-04-06,91.77,90.944216502673
244,MAR,2017-04-05,91.96,91.132506805992
245,MAR,2017-04-04,92.47,91.637917620161
246,MAR,2017-04-03,92.75,91.915398067157
247,MAR,2017-03-31,94.18,93.332530350025
248,MAR,2017-03-30,94.64,93.788391084374
249,MAR,2017-03-29,94.59,93.738841004554
250,MAR,2017-03-28,94.49,93.639740844912
251,MAR,2017-03-27,93.17,92.331618737649
252,MAR,2017-03-24,93.5,92.658649264465
253,MAR,2017-03-23,93.14,92.301888689757
254,MAR,2017-03-22,92.14,91.310887093346
255,MAR,2017-03-21,89.1,88.298242240255
256,MAR,2017-03-20,88.68,87.882021569762
257,MAR,2017-03-17,88.33,87.535171011018
258,MAR,2017-03-16,88.06,87.267600579987
259,MAR,2017-03-15,87.82,87.029760196848
260,MAR,2017-03-14,86.27,85.493707722411
261,MAR,2017-03-13,87.03,86.246868935683
262,MAR,2017-03-10,86.62,85.840558281155
263,MAR,2017-03-09,86.31,85.533347786267
264,MAR,2017-03-08,86.39,85.61262791398
265,MAR,2017-03-07,86.15,85.374787530841
266,MAR,2017-03-06,86.72,85.939658440796
267,MAR,2017-03-03,86.79,86.009028552545
268,MAR,2017-03-02,87.52,86.732459717925
269,MAR,2017-03-01,88.49,87.693731266444
270,MAR,2017-02-28,86.99,86.207228871827
271,MAR,2017-02-27,87.45,86.663089606176
272,MAR,2017-02-24,87.08,86.296419015504
273,MAR,2017-02-23,87.0,86.217138887791
274,MAR,2017-02-22,87.68,86.891019973351
275,MAR,2017-02-21,87.99,86.90089619749
276,MAR,2017-02-17,89.36,88.253938904508
277,MAR,2017-02-16,89.44,88.332948697619
278,MAR,2017-02-15,89.46,88.352701145896
279,MAR,2017-02-14,87.89,86.802133956102
280,MAR,2017-02-13,87.38,86.298446525022
281,MAR,2017-02-10,86.45,85.379957680111
