None,ticker,date,close,adj_close
0,MCD,2018-03-27,157.48,157.48
1,MCD,2018-03-26,158.01,158.01
2,MCD,2018-03-23,154.98,154.98
3,MCD,2018-03-22,157.04,157.04
4,MCD,2018-03-21,158.66,158.66
5,MCD,2018-03-20,159.38,159.38
6,MCD,2018-03-19,159.01,159.01
7,MCD,2018-03-16,162.36,162.36
8,MCD,2018-03-15,161.61,161.61
9,MCD,2018-03-14,158.24,158.24
10,MCD,2018-03-13,158.22,158.22
11,MCD,2018-03-12,157.74,157.74
12,MCD,2018-03-09,157.24,157.24
13,MCD,2018-03-08,154.44,154.44
14,MCD,2018-03-07,152.38,152.38
15,MCD,2018-03-06,151.2,151.2
16,MCD,2018-03-05,151.03,151.03
17,MCD,2018-03-02,148.27,148.27
18,MCD,2018-03-01,155.7,155.7
19,MCD,2018-02-28,157.74,157.74
20,MCD,2018-02-27,160.66,160.66
21,MCD,2018-02-26,163.58,163.58
22,MCD,2018-02-23,163.06,163.06
23,MCD,2018-02-22,160.66,160.66
24,MCD,2018-02-21,158.64,158.64
25,MCD,2018-02-20,157.16,157.16
26,MCD,2018-02-16,157.79,157.79
27,MCD,2018-02-15,160.78,160.78
28,MCD,2018-02-14,159.99,159.99
29,MCD,2018-02-13,162.4,162.4
30,MCD,2018-02-12,163.9,163.9
31,MCD,2018-02-09,160.8,160.8
32,MCD,2018-02-08,158.97,158.97
33,MCD,2018-02-07,165.71,165.71
34,MCD,2018-02-06,165.18,165.18
35,MCD,2018-02-05,163.85,163.85
36,MCD,2018-02-02,169.38,169.38
37,MCD,2018-02-01,171.9,171.9
38,MCD,2018-01-31,171.14,171.14
39,MCD,2018-01-30,172.48,172.48
40,MCD,2018-01-29,177.77,177.77
41,MCD,2018-01-26,178.36,178.36
42,MCD,2018-01-25,175.66,175.66
43,MCD,2018-01-24,176.12,176.12
44,MCD,2018-01-23,176.81,176.81
45,MCD,2018-01-22,176.21,176.21
46,MCD,2018-01-19,176.12,176.12
47,MCD,2018-01-18,174.57,174.57
48,MCD,2018-01-17,174.98,174.98
49,MCD,2018-01-16,173.68,173.68
50,MCD,2018-01-12,173.57,173.57
51,MCD,2018-01-11,173.39,173.39
52,MCD,2018-01-10,173.51,173.51
53,MCD,2018-01-09,173.54,173.54
54,MCD,2018-01-08,173.93,173.93
55,MCD,2018-01-05,174.05,174.05
56,MCD,2018-01-04,173.7,173.7
57,MCD,2018-01-03,172.49,172.49
58,MCD,2018-01-02,173.22,173.22
59,MCD,2017-12-29,172.12,172.12
60,MCD,2017-12-28,173.1,173.1
61,MCD,2017-12-27,172.67,172.67
62,MCD,2017-12-26,171.29,171.29
63,MCD,2017-12-22,171.42,171.42
64,MCD,2017-12-21,171.85,171.85
65,MCD,2017-12-20,172.17,172.17
66,MCD,2017-12-19,173.39,173.39
67,MCD,2017-12-18,174.2,174.2
68,MCD,2017-12-15,174.06,174.06
69,MCD,2017-12-14,173.14,173.14
70,MCD,2017-12-13,173.55,173.55
71,MCD,2017-12-12,172.23,172.23
72,MCD,2017-12-11,173.25,173.25
73,MCD,2017-12-08,173.15,173.15
74,MCD,2017-12-07,172.91,172.91
75,MCD,2017-12-06,173.48,173.48
76,MCD,2017-12-05,172.99,172.99
77,MCD,2017-12-04,170.65,170.65
78,MCD,2017-12-01,172.87,172.87
79,MCD,2017-11-30,171.97,171.97
80,MCD,2017-11-29,170.43,170.43
81,MCD,2017-11-28,171.34,171.34
82,MCD,2017-11-27,168.96,168.96
83,MCD,2017-11-24,169.11,169.11
84,MCD,2017-11-22,169.05,169.05
85,MCD,2017-11-21,168.3,168.3
86,MCD,2017-11-20,166.93,166.93
87,MCD,2017-11-17,166.72,166.72
88,MCD,2017-11-16,168.09,168.09
89,MCD,2017-11-15,167.32,167.32
90,MCD,2017-11-14,168.11,168.11
91,MCD,2017-11-13,167.37,167.37
92,MCD,2017-11-10,165.59,165.59
93,MCD,2017-11-09,167.0,167.0
94,MCD,2017-11-07,170.77,170.77
95,MCD,2017-11-06,170.07,170.07
96,MCD,2017-11-03,168.65,168.65
97,MCD,2017-11-02,168.1,168.1
98,MCD,2017-11-01,166.37,166.37
99,MCD,2017-10-31,166.91,166.91
100,MCD,2017-10-30,166.23,166.23
101,MCD,2017-10-27,165.39,165.39
102,MCD,2017-10-26,164.01,164.01
103,MCD,2017-10-25,163.55,163.55
104,MCD,2017-10-24,163.88,163.88
105,MCD,2017-10-23,163.34,163.34
106,MCD,2017-10-20,166.3,166.3
107,MCD,2017-10-19,166.5,166.5
108,MCD,2017-10-18,165.77,165.77
109,MCD,2017-10-17,165.4,165.4
110,MCD,2017-10-16,165.01,165.01
111,MCD,2017-10-13,165.37,165.37
112,MCD,2017-10-12,163.91,163.91
113,MCD,2017-10-11,163.15,163.15
114,MCD,2017-10-10,160.58,160.58
115,MCD,2017-10-09,160.12,160.12
116,MCD,2017-10-06,159.6,159.6
117,MCD,2017-10-05,158.8,158.8
118,MCD,2017-10-04,157.21,157.21
119,MCD,2017-10-03,156.86,156.86
120,MCD,2017-10-02,156.96,156.96
121,MCD,2017-09-29,156.68,156.68
122,MCD,2017-09-28,157.49,157.49
123,MCD,2017-09-27,154.05,154.05
124,MCD,2017-09-26,153.35,153.35
125,MCD,2017-09-25,156.26,156.26
126,MCD,2017-09-22,158.91,158.91
127,MCD,2017-09-21,159.03,159.03
128,MCD,2017-09-20,159.88,159.88
129,MCD,2017-09-19,157.43,157.43
130,MCD,2017-09-18,156.68,156.68
131,MCD,2017-09-15,156.92,156.92
132,MCD,2017-09-14,157.0,157.0
133,MCD,2017-09-13,157.0,157.0
134,MCD,2017-09-12,156.33,156.33
135,MCD,2017-09-11,161.53,161.53
136,MCD,2017-09-08,159.71,159.71
137,MCD,2017-09-07,159.9,159.9
138,MCD,2017-09-06,158.22,158.22
139,MCD,2017-09-05,159.1,159.1
140,MCD,2017-09-01,159.81,159.81
141,MCD,2017-08-31,159.97,159.97
142,MCD,2017-08-30,159.53,159.53
143,MCD,2017-08-29,159.38,158.44638499408
144,MCD,2017-08-28,159.67,158.73468623419
145,MCD,2017-08-25,158.82,157.88966535801
146,MCD,2017-08-24,158.41,157.48206705303
147,MCD,2017-08-23,158.81,157.87972393594
148,MCD,2017-08-22,159.64,158.70486196797
149,MCD,2017-08-21,158.36,157.43235994267
150,MCD,2017-08-18,157.76,156.83587461831
151,MCD,2017-08-17,157.89,156.96511310525
152,MCD,2017-08-16,158.9,157.96919673459
153,MCD,2017-08-15,157.62,156.69669470929
154,MCD,2017-08-14,157.26,156.33880351468
155,MCD,2017-08-11,157.3,156.37856920297
156,MCD,2017-08-10,156.62,155.70255250203
157,MCD,2017-08-09,154.92,154.01251074967
158,MCD,2017-08-08,154.92,154.01251074967
159,MCD,2017-08-07,154.97,154.06221786004
160,MCD,2017-08-04,153.82,152.91895432168
161,MCD,2017-08-03,154.72,153.81368230822
162,MCD,2017-08-02,156.59,155.67272823581
163,MCD,2017-08-01,154.04,153.13766560728
164,MCD,2017-07-31,155.14,154.23122203527
165,MCD,2017-07-28,155.85,154.93706300243
166,MCD,2017-07-27,156.95,156.03061943042
167,MCD,2017-07-26,156.51,155.59319685923
168,MCD,2017-07-25,159.07,158.13820090983
169,MCD,2017-07-24,151.85,150.96049417337
170,MCD,2017-07-21,153.92,153.01836854241
171,MCD,2017-07-20,154.21,153.30666978251
172,MCD,2017-07-19,153.89,152.98854427619
173,MCD,2017-07-18,153.96,153.0581342307
174,MCD,2017-07-17,155.26,154.35051910014
175,MCD,2017-07-14,155.28,154.37040194429
176,MCD,2017-07-13,155.04,154.13180781454
177,MCD,2017-07-12,156.58,155.66278681373
178,MCD,2017-07-11,154.91,154.0025693276
179,MCD,2017-07-10,155.52,154.60899607403
180,MCD,2017-07-07,156.27,155.35460272948
181,MCD,2017-07-06,153.09,152.19323051038
182,MCD,2017-07-05,153.07,152.17334766623
183,MCD,2017-07-03,152.5,151.60668660809
184,MCD,2017-06-30,153.16,152.26282046488
185,MCD,2017-06-29,153.13,152.23299619867
186,MCD,2017-06-28,154.3,153.39614258117
187,MCD,2017-06-27,153.72,152.81954010095
188,MCD,2017-06-26,153.96,153.0581342307
189,MCD,2017-06-23,154.64,153.73415093164
190,MCD,2017-06-22,154.8,153.8932136848
191,MCD,2017-06-21,153.73,152.82948152303
192,MCD,2017-06-20,154.07,153.1674898735
193,MCD,2017-06-19,153.14,152.24293762074
194,MCD,2017-06-16,151.99,151.09967408238
195,MCD,2017-06-15,151.17,150.28447747242
196,MCD,2017-06-14,150.68,149.79734779086
197,MCD,2017-06-13,149.82,148.94238549262
198,MCD,2017-06-12,148.47,147.60029351281
199,MCD,2017-06-09,151.48,150.59266155668
200,MCD,2017-06-08,151.43,150.54295444631
201,MCD,2017-06-07,151.94,151.04996697202
202,MCD,2017-06-06,151.23,150.34412600486
203,MCD,2017-06-05,152.79,151.8949878482
204,MCD,2017-06-02,153.74,152.8394229451
205,MCD,2017-06-01,152.39,151.49733096529
206,MCD,2017-05-31,150.89,149.08649494132
207,MCD,2017-05-30,149.93,148.13796929254
208,MCD,2017-05-26,149.86,148.06880596399
209,MCD,2017-05-25,149.78,147.98976215992
210,MCD,2017-05-24,149.5,147.7131088457
