None,ticker,date,close,adj_close
0,MCK,2018-03-27,138.75,138.75
1,MCK,2018-03-26,139.29,139.29
2,MCK,2018-03-23,139.04,139.04
3,MCK,2018-03-22,141.69,141.69
4,MCK,2018-03-21,142.92,142.92
5,MCK,2018-03-20,141.81,141.81
6,MCK,2018-03-19,147.62,147.62
7,MCK,2018-03-16,152.33,152.33
8,MCK,2018-03-15,153.96,153.96
9,MCK,2018-03-14,155.44,155.44
10,MCK,2018-03-13,157.69,157.69
11,MCK,2018-03-12,157.8,157.8
12,MCK,2018-03-09,155.79,155.79
13,MCK,2018-03-08,153.98,153.98
14,MCK,2018-03-07,151.75,151.75
15,MCK,2018-03-06,151.17,151.17
16,MCK,2018-03-05,151.31,151.31
17,MCK,2018-03-02,149.9,149.9
18,MCK,2018-03-01,146.54,146.54
19,MCK,2018-02-28,149.23,149.23
20,MCK,2018-02-27,153.68,153.68
21,MCK,2018-02-26,154.52,154.52
22,MCK,2018-02-23,152.65,152.65
23,MCK,2018-02-22,150.09,150.09
24,MCK,2018-02-21,149.59,149.59
25,MCK,2018-02-20,148.85,148.85
26,MCK,2018-02-16,150.5,150.5
27,MCK,2018-02-15,148.7,148.7
28,MCK,2018-02-14,148.77,148.77
29,MCK,2018-02-13,146.18,146.18
30,MCK,2018-02-12,149.02,149.02
31,MCK,2018-02-09,148.93,148.93
32,MCK,2018-02-08,150.23,150.23
33,MCK,2018-02-07,152.83,152.83
34,MCK,2018-02-06,152.52,152.52
35,MCK,2018-02-05,152.39,152.39
36,MCK,2018-02-02,159.21,159.21
37,MCK,2018-02-01,166.27,166.27
38,MCK,2018-01-31,168.88,168.88
39,MCK,2018-01-30,171.75,171.75
40,MCK,2018-01-29,176.33,176.33
41,MCK,2018-01-26,176.72,176.72
42,MCK,2018-01-25,175.2,175.2
43,MCK,2018-01-24,174.58,174.58
44,MCK,2018-01-23,170.6,170.6
45,MCK,2018-01-22,172.96,172.96
46,MCK,2018-01-19,170.36,170.36
47,MCK,2018-01-18,171.78,171.78
48,MCK,2018-01-17,172.83,172.83
49,MCK,2018-01-16,170.66,170.66
50,MCK,2018-01-12,166.25,166.25
51,MCK,2018-01-11,162.3,162.3
52,MCK,2018-01-10,160.67,160.67
53,MCK,2018-01-09,160.64,160.64
54,MCK,2018-01-08,159.15,159.15
55,MCK,2018-01-05,157.16,157.16
56,MCK,2018-01-04,155.06,155.06
57,MCK,2018-01-03,156.76,156.76
58,MCK,2018-01-02,159.0,159.0
59,MCK,2017-12-29,155.95,155.95
60,MCK,2017-12-28,157.73,157.73
61,MCK,2017-12-27,158.02,158.02
62,MCK,2017-12-26,158.9,158.9
63,MCK,2017-12-22,158.44,158.44
64,MCK,2017-12-21,159.39,159.39
65,MCK,2017-12-20,160.64,160.64
66,MCK,2017-12-19,159.97,159.97
67,MCK,2017-12-18,160.26,160.26
68,MCK,2017-12-15,162.6,162.6
69,MCK,2017-12-14,157.2,157.2
70,MCK,2017-12-13,155.21,155.21
71,MCK,2017-12-12,154.55,154.55
72,MCK,2017-12-11,153.81,153.81
73,MCK,2017-12-08,152.57,152.57
74,MCK,2017-12-07,150.01,150.01
75,MCK,2017-12-06,150.47,150.47
76,MCK,2017-12-05,150.69,150.69
77,MCK,2017-12-04,153.09,153.09
78,MCK,2017-12-01,146.39,146.39
79,MCK,2017-11-30,147.74,147.74
80,MCK,2017-11-29,148.12,148.12
81,MCK,2017-11-28,147.75,147.75
82,MCK,2017-11-27,144.85,144.85
83,MCK,2017-11-24,144.66,144.66
84,MCK,2017-11-22,145.8,145.8
85,MCK,2017-11-21,142.87,142.87
86,MCK,2017-11-20,138.24,138.24
87,MCK,2017-11-17,142.13,142.13
88,MCK,2017-11-16,142.7,142.7
89,MCK,2017-11-15,138.86,138.86
90,MCK,2017-11-14,136.17,136.17
91,MCK,2017-11-13,138.05,138.05
92,MCK,2017-11-10,137.61,137.61
93,MCK,2017-11-09,140.11,140.11
94,MCK,2017-11-07,136.93,136.93
95,MCK,2017-11-06,135.21,135.21
96,MCK,2017-11-03,137.61,137.61
97,MCK,2017-11-02,137.06,137.06
98,MCK,2017-11-01,139.67,139.67
99,MCK,2017-10-31,137.88,137.88
100,MCK,2017-10-30,135.02,135.02
101,MCK,2017-10-27,135.62,135.62
102,MCK,2017-10-26,143.54,143.54
103,MCK,2017-10-25,151.4,151.4
104,MCK,2017-10-24,149.75,149.75
105,MCK,2017-10-23,148.3,148.3
106,MCK,2017-10-20,150.78,150.78
107,MCK,2017-10-19,149.96,149.96
108,MCK,2017-10-18,146.21,146.21
109,MCK,2017-10-17,146.41,146.41
110,MCK,2017-10-16,146.61,146.61
111,MCK,2017-10-13,147.17,147.17
112,MCK,2017-10-12,150.67,150.67
113,MCK,2017-10-11,149.94,149.94
114,MCK,2017-10-10,149.41,149.41
115,MCK,2017-10-09,148.14,148.14
116,MCK,2017-10-06,151.29,151.29
117,MCK,2017-10-05,153.72,153.72
118,MCK,2017-10-04,153.61,153.61
119,MCK,2017-10-03,153.99,153.99
120,MCK,2017-10-02,155.26,155.26
121,MCK,2017-09-29,153.61,153.61
122,MCK,2017-09-28,153.72,153.72
123,MCK,2017-09-27,155.95,155.95
124,MCK,2017-09-26,154.88,154.88
125,MCK,2017-09-25,154.51,154.51
126,MCK,2017-09-22,154.01,154.01
127,MCK,2017-09-21,152.57,152.57
128,MCK,2017-09-20,150.18,150.18
129,MCK,2017-09-19,148.37,148.37
130,MCK,2017-09-18,148.42,148.42
131,MCK,2017-09-15,149.88,149.88
132,MCK,2017-09-14,151.68,151.68
133,MCK,2017-09-13,157.68,157.68
134,MCK,2017-09-12,156.36,156.36
135,MCK,2017-09-11,159.24,159.24
136,MCK,2017-09-08,156.94,156.94
137,MCK,2017-09-07,155.84,155.84
138,MCK,2017-09-06,152.09,152.09
139,MCK,2017-09-05,147.82,147.82
140,MCK,2017-09-01,149.41,149.41
141,MCK,2017-08-31,149.31,149.31
142,MCK,2017-08-30,146.7,146.7
143,MCK,2017-08-29,147.21,146.86960690968
144,MCK,2017-08-28,148.33,147.98701713819
145,MCK,2017-08-25,147.58,147.23875136017
146,MCK,2017-08-24,146.87,146.53039309032
147,MCK,2017-08-23,147.19,146.8496531556
148,MCK,2017-08-22,148.28,147.93713275299
149,MCK,2017-08-21,146.14,145.80208106638
150,MCK,2017-08-18,146.0,145.66240478781
151,MCK,2017-08-17,146.83,146.49048558215
152,MCK,2017-08-16,147.64,147.29861262242
153,MCK,2017-08-15,149.26,148.91486670294
154,MCK,2017-08-14,149.08,148.73528291621
155,MCK,2017-08-11,149.99,149.64317872688
156,MCK,2017-08-10,151.07,150.72068144723
157,MCK,2017-08-09,154.27,153.91328210011
158,MCK,2017-08-08,157.26,156.89636833515
159,MCK,2017-08-07,155.68,155.32002176279
160,MCK,2017-08-04,154.69,154.3323109358
161,MCK,2017-08-03,155.34,154.98080794342
162,MCK,2017-08-02,159.61,159.24093443961
163,MCK,2017-08-01,161.26,160.88711915125
164,MCK,2017-07-31,161.87,161.49570865071
165,MCK,2017-07-28,162.51,162.13422878128
166,MCK,2017-07-27,162.53,162.15418253536
167,MCK,2017-07-26,166.35,165.96534956474
168,MCK,2017-07-25,167.63,167.2423898259
169,MCK,2017-07-24,166.74,166.35444776931
170,MCK,2017-07-21,165.92,165.53634385201
171,MCK,2017-07-20,165.07,164.68830930359
172,MCK,2017-07-19,164.85,164.46881800871
173,MCK,2017-07-18,165.41,165.02752312296
174,MCK,2017-07-17,168.12,167.73125680087
175,MCK,2017-07-14,167.5,167.11269042437
176,MCK,2017-07-13,166.33,165.94539581066
177,MCK,2017-07-12,166.34,165.9553726877
178,MCK,2017-07-11,165.2,164.81800870511
179,MCK,2017-07-10,164.71,164.32914173014
180,MCK,2017-07-07,164.68,164.29921109902
181,MCK,2017-07-06,163.08,162.70291077258
182,MCK,2017-07-05,165.27,164.8878468444
183,MCK,2017-07-03,164.55,164.1695116975
184,MCK,2017-06-30,164.54,164.15953482046
185,MCK,2017-06-29,163.64,163.26161588683
186,MCK,2017-06-28,166.62,166.23472524483
187,MCK,2017-06-27,166.69,166.30456338411
188,MCK,2017-06-26,167.61,167.22243607182
189,MCK,2017-06-23,166.96,166.5739390642
190,MCK,2017-06-22,165.57,165.1871531556
191,MCK,2017-06-21,162.87,162.49339635473
192,MCK,2017-06-20,160.97,160.59778971708
193,MCK,2017-06-19,161.75,161.37598612622
194,MCK,2017-06-16,159.83,159.46042573449
195,MCK,2017-06-15,163.91,163.53099156692
196,MCK,2017-06-14,163.37,162.99224020675
197,MCK,2017-06-13,162.15,161.77506120783
198,MCK,2017-06-12,161.77,161.3959398803
199,MCK,2017-06-09,163.39,163.01219396083
200,MCK,2017-06-08,162.15,161.77506120783
201,MCK,2017-06-07,161.59,161.21635609358
202,MCK,2017-06-06,161.94,161.56554678999
203,MCK,2017-06-05,165.9,165.51639009793
204,MCK,2017-06-02,165.7,165.31685255713
205,MCK,2017-06-01,165.92,165.53634385201
206,MCK,2017-05-31,163.09,162.4387624478
207,MCK,2017-05-30,162.11,161.46267570307
208,MCK,2017-05-26,161.2,160.5563094401
209,MCK,2017-05-25,162.36,161.71167742366
210,MCK,2017-05-24,161.23,160.58618964657
211,MCK,2017-05-23,159.0,158.36509429886
212,MCK,2017-05-22,155.42,154.79938965993
213,MCK,2017-05-19,153.01,152.39901307338
214,MCK,2017-05-18,141.44,140.87521344422
215,MCK,2017-05-17,142.04,141.47281757365
216,MCK,2017-05-16,144.92,144.34131739491
217,MCK,2017-05-15,145.33,144.74968021669
218,MCK,2017-05-12,144.58,144.0026750549
219,MCK,2017-05-11,145.7,145.11820276317
220,MCK,2017-05-10,143.23,142.65806576368
221,MCK,2017-05-09,142.49,141.92102067072
222,MCK,2017-05-08,140.87,140.30748952126
