None,ticker,date,close,adj_close
0,MDLZ,2018-03-27,40.91,40.91
1,MDLZ,2018-03-26,41.33,41.33
2,MDLZ,2018-03-23,40.51,40.51
3,MDLZ,2018-03-22,41.03,41.03
4,MDLZ,2018-03-21,42.03,42.03
5,MDLZ,2018-03-20,42.35,42.35
6,MDLZ,2018-03-19,42.35,42.35
7,MDLZ,2018-03-16,43.19,43.19
8,MDLZ,2018-03-15,43.39,43.39
9,MDLZ,2018-03-14,43.88,43.88
10,MDLZ,2018-03-13,44.04,44.04
11,MDLZ,2018-03-12,44.39,44.39
12,MDLZ,2018-03-09,44.27,44.27
13,MDLZ,2018-03-08,44.0,44.0
14,MDLZ,2018-03-07,43.58,43.58
15,MDLZ,2018-03-06,45.57,45.57
16,MDLZ,2018-03-05,45.06,45.06
17,MDLZ,2018-03-02,44.42,44.42
18,MDLZ,2018-03-01,43.62,43.62
19,MDLZ,2018-02-28,43.9,43.9
20,MDLZ,2018-02-27,44.01,44.01
21,MDLZ,2018-02-26,44.77,44.77
22,MDLZ,2018-02-23,43.75,43.75
23,MDLZ,2018-02-22,43.51,43.51
24,MDLZ,2018-02-21,43.62,43.62
25,MDLZ,2018-02-20,43.78,43.78
26,MDLZ,2018-02-16,44.14,44.14
27,MDLZ,2018-02-15,44.08,44.08
28,MDLZ,2018-02-14,42.96,42.96
29,MDLZ,2018-02-13,42.8,42.8
30,MDLZ,2018-02-12,42.53,42.53
31,MDLZ,2018-02-09,42.0,42.0
32,MDLZ,2018-02-08,42.69,42.69
33,MDLZ,2018-02-07,44.05,44.05
34,MDLZ,2018-02-06,44.55,44.55
35,MDLZ,2018-02-05,44.16,44.16
36,MDLZ,2018-02-02,45.5,45.5
37,MDLZ,2018-02-01,45.87,45.87
38,MDLZ,2018-01-31,44.4,44.4
39,MDLZ,2018-01-30,44.34,44.34
40,MDLZ,2018-01-29,44.54,44.54
41,MDLZ,2018-01-26,44.42,44.42
42,MDLZ,2018-01-25,44.47,44.47
43,MDLZ,2018-01-24,44.59,44.59
44,MDLZ,2018-01-23,44.5,44.5
45,MDLZ,2018-01-22,44.28,44.28
46,MDLZ,2018-01-19,44.14,44.14
47,MDLZ,2018-01-18,43.68,43.68
48,MDLZ,2018-01-17,43.86,43.86
49,MDLZ,2018-01-16,42.99,42.99
50,MDLZ,2018-01-12,42.47,42.47
51,MDLZ,2018-01-11,42.51,42.51
52,MDLZ,2018-01-10,42.63,42.63
53,MDLZ,2018-01-09,42.99,42.99
54,MDLZ,2018-01-08,43.01,43.01
55,MDLZ,2018-01-05,43.23,43.23
56,MDLZ,2018-01-04,42.68,42.68
57,MDLZ,2018-01-03,42.58,42.58
58,MDLZ,2018-01-02,42.41,42.41
59,MDLZ,2017-12-29,42.8,42.8
60,MDLZ,2017-12-28,43.06,43.06
61,MDLZ,2017-12-27,43.25,43.25
62,MDLZ,2017-12-26,43.42,43.42
63,MDLZ,2017-12-22,43.36,43.36
64,MDLZ,2017-12-21,43.1,43.1
65,MDLZ,2017-12-20,42.95,42.95
66,MDLZ,2017-12-19,43.25,43.25
67,MDLZ,2017-12-18,43.11,43.11
68,MDLZ,2017-12-15,43.38,43.38
69,MDLZ,2017-12-14,42.77,42.77
70,MDLZ,2017-12-13,42.94,42.94
71,MDLZ,2017-12-12,42.88,42.88
72,MDLZ,2017-12-11,42.87,42.87
73,MDLZ,2017-12-08,42.65,42.65
74,MDLZ,2017-12-07,42.68,42.68
75,MDLZ,2017-12-06,43.33,43.33
76,MDLZ,2017-12-05,42.99,42.99
77,MDLZ,2017-12-04,43.11,43.11
78,MDLZ,2017-12-01,42.92,42.92
79,MDLZ,2017-11-30,42.94,42.94
80,MDLZ,2017-11-29,42.94,42.94
81,MDLZ,2017-11-28,42.61,42.61
82,MDLZ,2017-11-27,42.47,42.47
83,MDLZ,2017-11-24,42.15,42.15
84,MDLZ,2017-11-22,42.33,42.33
85,MDLZ,2017-11-21,42.32,42.32
86,MDLZ,2017-11-20,42.11,42.11
87,MDLZ,2017-11-17,42.3,42.3
88,MDLZ,2017-11-16,42.19,42.19
89,MDLZ,2017-11-15,41.95,41.95
90,MDLZ,2017-11-14,42.53,42.53
91,MDLZ,2017-11-13,42.05,42.05
92,MDLZ,2017-11-10,41.95,41.95
93,MDLZ,2017-11-09,41.35,41.35
94,MDLZ,2017-11-07,41.21,41.21
95,MDLZ,2017-11-06,40.42,40.42
96,MDLZ,2017-11-03,40.97,40.97
97,MDLZ,2017-11-02,41.16,41.16
98,MDLZ,2017-11-01,41.27,41.27
99,MDLZ,2017-10-31,41.43,41.43
100,MDLZ,2017-10-30,39.3,39.3
101,MDLZ,2017-10-27,40.68,40.68
102,MDLZ,2017-10-26,40.91,40.91
103,MDLZ,2017-10-25,41.08,41.08
104,MDLZ,2017-10-24,41.09,41.09
105,MDLZ,2017-10-23,41.04,41.04
106,MDLZ,2017-10-20,41.02,41.02
107,MDLZ,2017-10-19,40.73,40.73
108,MDLZ,2017-10-18,40.81,40.81
109,MDLZ,2017-10-17,41.13,41.13
110,MDLZ,2017-10-16,41.55,41.55
111,MDLZ,2017-10-13,41.68,41.68
112,MDLZ,2017-10-12,41.81,41.81
113,MDLZ,2017-10-11,41.71,41.71
114,MDLZ,2017-10-10,41.45,41.45
115,MDLZ,2017-10-09,40.81,40.81
116,MDLZ,2017-10-06,41.13,41.13
117,MDLZ,2017-10-05,41.1,41.1
118,MDLZ,2017-10-04,41.02,41.02
119,MDLZ,2017-10-03,40.94,40.94
120,MDLZ,2017-10-02,41.1,41.1
121,MDLZ,2017-09-29,40.66,40.66
122,MDLZ,2017-09-28,40.52,40.52
123,MDLZ,2017-09-27,40.57,40.350918016691
124,MDLZ,2017-09-26,40.63,40.4105940108
125,MDLZ,2017-09-25,40.5,40.281296023564
126,MDLZ,2017-09-22,40.05,39.833726067747
127,MDLZ,2017-09-21,40.19,39.972970054001
128,MDLZ,2017-09-20,40.41,40.191782032401
129,MDLZ,2017-09-19,40.58,40.360864015709
130,MDLZ,2017-09-18,40.71,40.490162002946
131,MDLZ,2017-09-15,40.86,40.639351988218
132,MDLZ,2017-09-14,40.68,40.460324005891
133,MDLZ,2017-09-13,41.12,40.89794796269
134,MDLZ,2017-09-12,40.98,40.758703976436
135,MDLZ,2017-09-11,41.19,40.967569955817
136,MDLZ,2017-09-08,40.63,40.4105940108
137,MDLZ,2017-09-07,40.96,40.7388119784
138,MDLZ,2017-09-06,40.59,40.370810014728
139,MDLZ,2017-09-05,40.73,40.510054000982
140,MDLZ,2017-09-01,40.88,40.659243986254
141,MDLZ,2017-08-31,40.66,40.440432007855
142,MDLZ,2017-08-30,41.63,41.405193912617
143,MDLZ,2017-08-29,41.89,41.663789887089
144,MDLZ,2017-08-28,41.3,41.076975945017
145,MDLZ,2017-08-25,41.48,41.256003927344
146,MDLZ,2017-08-24,41.88,41.653843888071
147,MDLZ,2017-08-23,43.1,42.867255768287
