None,ticker,date,close,adj_close
0,MET,2018-03-27,45.49,45.49
1,MET,2018-03-26,46.15,46.15
2,MET,2018-03-23,44.08,44.08
3,MET,2018-03-22,45.71,45.71
4,MET,2018-03-21,47.22,47.22
5,MET,2018-03-20,47.2,47.2
6,MET,2018-03-19,47.09,47.09
7,MET,2018-03-16,47.32,47.32
8,MET,2018-03-15,46.96,46.96
9,MET,2018-03-14,46.91,46.91
10,MET,2018-03-13,47.1,47.1
11,MET,2018-03-12,47.02,47.02
12,MET,2018-03-09,47.84,47.84
13,MET,2018-03-08,46.84,46.84
14,MET,2018-03-07,47.05,47.05
15,MET,2018-03-06,47.07,47.07
16,MET,2018-03-05,46.39,46.39
17,MET,2018-03-02,45.5,45.5
18,MET,2018-03-01,45.73,45.73
19,MET,2018-02-28,46.19,46.19
20,MET,2018-02-27,47.22,47.22
21,MET,2018-02-26,47.55,47.55
22,MET,2018-02-23,47.47,47.47
23,MET,2018-02-22,46.63,46.63
24,MET,2018-02-21,46.95,46.95
25,MET,2018-02-20,46.89,46.89
26,MET,2018-02-16,46.64,46.64
27,MET,2018-02-15,46.73,46.73
28,MET,2018-02-14,46.7,46.7
29,MET,2018-02-13,45.2,45.2
30,MET,2018-02-12,44.62,44.62
31,MET,2018-02-09,44.61,44.61
32,MET,2018-02-08,44.28,44.28
33,MET,2018-02-07,46.26,46.26
34,MET,2018-02-06,46.2,46.2
35,MET,2018-02-05,45.89,45.89
36,MET,2018-02-02,47.56,47.56
37,MET,2018-02-01,48.39,48.39
38,MET,2018-01-31,48.07,48.07
39,MET,2018-01-30,49.73,49.73
40,MET,2018-01-29,54.4,54.4
41,MET,2018-01-26,54.77,54.77
42,MET,2018-01-25,54.0,54.0
43,MET,2018-01-24,54.1,54.1
44,MET,2018-01-23,53.61,53.61
45,MET,2018-01-22,53.85,53.85
46,MET,2018-01-19,53.4,53.4
47,MET,2018-01-18,52.95,52.95
48,MET,2018-01-17,52.55,52.55
49,MET,2018-01-16,51.85,51.85
50,MET,2018-01-12,53.33,53.33
51,MET,2018-01-11,53.49,53.49
52,MET,2018-01-10,53.03,53.03
53,MET,2018-01-09,52.36,52.36
54,MET,2018-01-08,51.98,51.98
55,MET,2018-01-05,51.84,51.84
56,MET,2018-01-04,51.36,51.36
57,MET,2018-01-03,50.5,50.5
58,MET,2018-01-02,50.18,50.18
59,MET,2017-12-29,50.56,50.56
60,MET,2017-12-28,50.87,50.87
61,MET,2017-12-27,50.75,50.75
62,MET,2017-12-26,50.67,50.67
63,MET,2017-12-22,50.76,50.76
64,MET,2017-12-21,51.03,51.03
65,MET,2017-12-20,51.01,51.01
66,MET,2017-12-19,50.79,50.79
67,MET,2017-12-18,50.93,50.93
68,MET,2017-12-15,51.41,51.41
69,MET,2017-12-14,52.49,52.49
70,MET,2017-12-13,52.84,52.84
71,MET,2017-12-12,53.67,53.67
72,MET,2017-12-11,53.64,53.64
73,MET,2017-12-08,53.76,53.76
74,MET,2017-12-07,53.62,53.62
75,MET,2017-12-06,53.0,53.0
76,MET,2017-12-05,53.04,53.04
77,MET,2017-12-04,53.62,53.62
