None,ticker,date,close,adj_close
0,MHK,2018-03-27,227.9,227.9
1,MHK,2018-03-26,234.2,234.2
2,MHK,2018-03-23,230.57,230.57
3,MHK,2018-03-22,240.28,240.28
4,MHK,2018-03-21,247.1,247.1
5,MHK,2018-03-20,246.79,246.79
6,MHK,2018-03-19,243.02,243.02
7,MHK,2018-03-16,247.9,247.9
8,MHK,2018-03-15,246.4,246.4
9,MHK,2018-03-14,248.89,248.89
10,MHK,2018-03-13,250.59,250.59
11,MHK,2018-03-12,247.93,247.93
12,MHK,2018-03-09,245.0,245.0
13,MHK,2018-03-08,240.08,240.08
14,MHK,2018-03-07,237.22,237.22
15,MHK,2018-03-06,241.29,241.29
16,MHK,2018-03-05,238.44,238.44
17,MHK,2018-03-02,236.56,236.56
18,MHK,2018-03-01,241.1,241.1
19,MHK,2018-02-28,239.88,239.88
20,MHK,2018-02-27,246.54,246.54
21,MHK,2018-02-26,250.54,250.54
22,MHK,2018-02-23,251.39,251.39
23,MHK,2018-02-22,249.0,249.0
24,MHK,2018-02-21,246.4,246.4
25,MHK,2018-02-20,247.07,247.07
26,MHK,2018-02-16,249.76,249.76
27,MHK,2018-02-15,252.5,252.5
28,MHK,2018-02-14,253.5,253.5
29,MHK,2018-02-13,251.28,251.28
30,MHK,2018-02-12,254.55,254.55
31,MHK,2018-02-09,249.46,249.46
32,MHK,2018-02-08,256.57,256.57
33,MHK,2018-02-07,267.66,267.66
34,MHK,2018-02-06,268.05,268.05
35,MHK,2018-02-05,263.35,263.35
36,MHK,2018-02-02,270.58,270.58
37,MHK,2018-02-01,276.08,276.08
38,MHK,2018-01-31,281.06,281.06
39,MHK,2018-01-30,278.34,278.34
40,MHK,2018-01-29,279.14,279.14
41,MHK,2018-01-26,280.69,280.69
42,MHK,2018-01-25,276.77,276.77
43,MHK,2018-01-24,274.56,274.56
44,MHK,2018-01-23,278.81,278.81
45,MHK,2018-01-22,279.56,279.56
46,MHK,2018-01-19,279.14,279.14
47,MHK,2018-01-18,278.13,278.13
