None,ticker,date,close,adj_close
0,MMM,2018-03-07,235.57,235.57
1,MMM,2018-03-06,233.66,233.66
2,MMM,2018-03-05,232.81,232.81
3,MMM,2018-03-02,230.37,230.37
4,MMM,2018-03-01,231.34,231.34
5,MMM,2017-12-05,238.26,238.26
6,MMM,2017-11-28,235.63,235.63
7,MMM,2017-11-27,234.0,234.0
8,MMM,2017-11-21,234.09,234.09
9,MMM,2017-11-20,231.49,231.49
10,MMM,2017-11-17,229.36,229.36
11,MMM,2017-11-15,227.4,227.4
12,MMM,2017-11-09,228.39,228.39
13,MMM,2017-11-07,230.05,230.05
14,MMM,2017-11-06,230.31,230.31
15,MMM,2017-11-03,232.22,232.22
16,MMM,2017-11-02,232.23,232.23
17,MMM,2017-11-01,230.18,230.18
18,MMM,2017-10-31,230.19,230.19
19,MMM,2017-10-30,231.02,231.02
20,MMM,2017-10-27,234.74,234.74
21,MMM,2017-10-26,232.94,232.94
22,MMM,2017-10-25,237.92,237.92
23,MMM,2017-10-24,234.65,234.65
24,MMM,2017-10-23,221.55,221.55
25,MMM,2017-10-20,221.32,221.32
26,MMM,2017-10-19,219.24,219.24
27,MMM,2017-10-18,218.27,218.27
28,MMM,2017-10-17,217.75,217.75
29,MMM,2017-10-16,218.72,218.72
30,MMM,2017-10-13,217.72,217.72
31,MMM,2017-10-12,217.59,217.59
32,MMM,2017-10-11,216.51,216.51
33,MMM,2017-10-10,216.75,216.75
34,MMM,2017-10-09,216.68,216.68
35,MMM,2017-10-06,216.52,216.52
36,MMM,2017-10-05,216.37,216.37
37,MMM,2017-10-04,216.52,216.52
38,MMM,2017-10-03,214.57,214.57
39,MMM,2017-10-02,212.76,212.76
40,MMM,2017-09-29,209.9,209.9
41,MMM,2017-09-28,209.55,209.55
42,MMM,2017-09-27,209.48,209.48
43,MMM,2017-09-26,211.03,211.03
44,MMM,2017-09-25,210.73,210.73
45,MMM,2017-09-22,210.76,210.76
46,MMM,2017-09-21,210.44,210.44
47,MMM,2017-09-20,210.51,210.51
48,MMM,2017-09-19,213.56,213.56
49,MMM,2017-09-18,213.76,213.76
50,MMM,2017-09-15,213.35,213.35
51,MMM,2017-09-14,211.43,211.43
52,MMM,2017-09-13,209.49,209.49
53,MMM,2017-09-12,209.64,209.64
54,MMM,2017-09-11,209.56,209.56
55,MMM,2017-09-08,205.69,205.69
56,MMM,2017-09-07,204.46,204.46
57,MMM,2017-09-06,202.05,202.05
58,MMM,2017-09-05,200.98,200.98
59,MMM,2017-09-01,203.56,203.56
60,MMM,2017-08-31,204.32,204.32
61,MMM,2017-08-30,203.69,203.69
62,MMM,2017-08-29,202.92,202.92
63,MMM,2017-08-28,202.46,202.46
64,MMM,2017-08-25,202.13,202.13
65,MMM,2017-08-24,202.12,202.12
66,MMM,2017-08-23,202.67,202.67
67,MMM,2017-08-22,205.46,204.27569084353
68,MMM,2017-08-21,204.55,203.37093625058
69,MMM,2017-08-18,203.53,202.35681571782
70,MMM,2017-08-17,205.35,204.16632490373
71,MMM,2017-08-16,207.92,206.72151095195
72,MMM,2017-08-15,207.18,205.98577644779
73,MMM,2017-08-14,207.37,206.17468125291
74,MMM,2017-08-11,205.98,204.79269346808
75,MMM,2017-08-10,206.23,205.04125242218
76,MMM,2017-08-09,206.48,205.28981137629
77,MMM,2017-08-08,206.43,205.24009958547
78,MMM,2017-08-07,207.44,206.24427776006
79,MMM,2017-08-04,207.65,206.45306728151
80,MMM,2017-08-03,207.62,206.42324020702
81,MMM,2017-08-02,205.41,204.22597905271
82,MMM,2017-08-01,203.18,202.00883318207
83,MMM,2017-07-31,201.17,200.01041919105
84,MMM,2017-07-28,199.72,198.56877725723
85,MMM,2017-07-27,200.05,198.89687507665
86,MMM,2017-07-26,199.03,197.88275454389
87,MMM,2017-07-25,199.39,198.24067943781
88,MMM,2017-07-24,210.0,208.78952145012
89,MMM,2017-07-21,211.16,209.94283499718
90,MMM,2017-07-20,212.45,211.22539920037
91,MMM,2017-07-19,212.1,210.87741666462
92,MMM,2017-07-18,211.31,210.09197036964
93,MMM,2017-07-17,211.68,210.45983762172
94,MMM,2017-07-14,211.77,210.5493188452
95,MMM,2017-07-13,211.09,209.87323849003
96,MMM,2017-07-12,211.3,210.08202801148
97,MMM,2017-07-11,209.66,208.45148127254
98,MMM,2017-07-10,210.49,209.27669700017
99,MMM,2017-07-07,209.59,208.38188476539
100,MMM,2017-07-06,208.02,206.82093453359
101,MMM,2017-07-05,209.76,208.55090485418
102,MMM,2017-07-03,209.83,208.62050136133
103,MMM,2017-06-30,208.19,206.98995462238
104,MMM,2017-06-29,207.85,206.6519144448
105,MMM,2017-06-28,210.62,209.40594765631
106,MMM,2017-06-27,209.78,208.57078957051
107,MMM,2017-06-26,212.61,211.384476931
108,MMM,2017-06-23,212.9,211.67280531777
109,MMM,2017-06-22,212.22,210.99672496259
110,MMM,2017-06-21,212.86,211.63303588511
111,MMM,2017-06-20,213.36,212.13015379332
112,MMM,2017-06-19,213.36,212.13015379332
113,MMM,2017-06-16,213.24,212.01084549535
114,MMM,2017-06-15,211.29,210.07208565331
115,MMM,2017-06-14,210.01,208.79946380829
116,MMM,2017-06-13,209.11,207.9046515735
117,MMM,2017-06-12,207.39,206.19456596924
118,MMM,2017-06-09,206.93,205.73721749368
119,MMM,2017-06-08,205.94,204.75292403542
120,MMM,2017-06-07,205.01,203.82828472614
121,MMM,2017-06-06,205.41,204.22597905271
122,MMM,2017-06-05,206.22,205.03131006402
123,MMM,2017-06-02,206.7,205.50854325591
124,MMM,2017-06-01,204.35,203.1720890873
125,MMM,2017-05-31,204.47,203.29139738527
126,MMM,2017-05-30,202.44,201.27309867792
127,MMM,2017-05-26,200.67,199.51330128284
128,MMM,2017-05-25,199.54,198.38981481027
129,MMM,2017-05-24,197.49,196.35163138659
130,MMM,2017-05-23,197.73,196.59024798254
131,MMM,2017-05-22,198.51,197.36575191935
132,MMM,2017-05-19,195.8,194.67137285683
133,MMM,2017-05-18,195.24,194.11460079963
134,MMM,2017-05-17,194.84,193.71690647306
135,MMM,2017-05-16,197.91,195.58968936093
136,MMM,2017-05-15,197.63,195.31297210045
137,MMM,2017-05-12,196.57,194.26539961436
138,MMM,2017-05-11,196.75,194.44328928181
139,MMM,2017-05-10,196.64,194.33457892948
140,MMM,2017-05-09,197.96,195.63910315744
141,MMM,2017-05-08,198.65,196.32101354933
142,MMM,2017-05-05,199.4,197.06222049704
143,MMM,2017-05-04,199.51,197.17093084937
144,MMM,2017-05-03,197.63,195.31297210045
145,MMM,2017-05-02,196.53,194.22586857715
146,MMM,2017-05-01,194.81,192.52603397707
147,MMM,2017-04-28,195.83,193.53407542595
148,MMM,2017-04-27,196.11,193.81079268643
149,MMM,2017-04-26,195.0,192.71380640383
150,MMM,2017-04-25,195.13,192.84228227476
151,MMM,2017-04-24,194.23,191.95283393751
152,MMM,2017-04-21,191.5,189.25484064786
153,MMM,2017-04-20,191.16,188.91882683157
154,MMM,2017-04-19,189.83,187.6044198443
155,MMM,2017-04-18,190.22,187.98984745711
156,MMM,2017-04-17,190.36,188.12820608734
157,MMM,2017-04-13,188.65,186.43825424657
158,MMM,2017-04-12,189.7,187.47594397336
159,MMM,2017-04-11,190.07,187.84160606756
160,MMM,2017-04-10,189.71,187.48582673267
161,MMM,2017-04-07,189.99,187.76254399314
162,MMM,2017-04-06,189.89,187.66371640011
163,MMM,2017-04-05,190.24,188.00961297571
164,MMM,2017-04-04,190.19,187.9601991792
165,MMM,2017-04-03,190.72,188.48398542224
166,MMM,2017-03-31,191.33,189.08683373971
