None,ticker,date,close,adj_close
0,MNST,2018-03-27,56.25,56.25
1,MNST,2018-03-26,56.87,56.87
2,MNST,2018-03-23,55.86,55.86
3,MNST,2018-03-22,56.78,56.78
4,MNST,2018-03-21,58.08,58.08
5,MNST,2018-03-20,58.68,58.68
6,MNST,2018-03-19,58.27,58.27
7,MNST,2018-03-16,58.64,58.64
8,MNST,2018-03-15,58.19,58.19
9,MNST,2018-03-14,58.73,58.73
10,MNST,2018-03-13,58.69,58.69
11,MNST,2018-03-12,58.43,58.43
12,MNST,2018-03-09,58.06,58.06
13,MNST,2018-03-08,56.83,56.83
14,MNST,2018-03-07,55.55,55.55
15,MNST,2018-03-06,55.67,55.67
16,MNST,2018-03-05,55.74,55.74
17,MNST,2018-03-02,54.16,54.16
18,MNST,2018-03-01,54.22,54.22
19,MNST,2018-02-28,63.37,63.37
20,MNST,2018-02-27,64.17,64.17
21,MNST,2018-02-26,65.81,65.81
22,MNST,2018-02-23,65.88,65.88
23,MNST,2018-02-22,64.93,64.93
24,MNST,2018-02-21,65.02,65.02
25,MNST,2018-02-20,64.6,64.6
26,MNST,2018-02-16,65.48,65.48
27,MNST,2018-02-15,65.61,65.61
28,MNST,2018-02-14,63.9,63.9
29,MNST,2018-02-13,63.39,63.39
30,MNST,2018-02-12,64.08,64.08
31,MNST,2018-02-09,62.85,62.85
32,MNST,2018-02-08,61.98,61.98
33,MNST,2018-02-07,64.55,64.55
34,MNST,2018-02-06,64.21,64.21
35,MNST,2018-02-05,64.2,64.2
36,MNST,2018-02-02,66.63,66.63
37,MNST,2018-02-01,67.93,67.93
38,MNST,2018-01-31,68.23,68.23
39,MNST,2018-01-30,67.9,67.9
40,MNST,2018-01-29,68.29,68.29
41,MNST,2018-01-26,68.91,68.91
42,MNST,2018-01-25,67.8,67.8
43,MNST,2018-01-24,68.3,68.3
44,MNST,2018-01-23,68.45,68.45
45,MNST,2018-01-22,67.77,67.77
46,MNST,2018-01-19,66.86,66.86
47,MNST,2018-01-18,66.47,66.47
48,MNST,2018-01-17,67.07,67.07
49,MNST,2018-01-16,64.56,64.56
50,MNST,2018-01-12,63.77,63.77
51,MNST,2018-01-11,63.96,63.96
52,MNST,2018-01-10,63.59,63.59
53,MNST,2018-01-09,65.48,65.48
54,MNST,2018-01-08,64.03,64.03
55,MNST,2018-01-05,63.49,63.49
56,MNST,2018-01-04,63.36,63.36
57,MNST,2018-01-03,63.12,63.12
58,MNST,2018-01-02,62.71,62.71
59,MNST,2017-12-29,63.29,63.29
60,MNST,2017-12-28,62.92,62.92
61,MNST,2017-12-27,64.23,64.23
62,MNST,2017-12-26,63.84,63.84
63,MNST,2017-12-22,63.77,63.77
64,MNST,2017-12-21,63.81,63.81
65,MNST,2017-12-20,64.02,64.02
66,MNST,2017-12-19,64.21,64.21
67,MNST,2017-12-18,64.03,64.03
68,MNST,2017-12-15,64.01,64.01
69,MNST,2017-12-14,63.13,63.13
70,MNST,2017-12-13,63.51,63.51
71,MNST,2017-12-12,62.91,62.91
72,MNST,2017-12-11,62.94,62.94
73,MNST,2017-12-08,63.22,63.22
74,MNST,2017-12-07,62.3,62.3
75,MNST,2017-12-06,63.27,63.27
76,MNST,2017-12-05,63.05,63.05
77,MNST,2017-12-04,63.35,63.35
78,MNST,2017-12-01,62.92,62.92
79,MNST,2017-11-30,62.67,62.67
80,MNST,2017-11-29,61.89,61.89
81,MNST,2017-11-28,62.09,62.09
82,MNST,2017-11-27,61.77,61.77
83,MNST,2017-11-24,61.75,61.75
84,MNST,2017-11-22,61.27,61.27
85,MNST,2017-11-21,61.27,61.27
86,MNST,2017-11-20,61.16,61.16
87,MNST,2017-11-17,62.17,62.17
88,MNST,2017-11-16,62.0,62.0
89,MNST,2017-11-15,61.6,61.6
90,MNST,2017-11-14,62.63,62.63
91,MNST,2017-11-13,62.2,62.2
92,MNST,2017-11-10,61.16,61.16
93,MNST,2017-11-09,58.68,58.68
94,MNST,2017-11-07,57.92,57.92
95,MNST,2017-11-06,57.52,57.52
96,MNST,2017-11-03,57.67,57.67
97,MNST,2017-11-02,57.45,57.45
98,MNST,2017-11-01,57.8,57.8
99,MNST,2017-10-31,57.93,57.93
100,MNST,2017-10-30,56.83,56.83
101,MNST,2017-10-27,56.75,56.75
102,MNST,2017-10-26,56.75,56.75
103,MNST,2017-10-25,56.5,56.5
104,MNST,2017-10-24,56.83,56.83
105,MNST,2017-10-23,56.36,56.36
106,MNST,2017-10-20,56.46,56.46
107,MNST,2017-10-19,55.99,55.99
108,MNST,2017-10-18,56.29,56.29
109,MNST,2017-10-17,56.52,56.52
110,MNST,2017-10-16,56.22,56.22
111,MNST,2017-10-13,55.83,55.83
112,MNST,2017-10-12,55.96,55.96
113,MNST,2017-10-11,55.7,55.7
114,MNST,2017-10-10,55.36,55.36
115,MNST,2017-10-09,55.39,55.39
116,MNST,2017-10-06,55.37,55.37
117,MNST,2017-10-05,55.4,55.4
118,MNST,2017-10-04,55.22,55.22
119,MNST,2017-10-03,55.27,55.27
120,MNST,2017-10-02,55.14,55.14
121,MNST,2017-09-29,55.25,55.25
122,MNST,2017-09-28,55.48,55.48
123,MNST,2017-09-27,54.88,54.88
124,MNST,2017-09-26,55.2,55.2
125,MNST,2017-09-25,55.17,55.17
126,MNST,2017-09-22,55.81,55.81
127,MNST,2017-09-21,55.57,55.57
128,MNST,2017-09-20,55.95,55.95
129,MNST,2017-09-19,56.26,56.26
130,MNST,2017-09-18,56.67,56.67
131,MNST,2017-09-15,56.18,56.18
132,MNST,2017-09-14,56.58,56.58
133,MNST,2017-09-13,56.38,56.38
134,MNST,2017-09-12,56.08,56.08
135,MNST,2017-09-11,56.66,56.66
136,MNST,2017-09-08,56.32,56.32
137,MNST,2017-09-07,56.36,56.36
138,MNST,2017-09-06,56.33,56.33
139,MNST,2017-09-05,56.35,56.35
140,MNST,2017-09-01,56.07,56.07
141,MNST,2017-08-31,55.82,55.82
142,MNST,2017-08-30,55.95,55.95
143,MNST,2017-08-29,55.37,55.37
144,MNST,2017-08-28,55.16,55.16
145,MNST,2017-08-25,55.22,55.22
