None,ticker,date,close,adj_close
0,MO,2018-03-27,60.72,60.72
1,MO,2018-03-26,59.6,59.6
2,MO,2018-03-23,59.27,59.27
3,MO,2018-03-22,60.39,60.39
4,MO,2018-03-21,60.0,60.0
5,MO,2018-03-20,61.52,61.52
6,MO,2018-03-19,62.48,62.48
7,MO,2018-03-16,63.19,63.19
8,MO,2018-03-15,63.81,63.81
9,MO,2018-03-14,63.82,63.82
10,MO,2018-03-13,66.13,66.13
11,MO,2018-03-12,65.77,65.77
12,MO,2018-03-09,65.65,65.65
13,MO,2018-03-08,65.43,65.43
14,MO,2018-03-07,64.07,64.07
15,MO,2018-03-06,64.77,64.77
16,MO,2018-03-05,64.13,64.13
17,MO,2018-03-02,62.55,62.55
18,MO,2018-03-01,62.43,62.43
19,MO,2018-02-28,62.95,62.95
20,MO,2018-02-27,64.0,64.0
21,MO,2018-02-26,65.43,65.43
22,MO,2018-02-23,64.59,64.59
23,MO,2018-02-22,63.34,63.34
24,MO,2018-02-21,63.93,63.93
25,MO,2018-02-20,64.19,64.19
26,MO,2018-02-16,65.46,65.46
27,MO,2018-02-15,65.32,65.32
28,MO,2018-02-14,65.18,65.18
29,MO,2018-02-13,65.64,65.64
30,MO,2018-02-12,65.35,65.35
31,MO,2018-02-09,64.03,64.03
32,MO,2018-02-08,64.05,64.05
33,MO,2018-02-07,66.79,66.79
34,MO,2018-02-06,66.53,66.53
35,MO,2018-02-05,66.04,66.04
36,MO,2018-02-02,69.4,69.4
37,MO,2018-02-01,69.93,69.93
38,MO,2018-01-31,70.34,70.34
39,MO,2018-01-30,69.82,69.82
40,MO,2018-01-29,69.83,69.83
41,MO,2018-01-26,71.02,71.02
42,MO,2018-01-25,69.91,69.91
43,MO,2018-01-24,71.56,71.56
44,MO,2018-01-23,71.45,71.45
45,MO,2018-01-22,71.28,71.28
46,MO,2018-01-19,71.12,71.12
47,MO,2018-01-18,70.03,70.03
48,MO,2018-01-17,70.15,70.15
49,MO,2018-01-16,68.92,68.92
50,MO,2018-01-12,69.61,69.61
51,MO,2018-01-11,70.29,70.29
