None,ticker,date,close,adj_close
0,MRO,2018-03-27,15.82,15.82
1,MRO,2018-03-26,16.27,16.27
2,MRO,2018-03-23,15.76,15.76
3,MRO,2018-03-22,15.84,15.84
4,MRO,2018-03-21,16.32,16.32
5,MRO,2018-03-20,15.26,15.26
6,MRO,2018-03-19,14.85,14.85
7,MRO,2018-03-16,15.12,15.12
8,MRO,2018-03-15,14.91,14.91
9,MRO,2018-03-14,14.87,14.87
10,MRO,2018-03-13,14.82,14.82
11,MRO,2018-03-12,15.09,15.09
12,MRO,2018-03-09,15.22,15.22
13,MRO,2018-03-08,14.83,14.83
14,MRO,2018-03-07,14.8,14.8
15,MRO,2018-03-06,15.03,15.03
16,MRO,2018-03-05,15.15,15.15
17,MRO,2018-03-02,14.86,14.86
18,MRO,2018-03-01,14.53,14.53
19,MRO,2018-02-28,14.52,14.52
20,MRO,2018-02-27,15.0,15.0
21,MRO,2018-02-26,15.34,15.34
22,MRO,2018-02-23,15.54,15.54
23,MRO,2018-02-22,15.18,15.18
24,MRO,2018-02-21,15.3,15.3
25,MRO,2018-02-20,15.85,15.85
26,MRO,2018-02-16,15.65,15.65
27,MRO,2018-02-15,16.32,16.32
28,MRO,2018-02-14,16.95,16.95
29,MRO,2018-02-13,16.07,16.07
30,MRO,2018-02-12,16.27,16.27
31,MRO,2018-02-09,15.51,15.51
32,MRO,2018-02-08,15.68,15.68
33,MRO,2018-02-07,16.33,16.33
34,MRO,2018-02-06,17.23,17.23
35,MRO,2018-02-05,16.78,16.78
36,MRO,2018-02-02,17.52,17.52
37,MRO,2018-02-01,18.43,18.43
38,MRO,2018-01-31,18.19,18.19
39,MRO,2018-01-30,18.06,18.06
40,MRO,2018-01-29,18.62,18.62
41,MRO,2018-01-26,18.84,18.84
42,MRO,2018-01-25,18.68,18.68
43,MRO,2018-01-24,19.28,19.28
44,MRO,2018-01-23,19.22,19.22
45,MRO,2018-01-22,19.28,19.28
46,MRO,2018-01-19,18.58,18.58
47,MRO,2018-01-18,18.69,18.69
48,MRO,2018-01-17,18.84,18.84
49,MRO,2018-01-16,18.24,18.24
50,MRO,2018-01-12,18.82,18.82
51,MRO,2018-01-11,18.6,18.6
52,MRO,2018-01-10,17.9,17.9
53,MRO,2018-01-09,18.05,18.05
54,MRO,2018-01-08,17.97,17.97
