None,ticker,date,close,adj_close
0,MS,2018-03-27,53.15,53.15
1,MS,2018-03-26,54.3,54.3
2,MS,2018-03-23,52.07,52.07
3,MS,2018-03-22,54.64,54.64
4,MS,2018-03-21,57.11,57.11
5,MS,2018-03-20,57.47,57.47
6,MS,2018-03-19,56.95,56.95
7,MS,2018-03-16,57.51,57.51
8,MS,2018-03-15,57.22,57.22
9,MS,2018-03-14,56.99,56.99
10,MS,2018-03-13,58.03,58.03
11,MS,2018-03-12,58.91,58.91
12,MS,2018-03-09,58.67,58.67
13,MS,2018-03-08,56.96,56.96
14,MS,2018-03-07,56.88,56.88
15,MS,2018-03-06,56.56,56.56
16,MS,2018-03-05,55.49,55.49
17,MS,2018-03-02,54.74,54.74
18,MS,2018-03-01,54.49,54.49
19,MS,2018-02-28,56.02,56.02
20,MS,2018-02-27,56.72,56.72
21,MS,2018-02-26,57.01,57.01
22,MS,2018-02-23,56.07,56.07
23,MS,2018-02-22,54.86,54.86
24,MS,2018-02-21,55.1,55.1
25,MS,2018-02-20,55.06,55.06
26,MS,2018-02-16,55.14,55.14
27,MS,2018-02-15,55.4,55.4
28,MS,2018-02-14,55.05,55.05
29,MS,2018-02-13,53.39,53.39
30,MS,2018-02-12,53.43,53.43
31,MS,2018-02-09,52.14,52.14
32,MS,2018-02-08,51.79,51.79
33,MS,2018-02-07,54.55,54.55
34,MS,2018-02-06,54.33,54.33
35,MS,2018-02-05,52.55,52.55
36,MS,2018-02-02,55.48,55.48
37,MS,2018-02-01,57.45,57.45
38,MS,2018-01-31,56.55,56.55
39,MS,2018-01-30,56.6,56.6
40,MS,2018-01-29,57.45,57.45
41,MS,2018-01-26,57.6,57.6
42,MS,2018-01-25,56.81,56.81
43,MS,2018-01-24,57.24,57.24
44,MS,2018-01-23,56.91,56.91
45,MS,2018-01-22,57.36,57.36
46,MS,2018-01-19,57.46,57.46
47,MS,2018-01-18,55.84,55.84
48,MS,2018-01-17,55.35,55.35
49,MS,2018-01-16,54.6,54.6
50,MS,2018-01-12,55.12,55.12
51,MS,2018-01-11,54.2,54.2
52,MS,2018-01-10,53.93,53.93
53,MS,2018-01-09,53.3,53.3
54,MS,2018-01-08,52.89,52.89
55,MS,2018-01-05,53.11,53.11
56,MS,2018-01-04,53.13,53.13
57,MS,2018-01-03,52.33,52.33
58,MS,2018-01-02,52.19,52.19
59,MS,2017-12-29,52.47,52.47
60,MS,2017-12-28,52.65,52.65
61,MS,2017-12-27,52.57,52.57
62,MS,2017-12-26,52.47,52.47
63,MS,2017-12-22,52.72,52.72
64,MS,2017-12-21,52.88,52.88
65,MS,2017-12-20,52.51,52.51
66,MS,2017-12-19,52.93,52.93
67,MS,2017-12-18,53.24,53.24
68,MS,2017-12-15,53.1,53.1
69,MS,2017-12-14,52.64,52.64
70,MS,2017-12-13,53.18,53.18
71,MS,2017-12-12,53.85,53.85
72,MS,2017-12-11,52.77,52.77
73,MS,2017-12-08,52.89,52.89
74,MS,2017-12-07,52.35,52.35
75,MS,2017-12-06,51.69,51.69
76,MS,2017-12-05,52.01,52.01
77,MS,2017-12-04,52.68,52.68
78,MS,2017-12-01,51.95,51.95
79,MS,2017-11-30,51.61,51.61
80,MS,2017-11-29,51.32,51.32
81,MS,2017-11-28,50.4,50.4
82,MS,2017-11-27,49.0,49.0
83,MS,2017-11-24,49.06,49.06
84,MS,2017-11-22,49.09,49.09
85,MS,2017-11-21,49.38,49.38
86,MS,2017-11-20,49.11,49.11
87,MS,2017-11-17,48.7,48.7
88,MS,2017-11-16,48.6,48.6
89,MS,2017-11-15,48.1,48.1
90,MS,2017-11-14,48.38,48.38
91,MS,2017-11-13,48.63,48.63
92,MS,2017-11-10,48.76,48.76
93,MS,2017-11-09,48.82,48.82
94,MS,2017-11-07,49.39,49.39
95,MS,2017-11-06,50.14,50.14
96,MS,2017-11-03,50.02,50.02
97,MS,2017-11-02,50.42,50.42
98,MS,2017-11-01,49.63,49.63
99,MS,2017-10-31,50.0,50.0
100,MS,2017-10-30,50.46,50.46
101,MS,2017-10-27,51.16,50.907781502662
102,MS,2017-10-26,50.77,50.519704200355
103,MS,2017-10-25,50.52,50.270936698876
104,MS,2017-10-24,51.07,50.81822520213
105,MS,2017-10-23,50.61,50.360492999408
106,MS,2017-10-20,50.68,50.430147899823
107,MS,2017-10-19,49.79,49.544535594557
108,MS,2017-10-18,50.15,49.902760796687
109,MS,2017-10-17,49.12,48.877838690594
110,MS,2017-10-16,48.94,48.698726089529
111,MS,2017-10-13,48.3,48.061881285742
112,MS,2017-10-12,48.59,48.350451587458
113,MS,2017-10-11,49.18,48.937542890949
114,MS,2017-10-10,49.49,49.246014592782
115,MS,2017-10-09,49.38,49.136556892132
116,MS,2017-10-06,49.76,49.51468349438
117,MS,2017-10-05,49.63,49.385324393611
118,MS,2017-10-04,49.01,48.768380989943
119,MS,2017-10-03,49.28,49.03704989154
120,MS,2017-10-02,48.92,48.67882468941
121,MS,2017-09-29,48.17,47.932522184973
122,MS,2017-09-28,48.15,47.912620784855
123,MS,2017-09-27,48.07,47.833015184382
124,MS,2017-09-26,47.46,47.226022480773
125,MS,2017-09-25,47.74,47.50464208243
126,MS,2017-09-22,48.22,47.982275685269
127,MS,2017-09-21,48.26,48.022078485506
128,MS,2017-09-20,47.89,47.653902583317
129,MS,2017-09-19,47.67,47.434987182015
130,MS,2017-09-18,47.32,47.086712679945
131,MS,2017-09-15,46.6,46.370262275685
132,MS,2017-09-14,46.42,46.19114967462
133,MS,2017-09-13,46.22,45.992135673437
134,MS,2017-09-12,45.75,45.524452770657
135,MS,2017-09-11,45.16,44.937361467166
136,MS,2017-09-08,44.01,43.793030960363
137,MS,2017-09-07,44.07,43.852735160718
138,MS,2017-09-06,45.07,44.847805166634
139,MS,2017-09-05,44.91,44.688593965687
140,MS,2017-09-01,46.19,45.96228357326
141,MS,2017-08-31,45.5,45.275685269178
142,MS,2017-08-30,45.66,45.434896470124
143,MS,2017-08-29,45.35,45.12642476829
144,MS,2017-08-28,45.48,45.255783869059
145,MS,2017-08-25,45.94,45.713516071781
146,MS,2017-08-24,46.0,45.773220272136
147,MS,2017-08-23,45.8,45.574206270952
148,MS,2017-08-22,45.57,45.345340169592
149,MS,2017-08-21,44.68,44.459727864327
150,MS,2017-08-18,45.39,45.166227568527
151,MS,2017-08-17,45.09,44.867706566752
152,MS,2017-08-16,46.01,45.783170972195
153,MS,2017-08-15,46.43,46.20110037468
154,MS,2017-08-14,46.51,46.280705975153
155,MS,2017-08-11,45.65,45.424945770065
156,MS,2017-08-10,46.3,46.07174127391
157,MS,2017-08-09,47.65,47.415085781897
158,MS,2017-08-08,47.93,47.693705383554
159,MS,2017-08-07,48.31,48.071831985802
160,MS,2017-08-04,48.08,47.842965884441
161,MS,2017-08-03,47.26,47.02700847959
162,MS,2017-08-02,47.33,47.096663380004
163,MS,2017-08-01,47.21,46.977254979294
164,MS,2017-07-31,46.9,46.66878327746
165,MS,2017-07-28,46.66,46.42996647604
166,MS,2017-07-27,47.09,46.857846578584
167,MS,2017-07-26,47.21,46.729170616286
168,MS,2017-07-25,47.61,47.125096654127
169,MS,2017-07-24,46.71,46.234263068983
170,MS,2017-07-21,46.59,46.115485257631
171,MS,2017-07-20,46.51,46.036300050062
172,MS,2017-07-19,46.62,46.145179710469
173,MS,2017-07-18,45.14,44.680253370454
174,MS,2017-07-17,45.33,44.868318238429
175,MS,2017-07-14,45.2,44.73964227613
176,MS,2017-07-13,45.52,45.056383106404
177,MS,2017-07-12,44.96,44.502086653425
178,MS,2017-07-11,45.48,45.016790502619
179,MS,2017-07-10,45.99,45.521596200868
180,MS,2017-07-07,46.05,45.580985106544
181,MS,2017-07-06,46.13,45.660170314112
182,MS,2017-07-05,46.16,45.689864766951
183,MS,2017-07-03,45.61,45.145466464918
184,MS,2017-06-30,44.56,44.106160615583
185,MS,2017-06-29,44.75,44.294225483558
186,MS,2017-06-28,44.32,43.868604992878
187,MS,2017-06-27,44.22,43.769623483418
188,MS,2017-06-26,44.0,43.551864162605
189,MS,2017-06-23,43.69,43.245021483277
190,MS,2017-06-22,44.61,44.155651370313
191,MS,2017-06-21,44.91,44.452595898695
192,MS,2017-06-20,45.5,45.036586804512
193,MS,2017-06-19,45.72,45.254346125325
194,MS,2017-06-16,44.48,44.026975408015
195,MS,2017-06-15,44.69,44.234836577882
196,MS,2017-06-14,44.91,44.452595898695
197,MS,2017-06-13,45.15,44.6901515214
198,MS,2017-06-12,44.85,44.393206993019
199,MS,2017-06-09,44.91,44.452595898695
200,MS,2017-06-08,44.1,43.650845672065
201,MS,2017-06-07,43.28,42.839197294489
202,MS,2017-06-06,42.94,42.502660162324
203,MS,2017-06-05,42.89,42.453169407593
204,MS,2017-06-02,42.52,42.08693782259
205,MS,2017-06-01,42.61,42.176021181104
206,MS,2017-05-31,41.74,41.314882048798
207,MS,2017-05-30,42.28,41.849382199885
