None,ticker,date,close,adj_close
0,MSCI,2018-03-27,154.04,154.04
1,MSCI,2018-03-26,158.67,158.67
2,MSCI,2018-03-23,154.07,154.07
3,MSCI,2018-03-22,156.13,156.13
4,MSCI,2018-03-21,158.26,158.26
5,MSCI,2018-03-20,158.08,158.08
6,MSCI,2018-03-19,155.38,155.38
7,MSCI,2018-03-16,154.98,154.98
8,MSCI,2018-03-15,154.95,154.95
9,MSCI,2018-03-14,154.43,154.43
10,MSCI,2018-03-13,151.64,151.64
11,MSCI,2018-03-12,154.05,154.05
12,MSCI,2018-03-09,153.12,153.12
13,MSCI,2018-03-08,150.58,150.58
14,MSCI,2018-03-07,148.3,148.3
15,MSCI,2018-03-06,148.99,148.99
16,MSCI,2018-03-05,145.93,145.93
17,MSCI,2018-03-02,143.32,143.32
18,MSCI,2018-03-01,142.65,142.65
19,MSCI,2018-02-28,141.52,141.52
20,MSCI,2018-02-27,142.84,142.84
21,MSCI,2018-02-26,144.42,144.42
22,MSCI,2018-02-23,144.99,144.99
23,MSCI,2018-02-22,142.87,142.87
24,MSCI,2018-02-21,142.79,142.79
25,MSCI,2018-02-20,144.38,144.38
26,MSCI,2018-02-16,145.0,145.0
27,MSCI,2018-02-15,148.23,148.23
28,MSCI,2018-02-14,145.65,145.65
29,MSCI,2018-02-13,140.59,140.59
30,MSCI,2018-02-12,137.53,137.53
31,MSCI,2018-02-09,136.48,136.48
32,MSCI,2018-02-08,133.81,133.81
33,MSCI,2018-02-07,139.76,139.76
34,MSCI,2018-02-06,138.89,138.89
35,MSCI,2018-02-05,135.68,135.68
36,MSCI,2018-02-02,142.53,142.53
37,MSCI,2018-02-01,146.32,146.32
38,MSCI,2018-01-31,139.23,139.23
39,MSCI,2018-01-30,138.3,138.3
40,MSCI,2018-01-29,138.05,138.05
41,MSCI,2018-01-26,140.57,140.57
42,MSCI,2018-01-25,137.86,137.86
43,MSCI,2018-01-24,138.07,138.07
44,MSCI,2018-01-23,140.1,140.1
45,MSCI,2018-01-22,139.27,139.27
46,MSCI,2018-01-19,138.25,138.25
47,MSCI,2018-01-18,136.82,136.82
48,MSCI,2018-01-17,135.8,135.8
49,MSCI,2018-01-16,134.33,134.33
50,MSCI,2018-01-12,135.89,135.89
51,MSCI,2018-01-11,134.76,134.76
52,MSCI,2018-01-10,133.75,133.75
53,MSCI,2018-01-09,134.1,134.1
54,MSCI,2018-01-08,133.21,133.21
55,MSCI,2018-01-05,133.03,133.03
56,MSCI,2018-01-04,131.66,131.66
