None,ticker,date,close,adj_close
0,MSI,2018-03-27,105.93,105.93
1,MSI,2018-03-26,105.79,105.79
2,MSI,2018-03-23,104.28,104.28
3,MSI,2018-03-22,107.2,107.2
4,MSI,2018-03-21,109.09,109.09
5,MSI,2018-03-20,109.39,109.39
6,MSI,2018-03-19,108.75,108.75
7,MSI,2018-03-16,108.83,108.83
8,MSI,2018-03-15,108.8,108.8
9,MSI,2018-03-14,108.95,108.95
10,MSI,2018-03-13,109.22,109.22
11,MSI,2018-03-12,108.85,108.85
12,MSI,2018-03-09,109.09,109.09
13,MSI,2018-03-08,108.47,108.47
14,MSI,2018-03-07,108.84,108.84
15,MSI,2018-03-06,108.38,108.38
16,MSI,2018-03-05,107.27,107.27
17,MSI,2018-03-02,106.29,106.29
18,MSI,2018-03-01,106.32,106.32
19,MSI,2018-02-28,106.15,106.15
20,MSI,2018-02-27,106.62,106.62
21,MSI,2018-02-26,106.82,106.82
22,MSI,2018-02-23,106.73,106.73
23,MSI,2018-02-22,104.73,104.73
24,MSI,2018-02-21,104.99,104.99
25,MSI,2018-02-20,105.75,105.75
26,MSI,2018-02-16,105.91,105.91
27,MSI,2018-02-15,106.13,106.13
28,MSI,2018-02-14,105.02,105.02
29,MSI,2018-02-13,101.94,101.94
30,MSI,2018-02-12,101.3,101.3
31,MSI,2018-02-09,99.13,99.13
32,MSI,2018-02-08,98.74,98.74
33,MSI,2018-02-07,102.63,102.63
34,MSI,2018-02-06,102.76,102.76
35,MSI,2018-02-05,101.06,101.06
36,MSI,2018-02-02,103.87,103.87
37,MSI,2018-02-01,99.12,99.12
38,MSI,2018-01-31,99.46,99.46
39,MSI,2018-01-30,99.8,99.8
40,MSI,2018-01-29,99.18,99.18
41,MSI,2018-01-26,99.0,99.0
42,MSI,2018-01-25,97.68,97.68
43,MSI,2018-01-24,95.84,95.84
44,MSI,2018-01-23,96.76,96.76
45,MSI,2018-01-22,97.33,97.33
46,MSI,2018-01-19,97.8,97.8
47,MSI,2018-01-18,97.5,97.5
48,MSI,2018-01-17,97.28,97.28
49,MSI,2018-01-16,95.86,95.86
50,MSI,2018-01-12,96.57,96.57
51,MSI,2018-01-11,93.55,93.55
52,MSI,2018-01-10,92.38,92.38
53,MSI,2018-01-09,92.12,92.12
54,MSI,2018-01-08,92.82,92.82
55,MSI,2018-01-05,91.88,91.88
56,MSI,2018-01-04,90.66,90.66
57,MSI,2018-01-03,89.91,89.91
58,MSI,2018-01-02,90.55,90.55
59,MSI,2017-12-29,90.34,90.34
60,MSI,2017-12-28,90.57,90.57
61,MSI,2017-12-27,90.8,90.8
62,MSI,2017-12-26,90.67,90.67
63,MSI,2017-12-22,90.76,90.76
64,MSI,2017-12-21,91.62,91.62
65,MSI,2017-12-20,92.1,92.1
66,MSI,2017-12-19,93.28,93.28
67,MSI,2017-12-18,94.49,94.49
68,MSI,2017-12-15,93.15,93.15
69,MSI,2017-12-14,92.2,92.2
70,MSI,2017-12-13,93.94,93.94
71,MSI,2017-12-12,93.37,93.37
72,MSI,2017-12-11,92.33,92.33
73,MSI,2017-12-08,92.52,92.52
74,MSI,2017-12-07,92.8,92.8
75,MSI,2017-12-06,91.29,91.29
76,MSI,2017-12-05,90.66,90.66
77,MSI,2017-12-04,93.63,93.63
78,MSI,2017-12-01,93.03,93.03
79,MSI,2017-11-30,94.11,94.11
80,MSI,2017-11-29,94.17,94.17
81,MSI,2017-11-28,94.53,94.53
82,MSI,2017-11-27,92.88,92.88
83,MSI,2017-11-24,92.36,92.36
84,MSI,2017-11-22,91.83,91.83
85,MSI,2017-11-21,92.45,92.45
86,MSI,2017-11-20,92.33,92.33
87,MSI,2017-11-17,90.95,90.95
88,MSI,2017-11-16,90.97,90.97
89,MSI,2017-11-15,90.39,90.39
90,MSI,2017-11-14,91.02,91.02
91,MSI,2017-11-13,91.37,91.37
92,MSI,2017-11-10,91.07,91.07
93,MSI,2017-11-09,91.61,91.61
94,MSI,2017-11-07,92.11,92.11
95,MSI,2017-11-06,92.43,92.43
96,MSI,2017-11-03,94.25,94.25
97,MSI,2017-11-02,90.02,90.02
98,MSI,2017-11-01,90.56,90.56
99,MSI,2017-10-31,90.54,90.54
100,MSI,2017-10-30,90.37,90.37
101,MSI,2017-10-27,91.19,91.19
102,MSI,2017-10-26,90.28,90.28
103,MSI,2017-10-25,90.04,90.04
104,MSI,2017-10-24,90.23,90.23
105,MSI,2017-10-23,89.94,89.94
106,MSI,2017-10-20,90.0,90.0
107,MSI,2017-10-19,89.65,89.65
108,MSI,2017-10-18,89.09,89.09
109,MSI,2017-10-17,88.88,88.88
110,MSI,2017-10-16,89.36,89.36
111,MSI,2017-10-13,89.93,89.93
112,MSI,2017-10-12,89.8,89.8
113,MSI,2017-10-11,89.26,89.26
114,MSI,2017-10-10,89.08,89.08
115,MSI,2017-10-09,89.1,89.1
116,MSI,2017-10-06,89.44,89.44
117,MSI,2017-10-05,86.0,86.0
118,MSI,2017-10-04,85.64,85.64
119,MSI,2017-10-03,85.69,85.69
120,MSI,2017-10-02,85.84,85.84
121,MSI,2017-09-29,84.87,84.87
122,MSI,2017-09-28,83.69,83.69
123,MSI,2017-09-27,84.1,84.1
124,MSI,2017-09-26,83.02,83.02
