None,ticker,date,close,adj_close
0,MTB,2018-03-27,180.33,180.33
1,MTB,2018-03-26,184.24,184.24
2,MTB,2018-03-23,177.51,177.51
3,MTB,2018-03-22,182.45,182.45
4,MTB,2018-03-21,189.65,189.65
5,MTB,2018-03-20,188.69,188.69
6,MTB,2018-03-19,189.29,189.29
7,MTB,2018-03-16,190.37,190.37
8,MTB,2018-03-15,190.33,190.33
9,MTB,2018-03-14,190.31,190.31
10,MTB,2018-03-13,193.05,193.05
11,MTB,2018-03-12,194.91,194.91
12,MTB,2018-03-09,196.81,196.81
13,MTB,2018-03-08,194.69,194.69
14,MTB,2018-03-07,195.19,195.19
15,MTB,2018-03-06,195.34,195.34
16,MTB,2018-03-05,193.75,193.75
17,MTB,2018-03-02,190.98,190.98
18,MTB,2018-03-01,188.85,188.85
19,MTB,2018-02-28,189.84,189.84
20,MTB,2018-02-27,192.19,192.19
21,MTB,2018-02-26,195.32,195.32
22,MTB,2018-02-23,193.51,193.51
23,MTB,2018-02-22,189.5,189.5
24,MTB,2018-02-21,192.82,192.82
25,MTB,2018-02-20,190.64,190.64
26,MTB,2018-02-16,191.64,191.64
27,MTB,2018-02-15,191.1,191.1
28,MTB,2018-02-14,191.98,191.98
29,MTB,2018-02-13,186.15,186.15
30,MTB,2018-02-12,184.75,184.75
31,MTB,2018-02-09,182.62,182.62
32,MTB,2018-02-08,178.35,178.35
33,MTB,2018-02-07,184.97,184.97
34,MTB,2018-02-06,185.06,185.06
35,MTB,2018-02-05,179.81,179.81
36,MTB,2018-02-02,189.2,189.2
37,MTB,2018-02-01,192.85,192.85
38,MTB,2018-01-31,190.78,190.78
39,MTB,2018-01-30,190.57,190.57
40,MTB,2018-01-29,189.79,189.79
41,MTB,2018-01-26,189.37,189.37
42,MTB,2018-01-25,187.66,187.66
43,MTB,2018-01-24,189.46,189.46
44,MTB,2018-01-23,188.83,188.83
45,MTB,2018-01-22,188.76,188.76
46,MTB,2018-01-19,188.78,188.78
47,MTB,2018-01-18,186.15,186.15
48,MTB,2018-01-17,179.21,179.21
49,MTB,2018-01-16,177.78,177.78
50,MTB,2018-01-12,178.52,178.52
51,MTB,2018-01-11,177.99,177.99
52,MTB,2018-01-10,176.75,176.75
53,MTB,2018-01-09,174.91,174.91
54,MTB,2018-01-08,172.42,172.42
55,MTB,2018-01-05,172.82,172.82
56,MTB,2018-01-04,173.44,173.44
57,MTB,2018-01-03,173.11,173.11
58,MTB,2018-01-02,171.19,171.19
59,MTB,2017-12-29,170.99,170.99
60,MTB,2017-12-28,172.29,172.29
61,MTB,2017-12-27,171.57,171.57
62,MTB,2017-12-26,171.99,171.99
63,MTB,2017-12-22,173.07,173.07
64,MTB,2017-12-21,173.59,173.59
65,MTB,2017-12-20,172.53,172.53
66,MTB,2017-12-19,173.9,173.9
67,MTB,2017-12-18,173.86,173.86
68,MTB,2017-12-15,170.9,170.9
69,MTB,2017-12-14,169.04,169.04
70,MTB,2017-12-13,171.02,171.02
71,MTB,2017-12-12,172.49,172.49
72,MTB,2017-12-11,170.51,170.51
73,MTB,2017-12-08,171.72,171.72
74,MTB,2017-12-07,171.07,171.07
75,MTB,2017-12-06,169.51,169.51
76,MTB,2017-12-05,170.43,170.43
77,MTB,2017-12-04,172.25,172.25
78,MTB,2017-12-01,169.47,169.47
79,MTB,2017-11-30,168.95,168.95
80,MTB,2017-11-29,169.11,169.11
81,MTB,2017-11-28,164.34,164.34
82,MTB,2017-11-27,159.5,159.5
83,MTB,2017-11-24,159.14,159.14
84,MTB,2017-11-22,159.92,159.92
85,MTB,2017-11-21,160.19,160.19
86,MTB,2017-11-20,161.61,161.61
87,MTB,2017-11-17,160.57,160.57
88,MTB,2017-11-16,159.87,159.87
89,MTB,2017-11-15,161.22,161.22
90,MTB,2017-11-14,160.71,160.71
91,MTB,2017-11-13,159.44,159.44
92,MTB,2017-11-10,157.1,157.1
93,MTB,2017-11-09,158.61,158.61
94,MTB,2017-11-07,162.88,162.88
95,MTB,2017-11-06,168.71,168.71
96,MTB,2017-11-03,168.76,168.76
97,MTB,2017-11-02,169.03,169.03
98,MTB,2017-11-01,167.28,167.28
99,MTB,2017-10-31,166.77,166.77
100,MTB,2017-10-30,166.9,166.9
101,MTB,2017-10-27,167.82,167.82
102,MTB,2017-10-26,167.6,167.6
103,MTB,2017-10-25,165.83,165.83
104,MTB,2017-10-24,165.75,165.75
105,MTB,2017-10-23,164.94,164.94
106,MTB,2017-10-20,165.2,165.2
107,MTB,2017-10-19,162.26,162.26
108,MTB,2017-10-18,160.62,160.62
109,MTB,2017-10-17,164.14,164.14
110,MTB,2017-10-16,164.22,164.22
111,MTB,2017-10-13,163.21,163.21
112,MTB,2017-10-12,162.83,162.83
113,MTB,2017-10-11,163.15,163.15
114,MTB,2017-10-10,163.16,163.16
115,MTB,2017-10-09,161.17,161.17
116,MTB,2017-10-06,162.08,162.08
117,MTB,2017-10-05,161.57,161.57
118,MTB,2017-10-04,160.69,160.69
119,MTB,2017-10-03,161.31,161.31
120,MTB,2017-10-02,161.39,161.39
121,MTB,2017-09-29,161.04,161.04
122,MTB,2017-09-28,159.22,159.22
123,MTB,2017-09-27,157.91,157.91
124,MTB,2017-09-26,155.44,155.44
125,MTB,2017-09-25,154.71,154.71
126,MTB,2017-09-22,153.82,153.82
127,MTB,2017-09-21,154.42,154.42
128,MTB,2017-09-20,154.56,154.56
129,MTB,2017-09-19,152.71,152.71
130,MTB,2017-09-18,151.67,151.67
131,MTB,2017-09-15,149.99,149.99
132,MTB,2017-09-14,149.92,149.92
133,MTB,2017-09-13,150.5,150.5
134,MTB,2017-09-12,149.02,149.02
135,MTB,2017-09-11,146.52,146.52
136,MTB,2017-09-08,144.07,144.07
137,MTB,2017-09-07,142.47,142.47
138,MTB,2017-09-06,145.16,145.16
139,MTB,2017-09-05,145.45,145.45
140,MTB,2017-09-01,149.0,149.0
141,MTB,2017-08-31,147.86,147.86
142,MTB,2017-08-30,149.29,149.29
143,MTB,2017-08-29,150.13,149.37955011997
144,MTB,2017-08-28,152.0,151.24020261264
145,MTB,2017-08-25,153.8,153.031205012
146,MTB,2017-08-24,152.83,152.06605371901
147,MTB,2017-08-23,153.21,152.44415422554
148,MTB,2017-08-22,153.6,152.8322047454
149,MTB,2017-08-21,152.49,151.7277532658
150,MTB,2017-08-18,153.43,152.66305451879
151,MTB,2017-08-17,153.87,153.10085510531
152,MTB,2017-08-16,158.6,157.80721141029
153,MTB,2017-08-15,158.5,157.70771127699
154,MTB,2017-08-14,159.09,158.29476206345
155,MTB,2017-08-11,156.6,155.81720874433
156,MTB,2017-08-10,158.72,157.92661157025
157,MTB,2017-08-09,163.0,162.18521727539
158,MTB,2017-08-08,164.37,163.54836910157
159,MTB,2017-08-07,163.62,162.80211810184
160,MTB,2017-08-04,163.58,162.76231804852
161,MTB,2017-08-03,163.79,162.97126832845
162,MTB,2017-08-02,164.92,164.09561983471
163,MTB,2017-08-01,164.66,163.83691948814
164,MTB,2017-07-31,163.15,162.33446747534
165,MTB,2017-07-28,160.59,159.78726406292
166,MTB,2017-07-27,159.01,158.21516195681
167,MTB,2017-07-26,157.98,157.19031058384
168,MTB,2017-07-25,161.5,160.69271527593
169,MTB,2017-07-24,160.34,159.53851372967
170,MTB,2017-07-21,158.11,157.31966075713
171,MTB,2017-07-20,160.34,159.53851372967
172,MTB,2017-07-19,162.48,161.66781658224
173,MTB,2017-07-18,165.48,164.65282058118
174,MTB,2017-07-17,165.99,165.160271261
175,MTB,2017-07-14,165.77,164.94137096774
176,MTB,2017-07-13,166.54,165.70752199413
177,MTB,2017-07-12,165.24,164.41402026126
178,MTB,2017-07-11,165.17,164.34437016796
179,MTB,2017-07-10,164.36,163.53841908824
180,MTB,2017-07-07,165.11,164.28467008798
181,MTB,2017-07-06,163.59,162.77226806185
182,MTB,2017-07-05,164.44,163.61801919488
183,MTB,2017-07-03,164.31,163.48866902159
184,MTB,2017-06-30,161.95,161.14046587577
185,MTB,2017-06-29,161.18,160.37431484937
186,MTB,2017-06-28,161.65,160.84196547587
187,MTB,2017-06-27,159.16,158.36441215676
188,MTB,2017-06-26,158.81,158.01616169022
189,MTB,2017-06-23,157.84,157.05101039723
190,MTB,2017-06-22,159.49,158.69276259664
191,MTB,2017-06-21,161.03,160.22506464943
192,MTB,2017-06-20,161.8,160.99121567582
193,MTB,2017-06-19,162.66,161.84691682218
194,MTB,2017-06-16,161.67,160.86186550253
195,MTB,2017-06-15,161.51,160.70266528926
196,MTB,2017-06-14,162.55,161.73746667555
197,MTB,2017-06-13,162.68,161.86681684884
198,MTB,2017-06-12,162.44,161.62801652893
199,MTB,2017-06-09,163.36,162.54341775527
200,MTB,2017-06-08,159.08,158.28481205012
201,MTB,2017-06-07,156.72,155.93660890429
202,MTB,2017-06-06,155.87,155.09085777126
203,MTB,2017-06-05,157.18,156.39430951746
