None,ticker,date,close,adj_close
0,MTD,2018-03-27,573.21,573.21
1,MTD,2018-03-26,588.75,588.75
2,MTD,2018-03-23,566.87,566.87
3,MTD,2018-03-22,585.39,585.39
4,MTD,2018-03-21,606.41,606.41
5,MTD,2018-03-20,611.9,611.9
6,MTD,2018-03-19,611.51,611.51
7,MTD,2018-03-16,613.88,613.88
8,MTD,2018-03-15,613.83,613.83
9,MTD,2018-03-14,606.13,606.13
10,MTD,2018-03-13,612.0,612.0
11,MTD,2018-03-12,615.91,615.91
12,MTD,2018-03-09,616.0,616.0
13,MTD,2018-03-08,606.88,606.88
14,MTD,2018-03-07,611.54,611.54
15,MTD,2018-03-06,605.29,605.29
16,MTD,2018-03-05,599.95,599.95
17,MTD,2018-03-02,593.26,593.26
18,MTD,2018-03-01,596.17,596.17
19,MTD,2018-02-28,616.22,616.22
20,MTD,2018-02-27,625.57,625.57
21,MTD,2018-02-26,636.63,636.63
22,MTD,2018-02-23,636.1,636.1
23,MTD,2018-02-22,624.97,624.97
24,MTD,2018-02-21,628.61,628.61
25,MTD,2018-02-20,624.22,624.22
26,MTD,2018-02-16,634.37,634.37
27,MTD,2018-02-15,631.97,631.97
28,MTD,2018-02-14,624.67,624.67
29,MTD,2018-02-13,613.69,613.69
30,MTD,2018-02-12,613.87,613.87
31,MTD,2018-02-09,600.37,600.37
32,MTD,2018-02-08,601.0,601.0
33,MTD,2018-02-07,641.96,641.96
34,MTD,2018-02-06,637.28,637.28
35,MTD,2018-02-05,635.5,635.5
36,MTD,2018-02-02,667.16,667.16
37,MTD,2018-02-01,684.11,684.11
38,MTD,2018-01-31,675.26,675.26
39,MTD,2018-01-30,677.14,677.14
40,MTD,2018-01-29,685.79,685.79
41,MTD,2018-01-26,692.3,692.3
42,MTD,2018-01-25,678.05,678.05
43,MTD,2018-01-24,672.69,672.69
44,MTD,2018-01-23,667.15,667.15
45,MTD,2018-01-22,670.88,670.88
46,MTD,2018-01-19,666.69,666.69
47,MTD,2018-01-18,653.75,653.75
48,MTD,2018-01-17,656.51,656.51
49,MTD,2018-01-16,649.42,649.42
50,MTD,2018-01-12,650.6,650.6
51,MTD,2018-01-11,639.26,639.26
52,MTD,2018-01-10,646.19,646.19
53,MTD,2018-01-09,649.99,649.99
54,MTD,2018-01-08,633.18,633.18
55,MTD,2018-01-05,637.35,637.35
56,MTD,2018-01-04,627.03,627.03
57,MTD,2018-01-03,631.54,631.54
58,MTD,2018-01-02,626.1,626.1
59,MTD,2017-12-29,619.52,619.52
60,MTD,2017-12-28,622.6,622.6
61,MTD,2017-12-27,615.93,615.93
62,MTD,2017-12-26,613.53,613.53
63,MTD,2017-12-22,614.77,614.77
64,MTD,2017-12-21,618.43,618.43
65,MTD,2017-12-20,626.66,626.66
66,MTD,2017-12-19,635.07,635.07
67,MTD,2017-12-18,642.99,642.99
68,MTD,2017-12-15,639.94,639.94
69,MTD,2017-12-14,629.93,629.93
70,MTD,2017-12-13,626.39,626.39
71,MTD,2017-12-12,625.01,625.01
72,MTD,2017-12-11,624.67,624.67
73,MTD,2017-12-08,623.19,623.19
74,MTD,2017-12-07,620.15,620.15
75,MTD,2017-12-06,615.98,615.98
76,MTD,2017-12-05,612.25,612.25
77,MTD,2017-12-04,606.8,606.8
78,MTD,2017-12-01,624.64,624.64
79,MTD,2017-11-30,629.21,629.21
80,MTD,2017-11-29,625.44,625.44
81,MTD,2017-11-28,634.14,634.14
82,MTD,2017-11-27,633.76,633.76
83,MTD,2017-11-24,635.02,635.02
84,MTD,2017-11-22,626.35,626.35
85,MTD,2017-11-21,627.62,627.62
86,MTD,2017-11-20,631.92,631.92
87,MTD,2017-11-17,630.92,630.92
88,MTD,2017-11-16,630.5,630.5
89,MTD,2017-11-15,625.19,625.19
90,MTD,2017-11-14,631.37,631.37
91,MTD,2017-11-13,630.84,630.84
92,MTD,2017-11-10,622.66,622.66
93,MTD,2017-11-09,626.82,626.82
94,MTD,2017-11-07,624.58,624.58
95,MTD,2017-11-06,635.11,635.11
96,MTD,2017-11-03,646.0,646.0
97,MTD,2017-11-02,671.6,671.6
98,MTD,2017-11-01,689.11,689.11
99,MTD,2017-10-31,682.63,682.63
100,MTD,2017-10-30,675.22,675.22
101,MTD,2017-10-27,679.0,679.0
102,MTD,2017-10-26,667.74,667.74
103,MTD,2017-10-25,666.0,666.0
104,MTD,2017-10-24,669.36,669.36
105,MTD,2017-10-23,667.37,667.37
106,MTD,2017-10-20,668.72,668.72
107,MTD,2017-10-19,661.19,661.19
108,MTD,2017-10-18,655.66,655.66
109,MTD,2017-10-17,662.22,662.22
110,MTD,2017-10-16,666.98,666.98
111,MTD,2017-10-13,658.65,658.65
112,MTD,2017-10-12,660.07,660.07
113,MTD,2017-10-11,659.7,659.7
114,MTD,2017-10-10,652.97,652.97
115,MTD,2017-10-09,651.95,651.95
116,MTD,2017-10-06,645.76,645.76
117,MTD,2017-10-05,644.85,644.85
118,MTD,2017-10-04,643.32,643.32
119,MTD,2017-10-03,639.89,639.89
120,MTD,2017-10-02,635.8,635.8
121,MTD,2017-09-29,626.16,626.16
122,MTD,2017-09-28,624.48,624.48
123,MTD,2017-09-27,628.78,628.78
124,MTD,2017-09-26,625.39,625.39
125,MTD,2017-09-25,625.61,625.61
126,MTD,2017-09-22,632.86,632.86
127,MTD,2017-09-21,631.41,631.41
128,MTD,2017-09-20,635.17,635.17
129,MTD,2017-09-19,632.27,632.27
130,MTD,2017-09-18,633.28,633.28
131,MTD,2017-09-15,626.0,626.0
132,MTD,2017-09-14,624.8,624.8
133,MTD,2017-09-13,623.88,623.88
