None,ticker,date,close,adj_close
0,MU,2018-03-27,52.4,52.4
1,MU,2018-03-26,55.56,55.56
2,MU,2018-03-23,54.21,54.21
3,MU,2018-03-22,58.97,58.97
4,MU,2018-03-21,61.07,61.07
5,MU,2018-03-20,61.15,61.15
6,MU,2018-03-19,60.14,60.14
7,MU,2018-03-16,60.58,60.58
8,MU,2018-03-15,58.84,58.84
9,MU,2018-03-14,59.78,59.78
10,MU,2018-03-13,59.43,59.43
11,MU,2018-03-12,59.37,59.37
12,MU,2018-03-09,54.59,54.59
13,MU,2018-03-08,55.22,55.22
14,MU,2018-03-07,53.97,53.97
15,MU,2018-03-06,53.74,53.74
16,MU,2018-03-05,52.03,52.03
17,MU,2018-03-02,49.11,49.11
18,MU,2018-03-01,47.62,47.62
19,MU,2018-02-28,48.81,48.81
20,MU,2018-02-27,48.58,48.58
21,MU,2018-02-26,47.98,47.98
22,MU,2018-02-23,46.53,46.53
23,MU,2018-02-22,44.25,44.25
24,MU,2018-02-21,44.54,44.54
25,MU,2018-02-20,44.89,44.89
26,MU,2018-02-16,44.21,44.21
27,MU,2018-02-15,43.5,43.5
28,MU,2018-02-14,43.45,43.45
29,MU,2018-02-13,42.63,42.63
30,MU,2018-02-12,42.19,42.19
31,MU,2018-02-09,40.35,40.35
32,MU,2018-02-08,40.0,40.0
33,MU,2018-02-07,42.01,42.01
34,MU,2018-02-06,43.88,43.88
35,MU,2018-02-05,39.62,39.62
36,MU,2018-02-02,40.82,40.82
37,MU,2018-02-01,42.49,42.49
38,MU,2018-01-31,43.72,43.72
39,MU,2018-01-30,41.67,41.67
40,MU,2018-01-29,43.29,43.29
41,MU,2018-01-26,43.67,43.67
42,MU,2018-01-25,43.01,43.01
43,MU,2018-01-24,43.08,43.08
44,MU,2018-01-23,43.95,43.95
45,MU,2018-01-22,42.88,42.88
46,MU,2018-01-19,42.75,42.75
47,MU,2018-01-18,43.99,43.99
48,MU,2018-01-17,44.27,44.27
49,MU,2018-01-16,42.92,42.92
50,MU,2018-01-12,42.81,42.81
51,MU,2018-01-11,42.82,42.82
52,MU,2018-01-10,43.29,43.29
53,MU,2018-01-09,42.97,42.97
54,MU,2018-01-08,45.55,45.55
55,MU,2018-01-05,45.8,45.8
56,MU,2018-01-04,46.88,46.88
57,MU,2018-01-03,44.98,44.98
58,MU,2018-01-02,43.67,43.67
59,MU,2017-12-29,41.12,41.12
60,MU,2017-12-28,41.81,41.81
61,MU,2017-12-27,42.48,42.48
62,MU,2017-12-26,42.25,42.25
63,MU,2017-12-22,44.12,44.12
64,MU,2017-12-21,44.42,44.42
65,MU,2017-12-20,45.75,45.75
66,MU,2017-12-19,43.98,43.98
67,MU,2017-12-18,43.71,43.71
68,MU,2017-12-15,42.4,42.4
69,MU,2017-12-14,42.24,42.24
70,MU,2017-12-13,42.05,42.05
71,MU,2017-12-12,41.86,41.86
72,MU,2017-12-11,43.01,43.01
73,MU,2017-12-08,43.21,43.21
74,MU,2017-12-07,43.2,43.2
75,MU,2017-12-06,41.58,41.58
76,MU,2017-12-05,41.21,41.21
77,MU,2017-12-04,39.9,39.9
78,MU,2017-12-01,41.99,41.99
79,MU,2017-11-30,42.39,42.39
80,MU,2017-11-29,43.74,43.74
81,MU,2017-11-28,47.93,47.93
82,MU,2017-11-27,48.05,48.05
83,MU,2017-11-24,49.68,49.68
84,MU,2017-11-22,49.14,49.14
85,MU,2017-11-21,49.4,49.4
86,MU,2017-11-20,47.64,47.64
87,MU,2017-11-17,46.16,46.16
88,MU,2017-11-16,46.18,46.18
89,MU,2017-11-15,45.36,45.36
90,MU,2017-11-14,45.8,45.8
91,MU,2017-11-13,45.6,45.6
92,MU,2017-11-10,44.78,44.78
93,MU,2017-11-09,43.5,43.5
94,MU,2017-11-07,43.95,43.95
95,MU,2017-11-06,43.25,43.25
96,MU,2017-11-03,43.71,43.71
