None,ticker,date,close,adj_close
0,NBL,2018-03-27,30.21,30.21
1,NBL,2018-03-26,30.43,30.43
2,NBL,2018-03-23,30.24,30.24
3,NBL,2018-03-22,30.55,30.55
4,NBL,2018-03-21,30.99,30.99
5,NBL,2018-03-20,29.25,29.25
6,NBL,2018-03-19,28.78,28.78
7,NBL,2018-03-16,29.4,29.4
8,NBL,2018-03-15,29.33,29.33
9,NBL,2018-03-14,29.7,29.7
10,NBL,2018-03-13,30.18,30.18
11,NBL,2018-03-12,30.88,30.88
12,NBL,2018-03-09,31.08,31.08
13,NBL,2018-03-08,30.68,30.68
14,NBL,2018-03-07,30.72,30.72
15,NBL,2018-03-06,30.69,30.69
16,NBL,2018-03-05,30.95,30.95
17,NBL,2018-03-02,30.44,30.44
18,NBL,2018-03-01,30.05,30.05
19,NBL,2018-02-28,29.83,29.83
20,NBL,2018-02-27,30.19,30.19
21,NBL,2018-02-26,31.43,31.43
22,NBL,2018-02-23,30.66,30.66
23,NBL,2018-02-22,29.39,29.39
24,NBL,2018-02-21,29.13,29.13
25,NBL,2018-02-20,29.12,29.12
26,NBL,2018-02-16,26.28,26.28
27,NBL,2018-02-15,26.37,26.37
28,NBL,2018-02-14,26.46,26.46
29,NBL,2018-02-13,25.53,25.53
30,NBL,2018-02-12,25.97,25.97
31,NBL,2018-02-09,25.68,25.68
32,NBL,2018-02-08,25.43,25.43
33,NBL,2018-02-07,27.08,27.08
34,NBL,2018-02-06,28.17,28.17
35,NBL,2018-02-05,27.97,27.97
36,NBL,2018-02-02,29.2,29.2
37,NBL,2018-02-01,30.89,30.89
38,NBL,2018-01-31,30.52,30.52
39,NBL,2018-01-30,30.4,30.4
40,NBL,2018-01-29,32.13,32.13
41,NBL,2018-01-26,32.55,32.55
42,NBL,2018-01-25,32.62,32.62
43,NBL,2018-01-24,33.09,33.09
44,NBL,2018-01-23,33.13,33.13
45,NBL,2018-01-22,32.94,32.94
46,NBL,2018-01-19,31.69,31.69
47,NBL,2018-01-18,31.63,31.63
48,NBL,2018-01-17,31.89,31.89
49,NBL,2018-01-16,31.67,31.67
50,NBL,2018-01-12,32.23,32.23
51,NBL,2018-01-11,32.14,32.14
52,NBL,2018-01-10,31.34,31.34
53,NBL,2018-01-09,31.27,31.27
54,NBL,2018-01-08,31.68,31.68
55,NBL,2018-01-05,31.5,31.5
56,NBL,2018-01-04,31.72,31.72
57,NBL,2018-01-03,31.01,31.01
