None,ticker,date,close,adj_close
0,NCLH,2018-03-27,52.87,52.87
1,NCLH,2018-03-26,52.44,52.44
2,NCLH,2018-03-23,51.4,51.4
3,NCLH,2018-03-22,52.71,52.71
4,NCLH,2018-03-21,54.17,54.17
5,NCLH,2018-03-20,55.72,55.72
6,NCLH,2018-03-19,55.42,55.42
7,NCLH,2018-03-16,56.12,56.12
8,NCLH,2018-03-15,55.34,55.34
9,NCLH,2018-03-14,55.95,55.95
10,NCLH,2018-03-13,56.65,56.65
11,NCLH,2018-03-12,56.58,56.58
12,NCLH,2018-03-09,57.15,57.15
13,NCLH,2018-03-08,55.45,55.45
14,NCLH,2018-03-07,55.5,55.5
15,NCLH,2018-03-06,56.0,56.0
16,NCLH,2018-03-05,55.58,55.58
17,NCLH,2018-03-02,56.44,56.44
18,NCLH,2018-03-01,56.77,56.77
19,NCLH,2018-02-28,56.9,56.9
20,NCLH,2018-02-27,56.27,56.27
21,NCLH,2018-02-26,57.95,57.95
22,NCLH,2018-02-23,57.9,57.9
23,NCLH,2018-02-22,57.29,57.29
24,NCLH,2018-02-21,58.72,58.72
25,NCLH,2018-02-20,58.95,58.95
26,NCLH,2018-02-16,59.11,59.11
27,NCLH,2018-02-15,59.36,59.36
28,NCLH,2018-02-14,58.88,58.88
29,NCLH,2018-02-13,57.5,57.5
30,NCLH,2018-02-12,57.45,57.45
31,NCLH,2018-02-09,56.21,56.21
32,NCLH,2018-02-08,56.01,56.01
33,NCLH,2018-02-07,57.74,57.74
34,NCLH,2018-02-06,58.2,58.2
35,NCLH,2018-02-05,56.95,56.95
36,NCLH,2018-02-02,59.0,59.0
37,NCLH,2018-02-01,60.59,60.59
38,NCLH,2018-01-31,60.74,60.74
39,NCLH,2018-01-30,59.96,59.96
40,NCLH,2018-01-29,60.57,60.57
41,NCLH,2018-01-26,60.93,60.93
42,NCLH,2018-01-25,59.61,59.61
43,NCLH,2018-01-24,59.77,59.77
44,NCLH,2018-01-23,58.33,58.33
45,NCLH,2018-01-22,59.37,59.37
46,NCLH,2018-01-19,59.43,59.43
47,NCLH,2018-01-18,58.86,58.86
48,NCLH,2018-01-17,59.27,59.27
49,NCLH,2018-01-16,57.39,57.39
50,NCLH,2018-01-12,57.85,57.85
51,NCLH,2018-01-11,56.16,56.16
52,NCLH,2018-01-10,55.6,55.6
53,NCLH,2018-01-09,54.94,54.94
54,NCLH,2018-01-08,54.66,54.66
55,NCLH,2018-01-05,54.87,54.87
56,NCLH,2018-01-04,54.68,54.68
57,NCLH,2018-01-03,55.37,55.37
58,NCLH,2018-01-02,54.96,54.96
59,NCLH,2017-12-29,53.25,53.25
60,NCLH,2017-12-28,53.61,53.61
61,NCLH,2017-12-27,54.0,54.0
62,NCLH,2017-12-26,53.73,53.73
63,NCLH,2017-12-22,54.03,54.03
64,NCLH,2017-12-21,54.14,54.14
65,NCLH,2017-12-20,54.82,54.82
66,NCLH,2017-12-19,55.59,55.59
67,NCLH,2017-12-18,54.98,54.98
68,NCLH,2017-12-15,54.0,54.0
69,NCLH,2017-12-14,52.81,52.81
70,NCLH,2017-12-13,53.16,53.16
71,NCLH,2017-12-12,53.65,53.65
72,NCLH,2017-12-11,54.72,54.72
73,NCLH,2017-12-08,55.03,55.03
74,NCLH,2017-12-07,54.34,54.34
75,NCLH,2017-12-06,54.31,54.31
76,NCLH,2017-12-05,54.33,54.33
77,NCLH,2017-12-04,55.41,55.41
78,NCLH,2017-12-01,54.81,54.81
79,NCLH,2017-11-30,54.16,54.16
80,NCLH,2017-11-29,55.29,55.29
81,NCLH,2017-11-28,55.31,55.31
82,NCLH,2017-11-27,55.61,55.61
83,NCLH,2017-11-24,55.5,55.5
84,NCLH,2017-11-22,55.31,55.31
85,NCLH,2017-11-21,55.48,55.48
86,NCLH,2017-11-20,54.69,54.69
87,NCLH,2017-11-17,54.84,54.84
88,NCLH,2017-11-16,53.97,53.97
89,NCLH,2017-11-15,55.07,55.07
