None,ticker,date,close,adj_close
0,NDAQ,2018-03-27,81.92,81.92
1,NDAQ,2018-03-26,83.5,83.5
2,NDAQ,2018-03-23,80.72,80.72
3,NDAQ,2018-03-22,82.02,82.02
4,NDAQ,2018-03-21,84.21,84.21
5,NDAQ,2018-03-20,84.15,84.15
6,NDAQ,2018-03-19,83.62,83.62
7,NDAQ,2018-03-16,83.97,83.97
8,NDAQ,2018-03-15,84.08,84.08
9,NDAQ,2018-03-14,84.37,84.37
10,NDAQ,2018-03-13,85.25,85.25
11,NDAQ,2018-03-12,85.89,85.89
12,NDAQ,2018-03-09,86.53,86.53
13,NDAQ,2018-03-08,84.86,84.86
14,NDAQ,2018-03-07,83.95,83.95
15,NDAQ,2018-03-06,83.91,83.91
16,NDAQ,2018-03-05,81.77,81.77
17,NDAQ,2018-03-02,80.59,80.59
18,NDAQ,2018-03-01,79.6,79.6
19,NDAQ,2018-02-28,80.75,80.75
20,NDAQ,2018-02-27,81.69,81.69
21,NDAQ,2018-02-26,81.66,81.66
22,NDAQ,2018-02-23,80.48,80.48
23,NDAQ,2018-02-22,78.2,78.2
24,NDAQ,2018-02-21,79.12,79.12
25,NDAQ,2018-02-20,78.8,78.8
26,NDAQ,2018-02-16,79.02,79.02
27,NDAQ,2018-02-15,80.38,80.38
28,NDAQ,2018-02-14,79.76,79.76
29,NDAQ,2018-02-13,78.5,78.5
30,NDAQ,2018-02-12,77.56,77.56
31,NDAQ,2018-02-09,76.1,76.1
32,NDAQ,2018-02-08,75.21,75.21
33,NDAQ,2018-02-07,77.27,77.27
34,NDAQ,2018-02-06,77.72,77.72
35,NDAQ,2018-02-05,77.7301,77.7301
36,NDAQ,2018-02-02,80.34,80.34
37,NDAQ,2018-02-01,81.37,81.37
38,NDAQ,2018-01-31,80.91,80.91
39,NDAQ,2018-01-30,81.85,81.85
40,NDAQ,2018-01-29,81.645,81.645
41,NDAQ,2018-01-26,81.36,81.36
42,NDAQ,2018-01-25,81.18,81.18
43,NDAQ,2018-01-24,81.17,81.17
44,NDAQ,2018-01-23,80.21,80.21
45,NDAQ,2018-01-22,80.63,80.63
46,NDAQ,2018-01-19,80.07,80.07
47,NDAQ,2018-01-18,79.83,79.83
48,NDAQ,2018-01-17,80.46,80.46
49,NDAQ,2018-01-16,80.42,80.42
50,NDAQ,2018-01-12,81.43,81.43
51,NDAQ,2018-01-11,80.46,80.46
52,NDAQ,2018-01-10,81.23,81.23
53,NDAQ,2018-01-09,80.17,80.17
54,NDAQ,2018-01-08,79.96,79.96
55,NDAQ,2018-01-05,79.21,79.21
56,NDAQ,2018-01-04,78.69,78.69
57,NDAQ,2018-01-03,77.66,77.66
58,NDAQ,2018-01-02,76.74,76.74
59,NDAQ,2017-12-29,76.83,76.83
60,NDAQ,2017-12-28,76.67,76.67
61,NDAQ,2017-12-27,76.34,76.34
62,NDAQ,2017-12-26,76.13,76.13
63,NDAQ,2017-12-22,76.09,76.09
64,NDAQ,2017-12-21,75.4,75.4
65,NDAQ,2017-12-20,75.05,75.05
66,NDAQ,2017-12-19,76.11,76.11
67,NDAQ,2017-12-18,76.97,76.97
68,NDAQ,2017-12-15,77.51,77.51
69,NDAQ,2017-12-14,77.47,77.47
70,NDAQ,2017-12-13,78.21,78.21
71,NDAQ,2017-12-12,79.27,79.27
72,NDAQ,2017-12-11,79.22,79.22
73,NDAQ,2017-12-08,78.78,78.78
74,NDAQ,2017-12-07,77.79,77.79
75,NDAQ,2017-12-06,78.32,78.32
76,NDAQ,2017-12-05,78.51,78.51
77,NDAQ,2017-12-04,78.93,78.93
78,NDAQ,2017-12-01,79.26,79.26
79,NDAQ,2017-11-30,79.16,79.16
80,NDAQ,2017-11-29,78.56,78.56
81,NDAQ,2017-11-28,78.34,78.34
82,NDAQ,2017-11-27,77.23,77.23
83,NDAQ,2017-11-24,77.25,77.25
84,NDAQ,2017-11-22,77.17,77.17
85,NDAQ,2017-11-21,77.24,77.24
86,NDAQ,2017-11-20,76.89,76.89
87,NDAQ,2017-11-17,75.95,75.95
88,NDAQ,2017-11-16,75.97,75.97
89,NDAQ,2017-11-15,75.93,75.93
90,NDAQ,2017-11-14,75.97,75.97
91,NDAQ,2017-11-13,75.41,75.41
92,NDAQ,2017-11-10,73.57,73.57
93,NDAQ,2017-11-09,73.73,73.73
94,NDAQ,2017-11-07,72.02,72.02
95,NDAQ,2017-11-06,71.97,71.97
96,NDAQ,2017-11-03,72.4,72.4
97,NDAQ,2017-11-02,73.17,73.17
98,NDAQ,2017-11-01,72.41,72.41
99,NDAQ,2017-10-31,72.65,72.65
100,NDAQ,2017-10-30,72.4,72.4
101,NDAQ,2017-10-27,72.34,72.34
102,NDAQ,2017-10-26,72.29,72.29
103,NDAQ,2017-10-25,72.44,72.44
104,NDAQ,2017-10-24,73.45,73.45
105,NDAQ,2017-10-23,73.49,73.49
106,NDAQ,2017-10-20,72.92,72.92
107,NDAQ,2017-10-19,72.94,72.94
108,NDAQ,2017-10-18,74.6,74.6
109,NDAQ,2017-10-17,74.71,74.71
110,NDAQ,2017-10-16,74.11,74.11
111,NDAQ,2017-10-13,74.34,74.34
112,NDAQ,2017-10-12,74.91,74.91
113,NDAQ,2017-10-11,75.63,75.63
114,NDAQ,2017-10-10,74.56,74.56
115,NDAQ,2017-10-09,74.5,74.5
116,NDAQ,2017-10-06,73.9,73.9
117,NDAQ,2017-10-05,77.65,77.65
118,NDAQ,2017-10-04,77.57,77.57
119,NDAQ,2017-10-03,77.75,77.75
120,NDAQ,2017-10-02,77.79,77.79
121,NDAQ,2017-09-29,77.57,77.57
122,NDAQ,2017-09-28,77.63,77.63
123,NDAQ,2017-09-27,77.13,77.13
124,NDAQ,2017-09-26,76.37,76.37
125,NDAQ,2017-09-25,77.12,77.12
126,NDAQ,2017-09-22,76.42,76.42
127,NDAQ,2017-09-21,76.1,76.1
128,NDAQ,2017-09-20,76.74,76.74
129,NDAQ,2017-09-19,76.32,76.32
130,NDAQ,2017-09-18,75.09,75.09
131,NDAQ,2017-09-15,74.75,74.75
132,NDAQ,2017-09-14,74.7,74.7
133,NDAQ,2017-09-13,74.74,74.361720831113
134,NDAQ,2017-09-12,75.03,74.650253063399
135,NDAQ,2017-09-11,74.17,73.794605753863
