None,ticker,date,close,adj_close
0,NEE,2018-03-27,162.59,162.59
1,NEE,2018-03-26,161.43,161.43
2,NEE,2018-03-23,159.49,159.49
3,NEE,2018-03-22,161.89,161.89
4,NEE,2018-03-21,160.08,160.08
5,NEE,2018-03-20,160.42,160.42
6,NEE,2018-03-19,159.93,159.93
7,NEE,2018-03-16,161.04,161.04
8,NEE,2018-03-15,158.14,158.14
9,NEE,2018-03-14,158.01,158.01
10,NEE,2018-03-13,154.67,154.67
11,NEE,2018-03-12,154.39,154.39
12,NEE,2018-03-09,154.81,154.81
13,NEE,2018-03-08,154.31,154.31
14,NEE,2018-03-07,153.05,153.05
15,NEE,2018-03-06,153.26,153.26
16,NEE,2018-03-05,155.02,155.02
17,NEE,2018-03-02,152.85,152.85
18,NEE,2018-03-01,153.23,153.23
19,NEE,2018-02-28,152.15,152.15
20,NEE,2018-02-27,151.68,151.68
21,NEE,2018-02-26,154.65,154.65
22,NEE,2018-02-23,156.26,156.26
23,NEE,2018-02-22,152.31,152.31
24,NEE,2018-02-21,151.76,151.76
25,NEE,2018-02-20,153.81,153.81
26,NEE,2018-02-16,156.05,156.05
27,NEE,2018-02-15,154.43,154.43
28,NEE,2018-02-14,150.08,150.08
29,NEE,2018-02-13,151.07,151.07
30,NEE,2018-02-12,150.0,150.0
31,NEE,2018-02-09,148.1,148.1
32,NEE,2018-02-08,145.29,145.29
33,NEE,2018-02-07,148.09,148.09
34,NEE,2018-02-06,149.56,149.56
35,NEE,2018-02-05,154.29,154.29
36,NEE,2018-02-02,155.92,155.92
37,NEE,2018-02-01,156.34,156.34
38,NEE,2018-01-31,158.42,158.42
39,NEE,2018-01-30,155.1,155.1
40,NEE,2018-01-29,155.68,155.68
41,NEE,2018-01-26,157.69,157.69
42,NEE,2018-01-25,153.09,153.09
43,NEE,2018-01-24,150.85,150.85
44,NEE,2018-01-23,152.72,152.72
45,NEE,2018-01-22,150.02,150.02
46,NEE,2018-01-19,150.16,150.16
47,NEE,2018-01-18,150.78,150.78
48,NEE,2018-01-17,151.88,151.88
49,NEE,2018-01-16,150.54,150.54
50,NEE,2018-01-12,150.32,150.32
51,NEE,2018-01-11,150.5,150.5
52,NEE,2018-01-10,150.59,150.59
53,NEE,2018-01-09,151.84,151.84
54,NEE,2018-01-08,152.96,152.96
55,NEE,2018-01-05,151.71,151.71
56,NEE,2018-01-04,151.02,151.02
57,NEE,2018-01-03,151.8,151.8
58,NEE,2018-01-02,155.09,155.09
59,NEE,2017-12-29,156.19,156.19
60,NEE,2017-12-28,156.35,156.35
61,NEE,2017-12-27,155.29,155.29
62,NEE,2017-12-26,154.0,154.0
63,NEE,2017-12-22,154.54,154.54
64,NEE,2017-12-21,154.48,154.48
65,NEE,2017-12-20,153.64,153.64
66,NEE,2017-12-19,154.1,154.1
67,NEE,2017-12-18,156.35,156.35
68,NEE,2017-12-15,158.43,158.43
69,NEE,2017-12-14,157.98,157.98
70,NEE,2017-12-13,156.47,156.47
71,NEE,2017-12-12,157.07,157.07
72,NEE,2017-12-11,159.25,159.25
73,NEE,2017-12-08,159.03,159.03
74,NEE,2017-12-07,158.18,158.18
75,NEE,2017-12-06,157.78,157.78
76,NEE,2017-12-05,155.64,155.64
77,NEE,2017-12-04,155.97,155.97
78,NEE,2017-12-01,157.47,157.47
79,NEE,2017-11-30,158.04,158.04
80,NEE,2017-11-29,157.77,157.77
81,NEE,2017-11-28,157.79,157.79
82,NEE,2017-11-27,157.0,157.0
83,NEE,2017-11-24,156.03,156.03
84,NEE,2017-11-22,155.18,155.18
85,NEE,2017-11-21,156.21,156.21
86,NEE,2017-11-20,155.92,155.92
87,NEE,2017-11-17,156.04,156.04
88,NEE,2017-11-16,157.29,157.29
89,NEE,2017-11-15,157.36,157.36
90,NEE,2017-11-14,158.4,158.4
91,NEE,2017-11-13,156.78,156.78
92,NEE,2017-11-10,155.16,155.16
93,NEE,2017-11-09,155.25,155.25
94,NEE,2017-11-07,155.49,155.49
95,NEE,2017-11-06,151.86,151.86
96,NEE,2017-11-03,152.65,152.65
97,NEE,2017-11-02,149.86,149.86
98,NEE,2017-11-01,153.38,153.38
99,NEE,2017-10-31,155.07,155.07
100,NEE,2017-10-30,155.36,155.36
101,NEE,2017-10-27,155.84,155.84
102,NEE,2017-10-26,153.39,153.39
103,NEE,2017-10-25,153.925,153.925
104,NEE,2017-10-24,154.22,154.22
105,NEE,2017-10-23,154.38,154.38
106,NEE,2017-10-20,154.16,154.16
107,NEE,2017-10-19,153.87,153.87
108,NEE,2017-10-18,152.54,152.54
109,NEE,2017-10-17,152.67,152.67
110,NEE,2017-10-16,151.52,151.52
111,NEE,2017-10-13,150.55,150.55
112,NEE,2017-10-12,150.7,150.7
113,NEE,2017-10-11,149.87,149.87
114,NEE,2017-10-10,149.03,149.03
115,NEE,2017-10-09,147.9,147.9
116,NEE,2017-10-06,147.47,147.47
117,NEE,2017-10-05,147.76,147.76
118,NEE,2017-10-04,148.57,148.57
119,NEE,2017-10-03,146.89,146.89
120,NEE,2017-10-02,146.74,146.74
121,NEE,2017-09-29,146.55,146.55
122,NEE,2017-09-28,146.99,146.99
123,NEE,2017-09-27,146.25,146.25
124,NEE,2017-09-26,147.7,147.7
125,NEE,2017-09-25,146.82,146.82
126,NEE,2017-09-22,146.36,146.36
127,NEE,2017-09-21,146.78,146.78
128,NEE,2017-09-20,146.74,146.74
129,NEE,2017-09-19,147.92,147.92
130,NEE,2017-09-18,148.3,148.3
131,NEE,2017-09-15,150.09,150.09
